新麥,	1580
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,77292,191.00,193.50,191.00,191.50,+0.50,60,14777418
104/01/06,68592,190.00,193.00,190.00,191.50,0.00,47,13141366
104/01/07,27006,191.50,191.50,190.00,190.00,-1.50,37,5142634
104/01/08,21126,192.50,192.50,190.00,190.00,0.00,17,4025502
104/01/09,56305,190.00,191.50,189.00,190.00,0.00,33,10697450
104/01/12,106569,190.00,190.50,189.00,190.00,0.00,81,20246892
104/01/13,22323,190.00,191.50,190.00,190.50,+0.50,21,4251031
104/01/14,57448,190.50,192.00,190.50,191.50,+1.00,54,10975842
104/01/15,45928,191.50,192.00,191.00,191.00,-0.50,47,8785748
104/01/16,28685,191.00,191.00,186.50,188.00,-3.00,37,5411280
104/01/19,112409,188.00,190.00,187.00,190.00,+2.00,111,21140437
104/01/20,6391,190.50,191.00,188.50,188.50,-1.50,12,1211290
104/01/21,51808,188.50,189.50,188.50,189.00,+0.50,50,9777904
104/01/22,90516,189.00,191.50,189.00,191.50,+2.50,76,17194313
104/01/23,185398,192.50,196.50,192.50,192.50,+1.00,148,36014916
104/01/26,32208,193.00,193.00,189.00,189.00,-3.50,37,6119020
104/01/27,43245,187.00,188.50,187.00,187.00,-2.00,46,8112682
104/01/28,65121,187.00,187.00,182.00,184.00,-3.00,71,12059885
104/01/29,82725,184.00,184.00,179.00,182.00,-2.00,82,15043900
104/01/30,52616,182.00,182.00,179.00,180.00,-2.00,60,9466380
104/02/02,21332,180.00,180.50,179.50,180.00,0.00,28,3838926
104/02/03,50394,180.00,185.00,180.00,183.00,+3.00,50,9251693
104/02/04,45045,184.00,185.00,183.00,184.00,+1.00,41,8295280
104/02/05,46397,182.00,184.00,182.00,184.00,0.00,52,8531548
104/02/06,23500,182.00,182.50,181.00,181.00,-3.00,26,4271500
104/02/09,21395,180.00,184.50,180.00,184.50,+3.50,26,3913877
104/02/10,26580,181.00,182.00,181.00,181.50,-3.00,33,4817140
104/02/11,100495,181.50,182.00,178.00,180.00,-1.50,94,18109600
104/02/12,27310,180.00,182.50,180.00,181.00,+1.00,22,4947110
