精剛,	1584
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,150000,11.60,11.60,11.50,11.60,0.00,41,1731900
104/01/06,127000,11.60,11.60,11.45,11.50,-0.10,41,1462750
104/01/07,190000,11.50,11.50,11.40,11.45,-0.05,59,2172350
104/01/08,79756,11.45,11.55,11.35,11.45,0.00,39,910654
104/01/09,120248,11.45,11.55,11.35,11.40,-0.05,43,1373688
104/01/12,35399,11.50,11.50,11.35,11.50,+0.10,21,404347
104/01/13,66406,11.50,11.50,11.30,11.30,-0.20,39,756427
104/01/14,41314,11.30,11.40,11.20,11.40,+0.10,17,466448
104/01/15,64204,11.40,11.45,11.35,11.40,0.00,24,730955
104/01/16,53253,11.45,11.45,11.20,11.30,-0.10,34,601282
104/01/19,121750,11.45,11.55,11.15,11.20,-0.10,55,1371374
104/01/20,48450,11.25,11.30,11.20,11.25,+0.05,32,543238
104/01/21,51000,11.25,11.40,11.20,11.25,0.00,32,573550
104/01/22,57000,11.30,11.40,11.30,11.30,+0.05,32,646800
104/01/23,237049,11.25,11.50,11.25,11.45,+0.15,82,2695658
104/01/26,389453,11.50,11.85,11.50,11.60,+0.15,158,4557754
104/01/27,123314,11.70,11.70,11.50,11.65,+0.05,51,1429542
104/01/28,86000,11.65,11.65,11.50,11.65,0.00,38,997050
104/01/29,103000,11.60,11.60,11.50,11.60,-0.05,37,1190350
104/01/30,54000,11.60,11.60,11.55,11.55,-0.05,24,625100
104/02/02,64663,11.50,11.60,11.50,11.60,+0.05,19,747091
104/02/03,58709,11.60,11.60,11.40,11.55,-0.05,23,671003
104/02/04,220556,11.60,11.85,11.55,11.55,0.00,75,2573193
104/02/05,148776,11.60,11.60,11.40,11.45,-0.10,56,1712995
104/02/06,61271,11.45,11.50,11.45,11.50,+0.05,20,703488
104/02/09,47358,11.50,11.60,11.50,11.55,+0.05,17,546767
104/02/10,64249,11.50,11.55,11.45,11.50,-0.05,19,738838
104/02/11,79000,11.45,11.50,11.35,11.40,-0.10,36,903200
104/02/12,71312,11.40,11.45,11.40,11.45,+0.05,19,813256
104/02/13,85500,11.45,11.45,11.30,11.40,-0.05,34,973950
104/02/24,58819,11.55,11.60,11.45,11.50,+0.10,26,679867
104/02/25,70630,11.50,11.55,11.40,11.55,+0.05,31,809994
104/02/26,93051,11.45,11.60,11.45,11.55,0.00,17,1071836
104/03/02,67637,11.55,11.55,11.35,11.35,-0.20,36,772292
104/03/03,39181,11.40,11.40,11.30,11.35,0.00,24,444395
104/03/04,71328,11.30,11.50,11.30,11.50,+0.15,29,811139
104/03/05,90143,11.50,11.60,11.45,11.45,-0.05,25,1037679
104/03/06,105458,11.60,11.60,11.35,11.50,+0.05,38,1209866
104/03/09,112680,11.50,11.60,11.50,11.50,0.00,44,1299184
104/03/10,46501,11.50,11.55,11.40,11.50,0.00,22,535060
104/03/11,95176,11.50,11.60,11.35,11.40,-0.10,28,1087988
104/03/12,133000,11.35,11.40,11.20,11.35,-0.05,54,1492000
104/03/13,65803,11.60,11.60,11.40,11.40,+0.05,52,753421
104/03/16,80795,11.40,11.55,11.30,11.50,+0.10,34,923711
104/03/17,2826132,11.50,12.30,11.50,12.30,+0.80,666,34636365
104/03/18,1905334,12.40,12.65,12.00,12.15,-0.15,758,23490755
104/03/19,891945,12.05,12.50,11.90,12.05,-0.10,385,10869340
104/03/20,468371,12.05,12.05,11.70,11.85,-0.20,205,5562876
104/03/23,683113,11.85,12.20,11.80,12.15,+0.30,222,8191858
104/03/24,242298,11.95,12.10,11.90,11.95,-0.20,96,2903860
104/03/25,247049,11.90,12.05,11.90,11.95,0.00,70,2958789
104/03/26,171012,11.90,11.95,11.80,11.80,-0.15,64,2032641
104/03/27,283382,11.85,11.90,11.50,11.50,-0.30,104,3302580
104/03/30,143180,11.50,11.70,11.35,11.70,+0.20,71,1644805
104/03/31,77061,11.70,11.75,11.60,11.70,0.00,40,898212
104/04/01,154500,11.70,11.70,11.40,11.40,-0.30,70,1774150
104/04/02,91271,11.45,11.50,11.40,11.50,+0.10,43,1045453
104/04/07,187171,11.50,11.60,11.40,11.60,+0.10,59,2148033
104/04/08,149946,11.60,11.65,11.50,11.60,0.00,51,1735178
104/04/09,413764,12.40,12.40,12.40,12.40,+0.80,118,5130669
104/04/10,426427,13.25,13.25,13.25,13.25,+0.85,163,5650153
104/04/13,375869,14.15,14.15,14.15,14.15,+0.90,139,5318538
104/04/14,378639,15.10,15.10,15.10,15.10,+0.95,143,5717441
104/04/15,515009,16.15,16.15,16.15,16.15,+1.05,147,8317387
104/04/16,19924677,17.25,17.25,16.20,16.30,+0.15,4925,337791504
104/04/17,5341269,16.35,16.45,15.50,15.75,-0.55,1439,84790161
104/04/20,3821073,15.75,16.10,15.35,15.35,-0.40,1057,60040812
104/04/21,2852100,15.65,15.75,15.30,15.50,+0.15,847,44178699
104/04/22,2411004,15.60,15.65,15.10,15.10,-0.40,548,36773106
104/04/23,2072717,15.15,15.60,15.05,15.10,0.00,563,31778170
104/04/24,1171846,15.10,15.30,15.00,15.05,-0.05,333,17642625
104/04/27,495182,15.05,15.20,15.05,15.05,0.00,185,7469430
104/04/28,1018098,15.05,15.40,15.05,15.05,0.00,311,15456371
104/04/29,617945,15.10,15.20,15.00,15.00,-0.05,194,9320619
104/04/30,10103490,15.00,16.05,15.00,15.10,+0.10,1965,158689398
104/05/04,3496458,15.10,15.15,14.20,14.20,-0.90,823,51015701
104/05/05,1319240,14.20,14.45,14.00,14.40,+0.20,313,18665927
104/05/06,6055781,14.60,15.40,14.45,15.40,+1.00,1742,91848887
104/05/07,1902050,15.35,15.35,14.70,14.85,-0.55,777,28661736
104/05/08,1729464,15.00,15.15,14.00,14.20,-0.65,620,24987880
104/05/11,1716999,14.00,14.40,13.75,13.80,-0.40,429,23916004
104/05/12,1494249,14.05,14.40,13.90,14.25,+0.45,471,21105591
104/05/13,569907,14.20,14.20,13.95,13.95,-0.30,242,8012191
104/05/14,438128,13.95,14.15,13.90,13.95,0.00,149,6122859
104/05/15,345069,14.00,14.05,13.80,13.85,-0.10,178,4811341
104/05/18,422700,13.85,13.95,13.75,13.80,-0.05,249,5832004
104/05/19,284115,13.90,14.05,13.75,13.80,0.00,199,3936726
104/05/20,191819,13.95,14.00,13.75,13.75,-0.05,99,2657059
104/05/21,551133,13.80,14.15,13.75,13.75,0.00,204,7672485
104/05/22,341000,14.00,14.15,13.80,13.95,+0.20,134,4750500
104/05/25,295002,14.05,14.05,13.75,13.90,-0.05,117,4091977
104/05/26,147235,14.00,14.00,13.85,13.95,+0.05,58,2046916
104/05/27,354854,13.95,14.10,13.85,13.90,-0.05,130,4955634
104/05/28,223000,14.05,14.05,13.85,13.85,-0.05,83,3104400
104/05/29,1079061,13.90,14.20,13.85,14.00,+0.15,312,15272354
104/06/01,208001,14.00,14.05,13.80,13.95,-0.05,99,2888314
104/06/02,229677,13.95,14.20,13.90,13.95,0.00,102,3218838
104/06/03,232000,14.10,14.10,13.80,13.80,-0.15,84,3220000
104/06/04,709202,13.85,13.85,13.75,13.75,-0.05,160,9793447
104/06/05,359091,13.80,13.85,13.75,13.75,0.00,103,4948648
104/06/08,362759,13.75,13.85,13.75,13.80,+0.05,85,4999499
104/06/09,617615,13.80,13.80,13.75,13.75,-0.05,106,8494954
104/06/10,337275,14.00,14.00,13.75,13.75,0.00,109,4671150
104/06/11,820565,13.85,14.25,13.85,14.25,+0.50,273,11558206
104/06/12,3034994,14.25,14.50,14.20,14.50,+0.25,800,43649662
104/06/15,1228011,14.50,14.60,14.00,14.05,-0.45,451,17561154
104/06/16,402720,14.05,14.15,13.80,13.85,-0.20,166,5592432
104/06/17,257502,13.85,13.90,13.80,13.85,0.00,98,3566876
104/06/18,248099,13.80,14.00,13.80,13.95,+0.10,96,3441826
104/06/22,221022,14.00,14.00,13.85,13.90,-0.05,67,3070256
104/06/23,2423454,14.00,14.65,14.00,14.60,+0.70,760,35065831
104/06/24,2781777,14.60,15.20,14.50,15.10,+0.50,1085,41340005
104/06/25,1535294,15.30,15.55,14.90,14.95,-0.15,621,23227096
104/06/26,1407103,15.20,15.45,14.80,15.00,+0.05,508,21322083
104/06/29,1557204,15.00,15.20,14.35,14.45,-0.55,589,22957195
104/06/30,1347477,14.40,14.80,13.85,13.95,-0.50,552,19154274
104/07/01,2111945,14.00,15.30,14.00,15.10,+1.15,875,31476975
104/07/02,5322296,15.40,16.60,15.25,15.40,+0.30,1948,84688823
104/07/03,1542003,15.50,15.60,15.15,15.60,+0.20,595,23760542
104/07/06,2646000,15.55,16.00,14.25,14.40,-1.20,967,39697150
104/07/07,1451300,14.75,15.10,14.40,14.80,+0.40,554,21468689
104/07/08,1284104,14.70,14.75,13.60,14.05,-0.75,498,18176106
104/07/09,1843000,13.80,14.00,12.65,13.90,-0.15,641,24330500
104/07/13,3591467,14.95,15.25,14.80,15.25,+1.35,1092,54350770
104/07/14,2630962,15.50,15.90,15.00,15.10,-0.15,1095,40604080
104/07/15,832001,15.15,15.20,14.75,14.85,-0.25,346,12414014
104/07/16,4060710,15.00,16.00,14.90,15.75,+0.90,1332,63402498
104/07/17,1755248,15.80,15.85,15.15,15.30,-0.45,864,27050968
104/07/20,1365661,15.60,15.60,14.55,14.65,-0.65,571,20388263
104/07/21,661987,14.75,14.75,14.25,14.45,-0.20,285,9574410
104/07/22,547520,14.45,14.90,14.25,14.35,-0.10,242,7968684
104/07/23,636440,14.20,14.80,14.00,14.25,-0.10,275,9044146
104/07/24,530000,14.25,14.35,13.90,14.00,-0.25,185,7448300
104/07/27,1074313,13.85,14.00,12.65,12.85,-1.15,442,14290570
104/07/28,595190,12.90,13.40,12.85,13.15,+0.30,272,7812889
104/07/29,399352,13.15,13.30,12.95,13.00,-0.15,188,5215589
104/07/30,302138,13.45,13.45,13.05,13.20,+0.20,145,3998127
104/07/31,163019,13.05,13.10,12.95,13.00,-0.20,83,2123047
104/08/03,303449,12.90,13.10,12.70,12.95,-0.05,137,3898608
104/08/04,478203,13.00,13.25,12.25,12.30,-0.65,199,6042256
104/08/05,293576,12.30,12.50,12.20,12.50,+0.20,138,3624939
104/08/06,185001,12.95,12.95,12.25,12.45,-0.05,95,2304662
104/08/07,205442,12.40,12.50,12.25,12.45,0.00,88,2542578
104/08/10,220431,12.30,12.90,12.30,12.80,+0.35,98,2789621
104/08/11,227002,12.90,12.90,12.40,12.45,-0.35,112,2880074
104/08/12,1235005,12.45,12.45,11.40,12.00,-0.45,437,14530460
104/08/13,624337,12.00,12.10,11.50,11.95,-0.05,235,7372425
104/08/14,141295,11.85,12.00,11.85,12.00,+0.05,84,1689890
104/08/17,319027,12.10,12.25,11.90,11.90,-0.10,118,3840824
104/08/18,703251,12.10,12.80,12.10,12.60,+0.70,311,8762687
104/08/19,1037208,12.60,13.20,12.35,12.50,-0.10,355,13270479
104/08/20,741348,12.65,13.20,12.40,13.15,+0.65,348,9492208
104/08/21,1690045,12.95,13.65,12.75,13.15,0.00,615,22236639
104/08/24,1660196,12.75,13.50,11.90,13.15,0.00,626,21219198
104/08/25,1300341,12.90,13.50,12.85,13.15,0.00,324,17223448
104/08/26,1191765,13.15,14.10,13.15,14.10,+0.95,400,16227960
104/08/27,6257530,14.10,15.50,14.10,14.50,+0.40,1369,93037578
104/08/28,2597718,14.50,14.90,14.05,14.40,-0.10,746,37693265
104/08/31,2217005,14.25,14.75,14.10,14.10,-0.30,555,32087766
104/09/01,658379,14.10,14.10,13.65,14.00,-0.10,265,9112783
104/09/02,439591,13.80,13.95,13.70,13.90,-0.10,196,6061153
104/09/03,453339,14.05,14.35,14.00,14.05,+0.15,195,6408046
104/09/04,502249,14.20,14.20,13.50,13.50,-0.55,200,6931711
104/09/07,186001,13.50,13.70,13.25,13.25,-0.25,89,2502163
104/09/08,178004,13.25,13.55,13.25,13.40,+0.15,90,2377604
104/09/09,781055,13.40,14.15,13.40,13.75,+0.35,268,10798753
104/09/10,1686985,13.70,14.50,13.40,14.40,+0.65,462,23781034
104/09/11,542216,14.30,14.60,14.10,14.30,-0.10,191,7775010
104/09/14,748000,14.40,14.60,14.05,14.45,+0.15,281,10778400
104/09/15,701106,14.50,14.75,14.40,14.60,+0.15,267,10232586
104/09/16,457148,14.70,14.70,14.25,14.40,-0.20,200,6602109
