光洋科,	1785
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,7526393,23.00,23.95,22.90,23.40,+0.40,2946,177515215
107/06/04,6425215,23.40,24.35,23.30,23.75,+0.35,2420,153584819
107/06/05,3392036,23.75,23.95,23.15,23.15,-0.60,1312,79443028
107/06/06,2420216,23.35,23.60,23.10,23.15,0.00,991,56267068
107/06/07,2876565,23.40,23.40,22.85,22.95,-0.20,1183,66183530
107/06/08,2326172,22.95,23.15,22.65,22.85,-0.10,1007,53149822
107/06/11,2575910,23.20,23.30,22.95,23.05,+0.20,987,59536878
107/06/12,5118346,23.30,23.85,23.25,23.25,+0.20,2172,120306268
107/06/13,1980304,23.35,23.50,23.05,23.10,-0.15,843,45940940
107/06/14,3980256,23.25,23.75,23.05,23.55,+0.45,1517,93252741
107/06/15,19042268,23.95,25.20,23.30,23.30,-0.25,7335,463468671
107/06/19,3951334,23.30,23.75,23.20,23.20,-0.10,1709,92465509
107/06/20,3947842,23.15,23.35,22.50,22.70,-0.50,1491,89970383
107/06/21,1464547,22.90,23.10,22.70,22.80,+0.10,647,33480715
107/06/22,2040198,22.80,22.80,22.30,22.35,-0.45,871,45853800
107/06/25,2306660,22.70,22.80,21.90,21.95,-0.40,913,51190971
107/06/26,2287432,21.75,21.95,21.45,21.55,-0.40,806,49434554
107/06/27,1527855,21.80,22.05,21.55,21.80,+0.25,614,33306852
107/06/28,1054297,21.70,21.80,21.50,21.55,-0.25,430,22772193
107/06/29,1041535,21.75,22.00,21.60,22.00,+0.45,402,22718056
107/07/02,1220138,22.05,22.20,21.65,21.70,-0.30,506,26687279
107/07/03,1467505,22.00,22.00,21.10,21.20,-0.50,681,31466198
107/07/04,2794698,21.30,21.35,20.60,21.20,0.00,1007,58709207
107/07/05,1789948,21.40,21.55,21.25,21.45,+0.25,713,38280083
107/07/06,1890983,21.75,22.00,21.35,22.00,+0.55,790,40967968
107/07/09,1959208,22.00,22.30,21.90,21.90,-0.10,612,43233681
107/07/10,1229177,22.05,22.05,21.75,21.75,-0.15,441,26829970
107/07/11,2186601,21.80,22.30,21.80,21.80,+0.05,724,48295337
107/07/12,670493,21.90,22.00,21.75,21.80,0.00,304,14641693
107/07/13,1019766,21.90,22.20,21.85,21.90,+0.10,404,22413896
107/07/16,1238114,22.00,22.00,21.35,21.55,-0.35,542,26707688
107/07/17,763853,21.50,21.60,21.25,21.30,-0.25,341,16319430
107/07/18,1776084,21.30,21.40,21.00,21.00,-0.30,644,37512596
107/07/19,959602,21.10,21.45,21.05,21.20,+0.20,406,20344548
107/07/20,2143774,21.25,21.30,20.70,20.75,-0.45,707,44750491
107/07/23,2492231,20.80,20.80,20.05,20.25,-0.50,943,50552462
107/07/24,889583,20.25,20.75,20.25,20.60,+0.35,393,18194790
107/07/25,699701,20.60,21.00,20.60,20.70,+0.10,361,14587718
107/07/26,431862,20.85,20.95,20.65,20.70,0.00,270,8964333
107/07/27,3631421,20.90,22.00,20.80,21.70,+1.00,1374,77765056
107/07/30,1378045,21.50,21.60,21.05,21.15,-0.55,672,29354395
107/07/31,489336,21.15,21.40,21.15,21.30,+0.15,229,10382700
107/08/01,722697,21.30,21.40,21.10,21.10,-0.20,329,15352351
107/08/02,4792913,21.60,22.25,21.40,21.40,+0.30,1993,104696182
107/08/03,1100301,21.45,21.75,21.35,21.65,+0.25,498,23725618
107/08/06,773415,21.80,21.85,21.50,21.50,-0.15,358,16757571
107/08/07,706941,21.60,21.70,21.40,21.55,+0.05,347,15212030
107/08/08,700946,21.75,21.85,21.40,21.40,-0.15,325,15123289
107/08/09,672405,21.60,21.60,21.20,21.40,0.00,306,14326985
107/08/10,1231820,21.65,21.70,21.20,21.20,-0.20,575,26422805
107/08/13,1758100,21.00,21.15,20.20,20.60,-0.60,884,36371657
107/08/14,628850,20.60,20.80,20.50,20.75,+0.15,336,12976403
107/08/15,1110563,20.80,20.80,20.30,20.55,-0.20,453,22683036
107/08/16,1042838,20.40,20.55,20.00,20.55,0.00,434,21155283
107/08/17,694025,20.70,20.75,20.35,20.35,-0.20,368,14225596
107/08/20,1071138,20.50,20.70,20.15,20.40,+0.05,414,21742746
107/08/21,658204,20.30,20.45,20.20,20.35,-0.05,262,13388577
107/08/22,698681,20.35,20.50,20.30,20.35,0.00,258,14247101
107/08/23,641427,20.35,20.55,20.30,20.55,+0.20,292,13108507
107/08/24,831191,20.55,20.60,20.25,20.50,-0.05,355,16945162
107/08/27,618839,20.85,20.85,20.60,20.75,+0.25,263,12815178
107/08/28,914719,20.65,20.95,20.50,20.95,+0.20,419,18953149
107/08/29,464298,21.00,21.00,20.70,20.70,-0.25,258,9653813
107/08/30,437959,20.90,20.90,20.55,20.55,-0.15,253,9035456
107/08/31,1804624,20.60,21.00,20.35,21.00,+0.45,692,37443304
107/09/03,1580579,21.10,21.20,20.70,20.85,-0.15,672,33232862
107/09/04,6475801,21.40,22.15,21.25,22.10,+1.25,3030,141271422
107/09/05,16165811,22.20,23.40,22.20,22.90,+0.80,7124,370785522
107/09/06,3873113,22.30,22.80,22.25,22.55,-0.35,2032,86915438
107/09/07,4035896,22.70,22.70,21.45,21.55,-1.00,1818,87971902
107/09/10,3652202,21.35,21.65,20.40,20.40,-1.15,1955,75755398
107/09/11,2269420,20.95,20.95,20.50,20.70,+0.30,1309,46983085
107/09/12,1166561,20.80,20.85,20.50,20.60,-0.10,579,24056952
107/09/13,1027518,20.65,20.90,20.65,20.70,+0.10,424,21334117
107/09/14,1499057,20.90,21.10,20.80,21.00,+0.30,695,31427040
107/09/17,835957,20.90,21.00,20.70,20.80,-0.20,422,17410305
107/09/18,1692836,20.80,21.00,20.60,20.60,-0.20,736,35123964
107/09/19,891598,20.90,20.95,20.75,20.80,+0.20,446,18570991
107/09/20,1276207,20.80,20.85,20.45,20.60,-0.20,518,26335482
107/09/21,784992,20.70,20.80,20.60,20.80,+0.20,369,16265229
107/09/25,1620853,20.80,21.40,20.80,21.10,+0.30,743,34281393
107/09/26,1449107,21.10,21.35,21.05,21.25,+0.15,520,30793104
107/09/27,2731245,21.25,22.00,21.25,21.75,+0.50,1176,59309795
107/09/28,1728042,21.75,21.90,21.35,21.50,-0.25,623,37227700
107/10/01,1299451,21.65,21.90,21.50,21.70,+0.20,568,28169430
107/10/02,1210030,21.75,21.90,21.50,21.85,+0.15,479,26271748
107/10/03,6055346,22.20,22.55,22.05,22.10,+0.25,2248,134903092
107/10/04,2911943,22.00,22.00,21.30,21.30,-0.80,1097,62925434
107/10/05,3401660,21.20,21.50,20.90,20.90,-0.40,1043,71894233
107/10/08,793235,21.00,21.30,20.90,21.10,+0.20,364,16684185
107/10/09,1056420,21.05,21.15,20.90,21.00,-0.10,407,22192070
107/10/11,5489529,19.90,20.10,18.95,19.05,-1.95,1546,106612138
107/10/12,1867303,19.05,20.00,19.05,20.00,+0.95,749,36674160
107/10/15,1194993,19.90,20.25,19.70,19.95,-0.05,526,23804460
107/10/16,1121473,20.05,20.40,19.80,19.90,-0.05,414,22464509
107/10/17,972998,20.25,20.30,19.80,19.80,-0.10,419,19406554
107/10/18,484499,19.80,20.00,19.70,19.80,0.00,186,9594975
107/10/19,1492146,19.60,19.60,19.00,19.30,-0.50,572,28846815
107/10/22,579408,19.35,19.65,19.30,19.50,+0.20,273,11261932
107/10/23,574124,19.50,19.65,19.20,19.20,-0.30,256,11113478
107/10/24,1344962,19.30,19.50,18.85,19.30,+0.10,561,25628869
107/10/25,1951481,18.50,18.75,18.10,18.20,-1.10,758,36030668
107/10/26,3171691,18.50,18.50,17.00,17.00,-1.20,1084,55610266
107/10/29,2761042,17.10,17.20,15.80,16.60,-0.40,1075,45918302
107/10/30,1930894,16.80,17.80,16.75,16.85,+0.25,933,32980203
107/10/31,1144991,17.00,17.50,17.00,17.45,+0.60,501,19833186
107/11/01,1023193,17.80,17.95,17.45,17.65,+0.20,483,18134744
107/11/02,1311084,17.90,18.10,17.70,18.00,+0.35,491,23516598
107/11/08,1204148,18.85,19.20,18.65,18.90,+0.30,459,22768179
107/11/09,559525,18.90,19.00,18.70,18.90,0.00,287,10554569
107/11/12,761580,18.90,18.95,18.45,18.50,-0.40,316,14204387
107/11/16,880636,18.90,19.00,18.60,18.65,-0.10,381,16532757
107/11/19,722641,18.75,19.15,18.75,18.95,+0.30,397,13690343
107/11/20,576913,18.95,19.05,18.85,18.95,0.00,216,10936097
107/11/21,828127,18.95,18.95,18.75,18.80,-0.15,347,15573627
107/11/22,481210,18.80,19.00,18.75,18.75,-0.05,224,9076306
107/11/23,493025,18.70,18.85,18.60,18.60,-0.15,228,9213512
107/11/26,348731,18.65,18.80,18.55,18.65,+0.05,220,6515399
107/11/27,935931,18.70,19.10,18.70,19.00,+0.35,394,17719593
107/11/28,845494,19.15,19.20,18.80,19.05,+0.05,389,16105657
107/11/29,2197300,19.25,19.80,19.20,19.45,+0.40,798,42961351
107/11/30,655737,19.70,19.70,19.45,19.50,+0.05,326,12821943
107/12/03,1601038,19.90,19.95,19.70,19.85,+0.35,637,31727339
107/12/04,831866,20.00,20.00,19.70,19.70,-0.15,369,16492769
107/12/05,562635,19.30,19.55,19.30,19.50,-0.20,253,10949830
107/12/06,2698269,19.80,20.35,19.50,19.55,+0.05,1253,53789827
107/12/07,760388,19.65,20.00,19.65,19.80,+0.25,357,15055978
107/12/10,2091588,19.60,20.20,19.60,20.10,+0.30,925,41977410
107/12/11,1468505,20.00,20.15,19.45,19.55,-0.55,746,28982462
107/12/12,641039,19.70,19.70,19.50,19.70,+0.15,319,12574860
107/12/13,1240764,19.90,20.05,19.65,19.85,+0.15,418,24625037
107/12/14,683335,19.80,19.95,19.70,19.90,+0.05,354,13541511
107/12/17,1284968,20.10,20.20,19.80,19.80,-0.10,568,25736662
107/12/18,1001827,19.80,20.00,19.50,19.50,-0.30,445,19711188
107/12/19,1976673,19.50,19.65,18.65,18.65,-0.85,1009,37429236
107/12/20,691017,18.50,18.80,18.30,18.45,-0.20,359,12813705
107/12/21,639614,18.45,18.75,18.10,18.75,+0.30,307,11729459
107/12/22,120201,18.45,18.70,18.35,18.65,-0.10,79,2240486
107/12/24,257430,18.50,18.80,18.45,18.65,0.00,160,4790510
107/12/25,443688,18.45,18.50,18.20,18.20,-0.45,225,8133700
107/12/26,346605,18.10,18.45,18.10,18.10,-0.10,199,6332495
107/12/27,354275,18.50,18.50,18.25,18.30,+0.20,140,6496753
107/12/28,228699,18.50,18.50,18.25,18.25,-0.05,141,4205081
108/01/02,326689,18.30,18.40,18.15,18.15,-0.10,167,5964546
108/01/03,2936383,18.15,18.50,18.00,18.10,-0.05,620,53664372
108/01/04,669128,18.00,18.05,17.80,17.90,-0.20,337,12000130
108/01/07,452064,18.00,18.45,18.00,18.00,+0.10,234,8210808
108/01/08,326411,18.10,18.30,18.05,18.30,+0.30,186,5926227
108/01/09,351869,18.40,18.50,18.30,18.30,0.00,180,6465562
108/01/10,472882,18.45,18.50,18.30,18.35,+0.05,174,8696649
108/01/11,914632,18.30,18.45,18.20,18.40,+0.05,269,16762962
108/01/14,2548899,18.55,19.40,18.55,19.25,+0.85,1064,48642263
108/01/15,2696476,19.15,20.00,19.15,19.55,+0.30,1140,53113352
108/01/16,731035,19.50,20.00,19.35,19.40,-0.15,372,14255718
108/01/17,697284,19.35,19.45,19.00,19.10,-0.30,298,13401996
108/01/18,598091,19.10,19.50,19.10,19.45,+0.35,265,11571153
108/01/21,346370,19.45,19.60,19.30,19.35,-0.10,177,6725204
108/01/22,394550,19.40,19.40,19.10,19.30,-0.05,191,7597628
108/01/23,466095,19.20,19.40,19.05,19.40,+0.10,207,8970626
108/01/28,1319951,19.30,19.55,19.20,19.20,0.00,431,25607308
108/01/29,427323,19.20,19.25,19.00,19.00,-0.20,239,8157437
108/01/30,429946,19.00,19.15,18.95,18.95,-0.05,220,8184019
108/02/11,610834,19.00,19.25,19.00,19.15,+0.20,363,11660407
108/02/12,539365,19.25,19.25,19.10,19.10,-0.05,301,10340316
108/02/13,1040031,19.20,19.30,18.95,19.25,+0.15,408,19898187
108/02/14,594012,19.25,19.50,19.25,19.35,+0.10,307,11479619
108/02/15,702967,19.35,19.45,19.20,19.25,-0.10,286,13593990
108/02/18,524664,19.40,19.45,19.20,19.30,+0.05,284,10129988
108/02/19,1015928,19.35,19.40,19.30,19.35,+0.05,396,19650751
108/02/20,2610014,19.45,19.80,19.45,19.80,+0.45,990,51180103
108/02/21,2094788,19.90,19.90,19.25,19.40,-0.40,797,40758399
108/02/22,1479147,19.15,19.40,19.05,19.10,-0.30,584,28414251
108/02/25,2377227,19.20,19.20,18.55,18.55,-0.55,1014,44532626
108/02/26,1095403,18.55,18.85,18.55,18.65,+0.10,442,20481980
108/02/27,2505111,18.70,19.35,18.70,18.80,+0.15,1158,47722210
108/03/04,1263282,18.95,18.95,18.60,18.75,-0.05,514,23701520
108/03/05,1060875,18.75,18.75,18.50,18.50,-0.25,471,19707216
108/03/06,1920625,18.75,19.00,18.55,18.65,+0.15,667,35997236
108/03/07,1068054,18.65,18.80,18.60,18.60,-0.05,360,19930737
108/03/08,1000643,18.60,18.70,18.55,18.60,0.00,319,18636911
108/03/11,970980,18.60,18.65,18.45,18.60,0.00,322,18023154
108/03/12,896678,18.60,18.65,18.45,18.65,,297,16644463
108/03/13,587416,18.65,18.70,18.55,18.65,0.00,200,10939275
108/03/14,2069260,18.60,18.95,18.50,18.60,-0.05,637,38892571
108/03/15,761927,18.75,18.75,18.55,18.60,0.00,260,14178289
108/03/18,697897,18.70,18.70,18.45,18.55,-0.05,300,12951933
108/03/19,6174593,18.50,19.60,18.50,19.40,+0.85,2383,118954318
108/03/20,1736238,19.50,19.50,18.95,19.05,-0.35,728,33325022
108/03/21,1019335,19.15,19.25,18.95,19.00,-0.05,444,19448209
108/03/22,1042616,19.05,19.10,18.80,18.80,-0.20,447,19707459
108/03/25,753886,18.65,18.80,18.50,18.60,-0.20,406,14048750
108/03/26,513338,18.65,18.75,18.55,18.70,+0.10,241,9575472
108/03/27,526900,18.80,18.80,18.60,18.70,0.00,215,9840128
