捷迅,	2643
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
105/03/04,2806576,31.00,36.00,30.80,33.90,+7.90,2029,91112200
105/03/07,1086134,33.10,33.50,31.70,31.75,-2.15,811,35358023
105/03/08,436800,31.60,33.00,31.60,32.20,+0.45,354,14166850
105/03/09,325150,32.20,32.50,31.65,31.80,-0.40,240,10387165
105/03/10,423250,31.85,32.40,31.55,31.55,-0.25,284,13504636
105/03/11,501690,31.55,31.55,30.35,30.65,-0.90,356,15463245
105/03/14,329489,30.90,30.95,30.35,30.55,-0.10,209,10105340
105/03/15,301251,30.55,31.70,30.55,30.80,+0.25,210,9372030
105/03/16,327202,31.00,32.10,31.00,31.80,+1.00,226,10376333
105/03/17,303182,31.80,31.95,31.05,31.30,-0.50,191,9535164
105/03/18,307003,31.40,32.20,31.10,31.80,+0.50,187,9746451
105/03/21,258000,32.25,32.45,31.55,32.00,+0.20,142,8256850
105/03/22,232000,32.00,32.30,31.85,32.30,+0.30,146,7447750
105/03/23,339247,32.50,34.00,32.50,33.00,+0.70,229,11238601
105/03/24,149800,33.00,33.00,32.40,32.70,-0.30,86,4871469
105/03/25,154879,32.70,33.00,32.55,32.70,0.00,112,5077057
105/03/28,515250,35.00,35.00,33.00,33.00,+0.30,305,17486275
105/03/29,205000,33.00,33.00,31.65,31.70,-1.30,130,6616850
105/03/30,150000,32.10,32.15,31.95,32.10,+0.40,95,4808800
105/03/31,108428,32.20,32.50,32.20,32.20,+0.10,74,3507296
105/04/01,106150,32.35,32.40,32.00,32.35,+0.15,61,3422502
105/04/06,74000,32.05,32.30,31.80,31.90,-0.45,41,2364650
105/04/07,93003,31.90,32.05,31.65,31.95,+0.05,63,2957995
105/04/08,92100,32.05,32.05,31.60,32.00,+0.05,55,2925419
105/04/11,109060,31.65,31.95,31.55,31.65,-0.35,61,3452890
105/04/12,168900,31.80,32.25,31.80,32.20,+0.55,92,5400309
105/04/13,117000,32.30,32.30,31.90,32.00,-0.20,61,3748650
105/04/14,64000,32.30,32.30,32.00,32.10,+0.10,40,2055600
105/04/15,70000,32.10,32.10,31.95,32.00,-0.10,38,2240100
105/04/18,146001,32.10,32.75,31.90,32.35,+0.35,83,4736682
105/04/19,55003,32.40,32.45,32.10,32.30,-0.05,40,1774896
105/04/20,279000,32.30,33.75,32.30,32.60,+0.30,172,9247050
105/04/21,114000,32.70,32.70,32.00,32.20,-0.40,67,3668850
105/04/22,105000,32.05,32.35,31.80,31.90,-0.30,59,3367300
105/04/25,60003,31.85,31.85,31.30,31.60,-0.30,44,1893243
105/04/26,37000,31.60,31.85,31.60,31.65,+0.05,26,1172900
105/04/27,30000,31.80,31.80,31.40,31.45,-0.20,22,946700
105/04/28,48000,31.45,31.50,31.30,31.50,+0.05,28,1507000
105/04/29,51000,31.30,31.30,30.50,31.05,-0.45,29,1582550
105/05/03,29099,31.05,31.10,30.75,30.75,-0.30,23,900743
105/05/04,61000,30.60,30.75,30.45,30.45,-0.30,35,1861650
105/05/05,18000,30.45,30.65,30.35,30.65,+0.20,9,547350
105/05/06,49000,30.65,31.85,30.65,31.40,+0.75,37,1543300
105/05/09,41000,31.40,31.70,30.70,31.05,-0.35,20,1281750
105/05/10,26000,31.00,31.50,31.00,31.00,-0.05,18,808000
105/05/11,217483,31.15,32.50,31.10,32.10,+1.10,144,6959319
105/05/12,317924,35.30,35.30,35.30,35.30,+3.20,139,11222716
105/05/13,1174403,38.45,38.45,36.50,37.15,+1.85,623,44047917
105/05/16,443301,37.15,37.40,35.30,35.75,-1.40,264,15979210
105/05/17,221171,36.50,36.95,36.20,36.35,+0.60,150,8102190
105/05/18,114100,36.40,36.75,35.95,36.75,+0.40,72,4154369
105/05/19,217200,36.45,36.50,35.50,36.25,-0.50,128,7811480
105/05/20,117500,36.20,36.20,35.45,35.60,-0.65,98,4196350
105/05/23,151001,35.95,36.45,35.40,36.00,+0.40,92,5401986
105/05/24,74000,36.25,36.25,35.60,36.10,+0.10,45,2647300
105/05/25,55000,36.30,36.40,36.05,36.15,+0.05,40,1993300
105/05/26,156147,36.15,36.45,35.55,36.45,+0.30,99,5623657
105/05/27,707285,36.60,40.05,36.60,38.95,+2.50,423,27603749
105/05/30,320360,37.80,39.05,37.65,39.05,+0.10,204,12278808
105/05/31,105215,39.05,39.05,38.40,38.50,-0.55,64,4055727
105/06/01,77130,38.30,38.75,38.30,38.45,-0.05,62,2970897
105/06/02,93524,38.50,38.85,37.90,37.90,-0.55,79,3575454
105/06/03,65260,37.90,38.45,37.70,38.45,+0.55,55,2477306
105/06/04,100581,38.30,39.80,38.20,39.15,+0.70,81,3910596
105/06/06,156070,39.10,39.80,38.80,38.80,-0.35,109,6124866
105/06/07,63000,39.35,39.35,38.60,38.65,-0.15,49,2438750
105/06/08,110200,38.60,39.45,38.55,39.00,+0.35,78,4308819
105/06/13,145003,38.70,38.70,37.75,38.05,-0.95,113,5523614
105/06/14,110000,39.00,39.00,38.25,38.25,+0.20,70,4245550
105/06/15,76000,38.95,38.95,38.20,38.20,-0.05,57,2927250
105/06/16,82070,38.40,38.95,38.40,38.95,+0.75,55,3168605
105/06/17,289100,38.95,40.95,38.95,39.70,+0.75,187,11563574
105/06/20,174100,39.75,40.00,39.25,39.70,0.00,104,6898780
105/06/21,67025,39.60,39.65,39.30,39.55,-0.15,56,2644540
105/06/22,114000,39.45,39.55,38.75,38.80,-0.75,75,4458750
105/06/23,121000,38.50,38.85,38.15,38.80,0.00,95,4653650
105/06/24,219000,38.80,38.80,37.50,37.60,-1.20,143,8324350
105/06/27,61000,37.50,38.05,37.30,38.05,+0.45,42,2299750
105/06/28,55300,37.80,38.00,37.70,37.75,-0.30,44,2091100
105/06/29,44000,38.00,38.55,38.00,38.35,+0.60,35,1680200
105/06/30,41000,38.20,38.50,38.10,38.50,+0.15,33,1568550
105/07/01,46051,38.60,38.60,38.30,38.50,0.00,34,1770513
105/07/04,72015,38.20,38.30,37.80,38.25,-0.25,49,2739668
105/07/05,37000,38.45,38.45,37.90,37.90,-0.35,30,1413500
105/07/06,19000,37.90,38.30,37.60,37.70,-0.20,15,719050
105/07/07,24221,37.70,38.20,37.70,38.00,+0.30,20,916448
105/07/11,86057,39.80,39.80,38.40,38.70,+0.70,60,3340233
