亞洲藏壽司,	2754
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/09/17,5672327,112.00,120.50,98.00,108.00,+53.00,4321,629966016
109/09/18,4098677,104.00,104.00,92.00,93.70,-14.30,3586,398311638
109/09/21,1865175,93.60,93.60,88.10,89.00,-4.70,1629,167175275
109/09/22,1412492,89.80,91.90,89.00,90.10,+1.10,1220,127043573
109/09/23,1186580,90.30,90.30,86.10,86.30,-3.80,1085,103588362
109/09/24,1340252,84.50,84.50,80.00,80.00,-6.30,1141,109563225
109/09/25,1079940,80.90,84.40,80.00,80.50,+0.50,899,88006764
109/09/28,992092,80.00,80.30,76.20,76.50,-4.00,909,76827858
109/09/29,633340,77.50,78.10,76.60,76.60,+0.10,540,48970280
109/09/30,709030,77.00,77.00,74.70,74.70,-1.90,619,53417146
109/10/05,437442,74.50,75.00,73.00,74.90,+0.20,400,32424078
109/10/06,1519658,76.00,82.30,75.30,82.30,+7.40,1236,121637250
109/10/07,1921290,83.40,84.90,82.30,82.90,+0.60,1568,160369520
109/10/08,923465,83.20,83.90,78.70,79.00,-3.90,822,74397900
109/10/12,465260,80.00,80.00,76.70,76.70,-2.30,450,36114132
109/10/13,274150,77.50,77.70,76.00,77.10,+0.40,264,21168461
109/10/14,581795,78.00,81.40,77.60,79.30,+2.20,556,46349415
109/10/15,246428,79.30,79.50,77.60,77.90,-1.40,234,19248484
109/10/16,261811,77.60,78.10,76.10,76.20,-1.70,252,20197681
109/10/19,114307,77.00,77.20,76.30,76.30,+0.10,115,8757912
109/10/20,164723,76.10,76.10,75.50,75.50,-0.80,166,12468124
109/10/21,237788,75.90,77.60,75.90,76.60,+1.10,225,18299255
109/10/22,151537,76.60,76.60,75.60,75.80,-0.80,148,11501512
109/10/23,652549,76.00,79.60,76.00,77.40,+1.60,569,51011448
109/10/26,251166,77.80,79.50,76.80,77.20,-0.20,248,19646156
109/10/27,130571,76.70,77.40,76.30,76.60,-0.60,142,10036578
109/10/28,164968,76.70,77.30,76.10,76.10,-0.50,160,12654364
109/10/29,288007,75.10,75.60,74.30,75.10,-1.00,250,21564320
109/10/30,123392,75.60,76.00,74.70,74.70,-0.40,129,9257916
109/11/02,191640,75.00,75.00,73.70,73.90,-0.80,170,14200873
109/11/03,166552,74.70,74.80,74.00,74.10,+0.20,137,12348901
109/11/04,85432,74.90,74.90,74.10,74.20,+0.10,82,6349584
109/11/05,97276,74.70,74.90,74.10,74.40,+0.20,100,7244753
109/11/06,116621,74.50,74.90,74.10,74.30,-0.10,111,8672352
109/11/09,228405,75.00,76.30,75.00,76.00,+1.70,217,17259398
109/11/10,765288,76.80,79.60,76.80,77.40,+1.40,706,60015239
109/11/11,312453,78.10,79.10,77.20,77.50,+0.10,297,24355419
109/11/12,313475,77.70,77.70,75.40,75.40,-2.10,301,23878047
109/11/13,124643,76.00,76.20,75.60,76.10,+0.70,121,9465493
109/11/16,151955,76.70,77.10,75.90,76.20,+0.10,138,11632167
109/11/17,314810,77.80,78.50,76.90,77.20,+1.00,271,24406406
109/11/18,487855,77.60,79.30,77.20,78.10,+0.90,429,38243149
109/11/19,202253,78.20,78.40,76.90,77.10,-1.00,199,15693578
109/11/20,181156,77.50,77.80,76.50,76.70,-0.40,170,13930392
109/11/23,172165,77.10,77.70,76.60,77.20,+0.50,150,13277254
109/11/24,133154,77.60,78.00,76.90,76.90,-0.30,133,10281269
