滿心,	2916
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,8000,17.80,17.90,17.80,17.90,+0.10,3,142700
104/01/06,12000,17.90,17.90,17.80,17.80,-0.10,5,214000
104/01/07,7200,17.90,17.90,17.90,17.90,+0.10,4,128860
104/01/08,12000,17.90,18.10,17.90,18.10,+0.20,7,215800
104/01/09,14000,18.00,18.00,17.90,17.90,-0.20,5,250800
104/01/12,18126,17.85,17.95,17.85,17.95,+0.05,9,324967
104/01/13,27383,17.90,18.00,17.90,17.95,0.00,10,491573
104/01/14,11000,18.00,18.00,17.90,17.90,-0.05,3,197100
104/01/15,23290,18.00,18.00,17.90,17.90,0.00,5,417462
104/01/16,31000,17.90,17.95,17.90,17.90,0.00,6,554950
104/01/19,12000,17.95,17.95,17.90,17.90,0.00,2,215300
104/01/20,22500,17.95,17.95,17.90,17.90,0.00,6,403250
104/01/21,4100,18.00,18.00,18.00,18.00,+0.10,5,73815
104/01/22,4045,18.10,18.10,17.95,17.95,-0.05,4,72848
104/01/23,2000,17.95,17.95,17.95,17.95,0.00,2,35900
104/01/26,0,---,---,---,---,---,0,0
104/01/27,22000,17.90,17.90,17.90,17.90,-0.05,6,393800
104/01/28,9000,17.85,18.00,17.85,18.00,+0.10,4,161150
104/01/29,2000,17.90,17.90,17.90,17.90,-0.10,2,35800
104/01/30,6000,18.00,18.00,17.85,17.85,-0.05,5,107250
104/02/02,7650,17.90,17.90,17.90,17.90,+0.05,4,137260
104/02/03,12000,17.85,18.50,17.85,18.50,+0.60,9,218650
104/02/04,25167,18.10,18.30,18.00,18.00,-0.50,11,455081
104/02/05,17000,17.95,18.20,17.90,18.20,+0.20,8,307500
104/02/06,2000,18.00,18.15,18.00,18.15,-0.05,2,36150
104/02/09,6000,18.00,18.00,17.95,18.00,-0.15,4,107900
104/02/10,7060,18.00,18.00,17.90,17.90,-0.10,3,126568
104/02/11,1000,17.95,17.95,17.95,17.95,+0.05,1,17950
104/02/12,12000,17.90,17.90,17.90,17.90,-0.05,6,214800
104/02/13,6099,17.90,18.00,17.90,18.00,+0.10,3,109242
104/02/24,15000,18.00,18.10,18.00,18.00,0.00,4,270100
104/02/25,18000,18.00,18.00,18.00,18.00,0.00,7,324000
104/02/26,9000,18.00,18.00,17.95,17.95,-0.05,3,161600
104/03/02,66550,17.95,18.10,17.95,18.00,+0.05,20,1198130
104/03/03,60486,18.00,18.20,18.00,18.00,0.00,17,1089753
104/03/04,33000,18.00,18.05,18.00,18.05,+0.05,13,594750
104/03/05,27055,18.05,18.05,18.00,18.00,-0.05,10,487784
104/03/06,52000,18.00,18.00,18.00,18.00,0.00,14,936000
104/03/09,69000,18.00,18.80,18.00,18.30,+0.30,25,1250950
104/03/10,26034,18.30,18.30,18.00,18.05,-0.25,17,469618
104/03/11,9060,18.10,18.35,18.10,18.35,+0.30,9,165330
104/03/12,22033,18.30,18.35,18.10,18.20,-0.15,18,401794
104/03/13,16000,18.80,18.80,18.10,18.10,-0.10,12,293200
104/03/16,10000,18.15,18.20,18.10,18.10,0.00,6,181250
104/03/17,4005,18.20,18.20,18.15,18.15,+0.05,5,72790
104/03/18,62568,18.50,18.55,18.40,18.50,+0.35,36,1155708
104/03/19,22025,18.50,18.50,18.35,18.40,-0.10,16,406063
