普格,	3073
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,76631,13.70,14.40,13.70,14.40,+0.85,39,1068235
104/01/06,34414,14.80,14.80,13.80,14.25,-0.15,23,485870
104/01/07,39304,14.00,14.25,13.80,14.25,0.00,21,548886
104/01/08,13000,14.05,14.05,13.85,13.85,-0.40,9,181250
104/01/09,17000,14.20,14.20,13.80,14.10,+0.25,11,240350
104/01/12,9002,14.50,14.50,13.80,14.05,-0.05,8,126878
104/01/13,4279,13.90,13.90,13.80,13.80,-0.25,8,59020
104/01/14,9000,14.15,14.15,13.80,13.90,+0.10,6,125250
104/01/15,14281,13.85,13.85,13.35,13.55,-0.35,13,193693
104/01/16,46001,13.95,13.95,12.65,13.35,-0.20,26,601263
104/01/19,49241,12.90,13.20,12.45,12.95,-0.40,24,618907
104/01/20,16002,12.35,12.70,12.35,12.70,-0.25,15,201174
104/01/21,6011,12.70,12.70,12.50,12.50,-0.20,15,75582
104/01/22,26140,12.60,12.60,12.35,12.50,0.00,11,327236
104/01/23,42092,12.50,12.50,12.20,12.45,-0.05,33,521499
104/01/26,10798,12.60,12.60,12.35,12.35,-0.10,5,133725
104/01/27,3242,12.35,12.35,12.35,12.35,0.00,8,40025
104/01/28,3414,12.30,12.35,12.30,12.35,0.00,6,42091
104/01/29,54859,12.30,12.55,12.30,12.40,+0.05,21,679265
104/01/30,20445,12.40,12.65,12.40,12.40,0.00,21,254222
104/02/02,3000,12.00,12.50,12.00,12.50,+0.10,2,37000
104/02/03,4001,12.45,12.45,12.00,12.35,-0.15,5,48912
104/02/04,14414,12.00,12.35,12.00,12.30,-0.05,15,175900
104/02/05,7828,11.90,12.30,11.90,12.30,0.00,8,95751
104/02/06,9011,12.00,12.35,12.00,12.00,-0.30,12,108782
104/02/09,7001,12.35,12.35,12.20,12.20,+0.20,7,86012
104/02/10,28003,11.80,12.05,11.70,12.00,-0.20,21,332186
104/02/11,4042,12.25,12.25,12.00,12.00,0.00,45,48854
104/02/12,10024,12.05,12.05,11.75,11.75,-0.25,14,118027
104/02/13,4414,12.00,12.05,11.90,12.05,+0.30,5,52968
104/02/24,3081,11.80,12.20,11.80,12.20,+0.15,4,36780
104/02/25,51007,12.00,12.15,11.60,11.60,-0.60,31,597627
104/02/26,10000,11.60,12.00,11.60,11.60,0.00,10,118400
104/03/02,12001,11.95,11.95,11.65,11.90,+0.30,11,141512
104/03/03,13039,11.70,11.85,11.65,11.85,-0.05,14,153407
104/03/04,70404,11.75,12.45,11.65,12.20,+0.35,24,840487
104/03/05,15003,11.85,12.15,11.85,12.05,-0.15,10,178986
104/03/06,3554,11.60,12.00,11.60,12.00,-0.05,10,41788
104/03/09,5022,12.00,12.00,11.70,11.95,-0.05,8,59910
104/03/10,85000,12.25,12.75,12.25,12.75,+0.80,36,1074550
104/03/11,434107,13.50,13.60,13.15,13.60,+0.85,116,5887905
104/03/12,278414,13.40,13.70,12.65,12.80,-0.80,125,3616353
104/03/13,143039,12.45,13.60,12.45,13.40,+0.60,74,1881468
104/03/16,47195,13.40,13.40,12.55,13.00,-0.40,45,612352
104/03/17,15004,13.15,13.15,12.55,12.60,-0.40,15,190449
104/03/18,48004,12.20,12.85,12.20,12.30,-0.30,29,591198
104/03/19,99015,12.50,12.80,11.85,12.00,-0.30,50,1223480
104/03/20,31004,12.10,12.20,12.00,12.10,+0.10,30,375248
104/03/23,69018,12.10,12.10,11.55,11.55,-0.55,54,803698
104/03/24,64079,11.55,12.15,11.55,12.00,+0.45,52,757048
104/03/25,22528,11.70,11.85,11.70,11.70,-0.30,51,264156
104/03/26,25504,11.95,11.95,11.50,11.70,0.00,24,297141
104/03/27,4015,11.80,11.80,11.60,11.65,-0.05,18,46815
104/03/30,4656,11.65,11.65,11.60,11.60,-0.05,27,54033
104/03/31,12113,11.60,11.95,11.50,11.50,-0.10,23,140444
104/04/01,7010,11.35,11.60,11.35,11.60,+0.10,16,80310
104/04/02,32835,11.55,11.55,11.20,11.45,-0.15,33,371665
104/04/07,24484,10.90,11.45,10.90,11.20,-0.25,28,273171
104/04/08,34414,11.05,11.05,10.80,10.80,-0.40,22,373677
104/04/09,12501,10.85,10.85,10.85,10.85,+0.05,12,135558
104/04/10,39070,10.80,10.95,10.60,10.80,-0.05,28,418196
104/04/13,33071,11.45,11.45,10.30,10.30,-0.50,29,351623
104/04/14,53004,10.65,10.65,10.10,10.15,-0.15,33,548090
104/04/15,12006,10.40,10.40,10.20,10.20,+0.05,11,124160
104/04/16,8140,10.20,10.30,10.20,10.25,+0.05,9,83277
104/04/17,13242,10.70,10.70,10.15,10.15,-0.10,16,135743
104/04/20,1005,10.40,10.40,10.40,10.40,+0.25,6,10450
104/04/21,55133,10.40,10.40,9.70,9.95,-0.45,24,540025
104/04/22,7000,10.15,10.15,9.85,9.85,-0.10,7,69420
104/04/23,8032,9.80,9.85,9.61,9.85,0.00,7,78817
104/04/24,13005,9.79,9.85,9.75,9.85,0.00,13,127565
104/04/27,11510,9.80,9.90,9.65,9.90,+0.05,13,112445
104/04/28,5388,9.62,9.89,9.62,9.65,-0.25,7,52382
104/04/29,214792,9.95,10.30,9.95,10.30,+0.65,59,2205877
104/04/30,97165,10.20,10.20,9.59,9.71,-0.59,53,951783
104/05/04,53075,9.49,9.80,9.48,9.50,-0.21,33,506810
104/05/05,23001,9.50,9.70,9.47,9.47,-0.03,12,218629
104/05/06,30041,9.47,9.65,9.47,9.49,+0.02,14,285725
104/05/07,52268,9.49,9.49,8.90,8.90,-0.59,39,469756
104/05/08,30191,8.90,9.13,8.83,8.92,+0.02,24,270321
104/05/11,27726,8.37,9.10,8.37,8.57,-0.35,21,245671
104/05/12,25002,8.70,8.98,8.58,8.60,+0.03,21,219576
104/05/13,2035,8.60,8.82,8.60,8.82,+0.22,4,17730
104/05/14,32001,9.43,9.43,9.43,9.43,+0.61,18,301769
104/05/15,45042,10.05,10.05,10.05,10.05,+0.62,26,452672
104/05/18,94013,10.45,10.45,9.60,9.95,-0.10,62,955808
104/05/19,19212,9.50,9.75,9.40,9.40,-0.55,35,181665
