穩懋,	3105
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,21773055,29.85,31.60,29.85,31.25,+1.65,7903,673067159
104/01/06,29439317,31.40,32.30,31.35,32.10,+0.85,10325,937184944
104/01/07,21602481,32.10,32.90,31.65,31.75,-0.35,8282,696774066
104/01/08,12670244,32.15,32.65,31.85,32.20,+0.45,4345,407734213
104/01/09,41243640,33.00,34.45,33.00,34.45,+2.25,12625,1405306027
104/01/12,26647516,34.70,35.30,34.40,34.60,+0.15,9841,930067743
104/01/13,16713680,34.60,35.15,34.20,34.95,+0.35,6233,580946800
104/01/14,15777174,34.95,35.30,33.90,33.90,-1.05,6123,539920698
104/01/15,13388684,33.90,34.25,33.05,34.00,+0.10,5162,449115835
104/01/16,14108053,33.80,33.95,32.60,32.60,-1.40,4945,468231978
104/01/19,7345242,32.70,33.35,32.60,32.70,+0.10,3522,241423976
104/01/20,12866865,33.10,34.20,33.10,33.90,+1.20,5042,434308839
104/01/21,10702951,34.00,34.20,33.10,33.10,-0.80,4349,357803772
104/01/22,11000260,32.80,33.40,32.75,32.90,-0.20,4335,362198680
104/01/23,19839936,32.90,33.40,32.10,32.30,-0.60,7107,643980820
104/01/26,13888092,32.70,33.40,32.65,33.40,+1.10,5080,459985566
104/01/27,18869850,33.90,34.40,33.45,33.45,+0.05,7126,637947478
104/01/28,9103300,33.45,33.80,33.10,33.80,+0.35,3235,305336045
104/01/29,9777550,34.00,34.25,33.55,33.55,-0.25,4192,330899480
104/01/30,9162300,33.80,34.10,33.30,33.30,-0.25,3711,308609305
104/02/02,7403250,33.30,34.00,33.15,33.55,+0.25,3036,249522125
104/02/03,45708459,34.00,35.85,33.90,35.85,+2.30,15416,1608226917
104/02/04,40056831,37.00,37.00,35.00,35.10,-0.75,15548,1439095296
104/02/05,20058996,35.10,35.70,34.85,35.10,0.00,6891,706761705
104/02/06,15446761,35.40,35.45,34.30,34.70,-0.40,6071,535925653
104/02/09,5945390,34.60,34.70,34.05,34.30,-0.40,2961,204412194
104/02/10,8402446,34.35,34.70,33.80,33.80,-0.50,3724,287454973
104/02/11,12796862,34.00,35.10,34.00,34.35,+0.55,5346,442459379
104/02/12,5831855,34.60,34.70,33.85,33.90,-0.45,2784,198810124
104/02/13,8006000,34.00,34.40,33.70,33.75,-0.15,3224,271636398
104/02/24,17395738,34.30,35.40,33.90,35.15,+1.40,6108,608984087
104/02/25,29387936,35.80,36.55,35.60,35.75,+0.60,10328,1059588902
104/02/26,12479012,35.80,36.15,35.40,35.90,+0.15,4796,446948825
104/03/02,14465464,36.50,36.90,36.20,36.35,+0.45,4961,527618866
104/03/03,27970143,36.90,37.80,36.70,37.50,+1.15,10008,1042939210
104/03/04,16261297,37.50,37.80,37.05,37.60,+0.10,6610,608792533
104/03/05,24521216,37.80,38.90,37.10,38.15,+0.55,9288,931342113
104/03/06,40500786,39.40,40.20,38.60,39.00,+0.85,14249,1595493114
104/03/09,19320291,39.00,40.10,38.45,39.30,+0.30,7523,760149729
104/03/10,28576666,39.90,40.60,39.50,39.80,+0.50,9293,1144832949
104/03/11,24034256,39.50,41.00,39.10,41.00,+1.20,9101,962933796
104/03/12,45922301,40.90,40.90,38.15,38.20,-2.80,16444,1803328040
104/03/13,23034938,38.35,39.35,38.30,39.00,+0.80,8750,898734782
104/03/16,17406044,39.30,40.15,38.85,39.40,+0.40,7340,689349525
