精確,	3162
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,36004,8.55,8.55,8.13,8.55,+0.02,17,299842
104/01/06,9030,8.36,8.48,8.36,8.45,-0.10,12,75799
104/01/07,9005,8.30,8.47,8.30,8.46,+0.01,12,75320
104/01/08,53295,8.49,8.49,8.23,8.42,-0.04,37,443795
104/01/09,17371,8.30,8.43,8.30,8.43,+0.01,18,145422
104/01/12,27002,8.35,8.44,8.35,8.43,0.00,10,225716
104/01/13,4017,8.51,8.51,8.26,8.45,+0.02,21,33616
104/01/14,1010,8.44,8.44,8.44,8.44,-0.01,11,8520
104/01/15,12001,8.50,8.50,8.49,8.49,+0.05,7,101988
104/01/16,26401,8.32,8.49,8.32,8.49,0.00,20,219854
104/01/19,26019,8.30,8.47,8.00,8.38,-0.11,37,213392
104/01/20,26215,8.30,8.34,8.25,8.34,-0.04,20,216701
104/01/21,54012,8.50,8.50,8.23,8.37,+0.03,22,448026
104/01/22,19130,8.34,8.34,8.32,8.33,-0.04,11,159228
104/01/23,69042,8.33,8.39,8.22,8.34,+0.01,23,571428
104/01/26,122014,8.33,8.33,8.15,8.17,-0.17,44,1000252
104/01/27,189101,8.20,8.25,8.20,8.25,+0.08,47,1550974
104/01/28,169122,8.33,8.33,7.93,7.93,-0.32,69,1362543
104/01/29,24005,7.93,8.01,7.93,8.01,+0.08,16,191400
104/01/30,21008,8.01,8.05,8.00,8.05,+0.04,18,168314
104/02/02,6,---,---,---,---,---,6,48
104/02/03,49004,8.00,8.05,7.93,7.95,-0.09,18,389712
104/02/04,6951,7.95,7.99,7.95,7.99,+0.04,8,55249
104/02/05,9001,7.87,7.95,7.87,7.94,-0.05,8,70988
104/02/06,71006,8.07,8.09,7.87,7.90,-0.04,30,565032
104/02/09,9004,7.90,7.90,7.80,7.80,-0.10,9,70628
104/02/10,88079,7.75,7.92,7.73,7.92,+0.12,21,682079
104/02/11,48041,7.99,8.01,7.95,7.98,+0.06,52,383528
104/02/12,5005,8.00,8.00,7.99,7.99,+0.01,8,40030
104/02/13,32013,7.98,8.06,7.98,7.98,-0.01,15,255874
104/02/24,8798,7.94,8.04,7.94,8.04,+0.06,24,70054
104/02/25,6022,8.00,8.00,7.88,7.88,-0.16,17,47802
104/02/26,30173,8.00,8.08,8.00,8.08,+0.20,21,242574
104/03/02,3060,8.08,8.08,8.06,8.06,-0.02,41,24680
104/03/03,28204,8.00,8.00,7.88,7.91,-0.15,26,224875
104/03/04,5017,8.03,8.04,8.00,8.04,+0.13,18,40266
104/03/05,2025,8.03,8.03,8.00,8.00,-0.04,17,16230
104/03/06,12054,8.00,8.13,7.91,8.13,+0.13,33,96409
104/03/09,573717,8.12,8.69,8.12,8.69,+0.56,211,4938379
104/03/10,215949,8.79,8.80,8.46,8.50,-0.19,126,1868052
104/03/11,104044,8.20,8.45,8.20,8.44,-0.06,66,866712
104/03/12,743529,8.44,9.03,8.36,8.80,+0.36,227,6603346
104/03/13,414635,8.80,9.12,8.80,9.09,+0.29,166,3723528
104/03/16,478141,9.10,9.40,9.00,9.06,-0.03,206,4385439
104/03/17,227938,9.06,9.30,9.02,9.12,+0.06,90,2070412
104/03/18,108111,9.06,9.08,9.00,9.05,-0.07,63,976669
104/03/19,239583,9.08,9.17,9.05,9.12,+0.07,108,2176467
104/03/20,80336,9.07,9.07,9.01,9.07,-0.05,72,727264
104/03/23,177023,9.05,9.07,8.93,9.00,-0.07,83,1591648
104/03/24,34032,9.06,9.08,9.00,9.00,0.00,47,307288
