公準,	3178
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/11/19,1082125,28.80,29.80,28.80,29.25,-0.40,554,31912675
107/11/20,268400,28.00,29.40,28.00,28.65,-0.60,200,7733630
107/11/21,226532,28.65,29.00,28.15,28.95,+0.30,147,6503171
107/11/22,153465,28.85,29.35,28.85,28.95,0.00,109,4453785
107/11/23,90000,28.30,28.85,28.30,28.65,-0.30,64,2581600
107/11/26,79000,28.65,28.70,28.45,28.50,-0.15,58,2255900
107/11/27,85387,28.70,28.70,28.30,28.65,+0.15,57,2433947
107/11/28,149074,28.70,28.90,28.65,28.80,+0.15,109,4292688
107/11/29,157741,28.85,28.85,28.40,28.50,-0.30,110,4519269
107/11/30,976000,28.50,31.35,28.45,31.35,+2.85,505,30074500
107/12/03,818106,31.00,31.55,30.35,30.65,-0.70,561,25242257
107/12/04,278000,30.45,31.50,30.35,31.15,+0.50,202,8605750
107/12/05,115000,31.10,31.10,30.40,30.65,-0.50,85,3531800
107/12/06,240030,30.45,30.60,28.70,28.95,-1.70,147,7038600
107/12/07,108488,28.95,29.30,28.90,28.95,0.00,84,3147476
107/12/10,552000,28.95,31.80,28.90,31.80,+2.85,318,17235850
107/12/11,585000,33.80,34.30,31.05,31.60,-0.20,343,19276750
107/12/12,174000,30.60,31.15,30.30,31.05,-0.55,138,5353200
107/12/13,156000,31.05,31.40,30.85,31.10,+0.05,111,4843400
107/12/14,165000,31.00,32.00,31.00,31.20,+0.10,128,5194450
107/12/17,214000,31.20,31.70,30.10,30.20,-1.00,106,6619950
107/12/18,67000,29.75,30.40,29.70,30.10,-0.10,47,2020500
107/12/19,77000,30.10,30.55,29.85,30.05,-0.05,55,2319150
107/12/20,85000,30.05,30.05,29.30,29.50,-0.55,62,2519800
107/12/21,99000,29.10,30.30,28.80,30.00,+0.50,73,2910250
107/12/22,23000,29.45,30.00,29.45,29.75,-0.25,20,684000
107/12/24,222000,29.80,32.60,29.80,31.20,+1.45,157,6962550
107/12/25,71170,30.20,31.80,30.20,30.65,-0.55,67,2199960
107/12/26,38000,30.70,30.80,29.70,29.70,-0.95,37,1148400
107/12/27,119000,30.20,30.30,29.25,29.80,+0.10,82,3540400
107/12/28,39000,29.85,30.00,29.85,29.85,+0.05,32,1167050
108/01/02,39000,29.80,29.80,29.30,29.40,-0.45,28,1152950
108/01/03,65000,29.30,29.35,28.80,28.80,-0.60,53,1887800
108/01/04,67000,28.70,30.90,28.40,29.15,+0.35,45,1972850
108/01/07,80000,29.25,29.50,29.00,29.15,0.00,59,2335850
108/01/08,37000,29.15,29.20,28.90,29.00,-0.15,31,1074000
108/01/09,34000,29.10,29.30,28.95,29.05,+0.05,25,988900
108/01/10,64100,29.35,29.40,28.60,29.05,0.00,52,1857760
108/01/11,98000,29.00,29.00,28.45,28.45,-0.60,80,2803600
108/01/14,50000,29.00,29.00,28.45,28.65,+0.20,40,1433050
108/01/15,49593,28.40,28.65,28.40,28.45,-0.20,35,1412150
108/01/16,76000,28.45,28.65,28.20,28.60,+0.15,56,2163400
108/01/17,64000,28.60,29.00,28.60,28.65,+0.05,43,1841350
108/01/18,135000,29.00,29.80,28.75,29.50,+0.85,108,3970000
108/01/21,76000,29.50,29.90,28.90,29.00,-0.50,54,2226350
108/01/22,76000,29.00,29.00,28.50,28.75,-0.25,48,2184000
108/01/23,23000,28.70,28.90,28.55,28.80,+0.05,20,661000
108/01/28,34000,29.10,29.15,28.80,28.90,+0.10,27,984300
108/01/29,43400,29.00,29.40,29.00,29.05,+0.15,33,1264520
108/01/30,105200,29.15,29.80,29.05,29.15,+0.10,72,3096150
108/02/11,482095,29.20,31.90,29.00,31.00,+1.85,266,14895049
108/02/12,254200,30.60,30.60,29.55,30.00,-1.00,178,7665389
108/02/13,76000,29.95,30.10,29.80,30.00,0.00,56,2276700
108/02/14,88000,30.00,30.00,29.60,29.65,-0.35,56,2616600
108/02/15,93000,29.50,29.70,29.30,29.30,-0.35,48,2744250
108/02/18,75000,29.50,29.80,29.35,29.80,+0.50,52,2216050
108/02/19,100000,29.80,30.20,29.80,29.90,+0.10,57,2993550
108/02/20,105000,29.85,29.90,29.60,29.90,0.00,62,3123450
108/02/21,78000,29.90,29.90,29.50,29.65,-0.25,54,2311850
108/02/22,191000,29.70,30.50,29.70,30.20,+0.55,127,5753350
108/02/25,113000,30.50,30.55,30.10,30.20,0.00,82,3425950
108/02/26,98391,30.25,30.40,29.75,29.90,-0.30,70,2948622
108/02/27,118100,29.80,29.80,29.30,29.30,-0.60,81,3480205
108/03/04,119084,29.35,29.35,29.00,29.30,0.00,70,3472486
108/03/05,84030,29.30,29.80,29.30,29.50,+0.20,49,2479588
108/03/06,76000,29.50,30.05,29.50,30.00,+0.50,47,2259200
108/03/07,108000,30.00,30.00,29.30,29.60,-0.40,72,3209350
108/03/08,50000,29.50,29.80,29.30,29.50,-0.10,26,1471750
108/03/11,68000,29.50,29.60,29.35,29.35,-0.15,44,2001850
108/03/12,117000,29.50,29.80,29.20,29.40,+0.05,70,3443650
108/03/13,90170,29.40,29.40,29.10,29.20,-0.20,51,2635699
108/03/14,107000,29.20,29.30,29.10,29.15,-0.05,53,3123900
108/03/15,64000,29.15,29.40,29.10,29.20,+0.05,40,1869850
108/03/18,80000,29.20,29.50,29.20,29.45,+0.25,51,2348850
108/03/19,263000,29.60,30.40,29.45,30.20,+0.75,188,7907750
108/03/20,142000,30.60,30.60,30.05,30.10,-0.10,89,4298700
108/03/21,428462,30.45,31.50,30.40,31.05,+0.95,262,13246032
108/03/22,1435050,31.25,34.15,31.25,34.15,+3.10,747,47741457
108/03/25,1091395,33.50,34.70,32.15,34.10,-0.05,799,36635318
108/03/26,475050,34.40,35.30,33.10,33.80,-0.30,368,16142040
108/03/27,218200,33.50,33.80,33.50,33.60,-0.20,141,7344480
108/03/28,331000,33.20,33.20,32.05,32.20,-1.40,227,10733500
108/03/29,160250,32.20,32.85,31.90,32.40,+0.20,118,5197299
108/04/01,150000,32.30,32.40,31.90,32.25,-0.15,89,4819000
108/04/02,88000,32.05,32.90,32.00,32.30,+0.05,68,2849150
108/04/03,78292,32.15,32.80,32.15,32.60,+0.30,60,2555631
108/04/08,65000,32.70,33.00,32.70,32.85,+0.25,50,2134300
108/04/09,164200,32.85,32.90,32.20,32.25,-0.60,99,5353750
108/04/10,66400,32.00,32.30,32.00,32.20,-0.05,50,2135600
108/04/11,131083,32.40,32.40,31.80,31.80,-0.40,99,4207005
108/04/12,109000,32.00,32.20,31.85,31.90,+0.10,68,3488900
108/04/15,99000,31.90,32.40,31.90,32.20,+0.30,68,3183100
108/04/16,106000,32.25,33.00,32.25,32.60,+0.40,82,3468850
108/04/17,93000,32.90,32.90,32.50,32.55,-0.05,67,3033300
108/04/18,90000,32.55,32.55,31.50,31.80,-0.75,55,2897700
108/04/19,116000,32.00,32.00,31.45,31.50,-0.30,78,3674400
108/04/22,42000,31.70,31.70,31.50,31.50,0.00,29,1326850
108/04/23,53000,31.60,31.60,31.10,31.50,0.00,32,1661750
108/04/24,42000,31.50,31.75,31.35,31.50,0.00,30,1323950
108/04/25,33000,31.50,31.85,31.50,31.50,0.00,26,1043900
108/04/26,61300,31.50,31.50,31.15,31.15,-0.35,41,1915545
108/04/29,55000,31.15,31.50,30.75,30.75,-0.40,35,1703600
108/04/30,67000,30.70,30.80,30.05,30.45,-0.30,44,2039400
108/05/02,50699,30.20,30.60,30.05,30.30,-0.15,32,1536849
108/05/03,18000,30.25,30.60,30.25,30.60,+0.30,14,546800
108/05/06,30010,30.25,30.70,30.10,30.15,-0.45,24,909499
108/05/07,33000,30.30,30.50,30.20,30.50,+0.35,21,998550
108/05/08,10451,30.10,30.30,30.10,30.20,-0.30,13,315406
108/05/09,82000,30.20,30.20,29.60,29.70,-0.50,49,2443900
108/05/10,63000,29.80,30.20,29.70,29.70,0.00,40,1880550
108/05/13,97000,29.75,29.75,29.00,29.10,-0.60,42,2844050
108/05/14,36000,28.40,29.30,28.30,29.10,0.00,29,1029250
108/05/15,136200,29.10,29.15,28.40,28.50,-0.60,72,3898350
108/05/16,58000,28.70,28.70,28.35,28.50,0.00,32,1654900
108/05/17,38082,28.60,28.60,28.50,28.50,0.00,27,1086803
108/05/20,30183,28.50,28.60,28.40,28.40,-0.10,19,859601
108/05/21,48100,28.40,28.50,28.35,28.45,+0.05,29,1367645
108/05/22,40292,28.45,28.50,28.35,28.35,-0.10,40,1145191
108/05/23,57000,28.30,28.50,28.00,28.50,+0.15,36,1608300
108/05/24,12000,28.50,28.60,28.40,28.50,0.00,8,342000
108/05/27,41000,28.50,28.75,28.25,28.75,+0.25,25,1169000
108/05/28,27000,29.00,29.00,28.70,28.75,0.00,20,780250
108/05/29,16000,29.40,29.40,28.80,28.80,+0.05,10,464400
108/05/30,11000,28.70,28.80,28.70,28.70,-0.10,8,316350
108/05/31,12000,28.80,29.20,28.80,29.20,+0.50,9,348200
108/06/03,6000,29.20,29.20,28.70,28.70,-0.50,5,173300
108/06/04,4000,28.70,28.70,28.70,28.70,0.00,4,114800
108/06/05,11500,28.75,28.80,28.75,28.80,+0.10,12,330824
108/06/06,5000,28.80,28.80,28.65,28.65,-0.15,4,143700
108/06/10,28000,28.50,29.00,28.50,29.00,+0.35,20,803800
108/06/11,33000,29.00,29.10,28.90,29.10,+0.10,19,956300
108/06/12,15000,29.20,29.20,29.00,29.00,-0.10,12,436750
108/06/13,20000,29.00,29.00,28.70,28.75,-0.25,17,576450
108/06/14,19000,28.75,29.00,28.75,29.00,+0.25,14,549800
108/06/17,18000,29.00,29.30,29.00,29.00,0.00,11,523400
108/06/18,7000,28.60,28.90,28.60,28.75,-0.25,6,201550
108/06/19,39000,28.75,28.90,28.60,28.90,+0.15,25,1117550
108/06/20,29000,29.00,29.10,28.60,29.00,+0.10,22,836000
108/06/21,48105,28.75,28.90,28.50,28.50,-0.50,31,1375442
108/06/24,32395,28.50,28.55,28.40,28.45,-0.05,26,922895
108/06/25,45000,28.40,28.70,28.35,28.40,-0.05,23,1281750
108/06/26,82000,28.40,28.50,28.00,28.05,-0.35,50,2302350
108/06/27,17001,28.20,28.45,28.20,28.35,+0.30,13,481528
108/06/28,31000,28.20,28.65,28.20,28.65,+0.30,24,885850
108/07/01,20000,28.65,28.90,28.65,28.80,+0.15,15,575100
108/07/02,22000,29.00,29.10,28.75,28.95,+0.15,18,635350
108/07/03,26000,28.95,28.95,28.55,28.90,-0.05,22,746750
108/07/04,25000,28.90,28.90,28.55,28.70,-0.20,20,715900
108/07/05,32033,28.60,29.00,28.60,29.00,+0.30,19,917783
108/07/08,150000,28.80,29.90,28.80,29.85,+0.85,97,4431000
108/07/09,90000,29.90,30.00,29.40,29.50,-0.35,53,2686950
108/07/10,29000,29.50,29.55,29.15,29.50,0.00,16,851250
108/07/11,141000,28.70,29.00,28.55,28.70,-0.80,90,4048900
108/07/12,65000,28.70,28.70,28.40,28.50,-0.20,45,1851300
108/07/15,47000,28.40,28.70,28.25,28.70,+0.20,36,1332350
108/07/16,26000,28.50,28.70,28.40,28.70,0.00,19,743000
108/07/17,11000,28.45,28.50,28.40,28.45,-0.25,11,313000
108/07/18,24000,28.45,28.45,28.20,28.35,-0.10,16,680250
108/07/19,66136,28.35,28.50,28.25,28.50,+0.15,17,1873398
108/07/22,19136,28.50,28.50,28.45,28.50,0.00,8,545380
108/07/23,19000,28.50,28.65,28.30,28.65,+0.15,9,540950
108/07/24,31083,28.40,28.60,28.40,28.50,-0.15,16,886331
108/07/25,36000,28.50,28.60,28.40,28.50,0.00,18,1026100
108/07/26,33000,28.50,28.80,28.50,28.75,+0.25,17,945500
108/07/29,48000,28.80,28.80,28.35,28.50,-0.25,29,1367900
108/07/30,54000,28.50,28.50,28.35,28.50,0.00,26,1536200
108/07/31,25000,28.50,28.60,28.50,28.55,+0.05,11,714850
108/08/01,16000,28.55,28.60,28.50,28.55,0.00,7,457250
108/08/02,19000,28.55,28.60,28.35,28.35,-0.20,15,540900
108/08/05,10000,28.30,28.55,28.25,28.25,-0.10,9,283050
108/08/06,34000,28.10,28.25,28.00,28.25,0.00,26,955000
108/08/07,19000,28.10,28.25,28.10,28.10,-0.15,14,534300
108/08/08,11000,28.10,28.60,28.10,28.60,+0.50,11,311100
108/08/12,12000,28.40,28.55,28.40,28.55,-0.05,9,342350
108/08/13,53200,28.35,28.50,28.20,28.50,-0.05,34,1510650
108/08/14,48000,27.80,27.80,27.00,27.20,,23,1316450
108/08/15,31000,26.60,26.60,26.50,26.50,-0.70,21,823500
108/08/16,3050,26.80,26.85,26.80,26.85,+0.35,4,81782
108/08/19,29050,26.80,26.80,26.25,26.25,-0.60,23,770995
108/08/20,25000,26.25,26.75,26.25,26.75,+0.50,22,662350
108/08/21,17000,26.45,26.65,26.45,26.65,-0.10,14,451050
108/08/22,19000,26.50,26.55,26.40,26.55,-0.10,12,503100
108/08/23,37000,26.55,26.70,26.30,26.70,+0.15,25,978100
108/08/26,33000,26.40,26.50,26.20,26.50,-0.20,20,871650
108/08/27,12000,26.25,26.45,26.25,26.45,-0.05,9,316150
108/08/28,15000,26.50,26.65,26.45,26.45,0.00,11,398700
108/08/29,55000,26.50,26.50,26.40,26.50,+0.05,23,1457200
108/08/30,84000,27.00,27.00,26.55,26.80,+0.30,25,2238000
108/09/02,22000,26.55,27.05,26.55,27.05,+0.25,18,591550
108/09/03,47000,27.05,27.50,27.05,27.25,+0.20,33,1282650
108/09/04,13000,27.45,27.50,26.95,27.50,+0.25,8,356300
108/09/05,23093,27.30,27.45,27.30,27.45,-0.05,17,632176
108/09/06,83000,27.10,27.45,27.00,27.45,0.00,30,2252600
108/09/09,35000,27.00,27.45,27.00,27.40,-0.05,26,955450
108/09/10,39000,27.50,27.60,27.50,27.50,+0.10,19,1074650
108/09/11,23000,27.50,27.70,27.40,27.60,+0.10,17,634500
108/09/12,22100,27.70,27.80,27.60,27.60,0.00,12,611295
108/09/16,15000,27.70,27.70,27.20,27.50,-0.10,11,410800
108/09/17,34000,27.50,27.65,27.50,27.65,+0.15,12,935450
108/09/18,56000,27.80,28.10,27.80,28.10,+0.45,31,1565350
108/09/19,50119,28.00,28.30,28.00,28.30,+0.20,29,1411693
108/09/20,307090,28.30,30.20,28.30,29.10,+0.80,182,9049005
108/09/23,42000,29.00,29.30,28.65,29.30,+0.20,28,1220950
108/09/24,95680,29.30,29.45,28.65,29.45,+0.15,51,2764356
108/09/25,40000,29.00,29.35,29.00,29.35,-0.10,28,1166600
108/09/26,33000,29.00,29.40,29.00,29.35,0.00,21,964300
108/09/27,28000,29.35,29.35,28.85,29.00,-0.35,17,816150
108/10/01,35000,29.00,29.00,28.60,28.90,-0.10,17,1007850
108/10/02,10000,28.45,28.70,28.40,28.70,-0.20,10,285150
108/10/03,33000,28.50,29.10,28.50,29.00,+0.30,18,950800
108/10/04,15300,28.80,28.95,28.50,28.95,-0.05,9,438840
108/10/07,42000,29.00,29.00,28.55,28.90,-0.05,20,1214450
108/10/08,31500,28.50,28.60,28.05,28.55,-0.35,24,893250
108/10/09,54001,28.05,28.55,28.05,28.55,0.00,16,1522128
108/10/14,6181,28.55,28.55,28.55,28.55,0.00,5,176549
108/10/15,62000,27.25,28.75,27.25,28.40,-0.15,16,1724250
108/10/16,42000,28.50,29.00,28.30,28.40,0.00,25,1205750
108/10/17,48000,28.60,28.85,28.20,28.20,-0.20,25,1372250
108/10/18,19000,28.10,28.50,28.10,28.30,+0.10,13,539600
108/10/21,14000,28.70,28.70,28.10,28.10,-0.20,8,397200
108/10/22,13000,28.10,28.40,28.10,28.10,0.00,8,367400
108/10/23,10000,28.35,28.35,28.05,28.20,+0.10,4,281700
108/10/24,30000,28.40,28.60,28.20,28.25,+0.05,21,851300
108/10/25,518001,28.25,31.00,28.15,29.85,+1.60,372,15419630
108/10/28,314146,30.70,31.50,30.40,30.45,+0.60,256,9717214
108/10/29,149050,30.60,30.90,29.40,29.80,-0.65,105,4463650
108/10/30,68637,29.70,30.30,29.60,29.90,+0.10,49,2050755
108/10/31,75112,30.60,30.60,29.40,29.40,-0.50,54,2239720
108/11/01,32000,29.80,29.80,29.10,29.10,-0.30,25,936750
108/11/04,38100,29.10,29.30,28.85,28.90,-0.20,31,1102655
108/11/05,29075,28.90,28.90,28.65,28.65,-0.25,24,836954
108/11/06,58000,28.60,28.60,27.60,28.15,-0.50,37,1630800
108/11/07,54000,28.10,28.10,27.95,27.95,-0.20,29,1513150
108/11/08,34000,28.15,28.25,28.00,28.10,+0.15,23,956500
108/11/11,64000,28.10,28.65,27.90,28.60,+0.50,46,1802800
108/11/12,16000,28.15,28.45,28.15,28.45,-0.15,14,450700
108/11/13,11000,28.25,28.25,28.00,28.15,-0.30,11,309050
108/11/14,9000,28.20,28.30,28.10,28.30,+0.15,9,253300
108/11/15,22000,28.35,28.60,28.10,28.35,+0.05,18,622150
108/11/18,27000,28.40,28.95,28.40,28.80,+0.45,21,774950
108/11/19,8000,28.80,28.80,28.70,28.70,-0.10,6,230200
108/11/20,26000,28.75,29.15,28.50,28.50,-0.20,19,746200
108/11/21,19000,29.05,29.05,28.95,28.95,+0.45,14,550300
108/11/22,8000,28.95,28.95,28.50,28.55,-0.40,6,228750
108/11/25,16000,28.55,28.55,28.25,28.30,-0.25,14,454000
108/11/26,45001,28.40,28.40,27.80,28.35,+0.05,31,1261278
108/11/27,31000,28.50,28.80,28.00,28.00,-0.35,23,874600
108/11/28,13000,28.00,28.40,27.80,28.35,+0.35,13,366600
108/11/29,9000,28.35,28.35,28.20,28.30,-0.05,9,254200
108/12/02,9000,28.00,28.00,27.95,28.00,-0.30,9,251900
108/12/03,24000,28.00,28.15,28.00,28.15,+0.15,14,672750
108/12/04,15136,28.00,28.10,28.00,28.00,-0.15,12,423866
108/12/05,26000,28.35,28.35,28.00,28.20,+0.20,15,729700
108/12/06,7000,28.20,28.20,28.10,28.20,0.00,7,197050
108/12/09,16000,28.20,28.35,28.20,28.35,+0.15,12,452300
108/12/10,13000,28.20,28.20,28.20,28.20,-0.15,6,366600
108/12/11,27451,28.20,28.40,28.00,28.35,+0.15,20,773223
108/12/12,19000,28.35,28.55,28.10,28.30,-0.05,16,536850
108/12/13,47298,28.30,29.80,28.30,28.55,+0.25,36,1369982
108/12/16,16000,28.90,29.00,28.50,28.90,+0.35,13,459900
108/12/17,16000,28.65,28.85,28.60,28.80,-0.10,13,459050
108/12/18,30000,28.60,29.00,28.60,28.80,0.00,21,866750
108/12/19,70000,29.00,29.75,29.00,29.55,+0.75,49,2054500
108/12/20,554050,30.00,32.50,30.00,32.50,+2.95,302,17800025
108/12/23,1673294,33.50,35.40,32.80,32.80,+0.30,1138,56874824
108/12/24,333002,32.20,32.70,31.55,32.50,-0.30,250,10692867
108/12/25,1697000,33.30,35.75,33.05,35.75,+3.25,972,59835000
108/12/26,3431250,37.35,39.30,37.00,39.30,+3.55,2195,132187825
108/12/27,1857292,39.30,39.50,38.20,39.10,-0.20,1229,72091583
108/12/30,2217099,38.60,41.60,38.50,39.40,+0.30,1654,89379560
108/12/31,754098,39.15,39.60,38.50,39.30,-0.10,523,29323085
109/01/02,698143,39.30,40.90,39.10,39.50,+0.20,518,27797305
109/01/03,845277,39.15,39.60,36.35,36.35,-3.15,612,31819954
109/01/06,398000,37.00,37.80,36.05,36.20,-0.15,306,14645700
109/01/07,216000,36.60,37.00,36.10,36.15,-0.05,165,7871400
109/01/08,2789307,37.10,39.75,37.10,39.75,+3.60,1356,109396453
109/01/09,4880090,42.30,43.70,41.50,43.70,+3.95,2775,210459483
109/01/10,2354311,44.20,44.35,41.60,42.15,-1.55,1668,100409690
109/01/13,1436904,42.75,44.00,40.50,43.30,+1.15,1057,60664211
109/01/14,4444451,44.80,47.60,44.50,47.60,+4.30,2506,208087917
109/01/15,3937308,48.20,49.00,46.45,47.05,-0.55,2721,187366792
109/01/16,6961560,46.95,51.70,46.60,46.60,-0.45,4819,345477494
109/01/17,4045736,46.60,49.75,46.60,48.10,+1.50,3064,195747048
109/01/20,2785278,48.60,50.40,48.45,48.65,+0.55,1917,137377726
109/01/30,2223040,44.80,49.95,44.80,46.50,-2.15,1704,105804830
109/01/31,3936530,48.00,51.10,47.30,50.00,+3.50,2895,194668150
109/02/03,6367100,50.00,54.30,49.15,52.00,+2.00,4457,330576500
109/02/04,2878915,53.00,53.60,51.00,52.60,+0.60,2067,150320929
109/02/05,2082730,54.00,54.00,49.25,49.25,-3.35,1514,107753688
109/02/06,1608530,50.80,50.80,48.85,49.35,+0.10,1236,80166220
109/02/07,2052200,49.05,51.50,47.45,47.70,-1.65,1558,101998487
109/02/10,1417350,46.50,47.50,45.60,46.00,-1.70,1026,65990050
109/02/11,1185055,46.85,47.20,44.80,45.65,-0.35,918,54303790
109/02/12,739100,46.00,46.90,45.60,46.00,+0.35,577,34111714
109/02/13,1770289,46.20,46.55,42.10,42.65,-3.35,1303,77779631
109/02/14,2853458,43.05,46.60,42.50,45.50,+2.85,2195,128789389
109/02/17,1234100,45.00,46.50,43.90,44.20,-1.30,972,55610070
109/02/18,687425,44.30,44.50,43.05,43.10,-1.10,534,30021317
109/02/19,659307,43.20,44.65,43.20,43.55,+0.45,520,28973068
109/02/20,300100,44.35,44.40,43.60,43.80,+0.25,229,13171530
