志豐,	3206
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,431500,25.20,25.30,24.65,24.90,-0.10,250,10718849
104/01/06,1996053,24.90,26.60,24.90,26.60,+1.70,865,52667957
104/01/07,4048510,27.15,28.15,26.60,27.20,+0.60,2067,110831219
104/01/08,1095250,27.40,27.50,26.20,26.55,-0.65,550,29421999
104/01/09,914878,26.80,27.40,26.40,26.40,-0.15,462,24579403
104/01/12,638832,26.40,26.60,25.75,26.30,-0.10,334,16712830
104/01/13,3302809,26.60,28.10,26.60,28.10,+1.80,1142,92310980
104/01/14,1906954,28.30,28.40,27.25,27.40,-0.70,901,52890895
104/01/15,851407,27.50,27.85,27.20,27.45,+0.05,383,23434909
104/01/16,1406900,27.65,28.30,26.80,26.80,-0.65,726,39016994
104/01/19,673422,27.40,27.45,26.15,26.25,-0.55,371,17894014
104/01/20,583020,26.60,27.05,26.50,26.55,+0.30,325,15601279
104/01/21,1398355,26.90,28.30,26.80,27.10,+0.55,789,38610165
104/01/22,581156,27.15,27.85,27.15,27.30,+0.20,353,15943233
104/01/23,571541,27.60,27.60,26.70,26.95,-0.35,299,15412628
104/01/26,288033,27.25,27.25,26.60,26.85,-0.10,176,7700079
104/01/27,297228,27.05,27.15,26.65,26.85,0.00,165,7991936
104/01/28,616171,26.85,27.80,26.55,27.70,+0.85,341,16735461
104/01/29,640000,28.00,28.05,27.10,27.10,-0.60,331,17645400
104/01/30,664160,27.50,27.50,26.00,26.20,-0.90,311,17659217
104/02/02,447096,25.75,26.10,25.50,25.60,-0.60,232,11506507
104/02/03,212113,25.65,26.20,25.65,25.75,+0.15,130,5486441
104/02/04,203000,25.90,26.20,25.65,25.65,-0.10,109,5238950
104/02/05,107244,25.80,26.00,25.40,25.60,-0.05,80,2755421
104/02/06,752001,26.30,27.00,26.00,26.25,+0.65,455,19974226
104/02/09,338097,26.50,26.90,25.85,25.90,-0.35,190,8932701
104/02/10,143262,26.30,26.30,25.55,25.70,-0.20,93,3700295
104/02/11,124480,25.70,26.00,25.70,25.70,0.00,86,3215440
104/02/12,71000,25.60,25.80,25.60,25.75,+0.05,48,1823550
104/02/13,108299,25.85,25.95,25.55,25.75,0.00,70,2788154
