耀勝,	3207
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,17387,15.90,15.90,15.55,15.60,-0.20,18,272846
104/01/06,35000,15.50,15.60,15.35,15.45,-0.15,30,540900
104/01/07,8002,15.70,16.00,15.70,16.00,+0.55,9,126780
104/01/08,96002,15.80,15.80,15.50,15.55,-0.45,55,1502680
104/01/09,53222,15.55,15.65,15.45,15.45,-0.10,33,826516
104/01/12,29200,15.75,15.75,15.30,15.35,-0.10,23,449959
104/01/13,45009,15.30,15.40,15.20,15.30,-0.05,38,687985
104/01/14,42750,15.20,15.40,15.20,15.40,+0.10,34,652022
104/01/15,39003,15.30,15.30,15.10,15.20,-0.20,29,591995
104/01/16,69506,15.20,15.65,15.20,15.25,+0.05,43,1070740
104/01/19,136014,15.30,15.60,15.05,15.15,-0.10,50,2093860
104/01/20,132150,15.15,15.30,15.00,15.30,+0.15,44,1997979
104/01/21,158016,15.30,15.35,15.00,15.35,+0.05,70,2399390
104/01/22,38013,15.40,15.50,15.20,15.30,-0.05,28,584098
104/01/23,172004,15.10,15.45,15.10,15.40,+0.10,53,2624760
104/01/26,143026,15.45,15.75,15.40,15.60,+0.20,42,2220050
104/01/27,38016,15.70,15.70,15.45,15.45,-0.15,29,591144
104/01/28,423091,15.45,16.15,15.35,16.15,+0.70,167,6707927
104/01/29,90008,16.20,16.20,15.80,15.85,-0.30,55,1433628
104/01/30,73016,15.85,15.85,15.70,15.70,-0.15,32,1146998
104/02/02,23019,15.60,15.60,15.30,15.30,-0.40,25,354685
104/02/03,26764,15.50,15.50,15.20,15.20,-0.10,31,408872
104/02/04,56071,15.50,15.60,15.20,15.20,0.00,32,865371
104/02/05,92670,15.30,15.45,15.10,15.45,+0.25,47,1415048
104/02/06,117012,15.65,15.65,15.30,15.45,0.00,29,1813432
104/02/09,21208,15.20,15.40,15.20,15.40,-0.05,19,324479
104/02/10,133213,15.60,15.75,15.35,15.55,+0.15,38,2064446
104/02/11,225300,15.50,15.50,15.35,15.50,-0.05,62,3489665
104/02/12,147004,15.75,15.75,15.40,15.50,0.00,19,2286360
104/02/13,241006,15.65,15.70,15.10,15.50,0.00,77,3711240
104/02/24,15017,15.65,15.65,15.45,15.50,0.00,27,232855
104/02/25,121157,15.75,15.75,15.30,15.45,-0.05,39,1881114
104/02/26,23854,15.40,15.60,15.40,15.50,+0.05,23,369247
104/03/02,291113,15.70,15.70,15.40,15.45,-0.05,61,4506679
104/03/03,31010,15.50,15.55,15.30,15.30,-0.15,27,478300
104/03/04,88191,15.35,15.50,15.30,15.50,+0.20,51,1360836
104/03/05,1182042,15.40,16.55,15.40,16.30,+0.80,271,19041974
104/03/06,225068,16.45,16.75,16.30,16.30,0.00,132,3696849
104/03/09,228272,16.20,16.20,15.55,15.60,-0.70,141,3610472
104/03/10,299026,15.60,15.85,15.50,15.75,+0.15,74,4697146
104/03/11,60041,15.60,15.60,15.50,15.50,-0.25,44,932920
104/03/12,217024,15.55,15.55,15.40,15.40,-0.10,54,3363612
