原相,	3227
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,6077506,67.90,72.30,67.80,72.30,+4.70,4054,429192473
104/01/06,9721663,72.00,75.70,71.20,74.50,+2.20,6287,718595514
104/01/07,5681734,75.60,76.50,74.80,75.00,+0.50,3693,429207750
104/01/08,7455107,76.00,78.90,76.00,77.90,+2.90,4010,576852190
104/01/09,16808503,78.70,83.30,78.50,82.40,+4.50,8537,1369441573
104/01/12,10151780,82.40,86.40,81.60,85.00,+2.60,5867,856935046
104/01/13,5273200,85.80,85.80,84.20,85.00,0.00,3140,447710200
104/01/14,13627965,85.00,90.90,84.50,90.00,+5.00,7858,1207737023
104/01/15,7496118,91.00,92.00,89.30,89.30,-0.70,4809,677333455
104/01/16,8215132,90.00,90.20,85.40,85.50,-3.80,4954,717790287
104/01/19,7751565,87.50,90.50,86.50,88.40,+2.90,4994,688415529
104/01/20,4314259,89.40,89.50,87.30,88.90,+0.50,2842,381941016
104/01/21,4451979,88.90,89.70,86.80,87.30,-1.60,2683,391625964
104/01/22,10711857,87.50,91.70,87.40,89.40,+2.10,6474,966632899
104/01/23,6640527,90.80,91.70,89.00,89.00,-0.40,4311,599844803
104/01/26,5785378,88.70,88.70,86.50,87.20,-1.80,3553,505767756
104/01/27,15085188,87.80,93.30,87.60,93.30,+6.10,8394,1370337875
104/01/28,8009531,93.30,93.40,91.90,92.30,-1.00,4883,741888843
104/01/29,6364794,92.10,92.30,89.00,91.50,-0.80,3965,577269048
104/01/30,19623048,92.70,96.50,89.20,89.40,-2.10,12288,1828100181
104/02/02,8318356,89.00,91.50,88.30,90.00,+0.60,5050,751011440
104/02/03,5070778,91.20,91.80,89.60,90.60,+0.60,3207,460235903
104/02/04,5209519,92.00,92.50,90.00,90.00,-0.60,3186,474876910
104/02/05,2450456,90.00,90.60,89.40,90.60,+0.60,1623,220952307
104/02/06,8866423,91.10,91.60,86.10,87.70,-2.90,5556,781831824
104/02/09,8261132,87.70,88.00,83.20,84.50,-3.20,5820,703803597
104/02/10,5151931,84.50,86.70,84.10,84.80,+0.30,3729,441287645
104/02/11,9904815,88.00,89.10,86.40,89.00,+4.20,5817,872102735
104/02/12,4476438,89.80,89.80,87.30,88.60,-0.40,2620,396029097
104/02/13,8622384,88.60,92.00,88.60,90.00,+1.40,5259,780761860
104/02/24,7255256,92.00,93.50,91.60,92.90,+2.90,4968,672536138
104/02/25,3999147,93.00,93.00,91.10,92.40,-0.50,2483,367687424
104/02/26,4048531,92.40,93.60,91.20,91.30,-1.10,2550,372989617
104/03/02,15144724,91.70,97.60,91.70,97.60,+6.30,8551,1448184041
104/03/03,14462792,99.80,103.00,99.10,101.50,+3.90,7827,1459033092
104/03/04,12685431,101.50,108.50,100.00,108.00,+6.50,7636,1327907548
104/03/05,8069836,108.00,109.00,105.00,105.00,-3.00,5150,858381280
104/03/06,14410843,105.00,112.00,104.00,112.00,+7.00,7518,1581801416
104/03/09,9481182,114.50,119.50,114.50,119.50,+7.50,5258,1115995729
104/03/10,18577895,119.50,122.00,111.50,113.50,-6.00,10515,2163368154
104/03/11,13173817,112.00,117.50,110.50,113.00,-0.50,7182,1503247891
104/03/12,7702405,113.50,115.50,111.00,111.50,-1.50,4600,865989142
104/03/13,8373701,111.50,114.50,109.00,113.00,+1.50,4784,937556213
104/03/16,6666520,113.50,116.00,112.00,112.00,-1.00,3946,757936463
104/03/17,12686545,113.50,113.50,104.50,106.00,-6.00,6957,1366198270
104/03/18,8892100,106.50,108.50,104.50,108.00,+2.00,5391,948558300
104/03/19,6340541,109.00,110.50,106.50,107.00,-1.00,3712,687645887
104/03/20,8644152,107.50,111.50,107.00,107.00,0.00,5116,942807764
104/03/23,9758795,108.00,112.00,105.50,111.00,+4.00,5744,1062839526
104/03/24,7993007,112.00,112.50,107.00,108.00,-3.00,4513,879327256
104/03/25,12734454,107.00,108.00,100.50,100.50,-7.50,7089,1307201594
104/03/26,9251986,98.00,104.50,97.00,104.50,+4.00,5329,939131114
104/03/27,7556711,106.00,107.00,104.00,105.50,+1.00,3940,796661477
104/03/30,5059266,106.50,107.00,99.60,101.00,-4.50,2903,516243256
104/03/31,4784832,102.00,105.50,100.00,104.50,+3.50,3026,493480412
104/04/01,4628833,103.50,103.50,100.50,100.50,-4.00,2503,469956034
104/04/02,3027340,102.00,103.50,101.50,102.00,+1.50,1920,310333180
104/04/07,3748881,103.00,104.00,98.00,98.50,-3.50,2662,376470019
104/04/08,2800652,98.40,102.00,98.40,99.50,+1.00,1973,280940310
104/04/09,3429208,100.00,102.00,98.60,99.50,0.00,2156,343523788
104/04/10,7926904,101.00,105.00,100.50,102.50,+3.00,4848,818525647
104/04/13,4037138,104.00,104.00,99.80,100.50,-2.00,2520,407602934
104/04/14,3154182,100.00,101.50,99.20,99.70,-0.80,2030,315795382
104/04/15,3674643,99.70,102.50,99.50,99.50,-0.20,2303,371043372
104/04/16,3481363,100.00,102.00,99.10,99.90,+0.40,2135,349132300
104/04/17,6862307,100.00,100.50,94.50,95.10,-4.80,4143,660042646
104/04/20,4842228,94.10,95.60,92.40,93.70,-1.40,2878,455479045
104/04/21,3258609,94.50,95.50,91.90,91.90,-1.80,2052,305090037
104/04/22,2999034,93.40,94.10,91.10,93.60,+1.70,1949,278633076
104/04/23,9359664,96.00,100.00,95.20,100.00,+6.40,4841,927018700
104/04/24,7123565,100.50,102.50,99.20,99.20,-0.80,4210,717228342
104/04/27,3250201,99.30,100.50,98.00,98.20,-1.00,2048,321922034
104/04/28,7246284,98.20,103.50,98.20,101.50,+3.30,4198,735099421
104/04/29,3822002,101.00,101.50,98.40,98.60,-2.90,2225,378952594
104/04/30,5987944,98.60,99.60,92.90,94.10,-4.50,3960,571004806
104/05/04,2476774,94.30,96.50,94.30,94.40,+0.30,1757,235956958
104/05/05,2304467,94.40,94.90,91.80,92.70,-1.70,1665,213695934
104/05/06,2804225,91.70,95.80,91.70,94.80,+2.10,2085,265691923
104/05/07,2302072,94.80,96.00,92.50,92.50,-2.30,1614,215948696
104/05/08,2993534,93.70,93.70,90.00,90.30,-2.20,2117,273240894
104/05/11,4379297,91.10,92.30,85.10,85.20,-5.10,2809,380981697
104/05/12,4980115,85.20,91.00,84.30,90.00,+4.80,3374,434876150
104/05/13,3650013,86.00,88.30,85.20,87.50,-2.50,2691,317570355
104/05/14,2379931,87.00,89.50,87.00,88.10,+0.60,1799,210591300
104/05/15,2417939,89.00,89.00,85.70,86.00,-2.10,1736,209841254
104/05/18,4499469,86.00,86.00,80.10,80.60,-5.40,3001,367284696
104/05/19,2673348,81.00,83.90,81.00,83.50,+2.90,1942,221654997
104/05/20,2498201,83.70,85.90,82.50,84.50,+1.00,1838,211480545
104/05/21,1516960,83.50,85.70,82.90,84.60,+0.10,1192,128566916
104/05/22,3207923,85.50,87.80,84.70,85.90,+1.30,2137,277412778
104/05/25,4079183,86.00,91.00,86.00,90.30,+4.40,2810,365043670
104/05/26,4740639,91.00,94.50,90.30,90.30,0.00,3252,437332993
104/05/27,3200205,90.30,91.90,89.30,91.40,+1.10,2225,290029733
104/05/28,3830777,94.50,94.80,92.30,93.00,+1.60,2523,357744361
104/05/29,1906461,93.00,93.60,91.50,92.00,-1.00,1458,175973770
104/06/01,1863730,92.00,94.20,92.00,92.00,0.00,1307,173182025
104/06/02,1872574,92.20,93.30,90.40,90.50,-1.50,1383,171343058
104/06/03,4367218,92.00,94.50,90.70,93.60,+3.10,2926,406611398
104/06/04,7309517,94.40,95.60,88.00,88.50,-5.10,4677,671511298
104/06/05,2489627,88.50,89.40,86.60,87.30,-1.20,1920,218056458
104/06/08,2302164,87.00,88.50,83.50,87.70,+0.40,1716,198393977
104/06/09,2727703,86.50,88.30,83.00,83.00,-4.70,1891,230974387
104/06/10,1209758,84.00,85.70,83.60,85.00,+2.00,899,102853880
104/06/11,1417657,86.20,87.00,84.30,86.60,+1.60,1051,121618265
104/06/12,1490847,86.70,87.80,85.20,87.20,+0.60,1156,129339457
