金麗科,	3228
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,72112,31.00,31.15,30.50,30.95,+0.20,39,2229226
104/01/06,41001,30.25,30.50,30.00,30.00,-0.95,32,1234530
104/01/07,14001,30.10,30.10,30.00,30.00,0.00,14,420580
104/01/08,30000,30.00,30.45,30.00,30.20,+0.20,22,904050
104/01/09,31002,30.70,30.70,30.10,30.15,-0.05,25,936110
104/01/12,31444,30.10,30.50,29.85,29.90,-0.25,31,948040
104/01/13,39297,29.95,30.10,29.85,29.85,-0.05,37,1178884
104/01/14,45200,29.85,30.10,29.75,30.00,+0.15,32,1353250
104/01/15,55001,30.10,30.10,29.75,29.80,-0.20,32,1639830
104/01/16,21001,29.85,29.95,29.75,29.75,-0.05,12,626179
104/01/19,36305,29.60,29.70,29.55,29.70,-0.05,25,1074646
104/01/20,37228,29.45,29.85,29.30,29.50,-0.20,31,1096963
104/01/21,36666,29.70,29.70,29.20,29.40,-0.10,31,1078930
104/01/22,24002,29.60,29.60,29.35,29.50,+0.10,19,707508
104/01/23,35003,29.60,30.10,29.50,29.70,+0.20,30,1040187
104/01/26,19004,29.70,29.75,29.70,29.70,0.00,16,564816
104/01/27,28445,29.70,29.70,29.50,29.50,-0.20,27,841192
104/01/28,39000,29.60,29.70,29.50,29.60,+0.10,19,1153400
104/01/29,75000,29.95,30.50,29.80,30.00,+0.40,49,2251600
104/01/30,90148,31.00,31.00,30.10,30.60,+0.60,60,2738284
104/02/02,55000,30.25,30.25,29.85,29.85,-0.75,29,1647700
104/02/03,54003,29.70,29.90,29.70,29.75,-0.10,26,1612790
104/02/04,30003,29.80,30.10,29.80,29.90,+0.15,24,898090
104/02/05,10000,29.80,29.80,29.70,29.70,-0.20,9,297250
104/02/06,22559,30.50,30.50,29.60,29.60,-0.10,25,675326
104/02/09,35003,30.00,30.05,29.50,29.65,+0.05,23,1041037
104/02/10,42130,29.55,29.75,29.30,29.70,+0.05,27,1240485
104/02/11,45232,29.60,29.80,29.60,29.80,+0.10,28,1341573
104/02/12,42034,29.80,30.00,29.80,29.90,+0.10,25,1255845
104/02/13,88003,29.90,30.80,29.60,30.80,+0.90,53,2646639
104/02/24,292966,32.95,32.95,32.00,32.95,+2.15,128,9641378
104/02/25,562118,34.20,34.95,33.00,33.10,+0.15,361,19048222
104/02/26,234109,33.50,33.60,32.55,33.10,0.00,136,7778747
104/03/02,113013,33.30,33.50,32.90,33.20,+0.10,76,3752029
104/03/03,154262,33.20,33.75,33.15,33.15,-0.05,109,5152346
104/03/04,88003,33.00,33.05,32.35,32.40,-0.75,62,2866596
104/03/05,36761,32.15,33.20,32.10,32.60,+0.20,31,1202005
104/03/06,754300,33.35,34.85,33.00,34.85,+2.25,290,26199855
104/03/09,715271,34.75,36.50,34.30,36.00,+1.15,441,25290987
104/03/10,234356,36.00,36.50,35.50,35.60,-0.40,145,8398449
104/03/11,104104,35.00,35.85,35.00,35.70,+0.10,85,3694445
104/03/12,810085,36.35,38.15,36.35,38.15,+2.45,339,30858292
104/03/13,524270,38.80,39.20,37.75,38.60,+0.45,336,20207406
104/03/16,434008,38.60,39.90,38.40,38.40,-0.20,254,16880354
104/03/17,388377,38.50,39.00,35.85,36.60,-1.80,246,14527542
104/03/18,83773,36.45,37.50,36.45,36.90,+0.30,63,3095061
104/03/19,151280,37.30,38.30,37.05,37.05,+0.15,120,5686942
104/03/20,136014,37.05,37.15,36.30,36.40,-0.65,102,4978154
104/03/23,112252,36.60,36.60,36.10,36.10,-0.30,95,4066763
104/03/24,86339,36.90,36.90,35.80,36.00,-0.10,77,3116406
104/03/25,105027,36.00,36.00,35.45,35.75,-0.25,98,3738272
104/03/26,131254,35.50,36.85,35.20,36.35,+0.60,88,4756802
104/03/27,209000,37.00,38.00,34.70,36.00,-0.35,133,7534950
104/03/30,67050,36.00,36.15,35.45,35.60,-0.40,95,2395150
104/03/31,84027,35.60,36.35,35.60,36.15,+0.55,66,3018050
104/04/01,89297,35.60,36.10,35.60,36.00,-0.15,60,3194814
104/04/02,182209,36.20,36.80,35.40,35.40,-0.60,100,6530915
104/04/07,44024,36.00,36.00,35.45,35.60,+0.20,56,1571940
104/04/08,36012,35.65,35.65,35.60,35.65,+0.05,30,1282932
104/04/09,44005,35.65,35.65,35.50,35.50,-0.15,32,1567875
104/04/10,59003,35.60,35.60,35.40,35.40,-0.10,33,2096355
104/04/13,18110,35.20,36.00,35.20,35.50,+0.10,108,643016
104/04/14,53004,36.30,36.30,35.80,35.90,+0.40,47,1905990
104/04/15,39262,35.95,36.00,35.80,36.00,+0.10,31,1410224
104/04/16,117003,36.15,36.60,36.15,36.50,+0.50,63,4251708
104/04/17,193148,36.50,37.90,36.30,36.75,+0.25,123,7167585
104/04/20,96008,36.80,37.35,36.80,37.00,+0.25,72,3556446
104/04/21,74001,37.00,37.00,36.25,36.25,-0.75,50,2711536
104/04/22,20000,36.30,36.50,36.30,36.45,+0.20,13,728450
104/04/23,48198,37.15,37.35,36.50,36.70,+0.25,33,1773535
104/04/24,69041,36.70,37.05,36.00,36.25,-0.45,46,2516468
104/04/27,65375,36.00,36.15,35.25,36.10,-0.15,49,2339336
104/04/28,29148,36.50,36.50,35.50,35.60,-0.50,21,1041009
104/04/29,87000,35.50,35.60,35.05,35.10,-0.50,64,3070650
104/04/30,101296,35.15,36.00,35.10,35.50,+0.40,65,3604283
104/05/04,72826,36.50,36.80,35.50,35.55,+0.05,54,2629773
104/05/05,43000,35.85,35.85,34.55,35.05,-0.50,33,1511400
104/05/06,56488,35.10,35.10,34.80,35.05,0.00,20,1977508
104/05/07,36000,35.05,35.35,34.80,34.80,-0.25,20,1259000
104/05/08,82001,35.00,35.00,34.50,34.70,-0.10,46,2836535
104/05/11,61503,35.60,35.60,33.00,33.60,-1.10,51,2073748
104/05/12,124004,33.50,33.50,31.25,32.50,-1.10,85,3962628
104/05/13,31595,32.30,32.90,32.15,32.15,-0.35,21,1026449
104/05/14,14002,32.20,32.20,31.75,32.00,-0.15,15,447614
104/05/15,24004,32.25,32.70,32.20,32.70,+0.70,25,779332
104/05/18,33112,31.60,33.20,31.60,32.55,-0.15,40,1083254
104/05/19,46011,33.05,33.10,32.40,32.40,-0.15,35,1512903
104/05/20,13014,32.40,32.40,32.20,32.20,-0.20,12,419895
104/05/21,30000,31.95,32.20,31.05,32.20,0.00,20,944000
104/05/22,25000,31.50,31.90,31.50,31.50,-0.70,15,792200
104/05/25,24000,31.20,31.80,31.20,31.50,0.00,18,755600
104/05/26,31000,31.50,32.00,31.00,31.25,-0.25,23,973400
