千如,	3236
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,8077407,19.60,20.20,19.45,19.70,+0.75,2993,160192797
104/01/06,3660356,19.80,20.15,19.50,19.85,+0.15,1811,72813942
104/01/07,3614099,20.00,20.50,19.50,20.30,+0.45,1756,72388467
104/01/08,3172724,20.50,20.75,19.60,19.60,-0.70,1462,63591273
104/01/09,2187262,19.70,19.85,19.20,19.45,-0.15,1067,42690356
104/01/12,1497250,19.60,19.65,18.90,19.05,-0.40,739,28664374
104/01/13,2804022,19.15,19.95,19.10,19.40,+0.35,1315,54952174
104/01/14,845120,19.45,19.70,19.20,19.20,-0.20,465,16428814
104/01/15,1317269,19.00,19.35,18.55,18.70,-0.50,625,24687840
104/01/16,1046003,18.80,18.80,18.05,18.05,-0.65,520,19102654
104/01/19,829008,18.25,18.75,18.20,18.30,+0.25,468,15307694
104/01/20,1102090,18.50,19.00,18.35,18.70,+0.40,543,20708895
104/01/21,839673,18.90,19.10,18.45,18.45,-0.25,446,15734311
104/01/22,1096061,18.65,18.90,18.25,18.90,+0.45,566,20381199
104/01/23,1068998,19.20,19.25,18.70,18.70,-0.20,568,20263408
104/01/26,420107,18.70,18.90,18.55,18.60,-0.10,245,7851846
104/01/27,4506409,19.00,19.90,19.00,19.90,+1.30,1743,88875937
104/01/28,2425790,19.90,19.90,19.20,19.25,-0.65,1124,47426166
104/01/29,1106143,19.25,19.40,18.80,19.00,-0.25,594,21059717
104/01/30,974070,19.20,19.30,18.60,18.60,-0.40,499,18443100
104/02/02,951607,18.50,18.65,18.10,18.15,-0.45,446,17411690
104/02/03,654201,18.20,18.50,18.20,18.35,+0.20,305,12020318
104/02/04,384041,18.35,18.55,18.25,18.25,-0.10,204,7039242
104/02/05,262031,18.30,18.40,18.20,18.30,+0.05,139,4792863
104/02/06,468008,18.45,18.45,18.05,18.10,-0.20,245,8492394
104/02/09,292143,18.40,18.40,17.95,17.95,-0.15,158,5282661
104/02/10,431214,17.90,17.95,17.65,17.70,-0.25,227,7663862
104/02/11,433037,17.95,18.20,17.75,17.85,+0.15,264,7783029
104/02/12,199087,17.85,17.90,17.70,17.70,-0.15,110,3537985
104/02/13,385346,17.75,17.95,17.60,17.85,+0.15,185,6841537
104/02/24,312030,17.95,18.10,17.90,17.90,+0.05,141,5607827
104/02/25,317155,17.90,18.20,17.90,18.00,+0.10,166,5721790
104/02/26,212680,18.10,18.15,17.95,18.10,+0.10,136,3838155
104/03/02,423602,18.15,18.15,17.80,18.00,-0.10,229,7598586
104/03/03,1119617,17.90,18.90,17.90,18.65,+0.65,604,20816289
104/03/04,451577,18.80,18.80,18.40,18.45,-0.20,221,8378255
104/03/05,1963202,18.50,19.45,18.35,19.15,+0.70,912,37504646
104/03/06,647071,19.15,19.30,18.90,18.90,-0.25,337,12327500
104/03/09,516154,18.90,18.90,18.40,18.45,-0.45,288,9571887
104/03/10,394118,18.45,18.60,18.15,18.20,-0.25,224,7211308
104/03/11,510032,18.15,18.20,18.00,18.05,-0.15,227,9228176
104/03/12,858550,18.05,18.85,18.05,18.70,+0.65,439,15913771
104/03/13,1679636,19.00,19.30,18.80,18.80,+0.10,779,31959492
104/03/16,477174,19.00,19.00,18.60,18.65,-0.15,269,8936930
104/03/17,1350016,18.80,19.10,18.60,18.60,-0.05,472,25392289
104/03/18,742721,18.60,18.80,18.40,18.45,-0.15,351,13725902
104/03/19,1314613,18.55,19.20,18.40,19.20,+0.75,604,24741861
104/03/20,1576378,19.20,19.35,18.95,19.05,-0.15,763,30123100
104/03/23,614087,19.05,19.20,18.90,18.95,-0.10,287,11695514
104/03/24,1742308,18.95,19.70,18.95,19.10,+0.15,800,33740102
104/03/25,514321,19.10,19.15,18.65,18.65,-0.45,299,9702172
104/03/26,1328102,18.50,19.45,18.50,18.75,+0.10,618,25325846
104/03/27,516364,18.80,19.05,18.65,18.65,-0.10,412,9699281
104/03/30,1739977,18.65,18.95,17.35,17.45,-1.20,1118,31029577
104/03/31,606224,17.50,17.70,17.30,17.55,+0.10,500,10601371
104/04/01,2687118,17.55,18.75,17.55,18.75,+1.20,987,49549541
104/04/02,1154000,18.55,18.75,18.40,18.55,-0.20,516,21412000
104/04/07,827002,18.90,19.05,18.55,18.55,0.00,362,15582638
104/04/08,1159504,18.60,19.50,18.60,19.10,+0.55,723,22221326
104/04/09,630102,19.10,19.20,18.60,19.00,-0.10,356,11893140
104/04/10,450124,19.00,19.05,18.70,18.70,-0.30,298,8443856
104/04/13,908351,19.00,19.25,18.35,18.55,-0.15,628,16940847
104/04/14,316191,18.55,18.65,18.25,18.25,-0.30,323,5822840
