威剛,	3260
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,3902357,58.60,59.80,57.80,59.20,+0.60,2194,230491825
104/01/06,2986365,58.70,58.80,57.70,57.80,-1.40,1846,173527735
104/01/07,2120025,57.80,58.30,57.20,57.50,-0.30,1255,122345033
104/01/08,1626217,58.40,58.50,57.50,57.50,0.00,1009,94161468
104/01/09,1543149,58.50,58.50,57.80,58.00,+0.50,914,89602835
104/01/12,1035930,58.00,58.20,57.40,57.50,-0.50,664,59786047
104/01/13,1317685,57.20,57.90,57.20,57.30,-0.20,836,75745277
104/01/14,3523631,57.00,57.80,55.40,57.70,+0.40,2228,199301798
104/01/15,9061537,58.50,59.80,58.50,58.80,+1.10,5004,534746150
104/01/16,4244332,59.00,59.00,57.40,57.40,-1.40,2472,246431156
104/01/19,3339871,58.00,58.00,55.60,55.60,-1.80,2071,188058655
104/01/20,991309,56.00,56.60,55.90,56.40,+0.80,763,55845300
104/01/21,1113326,56.90,56.90,55.80,55.90,-0.50,796,62544075
104/01/22,982585,55.90,56.80,55.70,56.10,+0.20,727,55327261
104/01/23,1138868,56.80,56.80,55.90,55.90,-0.20,752,63993567
104/01/26,695892,55.70,56.40,55.50,55.90,0.00,486,38887252
104/01/27,1202190,56.00,56.60,55.60,56.50,+0.60,800,67443127
104/01/28,1284194,56.40,56.90,56.00,56.00,-0.50,813,72393443
104/01/29,1239844,56.00,56.00,55.20,55.20,-0.80,841,68752233
104/01/30,1176335,55.60,55.90,54.70,54.70,-0.50,754,64923925
104/02/02,1061794,54.30,55.50,54.20,55.30,+0.60,675,58206776
104/02/03,1263667,55.30,55.60,54.80,54.80,-0.50,822,69627343
104/02/04,812295,55.20,55.30,54.70,54.80,0.00,494,44611125
104/02/05,497706,55.00,55.30,54.70,54.90,+0.10,333,27335030
104/02/06,509895,55.40,55.40,54.40,54.40,-0.50,360,27937835
104/02/09,1368564,54.20,54.20,53.00,53.10,-1.30,920,73154359
104/02/10,2062433,53.00,53.00,51.70,51.80,-1.30,1379,107409746
104/02/11,803691,52.50,52.50,51.90,52.00,+0.20,599,41908932
104/02/12,556640,52.40,52.40,51.70,52.00,0.00,383,28898580
104/02/13,972020,52.40,52.60,52.00,52.20,+0.20,639,50800531
104/02/24,1980095,52.70,54.50,52.60,53.50,+1.30,1236,106336660
104/02/25,2028502,54.00,55.00,53.30,54.50,+1.00,1156,110289786
104/02/26,2364337,54.50,55.00,53.50,53.90,-0.60,1527,127580519
104/03/02,1059506,54.00,54.40,53.50,54.40,+0.50,835,57098260
104/03/03,851343,54.80,54.80,53.90,53.90,-0.50,513,46181422
