鈊象,	3293
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,722049,150.50,152.00,148.50,150.00,-1.00,592,108477948
104/01/06,1194257,150.00,150.00,145.50,146.50,-3.50,890,175697279
104/01/07,792149,146.50,148.50,145.50,148.00,+1.50,651,116732052
104/01/08,2312050,143.00,145.50,139.00,144.50,-3.50,1584,330891300
104/01/09,877700,145.50,146.00,143.00,144.50,0.00,614,126704500
104/01/12,886619,144.50,144.50,140.50,141.50,-3.00,670,125903898
104/01/13,888725,141.50,144.00,141.50,142.50,+1.00,681,126974986
104/01/14,3256907,143.00,152.00,143.00,152.00,+9.50,2124,487368864
104/01/15,5859200,152.50,158.00,150.50,150.50,-1.50,3890,905209900
104/01/16,1934230,151.50,154.00,148.00,148.00,-2.50,1464,292085040
104/01/19,2887685,151.00,152.50,145.00,149.00,+1.00,1804,427819380
104/01/20,929515,150.00,151.00,148.50,151.00,+2.00,740,139263265
104/01/21,2886148,152.00,156.50,151.00,151.00,0.00,2042,445009700
104/01/22,1641983,153.00,155.50,152.50,154.00,+3.00,1258,252697869
104/01/23,1237624,156.00,157.00,152.50,153.00,-1.00,951,190867348
104/01/26,1084250,154.00,156.00,153.50,155.00,+2.00,835,167953000
104/01/27,653122,157.00,157.00,153.50,154.00,-1.00,490,101120288
104/01/28,1286716,154.00,156.50,152.50,152.50,-1.50,1002,198364332
104/01/29,1084152,153.00,153.50,148.00,149.50,-3.00,883,162702224
104/01/30,487304,151.00,151.00,148.00,148.50,-1.00,414,72655796
104/02/02,1124249,148.50,149.50,144.50,144.50,-4.00,875,163615605
104/02/03,771150,145.00,147.50,145.00,147.00,+2.50,633,112875550
104/02/04,603391,149.00,149.00,145.00,146.00,-1.00,482,88424195
104/02/05,1142215,144.00,145.50,142.00,143.50,-2.50,794,163808851
104/02/06,854748,144.00,144.50,141.00,141.00,-2.50,658,121556340
104/02/09,767500,140.00,143.50,139.00,141.50,+0.50,610,108534500
104/02/10,534098,141.50,145.00,141.50,144.00,+2.50,450,76655612
104/02/11,1471283,144.00,144.50,139.00,139.50,-4.50,1065,207091761
104/02/12,2642506,139.00,139.00,132.00,134.00,-5.50,2033,354474053
104/02/13,1040600,135.00,136.50,133.00,136.00,+2.00,902,140819100
104/02/24,690288,139.00,139.00,134.00,135.00,-1.00,525,93836523
104/02/25,1626268,136.00,140.00,133.00,140.00,+5.00,1283,223080252
104/02/26,752576,140.00,140.50,137.50,137.50,-2.50,554,104147412
104/03/02,354020,138.50,138.50,136.50,137.50,0.00,306,48698270
104/03/03,1111603,137.50,141.00,137.00,137.50,0.00,850,154578714
104/03/04,1201811,137.00,138.50,133.50,133.50,-4.00,933,162651174
104/03/05,1525598,133.00,135.50,130.00,133.50,0.00,1085,202629331
104/03/06,1086258,133.50,137.00,133.50,135.00,+1.50,770,147236699
104/03/09,578120,135.00,136.00,133.50,134.50,-0.50,421,77870580
104/03/10,1280300,136.00,141.00,135.00,136.00,+1.50,1028,176792100
104/03/11,594199,136.00,136.50,134.00,134.50,-1.50,466,80282365
104/03/12,533368,135.00,136.00,133.00,133.50,-1.00,382,71548626
104/03/13,353300,134.50,136.50,133.50,134.00,+0.50,308,47560000
104/03/16,259200,134.50,136.00,133.50,133.50,-0.50,236,34775400
104/03/17,545400,135.00,135.50,132.00,132.00,-1.50,421,72581499
104/03/18,1264450,133.00,133.50,127.50,128.50,-3.50,968,164245400
104/03/19,1040279,129.50,130.00,127.00,128.00,-0.50,767,133467549
104/03/20,597295,128.00,129.50,127.50,128.00,0.00,487,76661555
104/03/23,1267100,129.00,132.50,128.50,131.00,+3.00,918,166372700
104/03/24,357043,132.50,132.50,129.50,129.50,-1.50,296,46624633
104/03/25,853658,131.00,131.00,125.50,126.50,-3.00,625,108919734
104/03/26,597300,124.00,129.50,124.00,129.00,+2.50,508,76280749
104/03/27,445268,129.50,130.00,126.00,126.50,-2.50,352,56837036
104/03/30,355700,128.00,128.50,125.00,127.50,+1.00,312,45201400
104/03/31,705721,128.50,129.50,125.50,125.50,-2.00,575,89238346
104/04/01,582012,125.00,125.50,123.00,124.50,-1.00,458,72452505
104/04/02,1008310,124.50,128.50,124.50,128.50,+4.00,671,128579680
104/04/07,1152071,131.50,137.00,131.50,137.00,+8.50,640,156695727
104/04/08,3600705,140.00,143.00,136.50,136.50,-0.50,2171,504402085
104/04/09,1352627,137.50,137.50,131.00,131.50,-5.00,946,180850264
104/04/10,1255711,134.00,134.00,128.50,129.00,-2.50,862,162985430
104/04/13,770099,130.50,132.00,129.00,130.00,+1.00,561,100463969
104/04/14,1945073,130.00,138.00,130.00,135.00,+5.00,1514,261636034
104/04/15,1352149,137.00,139.00,133.50,133.50,-1.50,1034,184378040
104/04/16,1051590,135.00,138.00,134.00,137.50,+4.00,822,143559621
104/04/17,775640,138.00,138.00,134.50,135.00,-2.50,560,105462718
104/04/20,353737,134.00,136.00,134.00,135.00,0.00,315,47775125
104/04/21,642607,137.50,137.50,130.00,131.50,-3.50,514,85009820
104/04/22,494079,132.50,133.50,129.50,132.00,+0.50,399,65065428
104/04/23,748005,132.00,133.00,129.50,132.00,0.00,514,98672177
104/04/24,553056,133.50,134.00,129.50,130.50,-1.50,442,72313724
104/04/27,351821,131.00,132.50,130.00,130.50,0.00,291,46179638
104/04/28,232458,130.50,132.00,130.00,130.00,-0.50,207,30396498
104/04/29,708879,129.50,130.50,125.00,127.50,-2.50,555,90332450
104/04/30,345098,127.50,128.00,126.50,127.00,-0.50,264,43858044
104/05/04,825399,127.00,131.00,125.50,130.00,+3.00,653,106295669
104/05/05,807527,130.00,131.50,128.00,129.50,-0.50,513,104731246
104/05/06,798200,128.50,129.50,126.00,127.50,-2.00,520,101688600
104/05/07,1199530,128.50,131.00,126.00,126.00,-1.50,870,153807310
104/05/08,885009,128.00,129.50,124.00,124.50,-1.50,660,111228138
104/05/11,1843459,125.50,126.00,116.00,116.00,-8.50,1261,216912039
104/05/12,1326631,113.00,116.00,108.00,108.00,-8.00,864,146917985
104/05/13,2602483,105.00,108.00,100.50,106.00,-2.00,1928,269616886
104/05/14,1533599,105.00,106.50,102.00,104.50,-1.50,1093,159775994
104/05/15,819585,104.50,106.00,102.50,103.00,-1.50,664,85451715
104/05/18,2755779,103.00,103.00,95.80,96.40,-6.60,1747,266104269
104/05/19,2020316,95.80,102.50,95.40,100.50,+4.10,1485,200903132
104/05/20,1200410,100.50,104.50,99.50,103.50,+3.00,950,122987934
104/05/21,679050,102.00,104.50,100.50,103.50,0.00,472,70148225
104/05/22,668060,106.00,106.50,104.00,104.00,+0.50,536,70245950
104/05/25,1127035,104.00,110.50,103.50,107.50,+3.50,822,121785315
104/05/26,557050,110.00,110.00,105.50,105.50,-2.00,448,59555400
104/05/27,677000,105.00,106.50,104.00,106.00,+0.50,453,71204500
104/05/28,1908897,107.00,113.00,106.00,112.50,+6.50,1364,211761411
104/05/29,1551279,112.50,114.50,109.50,110.50,-2.00,1028,173046608
104/06/01,819150,110.50,112.50,105.00,106.50,-4.00,625,88238000
104/06/02,763500,105.50,108.50,103.50,105.00,-1.50,603,80801500
104/06/03,1536198,105.00,106.50,96.20,101.50,-3.50,1177,155562896
104/06/04,1870500,101.50,104.50,98.00,101.00,-0.50,1231,187933400
104/06/05,1034114,101.00,101.50,98.50,99.80,-1.20,753,102859914
104/06/08,719385,101.00,101.00,96.80,100.00,+0.20,562,71504657
