英濟,	3294
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,765731,19.60,19.90,19.35,19.70,+0.10,262,15012277
104/01/06,1836716,19.60,20.65,19.60,19.65,-0.05,833,36826011
104/01/07,672142,19.65,20.30,19.65,19.90,+0.25,307,13401061
104/01/08,1075175,20.40,20.55,19.75,19.85,-0.05,494,21685256
104/01/09,1400896,20.00,20.05,19.20,20.00,+0.15,629,27402935
104/01/12,1633797,20.00,20.70,20.00,20.10,+0.10,582,33240390
104/01/13,512888,20.10,20.25,19.80,20.15,+0.05,249,10297810
104/01/14,429247,20.20,20.20,19.90,20.00,-0.15,187,8589162
104/01/15,353126,20.00,20.00,19.75,19.75,-0.25,161,7002025
104/01/16,851697,19.70,19.75,19.00,19.00,-0.75,341,16492423
104/01/19,654000,19.25,19.25,18.80,18.80,-0.20,249,12386650
104/01/20,200215,18.90,19.30,18.90,19.15,+0.35,102,3824395
104/01/21,216821,19.15,19.30,18.95,19.15,0.00,90,4139539
104/01/22,191589,19.15,19.20,18.85,18.85,-0.30,107,3647793
104/01/23,387088,19.00,19.25,18.85,18.85,0.00,138,7359008
104/01/26,142667,18.85,19.15,18.85,19.10,+0.25,79,2713187
104/01/27,135000,19.25,19.25,19.00,19.00,-0.10,86,2575350
104/01/28,1625825,19.00,19.00,17.70,17.75,-1.25,715,29397315
104/01/29,509232,17.80,17.90,17.40,17.60,-0.15,206,8945760
104/01/30,253500,17.70,18.00,17.70,17.70,+0.10,119,4516400
104/02/02,743060,17.70,17.80,16.50,17.75,+0.05,389,12699458
104/02/03,357215,17.75,17.80,17.40,17.55,-0.20,158,6292899
104/02/04,226706,17.60,18.10,17.60,17.80,+0.25,95,4057945
104/02/05,246299,17.80,18.10,17.75,17.95,+0.15,96,4419222
104/02/06,198160,18.00,18.00,17.60,18.00,+0.05,94,3544514
104/02/09,225292,18.00,18.10,17.50,17.50,-0.50,96,3994630
104/02/10,275584,17.20,17.65,17.00,17.50,0.00,115,4768610
104/02/11,127000,17.40,17.80,17.25,17.35,-0.15,62,2223700
104/02/12,235227,17.30,17.60,17.30,17.35,0.00,57,4106926
104/02/13,254288,17.35,18.05,17.35,17.95,+0.60,115,4510925
104/02/24,788786,18.10,19.20,17.95,18.65,+0.70,269,14756529
104/02/25,138978,18.65,18.85,18.35,18.35,-0.30,103,2568997
104/02/26,117964,18.30,18.40,18.10,18.25,-0.10,78,2147448
104/03/02,193000,18.25,18.25,17.75,17.75,-0.50,97,3448150
104/03/03,158017,17.80,18.30,17.80,17.85,+0.10,91,2849203
104/03/04,68142,17.80,18.00,17.75,17.80,-0.05,44,1214913
104/03/05,123718,17.70,17.95,17.70,17.90,+0.10,53,2207379
104/03/06,161735,18.00,18.15,17.75,17.75,-0.15,68,2907935
104/03/09,100000,17.75,17.80,17.65,17.65,-0.10,54,1770300
104/03/10,160017,17.65,17.85,17.50,17.50,-0.15,74,2824400
104/03/11,89000,17.50,17.60,17.20,17.40,-0.10,52,1553500
104/03/12,205039,17.55,18.05,17.55,18.00,+0.60,92,3655198
104/03/13,2227388,18.00,19.25,17.80,18.70,+0.70,643,41925465
104/03/16,436001,18.85,19.00,18.50,18.80,+0.10,208,8185768
104/03/17,241103,19.00,19.00,18.55,18.55,-0.25,117,4519894
104/03/18,389000,18.40,18.55,18.15,18.30,-0.25,144,7151400
104/03/19,132000,18.30,18.40,18.20,18.20,-0.10,60,2409350
104/03/20,153984,18.20,18.40,18.20,18.25,+0.05,82,2820458
104/03/23,168000,18.25,18.50,18.25,18.30,+0.05,77,3084500
104/03/24,302912,18.40,18.95,18.20,18.20,-0.10,182,5620096
104/03/25,119000,18.40,18.40,18.10,18.15,-0.05,36,2168700
104/03/26,69099,18.10,18.40,18.10,18.10,-0.05,44,1255286
104/03/27,295000,18.10,18.80,17.95,18.10,0.00,158,5397300
104/03/30,172803,18.10,18.25,17.75,17.80,-0.30,80,3104263
104/03/31,136232,17.70,18.00,17.70,17.85,+0.05,61,2430579
104/04/01,86000,17.80,17.95,17.75,17.85,0.00,39,1535550
104/04/02,263001,17.85,18.10,17.40,17.40,-0.45,113,4665817
104/04/07,139232,17.60,17.90,17.60,17.70,+0.30,69,2469344
104/04/08,121199,17.70,18.20,17.70,17.85,+0.15,65,2176532
104/04/09,76464,17.85,17.95,17.75,17.90,+0.05,37,1365908
104/04/10,153000,17.95,18.35,17.90,17.90,0.00,59,2782500
104/04/13,532000,18.25,18.30,17.70,17.80,-0.10,98,9523300
104/04/14,42594,18.00,18.10,17.90,18.05,+0.25,39,766780
104/04/15,449034,18.40,18.80,18.10,18.75,+0.70,230,8341831
104/04/16,283161,19.00,19.00,18.40,18.60,-0.15,103,5293028
104/04/17,230801,18.60,19.15,18.50,19.15,+0.55,118,4340838
104/04/20,570000,19.15,19.65,18.60,18.60,-0.55,238,10903100
104/04/21,173374,18.60,18.85,18.30,18.40,-0.20,70,3204600
104/04/22,98000,18.70,18.70,18.30,18.30,-0.10,39,1806350
104/04/23,59000,18.35,18.45,18.30,18.30,0.00,34,1083250
104/04/24,184270,18.35,18.70,18.35,18.35,+0.05,93,3404361
104/04/27,159628,18.35,18.40,17.90,17.90,-0.45,64,2903177
104/04/28,85000,18.10,18.30,17.95,18.05,+0.15,41,1541600
104/04/29,101482,18.00,18.10,17.90,18.00,-0.05,41,1825477
104/04/30,118000,18.00,18.15,17.80,18.10,+0.10,67,2117150
104/05/04,385232,18.10,18.80,17.95,18.55,+0.45,104,7076730
104/05/05,65232,18.55,18.55,18.20,18.20,-0.35,41,1194399
104/05/06,166000,18.20,18.20,17.85,17.85,-0.35,99,2982100
104/05/07,254000,17.75,18.40,17.70,17.70,-0.15,76,4597950
104/05/08,164000,17.70,17.90,16.55,16.55,-1.15,82,2798000
104/05/11,631000,17.20,17.70,16.80,16.80,+0.25,261,10878700
104/05/12,211000,16.35,17.25,16.35,17.05,+0.25,92,3583550
104/05/13,228000,17.05,17.80,17.05,17.45,+0.40,114,3995750
104/05/14,83555,17.40,17.45,17.25,17.40,-0.05,46,1452000
104/05/15,51019,17.60,18.00,17.15,17.40,0.00,47,895728
104/05/18,103000,17.30,17.30,16.60,17.15,-0.25,68,1745350
104/05/19,46223,17.15,17.30,17.15,17.20,+0.05,21,798113
104/05/20,138341,17.20,17.80,17.20,17.65,+0.45,74,2434766
104/05/21,32000,17.65,17.65,17.45,17.60,-0.05,13,560850
104/05/22,59000,17.60,17.60,17.50,17.50,-0.10,22,1038050
104/05/25,114395,17.55,17.60,17.00,17.30,-0.20,63,1964994
104/05/26,79499,17.50,17.70,17.30,17.60,+0.30,52,1388432
104/05/27,37000,17.50,17.65,17.50,17.60,0.00,23,650700
104/05/28,54160,17.70,17.75,17.40,17.75,+0.15,33,951066
104/05/29,90000,17.50,17.75,17.30,17.75,0.00,37,1578550
104/06/01,142000,17.80,18.20,17.35,18.20,+0.45,78,2534900
104/06/02,79000,18.30,18.30,17.90,17.90,-0.30,40,1426850
104/06/03,44000,18.00,18.00,17.75,17.85,-0.05,24,784850
104/06/04,24232,17.60,17.80,17.50,17.75,-0.10,13,428933
104/06/05,153696,17.70,18.00,17.55,18.00,+0.25,46,2748407
104/06/08,38232,18.00,18.30,17.70,17.75,-0.25,25,681733
104/06/09,71000,17.60,17.60,17.10,17.40,-0.35,38,1234850
104/06/10,42803,17.20,17.80,17.20,17.80,+0.40,26,753063
104/06/11,33000,17.80,17.80,17.35,17.35,-0.45,21,576150
104/06/12,26160,17.35,17.80,17.30,17.75,+0.40,24,458466
104/06/15,48000,17.75,17.80,17.70,17.75,0.00,27,851650
104/06/16,26000,17.75,17.75,17.30,17.35,-0.40,16,453350
104/06/17,27232,17.70,17.70,17.10,17.15,-0.20,24,469694
104/06/18,119941,17.50,17.50,15.45,15.45,-1.70,80,1923929
104/06/22,651691,16.10,16.95,15.55,16.95,+1.50,204,10895011
104/06/23,652528,17.30,18.00,17.20,17.90,+0.95,200,11367645
104/06/24,450181,18.00,18.30,17.65,18.20,+0.30,116,8112174
104/06/25,48412,18.30,18.30,17.95,18.00,-0.20,28,877674
104/06/26,160142,18.00,18.35,18.00,18.30,+0.30,65,2921934
104/06/29,176000,18.30,18.40,18.00,18.30,0.00,98,3207950
104/06/30,994573,18.40,19.30,18.30,19.30,+1.00,321,18758101
104/07/01,522402,19.45,19.45,18.65,19.20,-0.10,148,9911238
104/07/02,123025,19.00,19.00,18.65,18.65,-0.55,71,2316470
104/07/03,156788,18.65,19.70,18.50,19.70,+1.05,98,3023266
104/07/06,3360652,19.50,21.65,19.40,21.00,+1.30,1438,71439441
104/07/07,1204333,22.05,22.15,20.65,21.50,+0.50,676,25731523
104/07/08,2812444,21.35,22.30,20.20,21.80,+0.30,1010,60770234
104/07/09,2511619,21.75,22.30,20.90,21.75,-0.05,887,54695120
104/07/13,1020379,22.00,22.00,20.25,21.40,-0.35,463,21781885
104/07/14,649608,21.90,21.90,20.90,21.50,+0.10,319,13966961
104/07/15,1535476,21.55,22.90,21.50,21.80,+0.30,720,33917771
104/07/16,881101,21.90,21.95,20.55,20.60,-1.20,439,18544200
104/07/17,844379,20.55,20.65,19.55,19.60,-1.00,433,16778740
104/07/20,1091438,19.40,20.10,18.50,18.95,-0.65,575,21065933
104/07/21,497120,19.45,19.45,18.35,18.60,-0.35,211,9305600
104/07/22,176066,18.55,19.10,18.55,18.70,+0.10,80,3311057
104/07/23,174142,18.90,18.95,18.25,18.80,+0.10,120,3220948
104/07/24,95000,18.40,18.75,18.40,18.55,-0.25,53,1759200
104/07/27,533000,18.55,18.75,16.85,16.85,-1.70,275,9295100
104/07/28,690000,16.85,17.10,15.25,16.90,+0.05,319,11120200
104/07/29,167500,17.15,17.15,16.60,17.15,+0.25,97,2823224
104/07/30,644000,16.60,18.15,16.60,17.95,+0.80,238,11440600
104/07/31,281200,17.90,17.90,17.00,17.00,-0.95,164,4884000
104/08/03,312008,17.00,17.35,16.60,17.10,+0.10,154,5303837
104/08/04,387599,17.10,17.40,16.80,17.20,+0.10,186,6645052
104/08/05,445000,17.50,17.75,17.10,17.30,+0.10,161,7736200
104/08/06,675000,17.60,17.60,17.15,17.40,+0.10,214,11779400
104/08/07,834142,17.35,17.85,17.05,17.85,+0.45,268,14668798
104/08/10,1240374,18.45,18.75,17.95,18.25,+0.40,446,22687287
104/08/11,431174,18.50,18.50,17.80,18.20,-0.05,180,7840916
104/08/12,378284,18.30,18.45,18.10,18.45,+0.25,176,6916139
104/08/13,848000,18.70,19.20,18.50,18.90,+0.45,321,16051750
104/08/14,912000,18.90,19.40,18.65,18.80,-0.10,313,17335950
104/08/17,324697,18.80,18.90,18.00,18.50,-0.30,186,5971274
104/08/18,219000,18.45,18.45,18.05,18.45,-0.05,120,3994500
104/08/19,347434,18.10,18.50,18.00,18.50,+0.05,145,6339285
104/08/20,795791,18.60,19.00,18.50,19.00,+0.50,261,14904598
104/08/21,691756,18.95,19.30,18.60,19.00,0.00,293,13122764
104/08/24,1836252,19.00,19.20,18.35,19.20,+0.20,336,34771649
104/08/25,3436000,19.45,20.95,18.70,19.70,+0.50,974,66847450
104/08/26,663000,19.70,19.95,18.90,19.00,-0.70,267,12785150
104/08/27,679017,18.80,19.30,18.80,19.00,0.00,216,12943471
104/08/28,1069232,19.00,19.60,18.95,19.35,+0.35,335,20629966
104/08/31,679249,19.55,19.55,19.05,19.45,+0.10,238,13157343
104/09/01,594379,19.40,19.40,18.30,18.30,-1.15,324,11179347
104/09/02,566000,18.15,18.15,17.30,17.60,-0.70,255,9950850
104/09/03,197000,17.65,18.15,17.65,18.15,+0.55,104,3537050
104/09/04,112304,18.10,18.20,17.70,17.90,-0.25,62,2008211
104/09/07,83160,17.90,17.90,17.60,17.65,-0.25,43,1466973
104/09/08,59000,17.65,17.90,17.65,17.75,+0.10,29,1046750
104/09/09,157099,18.25,18.30,17.80,18.20,+0.45,87,2838491
104/09/10,296000,18.10,18.45,18.00,18.20,0.00,108,5395600
104/09/11,145000,18.10,18.20,17.85,17.85,-0.35,67,2603750
104/09/14,734626,17.70,18.05,17.70,17.90,+0.05,126,13188292
104/09/15,64378,17.95,17.95,17.80,17.85,-0.05,36,1150540
104/09/16,100039,17.75,17.85,17.75,17.80,-0.05,52,1779890
