尼克森,	3317
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,276622,16.90,17.35,16.75,17.15,+0.25,155,4742524
104/01/06,270210,17.00,17.00,16.60,16.60,-0.55,144,4514213
104/01/07,136265,16.60,16.90,16.60,16.70,+0.10,89,2282945
104/01/08,237011,16.95,17.10,16.70,16.70,0.00,108,4004233
104/01/09,147006,17.05,17.05,16.70,16.85,+0.15,74,2464296
104/01/12,158201,16.80,16.95,16.70,16.80,-0.05,78,2661404
104/01/13,601112,16.90,17.10,16.75,17.10,+0.30,216,10227414
104/01/14,256881,17.30,17.30,16.85,16.85,-0.25,146,4389648
104/01/15,176550,17.00,17.00,16.70,16.85,0.00,102,2976528
104/01/16,191301,16.85,16.85,16.50,16.85,0.00,119,3188615
104/01/19,126421,17.10,17.10,16.60,16.60,-0.25,89,2118838
104/01/20,102102,16.65,16.85,16.30,16.80,+0.20,72,1702251
104/01/21,44022,17.00,17.00,16.65,16.70,-0.10,31,738210
104/01/22,90014,16.80,16.90,16.50,16.90,+0.20,51,1509782
104/01/23,2824801,16.90,18.05,16.90,18.05,+1.15,1106,50514764
104/01/26,2801396,18.30,19.30,18.00,19.30,+1.25,1182,52744991
104/01/27,1956424,19.65,19.80,18.90,19.05,-0.25,946,37662756
104/01/28,958567,19.05,19.50,18.70,19.00,-0.05,488,18302362
104/01/29,547802,19.10,19.35,18.75,19.25,+0.25,305,10476006
104/01/30,1726181,19.40,20.00,18.85,18.85,-0.40,820,33604774
104/02/02,835259,18.85,19.10,17.80,17.85,-1.00,447,15188662
104/02/03,353210,18.00,18.30,17.60,17.60,-0.25,226,6313321
104/02/04,421181,17.80,18.05,17.50,17.50,-0.10,203,7450496
104/02/05,246164,17.20,17.70,17.20,17.65,+0.15,147,4308082
104/02/06,231843,17.70,17.90,17.50,17.50,-0.15,148,4096013
104/02/09,182550,17.50,17.70,17.35,17.60,+0.10,102,3198523
104/02/10,139301,17.75,17.75,17.30,17.65,+0.05,91,2437213
104/02/11,457101,17.65,17.65,16.85,16.95,-0.70,263,7815100
104/02/12,186210,16.95,17.10,16.60,16.60,-0.35,112,3128912
104/02/13,632221,16.70,17.65,16.70,17.25,+0.65,304,10947039
