旭品,	3325
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,413006,20.20,20.65,20.15,20.40,+0.20,203,8420520
104/01/06,2049275,20.30,21.40,20.05,21.05,+0.65,900,42721986
104/01/07,1271513,21.35,21.95,21.20,21.40,+0.35,573,27379872
104/01/08,671051,21.50,21.80,21.20,21.25,-0.15,280,14355716
104/01/09,501225,21.45,21.45,20.85,21.05,-0.20,225,10550258
104/01/12,761014,21.05,21.50,21.05,21.25,+0.20,266,16190994
104/01/13,356032,21.25,21.25,20.80,20.80,-0.45,208,7468944
104/01/14,600426,20.90,21.35,20.90,21.00,+0.20,276,12687635
104/01/15,487024,21.05,21.25,20.75,20.90,-0.10,232,10193504
104/01/16,301738,20.90,20.90,20.40,20.45,-0.45,164,6232126
104/01/19,1778771,20.80,21.85,20.80,21.20,+0.75,679,38189227
104/01/20,620370,21.10,21.10,20.60,21.10,-0.10,256,12991770
104/01/21,285521,21.10,21.40,20.95,21.30,+0.20,151,6051095
104/01/22,760004,21.30,21.65,21.30,21.65,+0.35,281,16370884
104/01/23,564409,21.70,21.85,21.40,21.60,-0.05,215,12197898
104/01/26,548004,21.60,21.80,21.60,21.60,0.00,195,11877134
104/01/27,1209198,21.65,22.10,21.50,21.95,+0.35,408,26429263
104/01/28,545184,21.90,22.10,21.70,21.70,-0.25,236,11912122
104/01/29,237003,21.85,21.85,21.55,21.60,-0.10,118,5134863
104/01/30,289215,21.70,21.80,21.40,21.40,-0.20,125,6242970
104/02/02,271121,21.40,21.55,21.20,21.30,-0.10,134,5789922
104/02/03,227077,21.50,21.65,21.30,21.60,+0.30,121,4874852
104/02/04,315158,21.60,21.75,21.45,21.70,+0.10,131,6815625
104/02/05,572356,21.60,22.15,21.50,22.15,+0.45,203,12498899
104/02/06,2251681,22.15,23.10,22.10,22.75,+0.60,948,50878963
104/02/09,496484,22.70,22.75,22.45,22.60,-0.15,232,11216158
104/02/10,324040,22.80,22.80,22.35,22.40,-0.20,150,7282685
104/02/11,219240,22.55,22.60,22.30,22.35,-0.05,145,4916220
104/02/12,366050,22.35,22.40,22.05,22.05,-0.30,154,8124000
104/02/13,333050,22.50,22.55,22.10,22.15,+0.10,157,7411910
104/02/24,223026,22.85,22.85,22.30,22.50,+0.35,117,5019373
104/02/25,396377,22.50,22.75,22.30,22.55,+0.05,158,8905464
104/02/26,236036,22.55,22.55,22.40,22.50,-0.05,85,5303460
104/03/02,1718107,22.50,23.80,22.40,23.60,+1.10,713,40098169
104/03/03,344015,23.60,23.60,23.25,23.25,-0.35,214,8040945
104/03/04,466418,23.30,23.90,23.10,23.25,0.00,287,10972041
104/03/05,384316,23.45,23.65,23.30,23.45,+0.20,179,9018208
104/03/06,354429,23.45,23.75,23.45,23.60,+0.15,194,8378048
104/03/09,959404,23.60,24.05,23.35,23.60,0.00,311,22792707
104/03/10,396388,23.60,23.60,23.05,23.20,-0.40,199,9274260
104/03/11,182028,23.10,23.30,23.00,23.20,0.00,114,4215444
104/03/12,498015,23.20,23.20,22.90,22.90,-0.30,227,11461580
104/03/13,294007,23.10,23.15,22.90,23.00,+0.10,135,6767039
104/03/16,488469,23.00,23.60,23.00,23.45,+0.45,206,11396290
104/03/17,218142,23.60,23.65,23.15,23.15,-0.30,126,5100485
104/03/18,182011,23.20,23.20,23.00,23.00,-0.15,103,4196703
104/03/19,201381,23.05,23.30,23.00,23.00,0.00,128,4666468
104/03/20,328368,23.10,23.30,23.00,23.00,0.00,137,7586888
104/03/23,207414,23.00,23.30,23.00,23.10,+0.10,120,4781821
104/03/24,903963,23.20,23.80,23.00,23.40,+0.30,243,21220583
104/03/25,294223,23.40,23.45,23.10,23.20,-0.20,164,6809429
104/03/26,244050,23.10,23.10,22.60,22.75,-0.45,147,5575871
104/03/27,906473,22.70,22.70,21.80,21.80,-0.95,400,19984230
104/03/30,870468,21.40,21.65,20.40,20.40,-1.40,433,18066530
104/03/31,729054,20.45,21.10,20.00,21.10,+0.70,280,14978909
104/04/01,230211,20.80,21.30,20.70,21.00,-0.10,149,4838431
104/04/02,148015,21.00,21.35,21.00,21.10,+0.10,85,3135215
104/04/07,125187,21.10,21.20,20.85,20.85,-0.25,85,2629452
104/04/08,163166,20.85,21.20,20.85,20.85,0.00,73,3423642
104/04/09,155009,20.95,21.00,20.85,20.85,0.00,58,3237289
104/04/10,383368,21.00,21.55,20.80,21.20,+0.35,173,8182449
104/04/13,286223,21.20,21.20,20.80,20.90,-0.30,147,5982399
