典範,	3372
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,831206,10.10,10.20,10.00,10.10,+0.05,204,8397160
104/01/06,837493,10.05,10.10,9.98,9.99,-0.11,208,8387611
104/01/07,1022627,10.05,10.40,10.05,10.30,+0.31,336,10487842
104/01/08,631106,10.50,10.50,10.25,10.30,0.00,176,6536928
104/01/09,449592,10.30,10.30,10.15,10.20,-0.10,151,4588124
104/01/12,300857,10.20,10.30,10.05,10.15,-0.05,117,3049853
104/01/13,751263,10.15,10.15,9.96,9.99,-0.16,198,7510354
104/01/14,385888,9.99,9.99,9.86,9.87,-0.12,146,3816234
104/01/15,571976,9.87,10.00,9.87,9.94,+0.07,128,5673979
104/01/16,239347,9.98,9.98,9.85,9.87,-0.07,86,2369969
104/01/19,329955,9.87,9.91,9.82,9.85,-0.02,123,3253028
104/01/20,269857,9.85,9.95,9.79,9.91,+0.06,89,2666767
104/01/21,520340,10.10,10.10,9.87,9.95,+0.04,122,5177243
104/01/22,299855,9.96,9.98,9.92,9.92,-0.03,101,2982794
104/01/23,1034566,9.95,10.15,9.92,10.00,+0.08,221,10348327
104/01/26,972909,10.00,10.30,10.00,10.05,+0.05,259,9880632
104/01/27,465263,10.10,10.20,10.00,10.05,0.00,115,4678980
104/01/28,216083,10.00,10.15,9.99,10.00,-0.05,81,2164401
104/01/29,319195,9.98,9.99,9.88,9.92,-0.08,131,3163252
104/01/30,191867,9.88,9.97,9.88,9.94,+0.02,83,1900961
104/02/02,230669,9.87,9.94,9.83,9.88,-0.06,83,2279041
104/02/03,297415,9.98,9.98,9.81,9.85,-0.03,110,2932349
104/02/04,346200,9.85,9.96,9.80,9.85,0.00,125,3403756
104/02/05,254524,9.84,9.90,9.79,9.79,-0.06,110,2501367
104/02/06,194213,9.79,9.83,9.71,9.72,-0.07,99,1894245
104/02/09,169797,9.72,9.75,9.65,9.70,-0.02,65,1647768
104/02/10,318103,9.71,9.82,9.69,9.69,-0.01,107,3100766
104/02/11,639457,9.72,9.72,9.54,9.60,-0.09,156,6151470
104/02/12,833545,9.60,9.60,9.45,9.47,-0.13,218,7910623
104/02/13,606302,9.47,9.60,9.45,9.51,+0.04,123,5764980
104/02/24,238315,9.50,9.62,9.50,9.52,+0.01,106,2273262
104/02/25,550891,9.52,9.60,9.51,9.54,+0.02,160,5256415
104/02/26,193309,9.54,9.58,9.51,9.51,-0.03,105,1841391
104/03/02,573635,9.52,9.60,9.52,9.54,+0.03,190,5481071
104/03/03,421896,9.54,9.56,9.52,9.52,-0.02,145,4021770
104/03/04,438863,9.52,9.55,9.46,9.50,-0.02,141,4168924
104/03/05,308372,9.50,9.57,9.46,9.48,-0.02,79,2926816
104/03/06,1126910,9.50,9.66,9.48,9.65,+0.17,266,10796891
104/03/09,5420864,9.70,10.30,9.65,10.30,+0.65,1007,55581248
104/03/10,2026837,10.30,10.30,9.96,10.20,-0.10,609,20474125
