聯一光,	3441
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1182023,19.25,20.35,19.15,19.70,+0.45,393,23625650
104/01/06,197000,19.50,19.90,19.45,19.55,-0.15,118,3874400
104/01/07,72000,19.50,19.70,19.30,19.50,-0.05,42,1402850
104/01/08,104060,19.70,19.80,19.45,19.50,0.00,70,2040714
104/01/09,77050,19.55,19.75,19.40,19.40,-0.10,46,1504565
104/01/12,75250,19.55,19.85,19.20,19.45,+0.05,44,1465287
104/01/13,24340,19.35,19.45,19.30,19.35,-0.10,22,471377
104/01/14,32060,19.35,19.50,19.35,19.35,0.00,26,621952
104/01/15,71378,19.40,19.45,19.30,19.35,0.00,33,1384157
104/01/16,37640,19.30,19.45,19.00,19.00,-0.35,30,720305
104/01/19,99006,19.10,19.40,18.70,18.75,-0.25,55,1890811
104/01/20,116204,18.80,19.00,18.75,18.95,+0.20,54,2196565
104/01/21,42858,19.00,19.30,19.00,19.20,+0.25,31,822052
104/01/22,106750,19.20,19.60,19.00,19.45,+0.25,59,2060537
104/01/23,306262,19.45,19.75,19.15,19.15,-0.30,97,5998478
104/01/26,30200,19.15,19.40,19.15,19.40,+0.25,27,583160
104/01/27,43060,19.20,19.40,19.20,19.20,-0.20,32,830395
104/01/28,72000,19.20,19.40,19.15,19.15,-0.05,41,1387350
104/01/29,42204,19.20,19.20,19.00,19.10,-0.05,30,804176
104/01/30,61168,19.15,19.20,18.85,18.85,-0.25,32,1168515
104/02/02,34000,18.90,19.00,18.80,18.85,0.00,17,644100
104/02/03,92120,19.00,19.30,18.90,19.00,+0.15,39,1752118
104/02/04,56060,19.10,19.15,19.00,19.00,0.00,22,1069334
104/02/05,128591,19.00,19.40,19.00,19.35,+0.35,82,2483996
104/02/06,62090,19.15,19.35,19.15,19.25,-0.10,44,1196390
104/02/09,24000,19.35,19.35,19.10,19.10,-0.15,17,459800
104/02/10,103233,19.10,19.15,18.90,19.10,0.00,37,1964102
104/02/11,88164,18.80,19.20,18.80,19.15,+0.05,48,1686740
104/02/12,21967,18.95,19.10,18.95,19.10,-0.05,18,417773
104/02/13,46000,19.10,19.10,18.90,18.90,-0.20,27,870550
104/02/24,69310,19.00,19.00,18.80,19.00,+0.10,41,1309808
104/02/25,49440,19.05,19.40,19.00,19.40,+0.40,37,947741
104/02/26,76368,19.40,19.50,19.15,19.15,-0.25,28,1473247
104/03/02,126100,19.15,19.15,18.90,19.15,0.00,39,2395565
104/03/03,462094,19.20,19.70,18.95,19.65,+0.50,132,8977351
104/03/04,284060,19.65,19.70,19.20,19.25,-0.40,108,5524846
104/03/05,159000,19.25,19.45,19.20,19.25,0.00,60,3064050
104/03/06,85150,19.35,19.35,19.20,19.25,0.00,40,1639665
104/03/09,48155,19.15,19.40,19.15,19.40,+0.15,26,923841
