泓格,	3577
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,269000,44.80,44.80,44.00,44.70,-0.10,161,11924050
104/01/06,138000,44.00,44.40,44.00,44.35,-0.35,92,6093850
104/01/07,132005,44.80,45.50,44.20,44.30,-0.05,119,5903935
104/01/08,80042,44.55,44.95,44.40,44.75,+0.45,71,3565244
104/01/09,86000,45.40,45.40,44.30,44.65,-0.10,78,3849850
104/01/12,98895,44.60,45.40,44.05,44.80,+0.15,87,4423288
104/01/13,150274,45.70,45.90,44.95,45.90,+1.10,115,6840621
104/01/14,127000,46.00,46.50,45.15,45.45,-0.45,101,5802800
104/01/15,61000,45.90,45.90,44.70,44.75,-0.70,51,2743100
104/01/16,89005,44.50,44.70,44.05,44.05,-0.70,65,3933869
104/01/19,81300,44.10,44.50,43.05,43.25,-0.80,59,3574894
104/01/20,55000,43.25,43.80,43.25,43.80,+0.55,36,2389900
104/01/21,25000,43.55,44.10,43.55,43.60,-0.20,23,1093600
104/01/22,137000,44.15,44.15,43.30,43.30,-0.30,87,5960400
104/01/23,104000,43.00,43.75,43.00,43.20,-0.10,65,4506900
104/01/26,46000,43.20,43.90,43.00,43.00,-0.20,32,1992000
104/01/27,64000,43.00,43.50,43.00,43.20,+0.20,54,2760950
104/01/28,124000,43.00,43.20,42.35,42.55,-0.65,95,5297800
104/01/29,55000,42.55,42.95,42.25,42.70,+0.15,51,2341650
104/01/30,82000,43.00,43.35,42.60,43.35,+0.65,77,3524000
104/02/02,107000,43.50,43.95,42.60,42.70,-0.65,94,4623500
104/02/03,22000,43.40,43.40,42.70,42.75,+0.05,17,941300
104/02/04,44000,42.75,43.35,42.75,43.00,+0.25,37,1891850
104/02/05,20000,43.15,43.25,42.75,42.75,-0.25,19,860750
104/02/06,60000,42.85,42.90,42.25,42.25,-0.50,50,2553300
104/02/09,52000,42.05,42.05,41.40,41.40,-0.85,43,2168550
104/02/10,85000,42.00,42.15,40.65,41.10,-0.30,72,3514100
104/02/11,167030,41.00,41.00,39.70,39.75,-1.35,138,6708403
104/02/12,84000,39.75,39.85,39.10,39.40,-0.35,68,3305750
104/02/13,112000,39.20,40.90,39.20,40.50,+1.10,92,4513600
104/02/24,78000,41.40,41.95,41.25,41.70,+1.20,53,3248300
104/02/25,57000,41.95,42.25,41.35,41.70,0.00,33,2376150
104/02/26,26000,41.35,41.70,41.05,41.25,-0.45,25,1073900
104/03/02,52000,41.25,42.10,41.15,42.10,+0.85,41,2170750
104/03/03,30000,42.30,42.30,41.65,41.80,-0.30,23,1258050
104/03/04,94000,42.00,42.80,41.70,42.75,+0.95,62,3970750
104/03/05,106000,43.20,43.40,42.50,42.75,0.00,73,4542950
104/03/06,136000,42.20,42.90,41.70,42.90,+0.15,94,5733900
104/03/09,53000,42.60,42.85,42.00,42.80,-0.10,43,2251750
104/03/10,94015,42.10,42.55,41.95,42.40,-0.40,79,3969381
104/03/11,126000,42.00,42.00,40.60,40.60,-1.80,99,5219900
104/03/12,130001,40.95,41.60,40.35,40.60,0.00,100,5302340
104/03/13,100183,41.95,41.95,40.40,40.55,-0.05,91,4110769
104/03/16,83000,40.90,41.65,40.90,41.00,+0.45,73,3422200
104/03/17,94000,41.00,41.35,40.50,41.35,+0.35,71,3853400
104/03/18,21000,41.00,41.20,40.65,40.85,-0.50,13,860550
104/03/19,56040,41.00,41.45,40.50,41.05,+0.20,39,2294998
104/03/20,243050,41.20,41.20,40.00,41.10,+0.05,148,9873900
104/03/23,58000,41.30,41.30,40.65,40.90,-0.20,44,2367550
104/03/24,41000,40.70,41.10,40.60,41.10,+0.20,31,1677750
104/03/25,42000,41.30,41.50,40.90,40.90,-0.20,35,1724350
104/03/26,66000,39.50,41.00,39.50,41.00,+0.10,60,2656300
104/03/27,24000,40.90,40.90,40.20,40.40,-0.60,21,969250
104/03/30,78001,40.45,40.45,39.55,39.80,-0.60,59,3126340
104/03/31,57045,39.80,40.80,39.80,40.80,+1.00,45,2297186
104/04/01,57000,40.80,41.20,40.40,41.00,+0.20,49,2322300
104/04/02,40000,41.50,41.50,40.50,41.00,0.00,40,1638100
104/04/07,36060,40.80,40.85,40.65,40.75,-0.25,34,1468919
104/04/08,79031,40.40,40.55,40.30,40.50,-0.25,58,3195917
104/04/09,77002,40.30,40.50,39.90,40.15,-0.35,60,3087780
104/04/10,57055,40.55,41.00,40.00,40.10,-0.05,56,2296950
104/04/13,149000,40.35,41.45,40.35,41.30,+1.20,105,6113550
104/04/14,108070,41.70,42.20,41.50,41.80,+0.50,80,4521755
104/04/15,108000,42.50,42.60,41.70,42.30,+0.50,92,4556500
104/04/16,95000,42.45,42.45,41.50,42.35,+0.05,66,3995350
104/04/17,65001,42.00,42.35,41.85,42.30,-0.05,40,2731642
104/04/20,932440,42.50,45.25,42.30,45.25,+2.95,548,41454960
104/04/21,2179517,46.20,48.40,46.20,47.50,+2.25,1171,103550252
104/04/22,1765663,47.50,48.30,45.20,46.90,-0.60,1043,82667128
104/04/23,710021,47.00,47.45,45.65,46.50,-0.40,502,32902735
104/04/24,1716000,46.50,48.50,43.50,44.00,-2.50,1047,80414050
104/04/27,725092,44.00,44.00,42.30,42.80,-1.20,495,31214628
104/04/28,438000,43.10,43.10,41.80,42.35,-0.45,288,18552400
104/04/29,420021,42.35,43.00,41.00,41.05,-1.30,290,17606306
104/04/30,190000,41.05,41.70,41.00,41.35,+0.30,145,7856650
104/05/04,250100,41.35,42.45,40.90,42.10,+0.75,181,10473595
104/05/05,219372,42.40,42.80,41.50,42.20,+0.10,149,9272536
104/05/06,162020,42.05,43.00,42.00,43.00,+0.80,104,6904454
104/05/07,202000,43.10,43.10,41.80,42.80,-0.20,130,8593050
104/05/08,90000,43.00,43.10,42.25,42.90,+0.10,67,3844250
104/05/11,185040,43.00,43.00,40.65,41.70,-1.20,114,7670356
104/05/12,106000,41.05,41.50,41.00,41.50,-0.20,65,4359500
104/05/13,76000,41.10,41.45,40.65,41.45,-0.05,67,3109950
104/05/14,101011,41.00,41.25,40.60,41.00,-0.45,57,4136905
104/05/15,132001,41.00,41.00,40.30,40.30,-0.70,98,5335940
104/05/18,189000,40.30,40.30,37.80,38.55,-1.75,118,7408100
104/05/19,57002,38.00,39.40,38.00,38.60,+0.05,51,2217976
104/05/20,67029,38.80,39.45,38.70,38.70,+0.10,51,2612966
104/05/21,165010,36.00,37.95,36.00,37.20,-1.50,116,6129775
104/05/22,94000,36.75,37.95,36.75,37.40,+0.20,67,3507400
104/05/25,69000,38.40,38.40,37.80,38.10,+0.70,46,2632250
104/05/26,33000,39.70,39.70,38.15,38.60,+0.50,30,1269100
104/05/27,39000,38.10,38.60,38.10,38.50,-0.10,36,1492900
104/05/28,79000,39.10,39.50,38.80,39.00,+0.50,50,3085050
104/05/29,115000,39.70,40.50,39.35,40.20,+1.20,87,4594600
104/06/01,59000,40.20,40.20,38.50,39.80,-0.40,44,2343400
104/06/02,38000,39.50,39.50,39.15,39.30,-0.50,29,1496250
104/06/03,124000,40.40,41.00,40.05,40.10,+0.80,72,5008600
104/06/04,83000,40.00,40.00,38.15,38.90,-1.20,56,3246500
104/06/05,45000,38.85,39.00,38.30,39.00,+0.10,27,1735450
104/06/08,39000,37.60,39.50,37.60,39.00,0.00,28,1502200
104/06/09,167000,39.00,39.00,36.10,36.35,-2.65,89,6207400
104/06/10,228000,36.50,36.95,35.00,36.20,-0.15,115,8182900
104/06/11,45000,36.95,37.60,36.50,37.00,+0.80,36,1662150
104/06/12,36000,37.00,37.30,36.60,37.10,+0.10,25,1332300
104/06/15,34000,37.00,37.30,36.40,36.80,-0.30,21,1252050
104/06/16,18000,36.15,36.75,36.15,36.75,-0.05,14,659900
104/06/17,17000,36.30,36.90,35.65,36.50,-0.25,9,620000
104/06/18,30000,37.00,37.00,36.10,36.70,+0.20,27,1093700
104/06/22,36000,37.00,37.20,36.90,37.10,+0.40,18,1336250
104/06/23,31000,37.50,37.50,37.20,37.30,+0.20,24,1158400
104/06/24,18000,37.50,37.55,37.35,37.40,+0.10,16,674000
104/06/25,26000,37.90,37.90,37.40,37.80,+0.40,17,981350
104/06/26,47000,38.30,38.50,37.80,38.00,+0.20,31,1793500
104/06/29,27000,37.40,37.40,37.00,37.40,-0.60,20,1003600
104/06/30,68102,37.00,37.70,36.50,37.00,-0.40,53,2505759
104/07/01,60000,37.00,37.20,36.55,37.00,0.00,38,2214800
104/07/02,46000,37.20,37.20,36.60,36.70,-0.30,34,1695700
104/07/03,44000,36.20,37.40,36.20,37.20,+0.50,26,1627700
104/07/06,21000,37.20,37.20,36.40,36.90,-0.30,16,769200
104/07/07,38000,37.10,37.30,36.30,36.60,-0.30,34,1394050
104/07/08,84001,37.00,37.50,35.20,36.60,0.00,50,3038686
104/07/09,37000,36.00,36.00,35.25,35.40,-1.20,25,1315650
104/07/13,41000,36.30,36.75,35.80,36.75,+1.35,36,1497350
104/07/14,27000,37.05,37.30,36.25,36.60,-0.15,21,988550
104/07/15,12000,36.60,36.60,36.00,36.10,-0.50,12,434800
104/07/16,33000,36.10,36.80,35.80,36.20,+0.10,28,1195950
104/07/17,17000,36.20,36.50,35.80,36.10,-0.10,17,616000
104/07/20,14000,35.85,36.10,35.60,35.60,-0.50,14,499950
104/07/21,110000,35.80,35.80,34.00,34.35,-1.25,84,3799600
104/07/22,41000,34.35,34.50,34.00,34.10,-0.25,28,1402650
104/07/23,49000,33.60,34.30,33.40,33.70,-0.40,36,1651250
104/07/24,96080,33.05,33.30,32.80,32.90,-0.80,72,3174666
