磐儀,	3594
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1728496,56.70,58.70,56.50,58.00,+1.30,1044,100410168
104/01/06,2130953,57.10,59.40,57.10,59.20,+1.20,1392,124750227
104/01/07,4065455,59.90,62.40,59.70,59.70,+0.50,2683,247701168
104/01/08,1425827,59.70,60.10,58.50,58.60,-1.10,980,84227055
104/01/09,1794645,59.60,60.60,58.60,59.80,+1.20,1202,107544465
104/01/12,968160,61.30,61.30,59.60,59.60,-0.20,714,58602830
104/01/13,679974,60.40,60.60,59.80,60.60,+1.00,495,40908428
104/01/14,2467872,60.80,62.30,60.80,61.80,+1.20,1589,152134724
104/01/15,1006500,62.00,62.30,60.70,61.20,-0.60,655,61707594
104/01/16,822004,61.70,61.70,60.20,60.30,-0.90,568,49953034
104/01/19,1356137,61.30,61.60,58.00,58.00,-2.30,913,80430457
104/01/20,483438,58.50,59.10,58.00,59.00,+1.00,391,28348542
104/01/21,510673,59.50,59.50,58.10,58.10,-0.90,370,29896834
104/01/22,635876,58.60,59.80,58.50,59.00,+0.90,442,37643984
104/01/23,468812,59.70,59.70,58.10,58.30,-0.70,361,27549736
104/01/26,435443,58.10,58.90,57.90,58.00,-0.30,284,25343646
104/01/27,339691,58.40,58.60,57.60,57.60,-0.40,253,19689801
104/01/28,551235,57.60,57.70,56.50,56.70,-0.90,390,31381595
104/01/29,327970,56.90,57.30,56.80,56.80,+0.10,236,18690390
104/01/30,239698,57.40,57.50,56.70,56.70,-0.10,151,13672366
104/02/02,190524,57.50,57.50,56.20,56.30,-0.40,130,10780244
104/02/03,198559,56.80,56.80,56.20,56.20,-0.10,144,11199171
104/02/04,172201,56.50,57.20,56.00,56.30,+0.10,141,9720956
104/02/05,388950,56.50,56.70,55.30,55.40,-0.90,258,21632314
104/02/06,413742,55.70,56.80,55.70,56.30,+0.90,316,23311094
104/02/09,243322,56.30,56.40,55.30,55.30,-1.00,180,13584800
104/02/10,1095419,55.30,55.30,51.80,52.50,-2.80,661,57950135
104/02/11,852255,52.50,52.90,51.20,51.20,-1.30,620,43984232
104/02/12,392160,51.30,52.20,50.90,51.20,0.00,280,20134560
104/02/13,288156,51.20,51.60,51.10,51.20,0.00,216,14776685
104/02/24,320069,51.30,51.70,50.70,51.10,-0.10,230,16371866
104/02/25,657913,51.20,51.70,51.10,51.30,+0.20,424,33796733
104/02/26,333967,51.30,51.70,51.00,51.30,0.00,245,17130804
104/03/02,151200,51.30,51.40,50.70,50.90,-0.40,123,7725580
104/03/03,183690,51.20,51.20,50.90,51.00,+0.10,153,9371690
104/03/04,433980,50.80,52.30,50.60,51.90,+0.90,315,22524068
104/03/05,662281,52.30,52.30,50.90,51.00,-0.90,382,33929158
104/03/06,349013,51.10,51.50,50.70,50.80,-0.20,273,17808858
104/03/09,508960,50.80,52.30,50.80,51.60,+0.80,385,26391831
104/03/10,1139672,52.00,54.20,51.60,52.50,+0.90,844,60474645
104/03/11,518279,51.60,52.20,51.50,51.50,-1.00,333,26771694
104/03/12,418450,51.50,52.50,51.50,51.90,+0.40,277,21794454
104/03/13,284118,52.10,52.80,51.60,52.00,+0.10,211,14805536
104/03/16,643900,52.10,53.10,52.00,52.00,0.00,394,33880970
104/03/17,415541,52.60,52.60,50.50,50.80,-1.20,331,21330043
104/03/18,207380,51.00,51.30,50.70,50.80,0.00,157,10575080
104/03/19,419908,51.10,52.40,51.10,51.60,+0.80,298,21746160
104/03/20,566993,52.00,52.00,50.50,50.70,-0.90,426,28936642
104/03/23,722350,51.20,51.60,50.50,50.80,+0.10,332,36855478
104/03/24,163688,50.90,51.30,50.80,51.00,+0.20,137,8357780
104/03/25,502150,51.30,52.20,51.10,51.20,+0.20,451,25909559
104/03/26,290354,50.80,51.00,50.50,50.50,-0.70,307,14714429
104/03/27,922073,50.50,50.90,47.25,47.40,-3.10,772,44613452
104/03/30,1295011,47.40,47.65,44.10,44.15,-3.25,973,57975497
104/03/31,623305,44.40,45.90,43.80,45.20,+1.05,475,27716362
104/04/01,765940,48.00,48.35,47.10,48.35,+3.15,554,36611847
104/04/02,1177687,49.65,49.80,48.60,48.85,+0.50,790,58071363
104/04/07,401885,49.70,49.70,47.80,47.80,-1.05,343,19435680
104/04/08,212711,47.60,48.30,47.60,47.70,-0.10,187,10189728
104/04/09,344592,47.90,47.95,46.30,46.35,-1.35,296,16248881
104/04/10,269083,46.35,46.60,45.05,45.20,-1.15,220,12262418
104/04/13,774118,45.60,47.80,44.90,47.25,+2.05,541,35755108
104/04/14,306241,47.25,48.20,47.20,47.35,+0.10,277,14595747
104/04/15,168300,47.60,47.60,46.45,46.55,-0.80,143,7889828
104/04/16,148861,46.95,46.95,46.20,46.30,-0.25,132,6922957
104/04/17,366592,46.40,46.40,44.85,45.00,-1.30,271,16574790
104/04/20,212756,45.00,45.00,44.10,44.60,-0.40,176,9451696
104/04/21,354589,44.85,45.35,41.70,43.25,-1.35,256,15582420
104/04/22,160880,43.40,43.95,43.20,43.30,+0.05,128,6989201
104/04/23,191418,42.60,43.90,42.60,43.60,+0.30,154,8319972
104/04/24,177500,44.20,45.20,43.55,44.65,+1.05,158,7916374
104/04/27,130280,44.95,44.95,44.10,44.40,-0.25,119,5801828
104/04/28,144130,44.30,44.30,43.30,43.30,-1.10,127,6298318
104/04/29,144458,42.80,43.05,42.55,42.70,-0.60,109,6180412
104/04/30,295504,42.10,43.20,42.00,43.00,+0.30,186,12595019
104/05/04,193805,43.00,43.00,41.80,41.85,-1.15,158,8177828
104/05/05,222273,41.85,42.40,41.20,41.90,+0.05,145,9306908
104/05/06,211352,42.00,43.50,42.00,43.00,+1.10,181,9060997
104/05/07,196154,44.45,44.45,43.00,43.10,+0.10,154,8571686
104/05/08,239367,43.25,43.35,41.55,41.55,-1.55,212,10020388
104/05/11,715447,41.75,41.95,38.65,38.65,-2.90,436,27840233
104/05/12,511778,36.20,38.00,36.20,38.00,-0.65,367,18905949
104/05/13,164050,37.80,39.00,37.60,38.05,+0.05,142,6285812
104/05/14,323337,38.00,38.65,36.80,36.80,-1.25,255,12028583
104/05/15,826944,37.00,37.80,35.90,35.90,-0.90,395,30596134
104/05/18,513882,36.30,36.95,36.00,36.20,+0.30,336,18686033
104/05/19,282515,36.95,36.95,35.70,36.20,0.00,240,10201190
