晟楠,	3631
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,475064,49.10,49.45,47.80,48.40,-0.60,259,23032634
104/01/06,490016,47.80,51.40,47.65,51.00,+2.60,307,24463259
104/01/07,571171,51.60,53.80,51.20,53.80,+2.80,367,30112361
104/01/08,465442,53.90,53.90,52.60,53.30,-0.50,264,24732837
104/01/09,706330,54.20,54.30,53.10,53.10,-0.20,319,37907290
104/01/12,373304,53.10,53.40,52.90,53.00,-0.10,207,19842517
104/01/13,717709,53.00,56.70,52.80,56.70,+3.70,423,39742088
104/01/14,946321,57.80,60.50,56.00,60.50,+3.80,612,55399415
104/01/15,956554,60.50,61.90,59.50,61.60,+1.10,640,58169851
104/01/16,594454,61.50,62.90,60.60,62.20,+0.60,340,36794198
104/01/19,1568393,63.10,65.80,57.90,58.30,-3.90,1083,96558850
104/01/20,912927,58.30,62.30,58.30,62.30,+4.00,689,55420674
104/01/21,962106,62.30,65.40,62.30,63.50,+1.20,723,61413292
104/01/22,451901,63.90,64.40,62.40,63.80,+0.30,338,28723312
104/01/23,379657,63.80,64.90,62.80,63.60,-0.20,271,24126721
104/01/26,506772,63.50,64.00,60.80,60.90,-2.70,375,31460406
104/01/27,582290,61.00,61.60,58.20,58.60,-2.30,438,34579534
104/01/28,825574,58.00,58.00,55.20,56.40,-2.20,525,46629144
104/01/29,440548,56.60,58.60,56.10,58.10,+1.70,323,25314084
104/01/30,192415,57.80,58.20,56.70,56.70,-1.40,142,10971004
104/02/02,449553,56.00,56.60,53.00,53.20,-3.50,355,24368952
104/02/03,165656,53.40,54.70,53.40,53.80,+0.60,138,8958396
104/02/04,265715,54.20,55.20,53.90,54.70,+0.90,242,14499579
104/02/05,467397,55.00,58.50,55.00,58.50,+3.80,279,27076024
104/02/06,1132162,59.50,61.90,58.90,59.60,+1.10,720,68205103
104/02/09,331275,59.60,59.60,57.50,59.60,0.00,230,19421707
104/02/10,221178,59.40,59.40,58.30,58.60,-1.00,165,13005157
104/02/11,149891,58.30,59.30,58.30,59.30,+0.70,110,8825579
104/02/12,250027,59.40,59.90,58.10,59.20,-0.10,175,14724782
104/02/13,157022,59.20,59.20,58.50,58.70,-0.50,103,9237884
104/02/24,244113,58.60,59.70,57.70,57.90,-0.80,128,14318120
104/02/25,837999,57.90,57.90,53.90,54.50,-3.40,484,46441644
104/02/26,263132,54.50,55.50,54.10,54.80,+0.30,176,14431880
104/03/02,156328,55.00,55.10,53.50,53.50,-1.30,97,8488548
104/03/03,368149,53.50,53.80,51.50,52.00,-1.50,219,19250417
104/03/04,571404,51.90,51.90,49.35,49.50,-2.50,354,28858554
104/03/05,189086,49.30,50.50,49.30,49.55,+0.05,143,9436810
104/03/06,347285,49.60,50.00,47.50,47.80,-1.75,238,16802066
104/03/09,337000,47.50,51.10,47.50,50.00,+2.20,236,16668400
104/03/10,158000,50.00,50.90,49.20,50.00,0.00,131,7899250
104/03/11,233000,49.80,50.50,49.00,49.10,-0.90,114,11584050
104/03/12,268000,49.05,49.85,47.60,47.60,-1.50,145,12943100
104/03/13,77082,47.75,48.90,47.75,48.50,+0.90,68,3734056
104/03/16,136199,49.80,49.80,48.70,48.90,+0.40,82,6703031
104/03/17,75001,49.50,49.50,48.70,49.45,+0.55,66,3691399
104/03/18,321000,49.40,50.80,49.15,49.20,-0.25,175,15977950
104/03/19,111081,50.20,50.20,49.45,49.45,+0.25,79,5528735
104/03/20,107430,49.60,49.90,49.50,49.90,+0.45,75,5342063
104/03/23,328312,50.60,53.10,50.50,52.20,+2.30,230,16998024
104/03/24,322460,52.40,53.90,52.40,53.30,+1.10,223,17116480
104/03/25,468086,53.60,54.40,50.60,51.20,-2.10,353,24613186
104/03/26,178000,51.20,51.60,49.80,51.40,+0.20,108,9023500
104/03/27,583399,51.40,52.20,47.85,47.85,-3.55,383,28811837
104/03/30,124007,44.55,44.55,44.55,44.55,-3.30,49,5524511
104/03/31,107000,41.45,41.45,41.45,41.45,-3.10,55,4435150
104/04/01,14000,38.55,38.55,38.55,38.55,-2.90,9,539700
104/04/02,60010,35.90,35.90,35.90,35.90,-2.65,34,2154359
104/04/07,1850513,33.40,38.40,33.40,37.65,+1.75,792,66307309
104/04/08,653000,38.40,39.80,37.80,39.60,+1.95,357,25306100
104/04/09,665000,36.85,38.60,36.85,37.10,-2.50,296,24627850
104/04/10,535083,37.70,37.80,34.55,34.55,-2.55,252,18688417
104/04/13,287015,34.60,34.60,32.15,32.15,-2.40,180,9347386
104/04/14,471060,30.15,34.40,30.15,34.35,+2.20,272,15282408
104/04/15,205001,33.00,34.35,32.50,32.60,-1.75,145,6867832
104/04/16,300001,32.60,34.00,32.05,33.80,+1.20,172,10077083
104/04/17,159000,34.00,34.20,32.60,32.70,-1.10,113,5295200
104/04/20,87000,33.20,33.20,31.70,31.70,-1.00,64,2826750
104/04/21,132000,32.20,33.25,31.70,31.70,0.00,83,4213600
104/04/22,528082,31.70,32.00,29.50,29.85,-1.85,282,15952677
104/04/23,337665,30.50,31.45,29.70,31.00,+1.15,169,10323547
104/04/24,189480,31.30,32.45,31.20,32.25,+1.25,134,6063111
104/04/27,231000,34.35,34.50,34.35,34.50,+2.25,98,7953600
104/04/28,940210,36.90,36.90,35.65,36.00,+1.50,526,34386060
104/04/29,365000,35.80,35.80,33.55,34.15,-1.85,237,12578550
104/04/30,520300,32.60,33.80,31.85,31.90,-2.25,266,16979459
104/05/04,301000,31.95,31.95,29.75,31.10,-0.80,183,9171500
104/05/05,177001,30.50,32.20,30.20,31.30,+0.20,85,5474681
104/05/06,283011,31.30,31.30,30.85,31.30,0.00,64,8836847
104/05/07,55000,31.50,31.95,30.65,31.30,0.00,36,1703700
104/05/08,415000,31.30,31.30,30.25,30.25,-1.05,59,12583750
104/05/11,118000,30.35,30.70,29.60,30.25,0.00,56,3523700
104/05/12,31000,30.25,30.60,29.50,30.45,+0.20,25,931900
104/05/13,29082,31.20,31.20,30.00,30.30,-0.15,21,886318
104/05/14,83001,30.10,30.15,29.15,29.90,-0.40,62,2463880
104/05/15,192000,29.45,31.25,27.90,30.60,+0.70,148,5571000
104/05/18,239000,30.55,31.45,29.95,30.60,0.00,72,7302100
104/05/19,45000,30.50,30.95,30.50,30.85,+0.25,30,1378750
104/05/20,320016,30.30,31.00,30.30,30.95,+0.10,22,9902191
104/05/21,114000,30.50,31.50,30.05,30.90,-0.05,62,3514500
104/05/22,201329,30.90,32.50,30.90,32.25,+1.35,144,6454595
104/05/25,71082,33.00,33.00,31.55,31.55,-0.70,53,2268808
104/05/26,19082,32.25,32.25,31.50,31.50,-0.05,15,602208
104/05/27,83000,31.50,32.00,30.50,31.20,-0.30,42,2587450
104/05/28,44000,30.55,30.70,30.50,30.50,-0.70,30,1344050
104/05/29,46000,30.00,30.10,30.00,30.00,-0.50,39,1381600
104/06/01,34000,28.00,29.60,28.00,29.10,-0.90,28,976300
104/06/02,63000,29.10,29.20,28.50,29.15,+0.05,42,1818400
104/06/03,69000,29.05,29.15,28.70,29.15,0.00,39,1993950
104/06/04,210000,29.70,31.60,29.60,30.35,+1.20,166,6463400
104/06/05,661082,30.40,33.35,30.00,32.20,+1.85,362,21573627
104/06/08,703480,32.00,35.40,31.90,35.40,+3.20,441,24177192
104/06/09,684174,36.10,37.00,31.90,31.90,-3.50,462,23858137
104/06/10,204200,32.00,34.00,32.00,33.00,+1.10,153,6752150
104/06/11,275000,33.20,33.20,30.60,31.00,-2.00,173,8674500
104/06/12,493000,31.00,31.95,28.60,29.20,-1.80,313,14676800
104/06/15,2391000,28.20,29.05,27.15,27.20,-2.00,261,65316750
104/06/16,243036,28.80,29.90,28.80,29.90,+2.70,171,7160826
104/06/17,497250,29.50,32.85,29.20,31.50,+1.60,359,15722950
104/06/18,249000,31.50,32.00,30.10,30.50,-1.00,171,7690950
104/06/22,67290,30.60,31.40,30.25,30.25,-0.25,56,2062395
104/06/23,112039,30.85,32.25,30.85,31.40,+1.15,80,3537462
104/06/24,164000,34.45,34.45,31.65,31.95,+0.55,123,5356500
104/06/25,74000,31.30,32.10,31.20,31.50,-0.45,53,2334450
104/06/26,77000,31.95,32.40,31.70,32.20,+0.70,56,2459900
104/06/29,235000,31.25,34.80,30.50,32.20,0.00,178,7628400
104/06/30,217082,32.50,33.85,32.35,33.45,+1.25,162,7163714
104/07/01,166000,33.45,34.30,33.10,33.50,+0.05,103,5561450
104/07/02,209000,33.90,33.95,32.00,32.20,-1.30,108,6784400
104/07/03,250082,32.50,32.50,31.25,31.50,-0.70,62,7896708
104/07/06,59000,31.35,32.45,30.20,30.20,-1.30,51,1862300
104/07/07,93200,30.45,31.10,30.05,30.05,-0.15,63,2839990
104/07/08,347000,30.05,30.05,28.00,29.20,-0.85,166,9933650
104/07/09,158000,28.50,28.80,26.30,28.80,-0.40,116,4352450
104/07/13,88000,29.00,29.60,28.50,28.70,-0.10,57,2544500
104/07/14,150246,28.35,28.50,27.60,27.90,-0.80,94,4198689
