政翔,	3685
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1071077,25.75,25.75,24.80,25.30,+0.80,463,26931190
104/01/06,1387075,25.25,26.50,25.00,26.05,+0.75,647,35989553
104/01/07,2027004,26.05,27.70,26.05,27.15,+1.10,874,55041158
104/01/08,2578003,27.15,28.80,27.05,27.40,+0.25,1093,72026681
104/01/09,1191003,27.40,28.20,27.40,28.00,+0.60,465,33127284
104/01/12,1027002,28.00,28.75,28.00,28.10,+0.10,403,29120456
104/01/13,624003,28.10,28.50,28.10,28.20,+0.10,242,17662134
104/01/14,553002,28.30,28.50,28.10,28.30,+0.10,193,15644606
104/01/15,512001,28.45,28.50,28.15,28.50,+0.20,184,14487829
104/01/16,1700009,28.95,30.00,28.80,29.65,+1.15,803,50207861
104/01/19,1550039,30.15,30.15,27.90,27.90,-1.75,634,45125721
104/01/20,764239,27.50,29.25,27.50,29.20,+1.30,557,21821433
104/01/21,647377,29.40,29.80,29.00,29.80,+0.60,347,19158843
104/01/22,471098,30.00,30.30,29.80,29.95,+0.15,299,14119940
104/01/23,694051,30.20,30.20,29.20,29.85,-0.10,304,20698430
104/01/26,251044,29.85,29.85,29.40,29.55,-0.30,139,7428770
104/01/27,259058,29.55,30.00,29.55,29.85,+0.30,186,7700242
104/01/28,280100,29.80,29.80,29.40,29.65,-0.20,163,8270538
104/01/29,348091,29.70,29.70,29.30,29.35,-0.30,183,10254433
104/01/30,221090,29.40,29.40,29.15,29.20,-0.15,207,6473760
104/02/02,237010,29.15,29.15,28.80,28.90,-0.30,131,6858440
104/02/03,109000,29.00,29.20,28.80,29.20,+0.30,54,3155650
104/02/04,187008,29.20,29.20,28.90,28.95,-0.25,79,5425598
104/02/05,1531101,28.80,28.80,26.95,26.95,-2.00,513,42019406
104/02/06,1335001,25.50,26.90,25.10,26.70,-0.25,473,34171178
104/02/09,1310000,24.85,25.15,24.85,24.85,-1.85,464,32642550
104/02/10,502001,24.85,24.85,23.70,24.05,-0.80,228,12096076
104/02/11,130000,24.20,24.85,24.05,24.80,+0.75,89,3171650
104/02/12,132000,24.80,25.05,24.50,24.90,+0.10,44,3278250
104/02/13,50000,24.90,25.05,24.90,25.05,+0.15,29,1249200
104/02/24,282003,25.10,25.60,25.10,25.25,+0.20,161,7151378
104/02/25,176001,25.25,25.65,25.25,25.65,+0.40,96,4483227
104/02/26,653000,25.65,27.40,25.65,26.85,+1.20,325,17467050
104/03/02,270001,26.50,27.20,26.50,26.55,-0.30,113,7224228
104/03/03,122000,26.60,27.25,26.60,27.25,+0.70,73,3300000
104/03/04,192000,27.35,27.60,26.10,27.50,+0.25,107,5231050
104/03/05,172000,27.95,28.10,27.50,27.90,+0.40,99,4779850
104/03/06,251000,27.90,28.00,26.75,27.30,-0.60,113,6840200
104/03/09,480000,27.90,28.50,27.90,28.00,+0.70,241,13485350
104/03/10,278000,28.20,28.45,27.60,28.20,+0.20,116,7837900
104/03/11,118000,28.20,28.30,28.20,28.30,+0.10,59,3331850
104/03/12,246000,28.60,28.60,27.60,27.95,-0.35,84,6897400
104/03/13,138097,28.30,28.30,27.75,27.75,-0.20,128,3862581
104/03/16,157001,27.65,28.00,27.65,27.85,+0.10,67,4364979
104/03/17,192061,27.85,28.45,27.85,27.85,0.00,146,5387878
104/03/18,89000,27.90,28.00,27.85,27.90,+0.05,42,2483600
104/03/19,174050,27.90,28.00,27.70,27.70,-0.20,111,4848152
104/03/20,141000,27.85,28.20,27.70,27.70,0.00,54,3932950
104/03/23,125001,27.80,28.00,27.35,27.90,+0.20,69,3469379
104/03/24,213002,27.90,28.00,27.80,27.95,+0.05,66,5943658
104/03/25,236000,27.95,28.00,27.90,27.95,0.00,81,6596450
104/03/26,1639000,27.95,29.90,27.95,29.90,+1.95,516,47830100
104/03/27,1253021,29.70,29.70,28.60,28.95,-0.95,649,36678660
104/03/30,416040,28.95,29.50,28.80,29.00,+0.05,202,12106900
104/03/31,1631000,29.00,31.00,29.00,31.00,+2.00,665,50012600
104/04/01,1994005,30.70,33.15,30.55,33.15,+2.15,842,65352165
104/04/02,7910000,34.30,35.45,34.20,35.45,+2.30,1925,279010000
104/04/07,6520129,36.70,37.90,35.90,37.90,+2.45,1873,243416794
104/04/08,3608321,38.55,40.40,37.70,38.90,+1.00,1829,141358580
104/04/09,1352074,38.90,39.70,38.00,39.20,+0.30,758,52561408
104/04/10,1575777,39.20,41.90,39.20,41.90,+2.70,619,65427105
104/04/13,2355811,44.80,44.80,39.70,44.80,+2.90,995,102656931
104/04/14,1194801,46.50,47.90,46.50,47.90,+3.10,575,56783416
104/04/15,1220689,51.20,51.20,50.00,51.20,+3.30,522,62150975
104/04/16,949002,47.65,51.20,47.65,47.65,-3.55,371,46494144
104/04/17,674004,46.00,47.90,46.00,46.80,-0.85,208,31549750
104/04/20,339685,46.80,47.80,46.80,47.70,+0.90,162,16115873
104/04/21,386001,50.00,50.80,48.00,48.50,+0.80,169,19102351
104/04/22,251000,47.35,49.50,47.35,48.95,+0.45,112,12217200
104/04/23,340000,49.00,50.00,49.00,50.00,+1.05,129,16881650
