營邦,	3693
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1342945,120.00,128.00,120.00,128.00,+8.00,737,170606460
104/01/06,2402217,128.00,135.00,127.50,135.00,+7.00,1753,317091295
104/01/07,1851987,136.50,139.50,134.00,134.00,-1.00,1455,254247719
104/01/08,1024215,137.00,138.00,134.00,135.00,+1.00,844,139115346
104/01/09,1394993,138.00,144.00,136.50,144.00,+9.00,1076,198343492
104/01/12,1525686,147.50,150.00,141.00,141.00,-3.00,1218,220543254
104/01/13,1505095,140.00,145.00,139.00,139.00,-2.00,1193,213213705
104/01/14,917130,141.00,143.00,136.50,138.00,-1.00,750,127809005
104/01/15,575500,137.00,140.50,136.50,136.50,-1.50,471,79414750
104/01/16,788237,137.50,141.00,136.50,137.50,+1.00,664,109455086
104/01/19,579120,140.50,140.50,134.50,134.50,-3.00,479,79002700
104/01/20,1282133,135.00,143.50,135.00,143.50,+9.00,942,180856585
104/01/21,1626383,145.00,149.00,141.50,146.00,+2.50,1305,236348535
104/01/22,1103200,148.00,148.00,144.00,144.00,-2.00,869,161062000
104/01/23,1320560,147.00,151.00,145.00,146.00,+2.00,1072,195358200
104/01/26,630100,147.00,148.50,143.50,143.50,-2.50,518,91594849
104/01/27,561000,145.50,145.50,142.00,143.00,-0.50,441,80831000
104/01/28,1009420,141.00,151.00,141.00,149.00,+6.00,813,149100870
104/01/29,470310,148.50,150.50,146.50,147.00,-2.00,377,69554880
104/01/30,1039068,148.00,153.50,147.50,147.50,+0.50,842,156550996
104/02/02,392235,148.00,149.00,145.00,146.00,-1.50,329,57408310
104/02/03,630223,147.00,147.00,142.00,143.00,-3.00,527,90681335
104/02/04,389020,144.50,146.50,144.00,144.00,+1.00,330,56523910
104/02/05,168000,145.00,146.00,143.50,144.00,0.00,139,24290000
104/02/06,992200,145.00,152.00,145.00,149.50,+5.50,828,148061199
104/02/09,1426173,156.50,157.50,153.00,153.00,+3.50,1159,221582727
104/02/10,604175,153.00,153.50,149.00,149.00,-4.00,485,90940925
104/02/11,526244,152.00,152.00,149.00,149.00,0.00,413,78905344
104/02/12,521466,150.50,153.50,149.50,150.00,+1.00,472,78944900
104/02/13,655200,153.00,153.00,148.00,148.00,-2.00,533,97976600
104/02/24,763000,150.00,151.00,145.50,146.00,-2.00,607,112814000
104/02/25,321503,145.00,148.50,145.00,147.00,+1.00,276,47351441
104/02/26,195050,148.00,148.50,146.50,147.00,0.00,179,28754850
104/03/02,916114,148.00,156.00,147.50,154.00,+7.00,807,139745497
104/03/03,510845,154.00,155.00,150.50,150.50,-3.50,435,77489517
104/03/04,616107,150.00,151.50,148.50,151.50,+1.00,461,92260209
104/03/05,343255,152.00,152.50,149.50,150.00,-1.50,285,51696005
104/03/06,697108,151.50,154.50,149.50,152.00,+2.00,578,106291861
104/03/09,3016607,162.50,162.50,159.50,162.50,+10.50,1620,489164636
104/03/10,2217537,164.00,168.50,162.50,163.00,+0.50,1662,365866031
104/03/11,830237,160.00,164.50,160.00,161.50,-1.50,632,134664631
104/03/12,958050,162.00,166.50,162.00,164.00,+2.50,762,157527200
104/03/13,1549995,169.00,172.50,167.50,169.00,+5.00,1220,263596150
104/03/16,590500,171.00,171.50,168.00,169.00,0.00,468,99977500
104/03/17,985660,171.00,171.00,164.00,164.00,-5.00,804,164200560
104/03/18,1084878,165.00,170.50,163.00,169.50,+5.50,868,180737318
104/03/19,1665663,169.50,176.50,167.50,171.00,+1.50,1295,287227699
104/03/20,874660,172.50,174.00,170.00,170.00,-1.00,733,150188180
104/03/23,732012,172.00,172.00,168.50,168.50,-1.50,497,124456660
104/03/24,503673,169.00,171.50,167.00,167.00,-1.50,414,85086910
