新晶投控,	3713
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/03/02,398877,15.50,15.50,14.30,14.80,-1.00,146,5915759
109/03/03,1926703,15.40,15.40,14.00,14.80,0.00,177,26421482
109/03/04,689127,14.15,14.25,13.40,13.95,-0.85,104,9335771
109/03/05,132981,13.50,14.05,13.50,14.00,+0.05,65,1845585
109/03/06,138000,14.20,14.90,13.90,14.10,+0.10,62,1948350
109/03/09,91209,14.00,14.00,13.60,13.70,-0.40,58,1251423
109/03/10,341001,13.00,13.60,12.80,12.80,-0.90,100,4419862
109/03/11,37000,12.85,13.00,12.80,12.95,+0.15,26,477050
109/03/12,116000,12.40,14.10,11.70,11.90,-1.05,59,1411800
109/03/13,266022,12.00,12.00,11.35,11.80,-0.10,78,3095260
109/03/16,141009,12.00,12.95,11.90,12.50,+0.70,57,1762110
109/03/17,24000,11.60,12.40,11.60,12.40,-0.10,16,281400
109/03/18,32085,11.80,12.20,11.70,11.70,-0.70,25,379303
109/03/19,88100,11.50,11.50,10.60,11.00,-0.70,44,949755
109/03/20,115678,11.00,12.10,11.00,12.00,+1.00,53,1364836
109/03/23,12000,10.95,12.20,10.95,11.05,-0.95,9,135650
109/03/24,27275,12.00,12.00,11.20,11.20,+0.15,21,320237
109/03/25,30184,12.05,12.05,11.25,11.60,+0.40,29,349886
109/03/26,63000,11.50,11.60,11.10,11.10,-0.50,28,716600
109/03/27,42000,11.15,11.25,11.10,11.10,0.00,23,469350
109/03/30,14000,11.10,11.20,11.10,11.10,0.00,10,155700
109/03/31,84000,11.60,11.60,10.45,11.00,-0.10,35,928000
109/04/01,93009,11.00,11.00,10.20,10.25,-0.75,53,961692
109/04/06,3064000,10.25,10.85,10.25,10.45,+0.20,21,28357800
109/04/07,153000,10.80,11.45,10.80,11.45,+1.00,65,1734350
109/04/08,180335,12.00,12.55,12.00,12.55,+1.10,86,2248753
109/04/09,271608,12.80,13.80,12.25,13.75,+1.20,125,3588433
109/04/10,45000,13.75,13.75,12.90,13.35,-0.40,36,598100
109/04/13,59000,13.00,13.40,12.85,13.30,-0.05,33,779600
109/04/14,50600,13.45,13.45,12.70,12.90,-0.40,27,650180
109/04/15,22000,13.40,13.40,12.40,13.20,+0.30,14,283500
109/04/16,24000,13.20,13.20,12.75,13.10,-0.10,11,312700
109/04/17,33000,13.35,13.35,12.75,12.85,-0.25,19,425050
109/04/20,29008,13.30,13.30,12.60,12.60,-0.25,18,370694
109/04/21,47000,12.50,13.00,12.40,12.95,+0.35,24,591650
109/04/22,23007,12.95,12.95,12.20,12.95,0.00,15,288439
109/04/23,11203,12.95,12.95,12.65,12.70,-0.25,9,143057
109/04/24,12964,12.40,12.80,12.35,12.80,+0.10,11,163290
109/04/27,13000,12.60,12.80,12.60,12.80,0.00,8,164900
109/04/28,29000,12.70,13.00,12.60,12.65,-0.15,17,367000
109/04/29,56000,12.50,12.70,12.40,12.70,+0.05,26,697400
109/04/30,81000,12.90,13.30,12.60,13.30,+0.60,42,1041500
109/05/04,41000,13.20,13.20,12.65,13.05,-0.25,26,525450
109/05/05,73773,13.05,13.45,12.80,12.80,-0.25,27,950020
109/05/06,32000,12.80,13.00,12.75,12.80,0.00,18,410350
109/05/07,157474,12.95,13.20,12.70,12.85,+0.05,50,2020369
109/05/08,41249,12.90,12.90,12.65,12.90,+0.05,23,528212
109/05/11,124276,12.95,13.40,12.95,13.00,+0.10,52,1631869
109/05/12,46055,13.00,13.05,12.80,12.80,-0.20,29,592504
109/05/13,326248,13.00,14.05,13.00,13.90,+1.10,167,4519034
109/05/14,218000,13.50,13.70,12.90,13.05,-0.85,115,2879150
109/05/15,239000,13.40,13.80,13.20,13.60,+0.55,87,3235500
109/05/18,349000,13.70,13.95,13.05,13.70,+0.10,92,4826600
109/05/19,201117,13.55,13.85,13.25,13.80,+0.10,62,2732029
109/05/20,121000,13.80,13.80,13.30,13.35,-0.45,47,1631700
109/05/21,1255250,13.35,14.65,13.35,14.65,+1.30,269,17871787
109/05/22,1016200,14.30,15.35,14.10,15.00,+0.35,382,15048278
109/05/25,397000,15.30,15.30,14.80,15.10,+0.10,155,5965550
109/05/26,299051,15.25,15.45,14.95,15.45,+0.35,138,4550520
109/05/27,626625,15.60,16.00,15.45,16.00,+0.55,226,9868425
109/05/28,1565629,16.50,17.60,16.25,17.60,+1.60,530,26820015
109/05/29,1457588,18.05,19.35,18.00,19.35,+1.75,581,27640822
109/06/01,927611,20.10,21.25,20.10,21.25,+1.90,256,19442882
109/06/02,1949822,23.35,23.35,21.00,21.00,-0.25,850,43605792
109/06/03,1116449,21.80,21.80,19.55,20.00,-1.00,466,22536630
109/06/04,822020,19.75,21.95,19.45,21.70,+1.70,373,17230529
109/06/05,426266,21.60,21.60,20.50,20.80,-0.90,215,8913704
109/06/08,658456,21.00,22.60,21.00,21.75,+0.95,265,14262985
109/06/09,469438,21.75,22.40,21.50,21.60,-0.15,221,10202422
109/06/10,520369,21.00,23.00,20.65,22.90,+1.30,241,11360651
109/06/11,2180405,23.05,25.15,22.70,25.15,+2.25,729,53826278
109/06/12,2240537,25.05,27.60,23.90,27.60,+2.45,989,58099587
109/06/15,1602738,27.65,28.60,26.70,27.60,0.00,878,44450048
109/06/16,848750,26.40,27.90,26.30,27.60,0.00,418,23139800
109/06/17,1484222,27.10,30.35,27.10,29.80,+2.20,724,43672140
109/06/18,1494744,30.00,30.80,28.00,29.20,-0.60,743,43791072
109/06/19,273501,29.15,29.80,28.60,29.00,-0.20,177,7953578
109/06/22,388617,29.10,29.40,28.50,28.80,-0.20,218,11260656
109/06/23,850050,28.80,31.00,27.65,30.00,+1.20,491,24594517
