聯上,	4113
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,594715,22.05,22.20,21.90,22.00,+0.10,277,13106314
104/01/06,547737,21.90,22.00,21.75,21.80,-0.20,199,11969127
104/01/07,235499,21.75,21.95,21.75,21.90,+0.10,116,5152226
104/01/08,536513,21.95,21.95,21.75,21.90,0.00,169,11724186
104/01/09,478342,21.95,22.00,21.65,21.65,-0.25,187,10416569
104/01/12,518622,21.60,21.70,21.50,21.65,0.00,216,11201715
104/01/13,301513,21.70,21.70,21.50,21.70,+0.05,111,6517679
104/01/14,253316,21.70,21.70,21.55,21.55,-0.15,109,5475257
104/01/15,322772,21.55,21.80,21.55,21.60,+0.05,146,6998886
104/01/16,250930,21.70,21.70,21.45,21.45,-0.15,136,5395730
104/01/19,1862102,21.50,21.55,20.50,20.80,-0.65,671,38961942
104/01/20,238068,20.75,21.00,20.70,20.95,+0.15,112,4966765
104/01/21,550075,20.95,20.95,20.50,20.50,-0.45,197,11374615
104/01/22,399239,20.70,20.85,20.60,20.75,+0.25,136,8288909
104/01/23,198718,21.00,21.00,20.75,20.90,+0.15,100,4146061
104/01/26,345187,20.90,20.90,20.75,20.85,-0.05,127,7186448
104/01/27,213228,20.90,20.90,20.75,20.75,-0.10,97,4441580
104/01/28,177037,20.90,20.90,20.80,20.90,+0.15,81,3689564
104/01/29,408359,20.75,21.10,20.75,21.10,+0.20,139,8568439
104/01/30,4672919,21.20,22.10,21.20,21.70,+0.60,1405,102067785
104/02/02,2586269,21.70,22.10,21.50,22.05,+0.35,797,56633542
104/02/03,1779964,22.05,22.25,21.75,21.80,-0.25,622,39264010
104/02/04,937166,21.80,22.05,21.80,22.00,+0.20,420,20571284
104/02/05,466632,22.00,22.05,21.85,21.90,-0.10,280,10259608
104/02/06,349479,21.90,21.90,21.80,21.90,0.00,201,7644641
104/02/09,365623,22.00,22.05,21.80,21.90,0.00,226,8022141
104/02/10,413200,22.00,22.00,21.60,21.60,-0.30,206,8970360
104/02/11,494119,21.40,21.65,21.35,21.35,-0.25,312,10610108
104/02/12,285047,21.35,21.50,21.35,21.40,+0.05,157,6113810
104/02/13,4057791,21.45,22.65,21.45,22.45,+1.05,1649,90805774
104/02/24,1093440,22.65,22.65,21.95,22.00,-0.45,425,24323051
104/02/25,860719,22.25,22.35,22.00,22.15,+0.15,292,19027488
104/02/26,433758,22.25,22.25,22.05,22.10,-0.05,162,9576362
104/03/02,547272,22.20,22.30,22.05,22.25,+0.15,237,12132923
104/03/03,394734,22.25,22.25,21.90,22.00,-0.25,200,8702870
104/03/04,281498,21.90,22.00,21.80,21.90,-0.10,143,6164456
104/03/05,509849,22.00,22.00,21.70,21.75,-0.15,190,11108141
104/03/06,741287,21.80,22.15,21.80,22.00,+0.25,241,16320540
104/03/09,339607,22.00,22.05,21.70,21.95,-0.05,151,7409892
104/03/10,398508,21.95,21.95,21.75,21.75,-0.20,153,8687396
104/03/11,568662,21.50,21.70,21.50,21.60,-0.15,204,12285130
104/03/12,1012336,21.65,22.35,21.55,22.25,+0.65,373,22257489
104/03/13,6353743,22.30,23.30,22.30,22.85,+0.60,2330,145167389
104/03/16,1018154,22.90,22.90,22.70,22.70,-0.15,403,23183729
104/03/17,816743,22.90,22.90,22.35,22.45,-0.25,319,18433416
104/03/18,557280,22.50,22.55,22.30,22.50,+0.05,244,12501827
104/03/19,571717,22.50,22.65,22.35,22.35,-0.15,233,12855681
104/03/20,921753,22.45,22.90,22.40,22.60,+0.25,346,20896653
104/03/23,1781649,23.00,23.25,22.80,22.80,+0.20,615,41004261
104/03/24,1787016,23.00,23.25,22.95,23.25,+0.45,548,41301119
104/03/25,1141239,23.25,23.35,23.05,23.05,-0.20,364,26444970
104/03/26,1094212,22.90,23.35,22.75,23.15,+0.10,407,25214801
104/03/27,5561355,23.30,24.20,23.10,23.55,+0.40,1964,131773004
104/03/30,1397699,23.60,23.75,23.45,23.65,+0.10,547,32971823
104/03/31,1809124,23.70,23.80,22.90,23.35,-0.30,636,42080542
104/04/01,1078265,23.50,23.70,23.25,23.55,+0.20,400,25292910
104/04/02,896178,23.60,23.70,23.50,23.55,0.00,315,21146598
104/04/07,754094,23.55,23.55,23.30,23.35,-0.20,315,17664092
104/04/08,553245,23.35,23.50,23.25,23.30,-0.05,219,12914079
104/04/09,572300,23.35,23.45,23.20,23.35,+0.05,230,13348105
104/04/10,614049,23.35,23.50,23.20,23.40,+0.05,211,14343393
104/04/13,13723958,25.00,25.00,24.80,25.00,+1.60,2902,342963100
104/04/14,6257775,25.95,25.95,25.05,25.25,+0.25,2053,158879401
104/04/15,3438042,25.50,25.90,25.20,25.60,+0.35,1242,87606120
104/04/16,2745288,25.80,25.85,25.40,25.45,-0.15,1037,70200647
104/04/17,1995455,25.50,25.60,25.20,25.25,-0.20,796,50611214
104/04/20,1620831,25.00,25.30,24.95,24.95,-0.30,645,40662987
104/04/21,1800244,25.00,25.10,24.20,24.50,-0.45,774,44153200
104/04/22,1309939,24.20,24.50,24.15,24.25,-0.25,508,31820363
104/04/23,977100,24.30,24.60,24.30,24.30,+0.05,422,23845679
104/04/24,1179910,24.50,24.60,24.35,24.45,+0.15,391,28853810
104/04/27,1141352,24.60,24.70,24.35,24.35,-0.10,410,28002150
104/04/28,1606828,24.50,24.50,23.85,23.95,-0.40,659,38647017
104/04/29,1473656,23.95,24.05,23.70,23.70,-0.25,525,35088397
104/04/30,1838300,23.70,24.00,23.45,23.60,-0.10,668,43474508
104/05/04,1049427,23.80,23.85,23.45,23.70,+0.10,468,24794782
104/05/05,747855,23.70,23.70,23.50,23.70,0.00,345,17664041
104/05/06,555302,23.80,23.80,23.55,23.65,-0.05,263,13171490
104/05/07,608525,23.80,23.80,23.60,23.60,-0.05,315,14413154
104/05/08,951769,23.60,23.60,23.25,23.30,-0.30,415,22266413
104/05/11,1979443,23.30,23.30,21.80,22.00,-1.30,883,44206159
104/05/12,1089255,22.00,22.50,21.50,22.50,+0.50,512,23869036
104/05/13,447217,22.50,22.50,22.20,22.30,-0.20,245,10004514
104/05/14,411228,22.30,22.45,22.10,22.20,-0.10,246,9136516
104/05/15,403239,22.20,22.45,22.05,22.20,0.00,246,8949957
104/05/18,395303,22.25,22.30,22.05,22.20,0.00,289,8768665
104/05/19,744926,22.20,22.20,21.95,22.10,-0.10,366,16397813
104/05/20,282598,22.05,22.25,22.05,22.15,+0.05,135,6259956
104/05/21,313314,22.15,22.15,21.95,22.00,-0.15,168,6903159
104/05/22,556600,22.10,22.40,22.05,22.35,+0.35,236,12398300
104/05/25,286100,22.35,22.40,22.25,22.30,-0.05,163,6393635
104/05/26,450500,22.30,22.50,22.30,22.40,+0.10,171,10080350
104/05/27,826502,22.40,23.15,22.30,22.70,+0.30,331,18855145
104/05/28,252500,22.95,22.95,22.70,22.80,+0.10,142,5758350
104/05/29,496710,22.80,23.25,22.75,23.25,+0.45,240,11434369
104/06/01,440754,23.25,23.25,22.95,22.95,-0.30,206,10166864
104/06/02,240350,22.90,22.95,22.70,22.70,-0.25,137,5484294
104/06/03,433591,22.75,22.80,22.50,22.60,-0.10,174,9801016
104/06/04,554430,22.50,23.10,22.10,22.15,-0.45,267,12408346
104/06/05,524344,22.10,22.45,22.00,22.05,-0.10,221,11578823
104/06/08,546646,22.05,22.30,21.80,22.30,+0.25,212,12029354
104/06/09,1169401,22.30,22.45,20.80,21.05,-1.25,449,25229472
104/06/10,747800,21.05,21.85,21.05,21.50,+0.45,251,16051550
