瑞基,	4171
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,85000,53.80,54.30,53.60,53.80,-0.40,65,4581100
104/01/06,124000,53.50,53.50,52.20,52.40,-1.40,98,6538200
104/01/07,114158,52.30,52.70,51.80,52.70,+0.30,99,5968805
104/01/08,179794,53.50,53.50,51.80,52.00,-0.70,132,9385788
104/01/09,81156,52.30,53.00,52.10,52.10,+0.10,70,4264405
104/01/12,107059,52.00,53.00,51.60,51.60,-0.50,81,5587168
104/01/13,92258,51.80,52.20,51.00,51.20,-0.40,77,4760335
104/01/14,117105,51.00,51.00,50.00,50.20,-1.00,102,5900732
104/01/15,105040,51.80,51.80,50.50,51.50,+1.30,80,5388088
104/01/16,57300,50.50,51.30,50.30,50.30,-1.20,53,2901209
104/01/19,69000,50.90,51.60,47.10,50.00,-0.30,53,3453800
104/01/20,77000,50.00,50.50,49.10,50.00,0.00,54,3834500
104/01/21,60043,49.95,51.80,49.95,50.20,+0.20,42,3037225
104/01/22,55170,50.40,50.40,49.30,49.80,-0.40,48,2737080
104/01/23,29087,50.00,50.50,49.30,49.30,-0.50,29,1451413
104/01/26,64070,50.00,50.00,49.20,49.20,-0.10,49,3175393
104/01/27,361110,50.00,52.60,50.00,52.60,+3.40,221,18775886
104/01/28,175160,52.50,52.50,50.90,51.00,-1.60,146,9048860
104/01/29,190013,50.40,50.40,49.50,50.20,-0.80,130,9500859
104/01/30,69500,49.70,51.00,49.70,50.20,0.00,56,3488200
104/02/02,37076,50.50,51.00,49.55,49.80,-0.40,36,1853731
104/02/03,69146,49.90,50.30,49.65,50.00,+0.20,52,3455577
104/02/04,47220,50.00,50.00,49.50,49.50,-0.50,45,2347616
104/02/05,37209,49.40,49.40,49.00,49.05,-0.45,38,1828491
104/02/06,29000,49.20,50.00,49.00,49.05,0.00,24,1425250
104/02/09,18000,49.90,49.90,49.00,49.00,-0.05,17,888650
104/02/10,47174,49.00,49.90,48.30,48.60,-0.40,43,2302439
104/02/11,56060,49.50,49.50,47.55,47.90,-0.70,48,2689510
104/02/12,62046,47.00,47.00,46.65,47.00,-0.90,49,2912691
104/02/13,196083,47.20,50.20,47.20,49.90,+2.90,152,9705882
104/02/24,642188,50.50,53.30,50.00,52.80,+2.90,389,34037987
104/02/25,300090,51.20,52.30,50.80,51.30,-1.50,224,15458772
104/02/26,82000,50.90,52.00,50.90,51.30,0.00,67,4205600
104/03/02,144050,50.10,51.40,49.20,49.90,-1.40,134,7194265
104/03/03,115040,49.90,50.10,49.00,49.00,-0.90,90,5671830
104/03/04,154006,48.50,50.00,48.50,49.00,0.00,105,7515397
104/03/05,56101,49.10,49.50,48.50,48.85,-0.15,54,2746038
104/03/06,150000,48.90,49.15,48.35,48.90,+0.05,100,7314100
104/03/09,60000,48.00,48.95,47.50,48.40,-0.50,51,2882350
104/03/10,169230,48.40,48.40,47.50,47.60,-0.80,96,8115607
104/03/11,130100,47.60,49.00,47.00,48.50,+0.90,90,6213719
104/03/12,84000,49.00,49.00,48.00,48.20,-0.30,72,4061200
104/03/13,205000,49.00,50.10,49.00,49.20,+1.00,134,10169950
104/03/16,142010,48.35,48.90,48.15,48.15,-1.05,60,6857292
104/03/17,60101,48.20,48.90,47.80,47.80,-0.35,49,2902548
104/03/18,54066,48.00,48.70,47.90,47.90,+0.10,40,2603101
104/03/19,83100,48.50,48.60,47.50,47.75,-0.15,58,3982800
104/03/20,243157,47.50,50.50,47.50,48.80,+1.05,196,11928100
104/03/23,177070,48.20,49.80,48.20,48.20,-0.60,77,8603837
104/03/24,87000,47.80,48.40,47.50,48.00,-0.20,61,4165150
104/03/25,66000,47.50,48.50,47.50,47.70,-0.30,42,3164250
104/03/26,118001,48.30,48.50,47.15,47.40,-0.30,82,5627250
104/03/27,76005,47.20,48.15,47.20,48.00,+0.60,62,3625350
104/03/30,67152,48.00,48.00,46.80,46.95,-1.05,56,3168944
104/03/31,68001,46.95,47.90,46.95,47.10,+0.15,40,3216100
104/04/01,94003,47.80,47.80,46.00,46.30,-0.80,65,4379447
104/04/02,51000,46.30,47.00,46.30,46.30,0.00,36,2371750
104/04/07,82000,46.50,46.50,45.00,45.20,-1.10,71,3737950
104/04/08,173000,47.00,48.35,47.00,48.35,+3.15,92,8330200
104/04/09,310655,51.70,51.70,51.70,51.70,+3.35,189,16060862
104/04/10,433212,51.70,53.00,50.20,50.60,-1.10,303,22192626
104/04/13,154101,49.60,50.00,49.00,50.00,-0.60,124,7630999
104/04/14,80051,50.00,50.50,49.30,49.30,-0.70,67,3971700
104/04/15,111000,49.30,50.80,49.30,49.50,+0.20,82,5549200
104/04/16,58000,49.50,49.70,48.55,49.10,-0.40,53,2860050
104/04/17,94000,49.50,49.50,48.10,48.60,-0.50,63,4553950
104/04/20,54000,48.10,48.55,48.00,48.00,-0.60,41,2604850
104/04/21,101000,48.00,48.60,47.00,47.60,-0.40,76,4806050
104/04/22,62000,47.60,47.90,46.50,47.70,+0.10,53,2920050
104/04/23,71000,47.70,48.30,47.10,47.80,+0.10,60,3361950
104/04/24,53000,47.35,47.40,46.70,46.70,-1.10,49,2490000
104/04/27,91000,46.80,48.00,46.80,47.55,+0.85,88,4348350
104/04/28,89000,47.60,47.85,46.00,47.10,-0.45,63,4154500
104/04/29,79000,47.10,47.15,46.00,46.05,-1.05,56,3674900
104/04/30,122223,46.25,46.80,45.70,46.40,+0.35,71,5635897
104/05/04,41000,46.40,46.50,46.05,46.20,-0.20,32,1895950
104/05/05,72000,46.50,47.70,46.30,46.30,+0.10,56,3379050
104/05/06,99000,46.30,46.90,45.35,46.50,+0.20,45,4599150
104/05/07,32000,46.00,46.20,45.35,45.90,-0.60,29,1461200
