百德,	4563
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/07/12,1746910,79.80,81.10,77.00,77.00,+18.10,1134,138301879
107/07/13,909472,78.00,80.40,77.70,79.00,+2.00,715,72119488
107/07/16,413077,78.70,79.00,77.50,77.60,-1.40,321,32221464
107/07/17,232340,78.00,78.20,77.00,77.20,-0.40,170,17981474
107/07/18,226080,77.70,77.70,76.10,76.20,-1.00,170,17418580
107/07/19,279061,76.00,76.00,73.00,75.00,-1.20,223,20786814
107/07/20,152255,75.00,76.70,75.00,75.90,+0.90,139,11563797
107/07/23,92661,75.90,76.10,74.10,74.40,-1.50,81,6917447
107/07/24,105988,74.60,74.60,73.00,73.20,-1.20,104,7779525
107/07/25,76050,73.20,73.50,72.20,72.60,-0.60,76,5546813
107/07/26,67017,72.60,73.10,72.60,73.00,+0.40,57,4882223
107/07/27,91000,72.60,72.90,71.90,72.30,-0.70,84,6571697
107/07/30,175183,71.80,71.80,69.50,69.60,-2.70,140,12324899
107/07/31,137296,69.10,69.20,67.60,67.80,-1.80,122,9386465
107/08/01,121700,68.30,71.80,68.30,70.50,+2.70,106,8563848
107/08/02,59499,70.50,70.50,69.10,69.40,-1.10,57,4131930
107/08/03,45000,69.50,70.40,69.40,69.80,+0.40,37,3146300
107/08/06,35000,69.40,69.40,68.50,69.00,-0.80,26,2413400
107/08/07,37000,68.80,69.00,68.80,69.00,0.00,22,2550400
107/08/08,42005,69.10,69.60,68.80,69.10,+0.10,32,2901046
107/08/09,23100,69.20,70.00,69.00,70.00,+0.90,23,1603600
107/08/10,40100,70.00,70.20,69.60,70.20,+0.20,33,2804800
107/08/13,161000,68.50,68.50,65.00,65.50,-4.70,109,10742700
107/08/14,52000,66.00,66.80,65.50,66.30,+0.80,25,3428600
107/08/15,43000,68.00,68.00,65.20,66.10,-0.20,41,2849200
107/08/16,85030,65.80,65.90,64.50,64.50,-1.60,53,5525765
107/08/17,156400,64.50,65.10,62.50,63.80,-0.70,103,10064800
107/08/20,61000,63.90,64.00,62.50,62.60,-1.20,42,3841900
107/08/21,34000,63.00,63.20,62.70,63.00,+0.40,25,2140900
107/08/22,61000,63.40,63.40,62.00,62.30,-0.70,34,3817300
107/08/23,70365,62.00,62.00,60.30,61.00,-1.30,46,4327630
107/08/24,122350,61.00,61.00,59.10,59.20,-1.80,88,7330050
107/08/27,110500,59.20,59.90,59.20,59.40,+0.20,85,6562000
107/08/28,173340,60.00,62.40,60.00,62.00,+2.60,122,10680080
107/08/29,71200,62.00,62.00,61.20,61.30,-0.70,51,4377560
107/08/30,38100,61.50,61.80,61.50,61.60,+0.30,32,2347460
107/08/31,49305,61.60,61.60,60.80,61.10,-0.50,40,3025866
107/09/03,40999,61.80,61.80,61.00,61.50,+0.40,35,2517338
107/09/04,25176,61.50,62.00,61.50,62.00,+0.50,16,1551812
107/09/05,18000,62.00,62.00,61.30,61.30,-0.70,14,1108200
107/09/06,26016,61.30,61.50,61.10,61.30,0.00,25,1594888
107/09/07,98270,60.90,61.50,60.00,61.30,0.00,71,5975350
107/09/10,61200,61.00,61.00,60.00,60.00,-1.30,44,3705400
107/09/11,118000,59.20,59.20,55.60,57.50,-2.50,95,6744300
107/09/12,72000,57.00,57.10,56.10,56.40,-1.10,48,4081600
107/09/13,41200,56.00,56.10,55.70,55.70,-0.70,37,2299900
107/09/14,26000,55.70,56.40,55.70,56.20,+0.50,22,1458400
107/09/17,100000,56.70,58.40,56.70,58.00,+1.80,61,5790700
107/09/18,17000,58.00,58.00,57.90,57.90,-0.10,11,985400
107/09/19,29000,57.90,58.50,57.90,57.90,0.00,11,1682000
107/09/20,18300,57.30,57.50,57.20,57.20,-0.70,18,1048750
107/09/21,22000,57.00,57.50,56.90,57.50,+0.30,11,1256400
107/09/25,5000,57.60,57.60,57.50,57.50,0.00,5,287800
107/09/26,9000,58.00,58.00,56.70,57.40,-0.10,8,516600
107/09/27,17600,57.40,57.40,56.70,56.70,-0.70,18,1002900
107/09/28,47000,59.60,59.60,56.40,57.30,+0.60,30,2678800
107/10/01,101000,59.40,61.40,58.00,60.70,+3.40,64,6039000
107/10/02,37000,59.20,61.20,59.20,61.20,+0.50,33,2231000
107/10/03,26000,60.50,61.40,60.00,61.20,0.00,22,1579500
107/10/04,137000,61.00,62.50,59.00,60.90,-0.30,72,8372900
107/10/05,111000,60.90,62.00,59.10,60.70,-0.20,59,6754200
107/10/08,17800,59.70,60.60,59.40,59.50,-1.20,21,1061700
107/10/09,72050,58.80,60.50,57.10,57.90,-1.60,47,4227795
107/10/11,135200,56.30,56.30,53.00,53.60,-4.30,60,7254820
107/10/12,22549,53.00,56.70,53.00,56.70,+3.10,18,1205628
107/10/15,11000,56.70,56.70,54.50,56.70,0.00,11,621200
107/10/16,4000,56.70,56.70,56.70,56.70,0.00,4,226800
107/10/17,15000,56.80,58.00,56.70,57.50,+0.80,15,858100
107/10/18,18000,57.60,57.60,54.00,55.70,-1.80,17,987200
107/10/19,14000,55.50,55.90,54.10,55.70,0.00,14,768300
107/10/22,9700,55.50,56.20,55.50,56.20,+0.50,9,543619
107/10/23,19000,56.20,56.20,54.00,54.10,-2.10,15,1039900
