強生,	4747
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,26100,64.70,64.70,63.90,64.10,-0.30,26,1673000
104/01/06,40901,63.80,63.80,62.10,62.50,-1.60,45,2571811
104/01/07,9398,61.90,62.90,61.90,62.30,-0.20,13,586374
104/01/08,33400,62.00,62.00,61.50,61.50,-0.80,35,2063000
104/01/09,105375,61.50,62.50,61.00,61.50,0.00,73,6474950
104/01/12,37125,61.00,62.40,60.90,60.90,-0.60,33,2280825
104/01/13,33250,60.90,60.90,60.00,60.30,-0.60,31,2004325
104/01/14,5125,60.50,60.70,60.50,60.70,+0.40,6,310212
104/01/15,38086,60.50,60.70,59.40,59.40,-1.30,41,2281241
104/01/16,87232,59.40,59.40,57.70,58.00,-1.40,84,5092456
104/01/19,21721,58.60,58.60,56.80,56.80,-1.20,23,1259623
104/01/20,26380,56.80,57.40,56.80,57.40,+0.60,31,1504972
104/01/21,8771,57.80,57.90,57.80,57.90,+0.50,12,507162
104/01/22,27000,58.50,58.50,57.40,58.00,+0.10,19,1568600
104/01/23,29209,59.00,59.00,57.80,58.00,0.00,30,1700684
104/01/26,4551,57.80,57.90,57.70,57.90,-0.10,11,263100
104/01/27,18500,57.90,58.50,57.90,58.20,+0.30,18,1077550
104/01/28,55000,57.40,58.10,57.00,57.70,-0.50,46,3157098
104/01/29,19832,57.50,58.20,57.50,58.00,+0.30,24,1147654
104/01/30,29250,57.70,58.10,57.30,57.30,-0.70,28,1686174
104/02/02,24645,57.50,58.10,57.50,57.50,+0.20,27,1427687
104/02/03,18760,58.20,58.20,57.60,57.60,+0.10,22,1083280
104/02/04,25125,58.00,58.20,57.70,57.80,+0.20,23,1456125
104/02/05,24346,58.20,58.20,58.00,58.00,+0.20,24,1414068
104/02/06,24200,58.30,58.30,58.00,58.00,0.00,18,1405479
104/02/09,37514,58.00,59.00,58.00,58.10,+0.10,35,2196306
104/02/10,20350,58.10,58.40,58.10,58.20,+0.10,16,1184674
104/02/11,20000,58.00,58.00,57.60,57.60,-0.60,14,1155100
104/02/12,12000,57.60,57.60,57.60,57.60,0.00,11,691200
104/02/13,380074,53.60,54.90,53.60,54.00,-3.60,354,20490796
104/02/24,78207,54.00,54.30,53.50,53.50,-0.50,83,4199178
104/02/25,41460,53.50,53.60,53.50,53.60,+0.10,42,2219192
104/02/26,59896,53.60,53.60,52.90,53.00,-0.60,62,3179475
104/03/02,104270,53.00,53.00,51.90,52.00,-1.00,86,5449202
104/03/03,47533,52.00,52.50,51.70,52.40,+0.40,49,2482566
104/03/04,41287,52.40,52.90,52.40,52.80,+0.40,39,2176697
104/03/05,40066,52.80,53.20,52.60,53.10,+0.30,39,2122950
104/03/06,37338,53.50,53.60,53.30,53.50,+0.40,37,1996584
104/03/09,31000,53.50,53.50,52.60,52.90,-0.60,26,1641200
104/03/10,89852,53.50,54.50,53.50,54.20,+1.30,84,4839775
104/03/11,130482,53.80,55.50,53.80,55.00,+0.80,118,7171410
104/03/12,64809,55.00,55.00,53.50,54.20,-0.80,69,3508986
104/03/13,69197,54.20,54.70,54.10,54.10,-0.10,55,3759595
104/03/16,200357,57.60,57.60,55.50,55.50,+1.40,192,11278002
104/03/17,64271,55.50,55.70,54.50,54.50,-1.00,67,3529668
104/03/18,34315,54.20,54.90,54.20,54.50,0.00,34,1869997
104/03/19,37270,55.00,55.00,54.40,54.50,0.00,37,2036542
104/03/20,93575,54.50,56.60,54.50,55.50,+1.00,80,5207470
104/03/23,58000,56.40,56.40,55.30,55.40,-0.10,48,3233300
104/03/24,30000,55.40,55.40,55.10,55.20,-0.20,24,1657200
104/03/25,18056,54.80,55.00,54.70,55.00,-0.20,19,989591
104/03/26,21001,54.30,55.00,54.20,54.70,-0.30,20,1143456
104/03/27,28005,54.20,54.50,53.90,53.90,-0.80,30,1515380
104/03/30,30000,53.50,53.50,52.80,53.00,-0.90,26,1591000
104/03/31,96112,52.90,52.90,51.50,52.20,-0.80,87,4994200
104/04/01,50613,52.00,52.00,51.50,51.50,-0.70,43,2619646
104/04/02,128087,51.00,52.20,50.50,51.00,-0.50,113,6530637
104/04/07,154770,51.00,51.00,48.60,49.40,-1.60,133,7625670
104/04/08,40630,50.00,50.00,49.60,49.65,+0.25,37,2016895
104/04/09,71400,49.70,50.80,49.70,50.20,+0.55,47,3593080
104/04/10,37803,50.20,50.80,50.10,50.10,-0.10,30,1904128
104/04/13,141706,49.20,49.40,48.60,49.10,-1.00,91,6929861
104/04/14,52381,48.65,49.40,48.65,49.35,+0.25,44,2573400
104/04/15,85813,49.00,49.80,49.00,49.20,-0.15,74,4239547
104/04/16,86271,49.30,51.40,49.30,50.00,+0.80,77,4333914
104/04/17,130749,50.20,51.20,50.00,51.00,+1.00,103,6597799
104/04/20,37001,50.70,50.70,49.90,49.90,-1.10,27,1856750
