新復興,	4909
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,83198,34.50,34.50,34.20,34.30,-0.10,61,2857510
104/01/06,120151,34.00,34.10,33.60,33.60,-0.70,101,4064838
104/01/07,98000,33.60,33.80,33.40,33.80,+0.20,68,3284850
104/01/08,92108,33.90,34.30,33.70,34.00,+0.20,69,3127532
104/01/09,81464,34.30,34.50,34.00,34.50,+0.50,57,2792957
104/01/12,64053,34.50,34.50,33.95,34.00,-0.50,51,2185362
104/01/13,96400,34.00,34.00,33.60,33.65,-0.35,65,3262029
104/01/14,56113,33.80,34.00,33.65,33.80,+0.15,47,1898968
104/01/15,93712,33.60,33.75,33.60,33.60,-0.20,53,3151456
104/01/16,101000,33.55,33.60,33.15,33.45,-0.15,67,3368000
104/01/19,77001,33.50,33.70,33.10,33.15,-0.30,46,2563583
104/01/20,61799,33.20,33.35,32.90,33.25,+0.10,39,2048346
104/01/21,69427,33.25,33.40,33.10,33.10,-0.15,51,2305831
104/01/22,195806,33.30,34.05,33.30,33.95,+0.85,124,6609112
104/01/23,541371,33.95,35.20,33.70,35.20,+1.25,316,18791135
104/01/26,1201285,35.15,35.80,34.95,35.30,+0.10,619,42677605
104/01/27,752884,35.60,36.20,35.50,35.70,+0.40,428,26898106
104/01/28,507753,35.70,35.90,35.10,35.20,-0.50,318,18010618
104/01/29,243505,35.20,35.20,34.60,34.65,-0.55,151,8476148
104/01/30,127020,34.80,35.10,34.70,34.70,+0.05,86,4425200
104/02/02,202627,34.80,34.80,34.10,34.20,-0.50,113,6946191
104/02/03,111998,34.60,34.65,34.20,34.40,+0.20,76,3843830
104/02/04,113381,34.90,34.90,34.30,34.30,-0.10,95,3902906
104/02/05,131000,34.30,34.50,34.10,34.15,-0.15,119,4483600
104/02/06,178535,34.15,34.15,33.85,34.00,-0.15,131,6065696
104/02/09,147151,34.00,34.50,33.80,34.40,+0.40,84,5026744
104/02/10,256599,34.30,34.40,33.50,33.70,-0.70,194,8718646
104/02/11,760498,34.00,35.20,33.80,34.35,+0.65,539,26394430
104/02/12,303000,34.45,34.45,33.75,33.75,-0.60,233,10290450
104/02/13,238039,33.80,33.80,33.55,33.65,-0.10,167,8016726
104/02/24,320699,34.40,34.40,33.15,33.25,-0.40,249,10750616
104/02/25,310444,33.30,33.50,32.95,33.05,-0.20,217,10288661
104/02/26,314300,33.05,33.10,32.80,33.00,-0.05,229,10352870
104/03/02,1197797,33.00,34.80,32.85,34.80,+1.80,655,41122623
104/03/03,1930548,34.85,35.35,34.65,34.85,+0.05,1018,67595884
104/03/04,626999,34.85,34.95,34.35,34.35,-0.50,415,21691415
104/03/05,545399,34.65,34.65,34.00,34.30,-0.05,396,18638505
104/03/06,655400,34.30,34.30,34.00,34.00,-0.30,370,22323339
104/03/09,360199,33.90,34.30,33.80,33.80,-0.20,227,12204626
104/03/10,207349,34.15,34.15,33.70,33.70,-0.10,154,7011495
104/03/11,369104,33.20,33.50,33.05,33.20,-0.50,231,12268316
104/03/12,194931,33.30,33.50,33.20,33.40,+0.20,126,6505695
104/03/13,298998,33.60,33.65,33.20,33.30,-0.10,156,9987832
104/03/16,215775,33.40,33.75,33.30,33.30,0.00,151,7241729
104/03/17,132797,33.50,33.85,33.35,33.50,+0.20,106,4460578
104/03/18,346150,33.50,33.70,33.10,33.20,-0.30,166,11526524
104/03/19,270543,33.30,33.55,33.10,33.25,+0.05,154,9009725
104/03/20,192075,33.25,33.65,33.25,33.60,+0.35,109,6437470
104/03/23,749200,33.60,34.80,33.60,34.30,+0.70,353,25693999
104/03/24,2121339,34.25,35.10,34.25,34.65,+0.35,1055,73972946
104/03/25,1508660,34.40,35.00,34.25,34.80,+0.15,730,52317915
104/03/26,845096,34.70,35.15,34.40,35.10,+0.30,436,29388599
104/03/27,830612,35.35,35.50,34.20,34.20,-0.90,992,29039882
104/03/30,491582,34.30,34.30,33.50,33.65,-0.55,831,16593026
104/03/31,310499,33.70,34.10,33.60,33.95,+0.30,377,10502966
104/04/01,227130,33.50,33.85,33.50,33.55,-0.40,238,7629320
104/04/02,220897,33.55,33.75,33.45,33.50,-0.05,340,7413955
104/04/07,221026,33.50,33.95,33.45,33.55,+0.05,436,7441843
104/04/08,147108,33.55,33.90,33.50,33.60,+0.05,200,4950882
104/04/09,162619,33.70,33.75,33.00,33.10,-0.50,214,5427327
104/04/10,244197,33.25,33.30,32.90,33.05,-0.05,256,8088601
104/04/13,184273,33.05,33.50,33.00,33.15,+0.10,266,6114463
104/04/14,150504,33.05,33.60,33.05,33.20,+0.05,206,5009182
104/04/15,190108,33.25,33.30,32.80,33.20,0.00,217,6290367
104/04/16,254741,33.30,33.30,32.90,33.05,-0.15,215,8414883
104/04/17,279373,32.95,33.40,32.95,33.30,+0.25,173,9296668
104/04/20,429371,33.30,33.40,32.30,32.30,-1.00,373,14129879
104/04/21,529799,32.30,32.65,30.80,30.85,-1.45,427,16861069
104/04/22,298748,31.00,31.25,30.65,30.65,-0.20,252,9234238
104/04/23,325199,30.65,31.20,30.65,31.20,+0.55,149,10060058
104/04/24,256300,31.20,31.30,30.85,30.95,-0.25,141,7944457
104/04/27,141550,30.65,31.30,30.65,31.10,+0.15,91,4379826
104/04/28,237116,31.80,31.80,30.55,30.75,-0.35,130,7314111
104/04/29,275553,30.50,30.50,30.00,30.00,-0.75,201,8321490
104/04/30,339616,30.00,30.45,29.80,30.45,+0.45,160,10220209
104/05/04,125119,30.65,30.70,30.00,30.00,-0.45,104,3773670
104/05/05,225123,29.90,30.00,29.65,29.80,-0.20,159,6717976
104/05/06,178003,31.00,31.00,29.70,30.35,+0.55,113,5405390
104/05/07,103866,30.35,30.35,29.80,29.90,-0.45,70,3112166
104/05/08,125112,29.95,30.30,29.55,29.55,-0.35,92,3744452
104/05/11,269103,30.00,30.30,28.70,29.20,-0.35,150,7881427
104/05/12,204054,29.00,29.50,28.70,29.40,+0.20,157,5933566
104/05/13,293556,29.40,30.10,28.90,30.10,+0.70,178,8649256
104/05/14,122200,30.10,30.15,29.45,29.65,-0.45,86,3626224
104/05/15,78008,29.70,29.90,29.40,29.70,+0.05,62,2309632
104/05/18,281198,29.60,29.60,28.80,28.80,-0.90,197,8166170
104/05/19,106125,28.85,29.20,28.80,29.15,+0.35,192,3084525
104/05/20,111386,29.10,29.60,29.00,29.10,-0.05,61,3251881
104/05/21,93160,29.00,29.10,28.85,28.85,-0.25,60,2696440
104/05/22,113098,28.60,29.40,28.60,29.00,+0.15,80,3268570
104/05/25,48000,28.85,29.00,28.85,28.90,-0.10,17,1387550
104/05/26,100709,29.00,29.00,28.75,28.90,0.00,75,2904418
104/05/27,106074,28.90,29.35,28.90,29.10,+0.20,71,3084736
104/05/28,133327,29.10,29.55,29.10,29.20,+0.10,91,3912783
104/05/29,166040,29.40,29.40,28.95,29.00,-0.20,100,4828610
104/06/01,92201,29.00,29.30,28.95,28.95,-0.05,45,2681817
104/06/02,125203,29.00,29.15,28.80,28.90,-0.05,85,3624922
104/06/03,130001,28.90,29.00,28.65,29.00,+0.10,66,3754528
104/06/04,227300,29.00,29.00,27.70,28.00,-1.00,135,6413124
104/06/05,236498,28.00,28.30,27.25,27.40,-0.60,139,6548144
104/06/08,260500,27.25,27.25,26.55,26.55,-0.85,145,6982850
104/06/09,507079,26.55,26.55,24.20,24.25,-2.30,237,12835818
104/06/10,217050,24.65,25.20,24.40,25.15,+0.90,127,5396570
104/06/11,563444,24.20,24.50,23.10,23.50,-1.65,305,13309699
104/06/12,275186,23.50,23.90,23.20,23.30,-0.20,151,6473232
104/06/15,191173,23.50,24.00,23.30,24.00,+0.70,108,4537716
104/06/16,83923,24.00,24.00,23.75,23.80,-0.20,51,2002348
104/06/17,168014,23.80,24.60,23.80,24.40,+0.60,114,4091907
104/06/18,294003,24.40,25.90,24.30,25.50,+1.10,191,7448425
104/06/22,101299,25.90,26.20,25.80,25.90,+0.40,70,2632633
104/06/23,157300,25.90,26.80,25.90,26.35,+0.45,89,4165004
104/06/24,144000,26.35,26.70,25.85,26.00,-0.35,79,3767850
104/06/25,181421,25.80,26.00,25.55,25.55,-0.45,87,4667239
104/06/26,92123,25.55,25.60,25.15,25.15,-0.40,67,2334423
104/06/29,105002,25.10,25.45,24.70,24.95,-0.20,71,2603450
104/06/30,88000,25.40,25.40,24.20,24.80,-0.15,61,2171650
104/07/01,954000,24.70,25.20,24.05,25.10,+0.30,271,23636600
104/07/02,445123,25.10,25.30,24.65,24.70,-0.40,197,11176462
104/07/03,117175,24.60,24.70,24.35,24.60,-0.10,73,2870336
104/07/06,144126,24.90,24.90,24.35,24.35,-0.25,64,3543550
104/07/07,81501,24.50,24.50,24.30,24.30,-0.05,39,1984273
104/07/08,186490,24.30,24.30,23.00,23.25,-1.05,109,4380542
104/07/09,272500,23.20,23.20,21.90,22.75,-0.50,152,6123824
104/07/13,192175,23.10,23.50,23.00,23.15,+0.40,85,4449042
104/07/14,117279,23.25,23.70,23.25,23.55,+0.40,74,2764125
104/07/15,96001,23.55,23.70,23.10,23.30,-0.25,61,2240223
104/07/16,92297,23.30,23.60,23.20,23.30,0.00,56,2161483
104/07/17,127138,23.30,23.40,22.90,23.00,-0.30,68,2935700
104/07/20,112205,23.30,23.30,22.80,22.80,-0.20,65,2575947
104/07/21,161311,22.50,22.70,22.35,22.70,-0.10,77,3631488
104/07/22,369699,22.70,22.70,22.35,22.35,-0.35,169,8294095
104/07/23,177013,21.05,21.15,20.85,21.00,,114,3721974
104/07/24,136898,21.00,21.10,20.85,20.90,-0.10,62,2865528
104/07/27,467499,20.45,20.90,19.35,19.70,-1.20,212,9441029
104/07/28,309518,18.20,19.50,18.20,19.10,-0.60,139,5841020
104/07/29,161000,19.10,19.30,18.95,19.15,+0.05,81,3062800
104/07/30,134599,19.10,19.80,19.10,19.25,+0.10,87,2618240
