新盛力,	4931
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/10/01,648649,31.40,34.30,31.35,34.30,+3.10,407,21721560
108/10/02,1625670,34.30,37.20,34.25,36.10,+1.80,1035,58189950
108/10/03,724255,34.30,36.00,34.20,34.60,-1.50,533,25275274
108/10/04,401050,34.85,35.60,34.30,34.55,-0.05,281,13908535
108/10/07,483080,35.20,35.20,33.05,33.20,-1.35,354,16235496
108/10/08,477301,33.50,33.50,31.70,32.20,-1.00,335,15405822
108/10/09,537113,31.15,33.80,31.15,32.70,+0.50,361,17547113
108/10/14,498050,33.00,33.85,32.70,33.30,+0.60,301,16591120
108/10/15,263490,33.00,33.80,33.00,33.50,+0.20,181,8823740
108/10/16,343500,33.50,34.50,33.00,33.00,-0.50,237,11498350
108/10/17,164000,33.00,33.35,32.80,32.90,-0.10,122,5405550
108/10/18,190500,33.00,33.20,32.20,32.45,-0.45,148,6201100
108/10/21,154213,33.05,33.05,32.35,32.50,+0.05,106,5010022
108/10/22,151450,32.80,33.00,32.50,32.90,+0.40,119,4946653
108/10/23,326100,32.90,34.40,32.55,33.50,+0.60,248,10930645
108/10/24,471600,34.00,34.70,33.55,34.20,+0.70,330,16130389
108/10/25,2325432,34.45,37.60,34.45,37.60,+3.40,1450,85493592
108/10/28,1526020,37.45,38.30,36.15,37.65,+0.05,974,56347260
108/10/29,2384222,37.60,39.90,37.30,38.90,+1.25,1416,92448212
108/10/30,1224261,38.30,39.40,38.20,38.45,-0.45,800,47491456
108/10/31,1746959,39.00,40.50,38.35,40.00,+1.55,1215,68986615
108/11/01,1331211,40.00,41.45,38.60,39.25,-0.75,971,53410557
108/11/04,1237200,38.65,38.95,36.20,36.60,-2.65,892,45641359
108/11/05,567312,36.40,37.50,35.40,37.30,+0.70,419,20784687
108/11/06,338250,37.15,37.25,36.40,36.55,-0.75,236,12445675
108/11/07,409648,36.30,36.50,35.40,35.80,-0.75,258,14674745
108/11/08,285700,35.75,37.00,35.75,36.15,+0.35,195,10382850
108/11/11,395111,36.15,36.15,34.40,34.60,-1.55,264,13803522
108/11/12,843700,34.85,38.05,34.85,38.05,+3.45,568,31471335
108/11/13,1272215,38.00,39.70,37.30,39.20,+1.15,879,49371141
108/11/14,600210,38.75,38.95,38.00,38.05,-1.15,414,22975090
108/11/15,392150,37.45,38.60,37.45,37.60,-0.45,254,14852912
108/11/18,531310,38.00,39.00,36.80,38.50,+0.90,332,20047054
108/11/19,469000,38.45,39.35,38.00,38.00,-0.50,354,18028400
108/11/20,300100,38.70,38.70,37.50,37.50,-0.50,231,11348505
108/11/21,431251,36.80,37.40,36.50,36.65,-0.85,296,15884961
108/11/22,297100,36.55,38.00,36.55,37.05,+0.40,217,11036845
108/11/25,232210,37.10,37.20,36.65,37.00,-0.05,153,8586630
108/11/26,290100,37.00,37.65,36.70,36.70,-0.30,176,10787370
108/11/27,542154,36.80,37.00,35.90,36.50,-0.20,339,19762827
108/11/28,304120,36.50,36.75,36.05,36.25,-0.25,204,11025018
108/11/29,324100,35.85,36.55,35.85,35.90,-0.35,246,11660589
108/12/02,347500,36.00,36.80,35.50,36.05,+0.15,215,12566474
108/12/03,260100,36.05,36.60,36.00,36.30,+0.25,173,9422280
108/12/04,387800,36.05,36.55,35.90,35.95,-0.35,207,14006310
108/12/05,368525,36.25,37.30,36.10,36.60,+0.65,286,13517465
108/12/06,210000,36.90,36.90,36.25,36.30,-0.30,143,7654650
108/12/09,386000,36.30,36.40,35.80,35.85,-0.45,237,13928500
108/12/10,337331,36.00,36.00,35.30,35.35,-0.50,238,12002017
108/12/11,353100,35.30,35.75,34.80,35.60,+0.25,222,12447145
108/12/12,147250,35.60,35.85,35.20,35.65,+0.05,120,5216762
108/12/13,244200,35.25,35.60,35.20,35.35,-0.30,146,8635080
108/12/16,244050,35.30,35.45,35.00,35.05,-0.30,157,8566010
108/12/17,412150,35.00,35.00,34.75,35.00,-0.05,232,14355869
108/12/18,166100,35.10,35.10,34.85,34.90,-0.10,106,5797219
108/12/19,478251,34.80,34.80,34.20,34.45,-0.45,226,16472033
108/12/20,417599,34.45,34.45,33.80,33.95,-0.50,246,14186395
108/12/23,235400,33.85,34.10,33.85,34.00,+0.05,134,7997800
108/12/24,125889,34.00,34.00,33.60,33.90,-0.10,101,4253802
108/12/25,560000,34.00,34.00,33.10,33.35,-0.55,324,18746350
108/12/26,517010,33.70,33.75,32.85,33.05,-0.30,315,17104999
108/12/27,606630,33.05,33.05,32.40,32.50,-0.55,344,19776776
108/12/30,751100,32.50,33.30,32.50,33.00,+0.50,409,24827320
108/12/31,479001,33.35,33.35,32.50,32.60,-0.40,300,15743284
109/01/02,362100,33.25,33.25,32.75,33.00,+0.40,178,11950050
109/01/03,481150,33.20,33.20,32.95,33.00,0.00,263,15887040
109/01/06,337010,32.95,32.95,32.40,32.50,-0.50,193,10971328
109/01/07,404391,32.60,33.55,32.60,33.05,+0.55,215,13364553
109/01/08,995393,33.10,36.30,32.80,34.70,+1.65,635,34674905
109/01/09,1288835,35.15,36.65,35.15,35.90,+1.20,834,46579434
109/01/10,720322,36.30,36.35,35.55,35.70,-0.20,454,25899759
109/01/13,226500,35.65,35.80,35.05,35.50,-0.20,163,8031850
