亞電,	4939
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,290959,20.10,20.20,19.80,20.00,-0.10,142,5821230
104/01/06,542415,19.90,19.90,19.45,19.50,-0.50,285,10659080
104/01/07,380513,19.50,19.65,19.45,19.50,0.00,184,7429799
104/01/08,326063,19.60,19.80,19.40,19.45,-0.05,177,6385415
104/01/09,277760,19.70,19.70,19.40,19.60,+0.15,146,5427088
104/01/12,320228,19.60,19.60,19.30,19.40,-0.20,150,6220264
104/01/13,1350511,19.40,20.45,19.40,20.10,+0.70,615,27099020
104/01/14,1055775,20.30,20.45,20.00,20.45,+0.35,451,21433975
104/01/15,4620005,20.50,21.25,20.50,20.85,+0.40,1228,96619344
104/01/16,829685,20.85,20.85,20.20,20.20,-0.65,391,16973500
104/01/19,851057,20.20,20.50,19.60,19.70,-0.50,352,16979760
104/01/20,319117,19.70,19.95,19.70,19.80,+0.10,154,6311912
104/01/21,296416,19.80,19.85,19.60,19.70,-0.10,145,5842240
104/01/22,2485757,19.70,21.05,19.50,21.05,+1.35,791,51387021
104/01/23,4563558,21.20,21.30,20.55,20.55,-0.50,1463,95928205
104/01/26,505200,20.10,20.80,20.10,20.50,-0.05,298,10389426
104/01/27,264333,20.55,20.75,20.35,20.50,0.00,163,5414385
104/01/28,349729,20.50,20.50,20.20,20.20,-0.30,194,7095167
104/01/29,321328,20.20,20.30,20.05,20.10,-0.10,158,6464237
104/01/30,410133,20.15,20.20,19.90,19.95,-0.15,192,8192134
104/02/02,289162,19.85,19.95,19.80,19.85,-0.10,119,5747639
104/02/03,378063,20.00,20.45,19.90,20.30,+0.45,229,7627515
104/02/04,195919,20.45,20.45,20.10,20.15,-0.15,108,3956580
104/02/05,257425,20.15,20.20,19.85,19.90,-0.25,145,5138560
104/02/06,343002,20.00,20.10,19.80,19.90,0.00,157,6843178
104/02/09,173992,19.90,19.95,19.80,19.80,-0.10,93,3453386
104/02/10,210395,19.80,19.90,19.65,19.70,-0.10,126,4165284
104/02/11,270875,19.80,20.00,19.65,19.75,+0.05,122,5365897
104/02/12,310245,19.75,19.80,19.55,19.65,-0.10,154,6088214
104/02/13,186205,19.85,19.90,19.70,19.70,+0.05,116,3683649
104/02/24,319965,20.00,20.10,19.75,20.05,+0.35,155,6380580
104/02/25,247494,20.25,20.25,20.05,20.15,+0.10,127,4983380
104/02/26,292439,20.05,20.20,20.05,20.15,0.00,131,5894680
104/03/02,409064,20.15,20.25,20.00,20.05,-0.10,176,8208875
104/03/03,428277,20.00,20.25,19.85,20.20,+0.15,188,8599063
104/03/04,260522,20.35,20.35,20.05,20.10,-0.10,121,5243690
104/03/05,1255036,20.10,21.05,20.05,20.40,+0.30,474,25866324
104/03/06,478434,20.45,20.70,20.40,20.45,+0.05,191,9805342
104/03/09,620622,20.20,20.40,20.00,20.30,-0.15,288,12529909
104/03/10,891336,20.30,20.30,19.90,20.05,-0.25,245,17871781
104/03/11,266845,19.80,20.00,19.80,19.90,-0.15,206,5318847
104/03/12,274625,19.95,20.00,19.90,19.95,+0.05,662,5484600
104/03/13,223914,19.95,20.25,19.90,19.90,-0.05,641,4478753
104/03/16,260537,19.95,19.95,19.85,19.85,-0.05,550,5178370
104/03/17,518063,19.75,19.95,19.50,19.60,-0.25,503,10233091
104/03/18,184028,19.55,19.75,19.55,19.65,+0.05,462,3617745
104/03/19,901097,19.60,19.65,19.15,19.60,-0.05,686,17483310
104/03/20,275158,19.60,19.65,19.45,19.45,-0.15,395,5362720
104/03/23,415650,19.55,19.55,19.30,19.30,-0.15,718,8065127
104/03/24,359123,19.30,19.35,19.15,19.20,-0.10,643,6907666
104/03/25,251180,19.25,19.30,19.10,19.20,0.00,712,4819273
104/03/26,710629,19.05,19.05,18.75,18.80,-0.40,351,13421739
104/03/27,570550,18.75,19.25,18.75,18.85,+0.05,285,10794804
104/03/30,645001,18.85,18.85,18.25,18.35,-0.50,327,11868139
104/03/31,906678,18.35,18.50,17.85,17.90,-0.45,334,16472791
104/04/01,852445,17.90,18.10,17.40,17.80,-0.10,336,15052613
104/04/02,376346,17.70,17.80,17.55,17.70,-0.10,201,6640961
104/04/07,313668,17.55,18.15,17.55,18.10,+0.40,197,5625224
104/04/08,257487,18.10,18.30,17.90,17.90,-0.20,147,4641995
104/04/09,251338,17.90,18.00,17.70,17.70,-0.20,136,4477370
104/04/10,136967,17.80,17.80,17.65,17.70,0.00,96,2428300
104/04/13,192959,17.80,17.80,17.40,17.40,-0.30,176,3389670
104/04/14,689748,17.40,17.90,17.40,17.65,+0.25,239,12249917
104/04/15,151277,17.65,17.65,17.50,17.60,-0.05,74,2661818
104/04/16,200803,17.50,17.80,17.50,17.75,+0.15,124,3551721
104/04/17,261975,17.75,18.10,17.60,17.60,-0.15,102,4666655
104/04/20,158598,17.50,17.60,17.40,17.45,-0.15,96,2775716
104/04/21,744162,17.55,17.55,16.25,16.25,-1.20,367,12272742
104/04/22,422201,16.25,16.25,15.85,16.00,-0.25,215,6765249
104/04/23,171967,16.25,16.40,16.10,16.25,+0.25,100,2799013
104/04/24,165204,16.35,16.35,16.25,16.30,+0.05,82,2691073
104/04/27,86602,16.30,16.45,16.30,16.35,+0.05,60,1418001
104/04/28,124624,16.40,16.50,16.40,16.45,+0.10,83,2050108
104/04/29,199867,16.50,16.60,16.40,16.40,-0.05,71,3285065
104/04/30,177336,16.60,16.60,16.25,16.55,+0.15,90,2910956
104/05/04,186125,16.55,16.55,16.00,16.00,-0.55,132,3002364
104/05/05,339413,16.00,16.00,15.40,15.50,-0.50,181,5295806
104/05/06,225177,15.50,15.80,15.45,15.55,+0.05,117,3502240
104/05/07,116225,15.60,15.60,15.40,15.40,-0.15,74,1799722
104/05/08,161105,15.40,15.50,15.20,15.20,-0.20,82,2471958
104/05/11,668748,14.15,14.65,14.15,14.25,-0.95,315,9554326
104/05/12,826906,14.00,14.75,13.75,14.50,+0.25,304,11619471
104/05/13,305258,14.50,14.55,14.05,14.20,-0.30,128,4359083
104/05/14,127180,14.30,14.35,14.05,14.10,-0.10,73,1800735
104/05/15,390416,14.10,14.15,13.90,13.90,-0.20,128,5463964
104/05/18,148501,14.00,14.05,13.80,13.80,-0.10,134,2060384
104/05/19,166123,13.80,14.10,13.80,14.00,+0.20,183,2318926
104/05/20,68019,14.00,14.05,13.90,13.95,-0.05,47,950561
104/05/21,123687,13.80,14.05,13.80,13.90,-0.05,66,1725030
104/05/22,203496,13.95,14.05,13.80,13.80,-0.10,93,2827617
104/05/25,103003,13.80,14.25,13.80,14.20,+0.40,64,1455192
104/05/26,86260,14.20,14.20,14.05,14.05,-0.15,51,1218290
104/05/27,56003,14.05,14.30,14.05,14.15,+0.10,40,795492
104/05/28,115921,14.15,14.35,14.10,14.15,0.00,72,1647984
104/05/29,80398,14.15,14.20,13.90,14.00,-0.15,54,1129780
104/06/01,117929,14.50,14.50,13.95,13.95,-0.05,72,1662410
104/06/02,148273,13.95,14.00,13.75,13.80,-0.15,80,2056636
104/06/03,161273,13.80,13.90,13.55,13.60,-0.20,78,2224660
104/06/04,472708,13.65,13.65,12.55,12.80,-0.80,194,6162110
104/06/05,716168,12.80,12.80,12.10,12.25,-0.55,232,8826755
104/06/08,846572,12.20,12.20,11.05,11.05,-1.20,304,9725515
104/06/09,839038,11.00,11.00,10.05,10.20,-0.85,346,8817080
104/06/10,611215,10.40,11.20,10.40,11.20,+1.00,275,6697057
104/06/11,515414,11.40,11.45,10.60,11.00,-0.20,223,5647958
104/06/12,204448,10.80,11.65,10.80,11.25,+0.25,119,2312315
104/06/15,166409,11.10,11.90,11.10,11.40,+0.15,105,1911685
104/06/16,69191,11.40,11.55,11.25,11.25,-0.15,50,783887
104/06/17,180716,11.45,11.80,11.30,11.55,+0.30,89,2098683
104/06/18,115015,12.00,12.00,11.60,11.75,+0.20,78,1348622
104/06/22,165283,11.80,12.20,11.75,11.85,+0.10,84,1963237
104/06/23,121089,11.95,12.00,11.80,11.85,0.00,59,1442358
104/06/24,98029,11.85,11.85,11.65,11.65,-0.20,61,1149785
104/06/25,81010,11.65,11.90,11.65,11.65,0.00,62,950610
104/06/26,105472,11.65,11.65,11.45,11.45,-0.20,69,1214927
104/06/29,50001,11.50,11.50,11.25,11.40,-0.05,34,568361
104/06/30,47001,11.50,11.50,11.40,11.50,+0.10,28,538761
104/07/01,144274,11.55,12.00,11.40,11.80,+0.30,100,1685146
104/07/02,197585,11.95,11.95,11.60,11.80,0.00,119,2327127
104/07/03,132648,11.30,11.50,11.25,11.30,,92,1507756
104/07/06,90963,11.20,11.30,11.00,11.15,-0.15,50,1008288
104/07/07,49045,10.60,11.15,10.60,11.00,-0.15,41,534245
104/07/08,194000,10.95,10.95,10.70,10.70,-0.30,85,2091450
104/07/09,121004,10.35,11.15,10.20,11.15,+0.45,73,1262443
104/07/13,106439,11.15,11.15,10.80,10.80,-0.35,57,1169793
104/07/14,94447,10.80,11.15,10.75,10.80,0.00,50,1032130
104/07/15,26149,10.80,10.90,10.65,10.75,-0.05,25,281044
104/07/16,28006,10.65,11.00,10.65,10.85,+0.10,20,303464
104/07/17,83717,10.85,10.85,10.50,10.50,-0.35,53,884740
104/07/20,30119,10.70,10.75,10.50,10.50,0.00,28,320336
104/07/21,121299,10.50,10.50,10.10,10.10,-0.40,63,1237390
104/07/22,98276,10.10,10.15,9.90,10.10,0.00,49,985060
104/07/23,81673,10.10,10.10,9.90,9.90,-0.20,49,811324
104/07/24,132502,9.90,9.90,9.51,9.67,-0.23,79,1287177
104/07/27,508245,9.55,9.55,8.79,9.11,-0.56,188,4617156
104/07/28,278675,9.10,9.10,8.89,9.10,-0.01,126,2504925
104/07/29,101104,9.20,9.20,8.88,8.99,-0.11,68,909228
104/07/30,127192,9.00,9.10,8.99,9.10,+0.11,65,1150949
104/07/31,101089,9.01,9.44,9.01,9.44,+0.34,53,931274
104/08/03,80905,9.21,9.30,9.05,9.30,-0.14,45,743243
104/08/04,56153,9.05,9.20,9.02,9.02,-0.28,34,511007
104/08/05,80710,9.00,9.19,9.00,9.02,0.00,51,730255
104/08/06,55007,9.10,9.10,8.93,8.95,-0.07,36,493587
104/08/07,85057,8.93,8.93,8.82,8.93,-0.02,50,754670
104/08/10,70753,8.85,9.20,8.85,9.13,+0.20,59,644050
104/08/11,158747,9.15,9.20,8.66,9.00,-0.13,145,1426636
104/08/12,72417,8.85,8.99,8.81,8.96,-0.04,49,645854
104/08/13,123279,8.92,8.96,8.82,8.86,-0.10,58,1095572
104/08/14,77237,8.86,8.93,8.77,8.86,0.00,33,683297
104/08/17,81029,8.80,9.10,8.77,8.79,-0.07,29,715202
104/08/18,115269,8.98,9.00,8.52,8.53,-0.26,48,1010525
104/08/19,433009,8.53,8.53,7.68,7.68,-0.85,173,3455753
104/08/20,527471,7.68,7.87,6.92,7.60,-0.08,201,3888195
104/08/21,238209,7.32,7.37,7.15,7.20,-0.40,102,1728711
104/08/24,374154,7.00,7.01,6.48,6.53,-0.67,138,2461905
104/08/25,209155,5.99,6.89,5.99,6.89,+0.36,108,1352996
104/08/26,82865,6.89,7.01,6.52,7.01,+0.12,59,568785
104/08/27,279159,7.19,7.55,7.05,7.55,+0.54,111,2049344
104/08/28,219967,7.54,8.19,7.54,8.05,+0.50,120,1739046
104/08/31,183016,8.02,8.03,7.62,7.66,-0.39,95,1412069
104/09/01,91058,7.65,7.74,7.56,7.72,+0.06,43,695905
104/09/02,73721,7.60,7.65,7.50,7.65,-0.07,39,557191
104/09/03,77024,7.87,7.90,7.69,7.72,+0.07,47,599205
104/09/04,69029,7.75,7.80,7.60,7.78,+0.06,39,533951
