亞昕,	5213
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,320127,18.80,18.80,18.50,18.60,-0.20,59,5993560
104/01/06,156418,18.55,18.60,18.20,18.25,-0.35,86,2868224
104/01/07,286679,18.20,18.30,18.10,18.10,-0.15,77,5219588
104/01/08,940585,18.10,18.55,17.95,18.25,+0.15,191,17119821
104/01/09,399744,18.50,18.50,18.05,18.10,-0.15,97,7281275
104/01/12,305467,18.10,18.20,17.90,18.05,-0.05,134,5524727
104/01/13,493441,18.20,18.45,17.90,18.45,+0.40,238,9019435
104/01/14,499081,18.45,18.45,18.20,18.35,-0.10,80,9175118
104/01/15,321932,18.35,18.35,18.10,18.10,-0.25,59,5835266
104/01/16,579657,18.00,18.20,17.95,18.10,0.00,160,10467590
104/01/19,175317,18.10,18.30,17.80,17.80,-0.30,93,3154042
104/01/20,983483,16.60,17.90,16.60,17.80,0.00,265,17117743
104/01/21,132074,17.70,17.75,17.65,17.70,-0.10,54,2335657
104/01/22,247065,17.60,17.70,17.45,17.70,0.00,76,4360998
104/01/23,526315,17.70,17.70,17.45,17.65,-0.05,122,9233459
104/01/26,513655,17.65,17.75,17.60,17.60,-0.05,77,9103208
104/01/27,419882,17.50,17.60,17.40,17.60,0.00,99,7352882
104/01/28,180299,17.35,17.60,17.30,17.60,0.00,97,3151753
104/01/29,193500,17.40,17.60,17.40,17.60,0.00,61,3393797
104/01/30,723890,17.65,18.00,17.50,17.90,+0.30,161,12906234
104/02/02,798430,17.95,18.20,17.80,18.10,+0.20,243,14434790
104/02/03,668166,18.30,18.30,17.80,18.00,-0.10,203,12108365
104/02/04,428566,18.10,18.30,17.95,17.95,-0.05,182,7770529
104/02/05,177001,18.00,18.00,17.85,17.95,0.00,78,3175963
104/02/06,144308,17.95,17.95,17.75,17.95,0.00,55,2579997
104/02/09,1189255,18.50,18.85,18.10,18.80,+0.85,390,22133458
104/02/10,302797,18.90,19.00,18.45,18.45,-0.35,168,5651881
104/02/11,223645,18.70,18.70,18.00,18.20,-0.25,149,4086187
104/02/12,180719,18.45,18.45,17.95,18.05,-0.15,94,3274742
104/02/13,665954,18.15,18.45,18.15,18.40,+0.35,244,12199053
104/02/24,643431,18.50,18.95,18.45,18.45,+0.05,241,12005202
104/02/25,657294,18.35,18.45,18.25,18.45,0.00,153,12064490
104/02/26,185116,18.45,18.45,18.25,18.25,-0.20,86,3389825
104/03/02,844359,18.30,18.45,18.10,18.20,-0.05,181,15475381
104/03/03,207330,18.10,18.25,18.10,18.10,-0.10,101,3762753
104/03/04,354090,18.25,18.25,17.60,18.00,-0.10,143,6359020
104/03/05,971369,17.70,18.45,17.70,18.25,+0.25,198,17721252
104/03/06,377785,18.00,18.25,18.00,18.25,0.00,59,6844493
104/03/09,282110,18.05,18.20,17.95,17.95,-0.30,69,5112507
104/03/10,350289,17.95,18.20,17.85,17.90,-0.05,127,6307270
104/03/11,206945,17.80,17.90,17.65,17.85,-0.05,95,3676324
104/03/12,364649,17.70,17.90,17.70,17.75,-0.10,85,6486919
104/03/13,375199,17.80,18.20,17.75,18.20,+0.45,196,6717847
104/03/16,373532,18.15,18.20,18.00,18.00,-0.20,59,6771376
104/03/17,144792,18.00,18.10,17.80,18.00,0.00,66,2591223
104/03/18,151023,18.10,18.10,17.90,18.00,0.00,62,2715406
104/03/19,167440,17.90,18.00,17.90,17.90,-0.10,88,3004570
104/03/20,141508,17.90,17.95,17.80,17.90,0.00,73,2528413
104/03/23,218063,17.90,18.00,17.85,17.85,-0.05,106,3905113
104/03/24,137429,18.00,18.00,17.75,18.00,+0.15,68,2453122
104/03/25,145233,18.00,18.05,17.90,17.90,-0.10,58,2609696
104/03/26,47522,17.90,18.00,17.80,17.85,-0.05,38,849915
104/03/27,273023,18.00,18.05,17.70,17.85,0.00,109,4863411
104/03/30,267664,17.85,17.95,17.65,17.70,-0.15,93,4759300
104/03/31,138708,17.80,17.80,17.65,17.70,0.00,102,2456979
104/04/01,219380,17.70,17.90,17.60,17.70,0.00,161,3880705
104/04/02,543779,17.80,18.05,17.70,18.00,+0.30,361,9762592
104/04/07,542539,18.10,18.40,18.00,18.30,+0.30,400,9876953
104/04/08,408839,18.30,18.40,18.25,18.40,+0.10,340,7498448
104/04/09,124531,18.40,18.55,18.20,18.25,-0.15,77,2280407
104/04/10,87506,18.40,18.40,18.15,18.20,-0.05,54,1594631
104/04/13,647611,18.70,18.80,18.40,18.50,+0.30,335,12062337
104/04/14,217790,18.50,18.65,18.35,18.40,-0.10,127,4023505
104/04/15,506966,18.55,18.55,18.30,18.30,-0.10,120,9352276
104/04/16,202189,18.30,18.60,18.30,18.40,+0.10,152,3729653
104/04/17,152942,18.40,18.50,18.25,18.35,-0.05,68,2801089
104/04/20,406196,18.20,18.25,17.85,17.95,-0.40,159,7354328
104/04/21,235950,18.00,18.10,17.85,17.85,-0.10,153,4230552
104/04/22,193268,18.00,18.10,17.85,17.95,+0.10,131,3463129
104/04/23,301130,17.85,18.05,17.85,17.95,0.00,144,5414275
104/04/24,280860,18.05,18.05,17.90,17.95,0.00,124,5042356
104/04/27,254353,17.95,18.10,17.90,17.95,0.00,125,4569613
104/04/28,181005,17.95,18.20,17.95,18.00,+0.05,120,3259537
104/04/29,534444,18.45,18.70,18.20,18.25,+0.25,240,9829954
104/04/30,429557,18.40,18.55,18.20,18.55,+0.30,211,7880968
104/05/04,2667392,18.55,19.40,18.55,19.05,+0.50,953,50802422
104/05/05,1509570,19.20,19.35,18.65,18.70,-0.35,531,28630153
104/05/06,595073,18.90,18.90,18.40,18.70,0.00,265,11093968
104/05/07,719074,18.70,18.75,18.35,18.35,-0.35,225,13326609
104/05/08,751092,18.40,18.45,18.20,18.35,0.00,354,13749573
104/05/11,500239,18.15,18.45,17.90,18.00,-0.35,201,9040935
104/05/12,285628,18.00,18.25,17.80,18.00,0.00,118,5147804
104/05/13,186456,18.00,18.05,17.90,18.00,0.00,87,3348908
104/05/14,324026,18.10,18.10,17.80,17.90,-0.10,134,5795313
104/05/15,212266,17.95,17.95,17.75,17.75,-0.15,100,3783721
104/05/18,265024,17.85,17.85,17.65,17.75,0.00,117,4697223
104/05/19,252003,17.75,17.85,17.70,17.80,+0.05,219,4475849
104/05/20,208536,17.80,17.80,17.65,17.75,-0.05,93,3699762
104/05/21,141953,17.65,17.75,17.60,17.70,-0.05,69,2508280
104/05/22,189233,17.90,17.90,17.70,17.70,0.00,175,3355247
104/05/25,293073,17.80,17.90,17.65,17.70,0.00,110,5194087
104/05/26,821462,17.70,18.25,17.70,17.80,+0.10,238,14798025
104/05/27,388174,17.65,18.15,17.65,17.95,+0.15,248,6954751
104/05/28,160218,17.85,18.05,17.85,17.95,0.00,135,2886623
104/05/29,120430,17.90,17.95,17.80,17.95,0.00,61,2150766
104/06/01,124170,18.00,18.00,17.70,17.70,-0.25,62,2207950
104/06/02,801515,17.80,18.05,17.65,17.75,+0.05,224,14286738
104/06/03,682359,17.75,17.95,17.50,17.75,0.00,159,12113384
104/06/04,552046,17.55,17.75,17.35,17.35,-0.40,134,9648654
104/06/05,539552,17.35,17.70,17.35,17.70,+0.35,189,9478114
104/06/08,274267,17.55,17.90,17.50,17.90,+0.20,88,4876999
104/06/09,870399,17.80,18.10,17.10,17.90,0.00,294,15429899
104/06/10,225123,17.80,17.80,17.55,17.70,-0.20,100,3983402
104/06/11,183066,17.70,17.70,17.30,17.30,-0.40,89,3191301
104/06/12,72034,17.55,17.55,17.15,17.15,-0.15,54,1244233
104/06/15,137633,17.15,17.35,17.15,17.15,0.00,63,2368304
104/06/16,117266,17.30,17.30,17.15,17.15,0.00,63,2014498
104/06/17,152140,17.15,17.30,17.15,17.20,+0.05,89,2618906
104/06/18,120750,17.25,17.50,17.20,17.20,0.00,77,2094411
104/06/22,101476,17.20,17.40,17.20,17.20,0.00,70,1751135
104/06/23,89874,17.40,17.40,17.20,17.20,0.00,49,1553088
104/06/24,54828,17.40,17.40,17.25,17.35,+0.15,40,949741
104/06/25,83597,17.35,17.45,17.35,17.45,+0.10,48,1454595
104/06/26,66072,17.50,17.55,17.30,17.50,+0.05,45,1153802
104/06/29,221225,17.50,17.50,17.25,17.25,-0.25,65,3853615
104/06/30,54270,17.30,17.40,17.20,17.40,+0.15,43,940597
104/07/01,643049,17.40,17.80,17.30,17.50,+0.10,96,11390656
104/07/02,304163,17.70,17.70,17.30,17.40,-0.10,133,5312785
104/07/03,247553,17.55,17.55,17.40,17.40,0.00,74,4308969
104/07/06,266118,17.35,17.60,17.25,17.25,-0.15,104,4643133
104/07/07,147102,17.25,17.45,17.15,17.25,0.00,86,2534809
104/07/08,372757,17.30,17.50,16.60,17.50,+0.25,159,6363921
104/07/09,421531,17.10,17.35,16.95,17.30,-0.20,89,7231554
104/07/13,256606,17.30,17.30,17.00,17.15,-0.15,114,4386145
104/07/14,196982,17.15,17.25,17.05,17.05,-0.10,96,3376140
104/07/15,684887,17.10,17.15,16.95,17.05,0.00,74,11674579
104/07/16,84350,17.00,17.00,16.90,16.90,-0.15,41,1428784
104/07/17,106350,17.00,17.10,17.00,17.00,+0.10,63,1812432
104/07/20,130189,17.00,17.00,16.80,16.95,-0.05,57,2196783
104/07/21,1108127,16.85,16.90,16.80,16.85,-0.10,95,18620475
104/07/22,176579,16.80,16.80,16.65,16.80,-0.05,74,2955366
104/07/23,155180,16.80,16.80,16.55,16.80,0.00,83,2585855
104/07/24,284280,16.65,16.70,16.45,16.50,-0.30,104,4694040
104/07/27,214629,16.40,16.60,16.00,16.00,-0.50,90,3473814
104/07/28,339438,16.20,16.30,15.50,16.30,+0.30,130,5441343
104/07/29,224822,16.40,16.40,16.00,16.30,0.00,66,3654348
104/07/30,820340,16.20,17.00,16.10,16.70,+0.40,127,13777943
104/07/31,1432574,16.70,17.30,16.70,17.25,+0.55,255,24573371
104/08/03,1508039,17.30,17.55,16.95,17.25,0.00,312,26038509
104/08/04,1208196,16.40,16.40,15.95,16.25,,248,19547012
104/08/05,320721,16.30,16.30,15.90,16.10,-0.15,127,5147307
104/08/06,767000,16.10,16.20,15.70,15.85,-0.25,121,12159850
104/08/07,433193,15.95,15.95,15.60,15.70,-0.15,71,6807238
104/08/10,191500,15.00,15.85,15.00,15.65,-0.05,54,2985799
104/08/11,190921,15.80,15.80,15.65,15.80,+0.15,72,3010650
104/08/12,307953,15.90,15.90,15.35,15.55,-0.25,75,4770059
104/08/13,78503,15.50,15.55,15.30,15.50,-0.05,44,1210646
104/08/14,851107,15.75,16.60,15.75,16.35,+0.85,293,13816595
104/08/17,556080,16.35,16.55,16.05,16.45,+0.10,144,9046662
104/08/18,641100,16.50,16.50,16.20,16.25,-0.20,107,10428870
104/08/19,330143,16.45,16.45,15.65,16.00,-0.25,122,5271563
104/08/20,151209,16.05,16.05,15.60,15.75,-0.25,70,2385080
104/08/21,205198,15.50,15.50,15.05,15.30,-0.45,86,3142558
104/08/24,341713,15.20,15.20,13.80,14.50,-0.80,141,4851699
104/08/25,974588,14.50,15.10,14.20,15.10,+0.60,229,14165920
104/08/26,339162,15.10,15.10,14.90,14.90,-0.20,76,5077762
104/08/27,216072,15.00,15.25,14.80,15.00,+0.10,86,3237471
104/08/28,551833,15.00,15.40,14.90,15.20,+0.20,114,8387159
104/08/31,269731,15.20,15.20,15.00,15.05,-0.15,59,4064897
104/09/01,326114,15.10,15.15,14.80,15.00,-0.05,98,4893101
104/09/02,593997,14.65,15.10,14.65,14.95,-0.05,94,8784851
104/09/03,458244,15.05,15.05,14.80,15.00,+0.05,101,6818410
104/09/04,628700,15.10,15.90,15.10,15.60,+0.60,201,9717769
104/09/07,210742,15.60,15.60,15.30,15.50,-0.10,58,3259524
104/09/08,284000,15.65,15.65,15.25,15.40,-0.10,47,4379300
104/09/09,322561,15.65,15.90,15.55,15.80,+0.40,124,5074654
104/09/10,240561,15.75,16.15,15.50,16.15,+0.35,82,3839926
104/09/11,224625,16.20,16.25,16.00,16.15,0.00,79,3619142
104/09/14,808972,16.20,16.60,16.10,16.60,+0.45,142,13189087
104/09/15,610976,16.60,16.60,16.30,16.35,-0.25,75,10073810
104/09/16,259370,16.20,16.65,16.10,16.45,+0.10,76,4282379
104/09/17,381339,16.50,16.55,16.30,16.40,-0.05,98,6279156
104/09/18,643270,16.15,16.65,16.15,16.60,+0.20,132,10570327
104/09/21,811039,16.85,17.40,16.85,17.10,+0.50,374,13867813
104/09/22,504226,17.30,17.30,17.10,17.10,0.00,179,8685542
104/09/23,911716,17.20,17.30,16.85,16.85,-0.25,128,15631095
104/09/24,155461,17.10,17.10,16.70,16.80,-0.05,73,2616964
104/09/25,495016,17.00,17.15,16.70,16.90,+0.10,163,8427671
104/09/30,513787,16.95,17.00,16.50,16.75,-0.15,78,8621182
104/10/01,381018,16.80,16.80,16.20,16.40,-0.35,171,6243143
104/10/02,99570,16.40,16.50,16.40,16.45,+0.05,46,1638454
104/10/05,686236,16.55,16.55,16.15,16.15,-0.30,140,11255229
104/10/06,434981,16.30,16.45,16.15,16.20,+0.05,73,7130540
104/10/07,208924,16.15,16.30,16.15,16.25,+0.05,53,3395974
104/10/08,199244,16.25,16.30,16.15,16.15,-0.10,43,3235354
104/10/12,162500,16.20,16.25,16.05,16.05,-0.10,52,2622699
104/10/13,93403,16.05,16.10,16.00,16.10,+0.05,46,1500335
104/10/14,401437,16.05,16.60,16.00,16.20,+0.10,86,6567077
104/10/15,207021,16.30,16.30,16.15,16.20,0.00,54,3361936
104/10/16,106851,16.10,16.20,16.05,16.20,0.00,51,1726734
104/10/19,75913,16.20,16.25,16.10,16.10,-0.10,29,1226458
104/10/20,164293,16.10,16.10,16.00,16.00,-0.10,91,2635516
104/10/21,115004,16.00,16.05,15.85,15.90,-0.10,71,1836960
104/10/22,3284199,15.80,15.95,14.35,15.55,-0.35,932,48367449
104/10/23,770992,15.60,15.60,15.00,15.20,-0.35,408,11726224
104/10/26,413057,15.05,15.10,14.70,14.80,-0.40,268,6149190
104/10/27,1269707,14.75,15.45,14.75,15.15,+0.35,383,19323037
104/10/28,1300671,15.10,15.30,15.00,15.05,-0.10,147,19695715
104/10/29,589313,15.25,15.50,15.10,15.30,+0.25,123,9068204
104/10/30,499553,15.25,15.40,15.05,15.10,-0.20,70,7619095
104/11/02,59251,15.25,15.35,15.05,15.15,+0.05,31,901100
104/11/03,195739,15.25,15.25,15.05,15.10,-0.05,87,2954885
104/11/04,894558,15.15,15.35,15.10,15.20,+0.10,146,13622721
104/11/05,72022,15.20,15.25,15.10,15.20,0.00,48,1092231
104/11/06,199192,15.20,15.35,15.05,15.15,-0.05,99,3022488
104/11/09,254000,15.20,15.20,14.80,15.00,-0.15,90,3801150
104/11/10,177053,14.80,15.00,14.75,14.75,-0.25,70,2622133
104/11/11,228000,14.80,14.80,14.50,14.55,-0.20,72,3330400
104/11/12,793268,14.85,15.60,14.80,15.30,+0.75,257,12086772
104/11/13,935225,15.30,15.40,15.20,15.20,-0.10,80,14328318
104/11/16,154000,14.65,14.95,14.65,14.85,-0.35,52,2282800
104/11/17,389925,14.95,15.80,14.90,15.40,+0.55,146,6005045
