天揚,	5345
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,224096,10.50,10.60,10.30,10.40,+0.05,106,2342788
104/01/06,278620,10.05,10.45,10.05,10.30,-0.10,110,2860923
104/01/07,716102,10.30,11.00,10.30,11.00,+0.70,232,7791672
104/01/08,1480647,11.60,11.75,11.00,11.75,+0.75,422,17141799
104/01/09,2069518,12.55,12.55,11.75,11.75,0.00,626,25325630
104/01/12,940000,11.35,11.75,11.00,11.40,-0.35,315,10749900
104/01/13,595206,11.60,11.90,11.30,11.70,+0.30,236,6876210
104/01/14,262262,11.70,11.70,11.40,11.45,-0.25,100,3019536
104/01/15,374128,11.20,11.50,11.00,11.10,-0.35,149,4194108
104/01/16,607408,10.80,11.35,10.50,11.20,+0.10,227,6661776
104/01/19,354460,11.15,11.60,11.15,11.40,+0.20,145,4036245
104/01/20,317587,11.40,11.50,11.10,11.10,-0.30,118,3584915
104/01/21,1084950,11.10,11.85,11.10,11.85,+0.75,318,12802706
104/01/22,781050,11.60,12.15,11.60,11.70,-0.15,310,9251734
104/01/23,542052,12.15,12.30,11.80,12.00,+0.30,194,6522968
104/01/26,673023,12.50,12.50,12.05,12.25,+0.25,275,8250525
104/01/27,388546,12.40,12.50,12.10,12.50,+0.25,170,4793724
104/01/28,1963118,12.50,13.35,12.50,13.35,+0.85,574,25868468
104/01/29,1093119,13.20,13.20,12.50,12.75,-0.60,429,14024898
104/01/30,474548,12.75,13.00,12.50,13.00,+0.25,193,6069924
104/02/02,473946,13.10,13.45,12.95,13.20,+0.20,178,6245942
104/02/03,338054,13.25,13.35,13.00,13.25,+0.05,125,4466412
104/02/04,713654,13.05,13.40,12.65,13.05,-0.20,237,9256682
104/02/05,393176,13.00,13.15,12.80,12.95,-0.10,107,5103452
104/02/06,332187,12.80,13.10,12.75,13.00,+0.05,104,4308410
104/02/09,145025,12.75,12.95,12.70,12.80,-0.20,72,1859715
104/02/10,576160,12.60,12.65,12.10,12.10,-0.70,229,7115243
104/02/11,280061,12.10,12.45,12.00,12.10,0.00,118,3426388
104/02/12,184599,12.05,12.20,11.80,11.90,-0.20,88,2210027
104/02/13,190031,11.90,12.05,11.80,11.80,-0.10,63,2262743
104/02/24,187770,11.90,11.90,11.50,11.65,-0.15,75,2191806
104/02/25,157216,11.55,11.70,11.30,11.65,0.00,81,1813182
104/02/26,167388,11.70,12.35,11.70,12.10,+0.45,111,2036906
104/03/02,48257,11.90,12.05,11.90,12.05,-0.05,35,579184
104/03/03,86856,11.80,12.05,11.70,11.95,-0.10,40,1033386
104/03/04,92999,12.00,12.20,12.00,12.10,+0.15,49,1127136
104/03/05,181805,12.10,12.10,11.85,11.95,-0.15,62,2173628
104/03/06,153423,11.90,12.05,11.70,11.80,-0.15,71,1812596
104/03/09,158958,11.30,11.75,11.30,11.60,-0.20,83,1836616
104/03/10,52032,11.40,11.70,11.40,11.60,0.00,31,601768
104/03/11,47065,11.40,11.65,11.40,11.60,0.00,28,545947
104/03/12,86825,11.60,11.65,11.50,11.60,0.00,60,1007187
104/03/13,54689,11.60,11.65,11.55,11.60,0.00,45,634221
104/03/16,79954,11.50,11.80,11.45,11.75,+0.15,35,928609
104/03/17,68003,11.75,11.80,11.60,11.60,-0.15,32,799384
104/03/18,35412,11.55,11.70,11.55,11.70,+0.10,20,412979
104/03/19,38007,11.70,11.75,11.55,11.55,-0.15,20,442680
104/03/20,68483,11.55,11.65,11.50,11.65,+0.10,46,793352
104/03/23,121613,12.00,12.00,11.80,11.95,+0.30,72,1450958
