訊利電,	5455
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,113,---,---,---,---,---,23,1478
104/01/06,382,---,---,---,---,---,6,4447
104/01/07,9394,10.85,10.85,10.85,10.85,-0.80,20,101914
104/01/08,5508,10.10,10.10,10.10,10.10,-0.75,9,55630
104/01/09,44898,9.40,9.40,9.40,9.40,-0.70,44,422030
104/01/12,47578,8.76,8.80,8.75,8.80,-0.60,30,417212
104/01/13,4400,8.31,8.90,8.31,8.90,+0.10,17,38143
104/01/14,5553,8.90,8.90,8.90,8.90,0.00,5,49420
104/01/15,4350,8.30,8.36,8.30,8.36,-0.54,12,36160
104/01/16,6249,8.93,8.93,8.93,8.93,+0.57,6,55078
104/01/19,1,---,---,---,---,---,1,9
104/01/20,1017,8.90,8.90,8.90,8.90,-0.03,11,9040
104/01/21,3173,8.90,9.10,8.41,9.10,+0.20,9,27945
104/01/22,1815,8.52,8.52,8.52,8.52,-0.58,7,15461
104/01/23,5150,8.90,8.90,8.90,8.90,+0.38,14,45800
104/01/26,4450,9.18,9.25,9.18,9.25,+0.35,6,40796
104/01/27,8926,9.43,9.45,9.43,9.45,+0.20,24,84016
104/01/28,17,---,---,---,---,---,8,161
104/01/29,6736,9.45,9.99,9.45,9.80,+0.35,11,65900
104/01/30,2026,9.80,10.30,9.80,10.30,+0.50,5,20357
104/02/02,11364,10.80,10.80,9.61,9.65,-0.65,48,118610
104/02/03,2182,9.96,10.15,9.96,10.15,+0.50,7,21956
104/02/04,9750,9.44,10.75,9.44,10.65,+0.50,11,96639
104/02/05,3506,10.90,10.90,10.90,10.90,+0.25,14,38209
104/02/06,7978,11.45,11.45,10.55,10.55,-0.35,9,88667
104/02/09,3004,10.55,10.55,10.55,10.55,0.00,8,31939
104/02/10,112,---,---,---,---,---,5,1179
104/02/11,13,---,---,---,---,---,3,135
104/02/12,3500,9.73,10.70,9.73,10.55,+0.25,5,36129
104/02/13,4108,10.85,10.90,10.85,10.90,+0.35,6,44338
104/02/24,7301,11.30,11.30,10.40,11.20,+0.30,20,81369
104/02/25,466,---,---,---,---,---,10,5217
104/02/26,450,---,---,---,---,---,5,4745
104/03/02,3863,10.50,10.50,10.50,10.50,-0.70,14,40557
104/03/03,8000,9.82,9.82,9.82,9.82,-0.68,5,78560
104/03/04,21,---,---,---,---,---,9,200
104/03/05,7045,9.31,9.85,9.31,9.85,+0.03,34,67910
104/03/06,1035,10.15,10.15,10.15,10.15,+0.30,23,10505
104/03/09,2033,10.40,10.40,10.35,10.35,+0.20,23,21086
104/03/10,5275,10.75,10.80,10.75,10.80,+0.45,18,56835
104/03/11,2024,10.20,10.20,10.05,10.05,-0.75,12,20504
104/03/12,2019,10.35,10.35,10.35,10.35,+0.30,7,20895
104/03/13,0,---,---,---,---,---,0,0
104/03/16,14,---,---,---,---,---,14,140
104/03/17,106,---,---,---,---,---,11,1016
104/03/18,9,---,---,---,---,---,5,90
104/03/19,5900,9.65,9.68,9.65,9.68,-0.67,23,57100
104/03/20,3518,10.25,10.25,10.20,10.20,+0.52,24,35736
104/03/23,28,---,---,---,---,---,14,259
104/03/24,3016,9.55,9.60,9.55,9.60,-0.60,7,28860
104/03/25,14508,10.15,10.25,10.15,10.25,+0.65,18,147930
104/03/26,21,---,---,---,---,---,13,212
104/03/27,1850,9.58,9.58,9.58,9.58,-0.52,46,17795
104/03/30,4948,10.15,10.15,9.21,10.15,+0.57,34,48882
104/03/31,623,---,---,---,---,---,16,6003
