智冠,	5478
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1506778,100.50,102.00,99.80,102.00,+2.00,1170,152272965
104/01/06,3016953,101.00,103.50,100.50,101.50,-0.50,2229,308012206
104/01/07,1238964,102.50,103.00,100.00,100.00,-1.50,976,125442364
104/01/08,1252192,101.00,101.50,99.60,99.60,-0.40,972,125406108
104/01/09,833238,100.50,101.00,99.90,100.50,+0.90,674,83570700
104/01/12,3639534,102.00,105.00,100.50,104.00,+3.50,2519,375509036
104/01/13,2439777,105.00,105.50,103.50,104.00,0.00,1843,255020808
104/01/14,2037049,104.50,106.50,104.00,105.00,+1.00,1516,214807616
104/01/15,1345702,106.00,106.50,104.50,105.50,+0.50,1014,141827710
104/01/16,1301790,106.00,107.00,104.00,104.00,-1.50,1040,137064450
104/01/19,2946208,106.00,109.50,105.00,106.50,+2.50,2096,317055647
104/01/20,1442681,107.00,108.00,105.00,107.50,+1.00,1032,153611867
104/01/21,1538958,107.50,108.50,105.50,106.00,-1.50,1060,164145006
104/01/22,2638903,108.00,109.50,107.00,107.00,+1.00,1780,285409427
104/01/23,1006906,108.00,108.00,106.00,106.50,-0.50,768,107611442
104/01/26,1498247,107.50,109.00,106.50,108.00,+1.50,1128,161438676
104/01/27,737234,109.00,109.00,107.00,107.50,-0.50,567,79430538
104/01/28,3051102,107.50,111.00,107.00,108.00,+0.50,2038,333655559
104/01/29,2232996,109.00,109.50,104.00,104.50,-3.50,1616,236872076
104/01/30,2841904,105.00,106.00,100.00,100.50,-4.00,2124,289141347
104/02/02,2524671,100.50,101.50,96.10,96.30,-4.20,1927,246546509
104/02/03,1944091,96.40,98.50,96.40,97.30,+1.00,1437,189572894
104/02/04,2189614,98.00,98.30,95.20,95.30,-2.00,1650,210247844
104/02/05,1317993,95.00,95.70,93.70,94.90,-0.40,1060,125033127
104/02/06,1025558,95.30,95.70,93.20,93.20,-1.70,858,96525668
104/02/09,1108725,93.50,94.70,92.60,94.20,+1.00,843,104347792
104/02/10,1186157,94.20,95.80,94.20,95.30,+1.10,969,112865757
104/02/11,850227,95.50,95.70,94.20,94.80,-0.50,608,80650765
104/02/12,650307,95.60,95.80,95.00,95.80,+1.00,535,62100854
104/02/13,1369110,96.50,97.70,96.00,97.10,+1.30,1132,133126633
104/02/24,862925,98.10,98.50,95.50,95.50,-1.60,694,83348329
104/02/25,728976,95.50,96.30,95.00,95.00,-0.50,587,69536411
104/02/26,870566,95.50,97.10,95.30,97.00,+2.00,747,84061416
104/03/02,727609,97.00,98.60,96.20,97.80,+0.80,593,70966291
104/03/03,841504,98.10,98.60,97.00,97.50,-0.30,580,82316737
104/03/04,663642,97.50,98.20,96.30,96.30,-1.20,544,64443419
104/03/05,409880,96.50,96.50,95.50,95.60,-0.70,356,39318960
104/03/06,1259135,95.60,97.90,95.10,97.00,+1.40,901,121899763
104/03/09,527295,97.00,97.10,95.70,96.00,-1.00,424,50782020
104/03/10,515301,96.00,97.60,95.40,95.40,-0.60,461,49573996
104/03/11,900019,95.80,97.40,95.50,95.50,+0.10,764,86796804
104/03/12,548368,96.50,96.50,94.90,95.00,-0.50,429,52311529
104/03/13,461426,95.60,97.00,95.00,95.30,+0.30,386,44335891
104/03/16,742868,96.00,96.80,94.20,96.80,+1.50,556,71232583
104/03/17,763208,97.30,97.70,95.70,95.70,-1.10,505,73748226
104/03/18,350507,96.50,96.50,95.30,95.50,-0.20,309,33546109
104/03/19,382219,96.50,96.50,95.40,95.40,-0.10,312,36580482
104/03/20,490779,95.40,96.00,94.50,94.50,-0.90,404,46573105
104/03/23,978401,95.00,97.00,94.90,95.30,+0.80,711,94083806
104/03/24,324011,95.50,96.10,94.80,94.90,-0.40,306,30849131
104/03/25,458485,95.10,96.50,94.90,95.00,+0.10,428,43773763
104/03/26,344586,95.00,95.00,94.00,94.10,-0.90,349,32553066
104/03/27,562244,93.80,94.80,92.60,92.90,-1.20,441,52496321
104/03/30,991592,93.50,93.70,88.20,88.20,-4.70,835,88638369
104/03/31,1148893,88.60,89.50,85.60,86.10,-2.10,1001,99979131
