凱崴,	5498
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,137000,7.35,7.35,7.20,7.27,-0.08,51,995140
104/01/06,176000,7.27,7.27,7.12,7.21,-0.06,66,1264650
104/01/07,112000,7.20,7.21,7.15,7.15,-0.06,44,803870
104/01/08,119015,7.21,7.23,7.18,7.18,+0.03,40,857926
104/01/09,43000,7.20,7.24,7.18,7.19,+0.01,19,309590
104/01/12,63000,7.08,7.19,7.08,7.12,-0.07,37,449600
104/01/13,74073,7.13,7.18,7.10,7.13,+0.01,31,528578
104/01/14,109000,7.13,7.22,7.13,7.18,+0.05,38,781160
104/01/15,138000,7.14,7.16,7.09,7.09,-0.09,36,981180
104/01/16,123000,7.10,7.18,7.04,7.07,-0.02,38,870940
104/01/19,57617,7.02,7.11,7.00,7.06,-0.01,29,405229
104/01/20,73000,7.07,7.15,7.04,7.12,+0.06,33,516990
104/01/21,400000,7.15,7.16,6.97,6.99,-0.13,102,2803660
104/01/22,116139,7.00,7.13,7.00,7.10,+0.11,45,819430
104/01/23,154000,7.10,7.15,7.06,7.10,0.00,45,1093470
104/01/26,164000,7.10,7.17,7.10,7.13,+0.03,60,1167430
104/01/27,1906492,7.17,7.56,7.17,7.45,+0.32,590,14107545
104/01/28,1702992,7.50,7.97,7.50,7.97,+0.52,371,13357715
104/01/29,3838361,8.20,8.35,7.98,8.00,+0.03,854,31275652
104/01/30,887049,8.00,8.18,7.75,7.80,-0.20,254,7035617
104/02/02,709000,7.85,7.87,7.50,7.65,-0.15,209,5424650
104/02/03,171020,7.69,7.78,7.60,7.60,-0.05,73,1305140
104/02/04,2283527,7.61,8.13,7.61,7.90,+0.30,627,18296422
104/02/05,1100283,7.80,8.26,7.78,8.01,+0.11,389,8832704
104/02/06,545020,7.92,8.09,7.92,7.96,-0.05,143,4369100
104/02/09,1164128,7.96,8.30,7.96,8.07,+0.11,369,9497896
104/02/10,671128,8.07,8.20,8.00,8.01,-0.06,172,5419554
104/02/11,306494,8.00,8.05,7.92,7.93,-0.08,118,2435572
104/02/12,257000,7.98,8.02,7.93,7.95,+0.02,80,2046290
104/02/13,497000,7.96,8.10,7.96,8.02,+0.07,143,3998340
104/02/24,2477571,8.25,8.58,8.20,8.58,+0.56,528,21063728
104/02/25,4332773,8.70,9.18,8.65,9.18,+0.60,1048,39301504
104/02/26,3258503,9.42,9.82,9.23,9.82,+0.64,659,31524967
104/03/02,2719940,10.30,10.50,10.20,10.50,+0.68,484,28279920
104/03/03,9539742,10.95,10.95,10.20,10.95,+0.45,2298,100567069
104/03/04,4625551,11.00,11.45,10.65,11.20,+0.25,1364,50918314
104/03/05,2993344,11.20,11.60,10.95,11.45,+0.25,875,33895969
104/03/06,2822965,11.45,11.65,11.20,11.20,-0.25,734,32083705
104/03/09,1874465,11.20,11.60,11.20,11.30,+0.10,525,21388657
104/03/10,4111041,11.40,11.40,10.55,10.70,-0.60,885,44372838
104/03/11,2177650,10.55,11.15,10.40,10.75,+0.05,682,23639555
104/03/12,587100,10.75,10.90,10.70,10.80,+0.05,194,6329670
104/03/13,3641364,10.85,11.55,10.85,11.55,+0.75,700,41864049
104/03/16,6468721,11.85,12.35,11.80,12.35,+0.80,1740,78245627
104/03/17,5714039,12.60,12.65,11.50,11.70,-0.65,1588,67912499
104/03/18,1601417,11.70,11.95,11.50,11.75,+0.05,577,18856228
104/03/19,1630578,12.00,12.05,11.60,11.70,-0.05,415,19253652
104/03/20,1014260,11.70,12.00,11.55,11.60,-0.10,355,11899339
104/03/23,1293564,11.60,12.00,11.50,11.70,+0.10,365,15184788
104/03/24,979237,11.90,11.90,11.65,11.65,-0.05,248,11503699
104/03/25,6099237,12.45,12.45,12.35,12.45,+0.80,786,75934048
104/03/26,5381957,12.10,13.15,11.90,12.90,+0.45,1460,66846244
104/03/27,4315520,13.00,13.40,12.75,12.80,-0.10,1238,56307130
104/03/30,1626000,12.70,12.80,11.95,11.95,-0.85,473,19969950
104/03/31,3096000,11.70,11.80,11.15,11.65,-0.30,815,35412200
104/04/01,1289944,11.50,11.85,11.35,11.65,0.00,499,15046248
104/04/02,841999,11.65,11.85,11.45,11.45,-0.20,298,9810388
104/04/07,803001,11.45,11.60,11.25,11.25,-0.20,300,9151161
104/04/08,3229009,11.40,11.40,10.50,10.50,-0.75,682,34665893
104/04/09,2226251,10.30,10.50,10.00,10.30,-0.20,510,22679997
104/04/10,1934002,10.35,10.80,10.00,10.50,+0.20,580,19992570
104/04/13,660000,10.50,10.75,10.35,10.40,-0.10,228,6929950
104/04/14,504100,10.40,10.55,10.25,10.25,-0.15,154,5230484
104/04/15,591040,10.30,10.65,10.25,10.55,+0.30,218,6180169
104/04/16,639305,10.55,10.70,10.30,10.30,-0.25,234,6683960
104/04/17,674000,10.30,10.60,10.25,10.45,+0.15,212,7044650
104/04/20,355000,10.45,10.60,10.30,10.30,-0.15,131,3706750
104/04/21,1015003,10.35,10.70,10.10,10.50,+0.20,339,10552680
104/04/22,537000,10.45,10.65,10.35,10.55,+0.05,205,5629150
104/04/23,1997342,10.55,11.15,10.45,10.80,+0.25,649,21747976
104/04/24,895050,10.75,10.85,10.45,10.60,-0.20,247,9514924
104/04/27,1355709,11.30,11.30,11.30,11.30,+0.70,244,15319511
104/04/28,5428280,12.00,12.00,11.50,11.65,+0.35,1418,64280010
104/04/29,1404250,11.65,11.65,11.20,11.20,-0.45,493,15972136
104/04/30,1088000,11.15,11.50,11.05,11.05,-0.15,326,12227950
104/05/04,1852000,11.05,11.05,10.30,10.30,-0.75,438,19281100
104/05/05,2286550,10.20,10.20,9.65,9.77,-0.53,591,22556527
104/05/06,710000,9.70,9.98,9.70,9.78,+0.01,261,7007150
104/05/07,341489,9.78,9.95,9.78,9.90,+0.12,112,3365516
104/05/08,1159927,9.90,9.92,9.21,9.32,-0.58,329,11016643
104/05/11,1387200,9.32,9.48,8.67,8.95,-0.37,391,12242310
104/05/12,540100,8.70,9.25,8.70,9.25,+0.30,188,4841150
104/05/13,165589,9.25,9.43,9.12,9.31,+0.06,81,1527617
104/05/14,287001,9.41,9.41,9.15,9.16,-0.15,86,2645439
104/05/15,271000,9.18,9.19,8.89,8.95,-0.21,109,2436100
104/05/18,130273,8.95,9.00,8.90,8.94,-0.01,52,1166567
104/05/19,317001,8.90,9.15,8.90,8.95,+0.01,95,2857119
104/05/20,260394,8.90,9.10,8.90,8.93,-0.02,100,2345576
104/05/21,363000,8.93,9.08,8.93,9.08,+0.15,118,3265860
104/05/22,236026,9.10,9.16,9.08,9.10,+0.02,67,2148835
104/05/25,131800,9.10,9.10,8.95,9.00,-0.10,72,1188790
104/05/26,303000,9.02,9.02,8.83,8.86,-0.14,97,2694030
104/05/27,191000,8.83,8.90,8.72,8.83,-0.03,75,1681060
104/05/28,369000,8.88,8.90,8.75,8.76,-0.07,128,3250250
104/05/29,1698000,8.76,9.37,8.34,9.37,+0.61,413,15407640
104/06/01,539020,9.37,9.37,9.16,9.21,-0.16,206,4992014
104/06/02,891100,9.12,9.80,9.12,9.68,+0.47,278,8462307
104/06/03,1245000,9.87,10.10,9.68,9.70,+0.02,436,12357400
104/06/04,409121,9.69,9.70,9.40,9.42,-0.28,191,3882877
104/06/05,383100,9.42,9.64,9.17,9.50,+0.08,128,3598075
104/06/08,66700,9.50,9.50,9.27,9.45,-0.05,42,625710
104/06/09,295000,9.40,9.40,8.83,9.00,-0.45,146,2667470
104/06/10,222000,9.00,9.10,8.85,8.97,-0.03,90,1983330
104/06/11,408501,9.05,9.05,8.50,8.60,-0.37,161,3528303
104/06/12,616000,8.70,9.25,8.50,9.18,+0.58,185,5498600
104/06/15,152000,9.18,9.18,8.85,8.90,-0.28,80,1363580
104/06/16,299000,8.89,9.13,8.80,9.05,+0.15,107,2672500
104/06/17,179000,9.05,9.11,8.97,9.03,-0.02,48,1619810
104/06/18,264100,9.08,9.08,8.86,8.99,-0.04,71,2374560
104/06/22,161600,9.00,9.06,8.86,8.91,-0.08,36,1453745
104/06/23,646000,8.91,8.99,8.71,8.73,-0.18,112,5666030
104/06/24,322000,8.82,9.15,8.74,9.03,+0.30,117,2893080
104/06/25,94000,9.00,9.05,8.95,8.95,-0.08,38,844050
104/06/26,93000,9.00,9.00,8.95,9.00,+0.05,38,834720
104/06/29,227100,8.98,8.98,8.66,8.95,-0.05,99,1998375
104/06/30,165100,8.95,8.95,8.77,8.86,-0.09,55,1457366
104/07/01,454000,8.86,8.86,8.59,8.61,-0.25,157,3926410
104/07/02,183000,8.66,8.72,8.58,8.58,-0.03,57,1583820
104/07/03,451000,8.65,8.65,8.36,8.46,-0.12,120,3830210
104/07/06,732000,8.40,8.40,8.06,8.26,-0.20,192,6002720
104/07/07,373000,8.25,8.43,8.06,8.39,+0.13,107,3047700
104/07/08,318000,8.22,8.34,8.00,8.30,-0.09,123,2586510
104/07/09,554000,8.25,8.30,7.88,8.20,-0.10,206,4489480
104/07/13,362100,8.20,8.29,8.01,8.18,-0.02,109,2925468
104/07/14,98056,8.20,8.31,8.06,8.06,-0.12,45,798075
104/07/15,293000,8.07,8.08,7.90,7.90,-0.16,71,2337110
104/07/16,177000,7.92,8.00,7.83,7.98,+0.08,51,1401100
104/07/17,172000,7.98,7.98,7.80,7.87,-0.11,53,1350720
104/07/20,413000,7.87,8.20,7.87,8.11,+0.24,128,3329570
104/07/21,405885,8.17,8.35,8.10,8.23,+0.12,134,3325567
104/07/22,119000,8.17,8.18,8.06,8.12,-0.11,34,963340
104/07/23,358568,8.10,8.14,7.80,8.04,-0.08,120,2835884
104/07/24,134000,8.00,8.20,7.90,8.05,+0.01,45,1076980
104/07/27,159506,8.00,8.00,7.55,7.88,-0.17,54,1237136
104/07/28,280100,7.70,7.78,7.26,7.77,-0.11,124,2093109
104/07/29,103020,7.77,7.77,7.43,7.70,-0.07,53,784142
104/07/30,67000,7.73,7.73,7.54,7.54,-0.16,35,509960
104/07/31,91467,7.68,7.68,7.39,7.59,+0.05,43,684842
104/08/03,67000,7.59,7.59,7.31,7.54,-0.05,35,496580
104/08/04,197300,7.54,7.54,7.11,7.30,-0.24,72,1440291
104/08/05,184000,7.00,7.36,7.00,7.20,-0.10,50,1320870
104/08/06,213000,7.20,7.20,6.90,7.19,-0.01,62,1509270
104/08/07,75000,7.11,7.20,7.11,7.20,+0.01,25,538620
104/08/10,117000,7.04,7.22,7.01,7.19,-0.01,42,828610
104/08/11,77114,6.99,7.19,6.99,7.15,-0.04,30,546749
104/08/12,76000,7.05,7.11,6.99,7.11,-0.04,33,535680
104/08/13,52000,6.93,7.16,6.93,7.07,-0.04,27,363900
104/08/14,73394,7.00,7.11,6.98,7.10,+0.03,29,514558
104/08/17,97000,7.09,7.14,7.01,7.10,0.00,30,685950
104/08/18,65000,7.10,7.10,7.04,7.09,-0.01,24,459920
104/08/19,289000,7.06,7.06,6.77,7.04,-0.05,111,2008650
104/08/20,45000,7.00,7.15,6.92,7.14,+0.10,22,315170
104/08/21,243000,6.96,6.98,6.79,6.95,-0.19,91,1665310
104/08/24,777750,6.60,6.67,6.26,6.60,-0.35,168,4963675
104/08/25,300050,5.94,6.60,5.94,6.58,-0.02,122,1881339
104/08/26,84000,6.54,6.70,6.47,6.59,+0.01,35,549510
104/08/27,224000,6.59,6.73,6.55,6.63,+0.04,73,1484070
104/08/28,221000,6.63,7.09,6.60,7.00,+0.37,98,1487890
104/08/31,258000,6.98,7.26,6.98,7.19,+0.19,71,1842520
104/09/01,114000,7.19,7.25,7.11,7.25,+0.06,58,819970
104/09/02,107050,7.10,7.24,7.10,7.24,-0.01,43,770140
104/09/03,90008,7.24,7.34,7.18,7.28,+0.04,44,653087
104/09/04,399100,7.30,7.73,7.30,7.42,+0.14,156,2985800
104/09/07,73000,7.42,7.42,7.28,7.36,-0.06,30,535990
104/09/08,130000,7.25,7.34,7.21,7.21,-0.15,47,944190
104/09/09,145000,7.23,7.31,7.23,7.30,+0.09,53,1056190
104/09/10,26000,7.30,7.31,7.30,7.31,+0.01,9,189900
104/09/11,140000,7.31,7.50,7.31,7.43,+0.12,54,1040250
104/09/14,215060,7.51,7.70,7.51,7.64,+0.21,78,1630745
104/09/15,294129,7.64,7.72,7.60,7.70,+0.06,89,2259603
104/09/16,1208998,7.71,8.47,7.71,8.33,+0.63,349,10059113
104/09/17,859000,8.45,9.07,8.42,8.75,+0.42,313,7537920
104/09/18,199000,8.76,8.77,8.53,8.69,-0.06,59,1728760
104/09/21,190000,8.70,8.70,8.48,8.53,-0.16,49,1629490
104/09/22,372200,8.60,8.94,8.46,8.54,+0.01,118,3232440
104/09/23,190001,8.49,8.54,8.21,8.21,-0.33,80,1589098
104/09/24,334000,8.50,8.50,8.00,8.14,-0.07,100,2719430
104/09/25,273002,8.14,8.75,8.14,8.75,+0.61,82,2304077
104/09/30,409000,8.75,9.07,8.66,8.87,+0.12,129,3639980
104/10/01,230000,8.71,9.00,8.71,8.90,+0.03,71,2058200
104/10/02,152050,8.90,8.98,8.80,8.95,+0.05,53,1354995
104/10/05,313000,8.86,9.05,8.85,8.98,+0.03,73,2795670
104/10/06,235000,9.02,9.05,8.93,8.95,-0.03,64,2109350
104/10/07,109000,9.00,9.00,8.80,8.85,-0.10,39,968460
104/10/08,114000,9.00,9.00,8.80,8.80,-0.05,34,1007770
104/10/12,128794,8.73,8.89,8.60,8.69,-0.11,41,1122837
104/10/13,434158,8.76,8.76,8.39,8.50,-0.19,99,3720492
104/10/14,113070,8.53,8.53,8.35,8.42,-0.08,43,951268
104/10/15,117003,8.42,8.42,8.30,8.31,-0.11,40,974344
104/10/16,109245,8.33,8.40,8.30,8.38,+0.07,32,908663
104/10/19,48000,8.40,8.40,8.30,8.36,-0.02,24,400290
104/10/20,92000,8.30,8.38,8.26,8.38,+0.02,35,763920
104/10/21,205181,8.40,8.40,8.30,8.39,+0.01,44,1716207
104/10/22,109230,8.32,8.35,8.27,8.35,-0.04,32,907319
104/10/23,123250,8.38,8.38,8.31,8.37,+0.02,23,1028305
104/10/26,199000,8.46,8.54,8.46,8.48,+0.11,41,1689540
104/10/27,37000,8.48,8.48,8.32,8.38,-0.10,12,309840
104/10/28,128000,8.38,8.38,8.20,8.33,-0.05,43,1062160
104/10/29,157000,8.35,8.35,8.20,8.20,-0.13,41,1291510
104/10/30,30019,8.25,8.27,8.24,8.27,+0.07,10,247605
104/11/02,83000,8.25,8.26,8.19,8.19,-0.08,30,681610
104/11/03,161000,8.19,8.40,8.19,8.29,+0.10,30,1333790
104/11/04,202000,8.25,8.30,8.20,8.30,+0.01,45,1662130
104/11/05,108506,8.30,8.30,8.21,8.29,-0.01,35,897489
104/11/06,105123,8.30,8.30,8.13,8.23,-0.06,33,859452
104/11/09,90000,8.20,8.23,8.13,8.20,-0.03,32,735210
104/11/10,67000,8.20,8.20,8.10,8.14,-0.06,21,546050
104/11/11,110000,8.14,8.14,7.97,8.10,-0.04,36,884020
104/11/12,12000,8.10,8.25,8.01,8.25,+0.15,10,97560
104/11/13,63000,8.25,8.25,8.02,8.09,-0.16,19,511010
104/11/16,274200,8.05,8.56,8.00,8.50,+0.41,70,2273930
104/11/17,996093,8.52,9.25,8.52,8.77,+0.27,284,8870278
104/11/18,553000,8.90,9.09,8.80,8.88,+0.11,140,4934550
104/11/19,401000,8.90,8.96,8.65,8.87,-0.01,100,3553010
104/11/20,131500,8.88,8.89,8.77,8.79,-0.08,49,1159880
104/11/23,395000,8.83,9,8.8,8.96,0.17,109,3525690
104/11/24,231104,8.93,8.93,8.75,8.86,-0.10,50,2041795
104/11/25,173000,8.88,8.88,8.70,8.70,-0.16,38,1517180
104/11/26,159000,8.70,8.80,8.63,8.63,-0.07,42,1383730
104/11/27,208197,8.70,8.78,8.53,8.78,+0.15,41,1804483
104/11/30,101000,8.78,8.78,8.61,8.68,-0.10,33,874670
104/12/01,109427,8.61,8.69,8.53,8.65,-0.03,30,942282
104/12/02,72286,8.65,8.65,8.54,8.60,-0.05,33,622131
104/12/03,170282,8.53,8.78,8.50,8.70,+0.10,44,1464260
104/12/04,118500,8.62,8.72,8.62,8.65,-0.05,31,1025969
104/12/07,821310,8.88,9.05,8.75,8.95,+0.30,171,7319243
104/12/08,416000,9.25,9.25,8.90,8.93,-0.02,110,3759840
104/12/09,314000,9.22,9.22,8.96,9.11,+0.18,91,2849540
104/12/10,2993377,9.40,10.00,9.31,10.00,+0.89,735,29557800
104/12/11,2690999,10.20,10.50,10.00,10.10,+0.10,791,27616989
104/12/14,9027155,11.10,11.10,10.90,11.10,+1.00,762,100171117
104/12/15,3940000,11.15,11.45,10.70,10.90,-0.20,865,43395048
104/12/16,1592604,11.25,11.30,10.85,11.00,+0.10,382,17637833
104/12/17,1038461,11.10,11.10,10.80,10.80,-0.20,251,11340331
104/12/18,1012000,10.80,10.90,10.35,10.50,-0.30,239,10693250
104/12/21,747100,10.30,10.65,10.25,10.50,0.00,210,7794540
104/12/22,531600,10.60,10.60,10.10,10.10,-0.40,132,5465700
104/12/23,350000,10.20,10.50,10.10,10.20,+0.10,99,3568100
104/12/24,291005,10.25,10.30,10.05,10.10,-0.10,90,2958351
104/12/25,263000,10.15,10.30,10.15,10.15,+0.05,73,2695000
104/12/28,242000,10.15,10.20,10.10,10.10,-0.05,49,2453250
104/12/29,182000,10.25,10.25,10.10,10.20,+0.10,45,1845250
104/12/30,971230,10.20,10.60,10.10,10.60,+0.40,261,10077561
104/12/31,933000,10.55,10.90,10.40,10.40,-0.20,325,9935450
105/01/04,322000,10.40,10.40,10.10,10.10,-0.30,107,3296600
105/01/05,227000,10.10,10.20,9.85,9.86,-0.24,94,2260970
105/01/06,441000,9.70,9.80,9.13,9.40,-0.46,150,4187610
105/01/07,355000,9.39,9.39,8.92,9.00,-0.40,107,3227610
105/01/08,783230,8.80,9.20,8.60,9.00,0.00,190,6867068
105/01/11,96230,9.14,9.14,8.82,8.90,-0.10,41,852274
105/01/12,198000,8.91,9.05,8.70,8.70,-0.20,56,1758620
105/01/13,184000,8.90,8.90,8.70,8.80,+0.10,51,1610770
105/01/14,86000,8.70,8.70,8.53,8.66,-0.14,30,743340
105/01/15,119000,8.66,8.82,8.52,8.68,+0.02,44,1026400
105/01/18,263000,8.60,8.60,8.38,8.50,-0.18,69,2231620
105/01/19,103000,8.55,8.68,8.55,8.60,+0.10,32,886350
105/01/20,162098,8.56,8.63,8.50,8.63,+0.03,33,1393032
105/01/21,50000,8.50,8.60,8.50,8.51,-0.12,18,427630
105/01/22,144000,8.55,8.70,8.55,8.65,+0.14,46,1242990
105/01/25,42506,8.56,8.73,8.56,8.70,+0.05,14,369586
105/01/26,9000,8.53,8.69,8.53,8.68,-0.02,7,77510
105/01/27,67000,8.70,8.72,8.51,8.55,-0.13,20,575680
105/01/28,41000,8.55,8.55,8.50,8.50,-0.05,14,349860
105/01/29,156000,8.50,8.57,8.47,8.56,+0.06,47,1328670
105/01/30,139050,8.50,8.75,8.50,8.64,+0.08,28,1195760
105/02/01,65268,8.64,8.64,8.52,8.62,-0.02,20,561564
105/02/02,249000,8.60,8.78,8.58,8.70,+0.08,47,2146810
105/02/03,53000,8.70,8.70,8.59,8.69,-0.01,16,459550
105/02/15,46000,8.68,8.68,8.54,8.60,-0.09,18,395830
105/02/16,67353,8.52,8.68,8.52,8.68,+0.08,30,579195
105/02/17,21000,8.70,8.70,8.60,8.60,-0.08,10,181780
105/02/18,86050,8.58,8.60,8.58,8.60,0.00,31,739445
105/02/19,75000,8.60,8.60,8.53,8.54,-0.06,29,642250
105/02/22,722367,8.56,9.39,8.54,9.39,+0.85,252,6612795
105/02/23,844367,9.89,9.89,9.30,9.30,-0.09,286,8128986
105/02/24,270000,9.26,9.27,8.80,8.80,-0.50,116,2437790
105/02/25,118000,8.82,8.89,8.73,8.73,-0.07,49,1040810
105/02/26,198100,8.80,9.02,8.74,8.99,+0.26,91,1768590
105/03/01,154275,8.99,9.01,8.89,8.99,0.00,65,1377717
105/03/02,236000,8.99,9.05,8.92,8.93,-0.06,72,2116680
105/03/03,286000,9.03,9.20,8.93,8.94,+0.01,91,2574410
105/03/04,377050,8.97,9.07,8.95,9.01,+0.07,79,3401760
105/03/07,325001,9.20,9.20,8.99,8.99,-0.02,89,2940439
105/03/08,211000,8.96,9.16,8.91,9.03,+0.04,86,1907640
105/03/09,100250,9.07,9.08,9.04,9.08,+0.05,43,907995
105/03/10,315000,9.10,9.10,8.99,8.99,-0.09,75,2839770
105/03/11,401320,9.49,9.49,9.00,9.13,+0.14,162,3676402
105/03/14,164000,9.20,9.20,9.10,9.13,0.00,67,1499090
105/03/15,218000,9.13,9.13,8.97,8.97,-0.16,74,1967230
105/03/16,90000,8.92,9.03,8.92,8.95,-0.02,37,807470
105/03/17,211273,8.95,8.97,8.70,8.88,-0.07,71,1864472
105/03/18,76000,8.95,8.95,8.74,8.75,-0.13,30,667390
105/03/21,224042,8.75,8.75,8.40,8.61,-0.14,85,1911136
105/03/22,346000,8.61,8.82,8.61,8.63,+0.02,85,3019480
105/03/23,558121,8.63,8.90,8.63,8.72,+0.09,159,4897622
105/03/24,268000,8.64,8.71,8.56,8.57,-0.15,55,2307290
105/03/25,223500,8.57,8.69,8.57,8.60,+0.03,58,1927814
105/03/28,185000,8.65,8.65,8.47,8.50,-0.10,43,1575280
105/03/29,403000,8.43,8.68,8.40,8.49,-0.01,105,3424520
105/03/30,102000,8.59,8.59,8.44,8.44,-0.05,39,864570
105/03/31,963000,8.34,8.83,8.34,8.56,+0.12,308,8332600
105/04/01,249501,8.51,8.53,8.39,8.42,-0.14,107,2113435
105/04/06,137873,8.42,8.42,8.20,8.28,-0.14,61,1142887
105/04/07,196000,8.22,8.22,8.15,8.15,-0.13,55,1602900
