永信建,	5508
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,524298,66.50,66.50,65.30,65.50,-0.40,175,34714668
104/01/06,126031,65.50,65.50,65.00,65.20,-0.30,105,8210933
104/01/07,323300,64.80,65.60,64.40,64.90,-0.30,129,20999229
104/01/08,1607050,64.90,66.00,63.90,64.50,-0.40,439,103938470
104/01/09,303150,64.50,65.20,64.40,64.60,+0.10,85,19700074
104/01/12,173100,64.10,64.90,64.10,64.50,-0.10,102,11156270
104/01/13,182700,64.50,64.90,64.30,64.30,-0.20,87,11789510
104/01/14,344460,64.80,64.80,64.10,64.10,-0.20,137,22151070
104/01/15,323000,64.50,64.50,64.00,64.10,0.00,138,20715000
104/01/16,553242,64.30,64.30,63.00,63.30,-0.80,248,35161459
104/01/19,567100,63.30,64.20,62.70,62.80,-0.50,200,35904529
104/01/20,951576,63.20,63.60,62.60,63.10,+0.30,201,57474333
104/01/21,82487,63.10,63.60,63.10,63.30,+0.20,52,5221073
104/01/22,791066,63.40,64.90,63.30,64.00,+0.70,233,50976282
104/01/23,262863,64.10,65.00,63.80,64.00,0.00,103,16987058
104/01/26,147176,64.00,64.50,63.60,63.60,-0.40,65,9410752
104/01/27,446000,63.90,64.30,63.30,63.30,-0.30,151,28393400
104/01/28,131438,63.40,63.90,63.30,63.30,0.00,80,8340532
104/01/29,172758,63.70,63.70,63.20,63.20,-0.10,92,10935983
104/01/30,632210,63.80,64.50,63.00,63.60,+0.40,256,40317856
104/02/02,239124,63.60,64.30,63.20,63.40,-0.20,84,15243673
104/02/03,177500,63.40,64.00,63.30,63.30,-0.10,77,11270000
104/02/04,318532,63.80,63.90,63.00,63.00,-0.30,160,20148778
104/02/05,237000,63.40,63.70,63.00,63.00,0.00,122,14982300
104/02/06,186000,63.10,63.70,63.00,63.00,0.00,84,11746300
104/02/09,599525,63.00,63.20,62.30,62.30,-0.70,216,37593212
104/02/10,214002,62.70,62.70,62.30,62.30,0.00,87,13375225
104/02/11,630000,62.70,63.90,62.30,63.10,+0.80,139,39910100
104/02/12,96238,63.10,63.20,63.00,63.00,-0.10,81,6071194
104/02/13,3554000,63.50,66.00,63.30,64.00,+1.00,831,231238900
104/02/24,1389250,65.50,65.90,64.40,64.60,+0.60,330,91044348
104/02/25,1966049,65.00,65.10,64.00,64.00,-0.60,445,126469599
104/02/26,257472,64.40,64.90,63.90,63.90,-0.10,112,16579058
104/03/02,77323,63.50,64.10,63.50,64.00,+0.10,61,4932707
104/03/03,123181,64.00,64.00,63.50,63.50,-0.50,84,7841329
104/03/04,294000,63.70,64.20,63.20,63.20,-0.30,120,18693400
104/03/05,182619,63.20,63.70,63.20,63.30,+0.10,80,11571380
104/03/06,1080000,63.40,65.30,63.20,64.40,+1.10,386,69743500
104/03/09,211031,64.40,64.50,63.80,64.00,-0.40,92,13515717
104/03/10,203001,64.20,64.20,63.60,63.60,-0.40,114,12960164
104/03/11,341100,63.50,64.10,63.30,63.30,-0.30,146,21677249
104/03/12,131400,63.30,63.80,63.30,63.70,+0.40,82,8355400
104/03/13,221960,64.00,64.20,63.80,64.00,+0.30,124,14208000
104/03/16,253400,64.10,64.10,63.50,63.70,-0.30,92,16145200
104/03/17,191323,63.80,64.10,63.50,63.50,-0.20,111,12200172
104/03/18,434907,63.50,63.90,63.30,63.30,-0.20,185,27624194
104/03/19,464032,63.80,63.80,62.90,63.20,-0.10,258,29323857
104/03/20,717000,63.20,64.70,63.00,63.90,+0.70,274,45801200
104/03/23,898425,64.10,65.20,63.60,64.20,+0.30,311,57912126
104/03/24,308400,64.20,65.00,64.00,64.00,-0.20,186,19829639
104/03/25,215703,64.00,64.50,63.90,63.90,-0.10,130,13811192
104/03/26,641686,63.90,64.20,63.40,63.40,-0.50,235,40849108
104/03/27,279500,64.00,64.00,63.40,63.50,+0.10,135,17786650
104/03/30,197000,63.90,64.10,63.60,64.10,+0.60,114,12595400
104/03/31,503231,64.30,64.80,63.90,64.50,+0.40,300,32356615
104/04/01,208544,64.00,64.50,64.00,64.00,-0.50,117,13369948
104/04/02,401500,64.10,64.10,63.50,63.50,-0.50,197,25594400
104/04/07,533000,63.50,63.90,63.50,63.50,0.00,224,33923500
104/04/08,403001,63.90,63.90,63.10,63.30,-0.20,201,25566864
104/04/09,383200,63.30,63.80,63.00,63.10,-0.20,166,24258200
104/04/10,356400,63.50,63.50,62.80,63.00,-0.10,171,22491316
104/04/13,477322,63.80,64.40,63.30,63.90,+0.90,212,30552774
104/04/14,511200,64.00,64.00,63.40,63.40,-0.50,174,32496559
104/04/15,475400,63.50,63.60,62.70,62.80,-0.60,302,29960100
104/04/16,387284,63.30,63.30,62.40,62.40,-0.40,288,24255018
104/04/17,293003,62.40,63.30,62.40,63.20,+0.80,180,18441687
104/04/20,205500,63.20,63.50,62.40,62.50,-0.70,153,12909448
104/04/21,708200,62.60,63.00,61.20,61.80,-0.70,315,44044000
104/04/22,306300,61.80,62.60,61.40,61.90,+0.10,179,18953730
104/04/23,224058,61.90,62.60,61.60,62.30,+0.40,126,13894713
104/04/24,239480,62.30,62.40,61.70,62.30,0.00,108,14861703
104/04/27,467820,62.30,62.40,61.50,62.40,+0.10,258,28894968
104/04/28,200490,62.00,62.00,61.50,61.80,-0.60,124,12371180
104/04/29,244500,61.90,62.00,61.30,61.60,-0.20,170,15068800
104/04/30,393383,61.00,61.90,60.90,61.90,+0.30,251,24105506
104/05/04,261311,62.10,62.10,61.50,61.80,-0.10,128,16132550
104/05/05,120000,61.80,61.90,61.50,61.70,-0.10,77,7398500
104/05/06,2445601,62.80,64.50,61.60,63.50,+1.80,976,155009341
104/05/07,474014,64.00,64.20,63.20,63.30,-0.20,318,30158696
104/05/08,1009709,63.00,63.60,62.10,62.10,-1.20,302,66052067
104/05/11,467086,62.50,62.60,60.90,61.00,-1.10,305,28678674
104/05/12,239200,61.00,61.50,60.80,61.40,+0.40,149,14625000
104/05/13,229640,61.90,61.90,61.00,61.30,-0.10,156,14097960
104/05/14,355147,61.00,61.50,60.40,60.50,-0.80,222,21616328
104/05/15,302165,60.80,61.50,60.00,60.10,-0.40,210,18263305
104/05/18,136060,60.10,61.40,60.10,60.40,+0.30,74,8277520
104/05/19,128245,60.90,60.90,60.40,60.40,0.00,79,7761039
104/05/20,156500,60.40,60.80,60.10,60.40,0.00,105,9430200
104/05/21,305550,60.40,60.40,59.70,59.70,-0.70,169,18295285
104/05/22,155400,59.70,60.70,59.70,60.00,+0.30,90,9364080
104/05/25,143220,60.00,60.40,59.80,59.80,-0.20,91,8593276
104/05/26,401003,59.50,60.00,58.90,59.00,-0.80,235,23783978
104/05/27,265456,59.00,59.50,59.00,59.30,+0.30,127,15715224
104/05/28,345642,59.50,60.00,58.60,58.70,-0.60,201,20479742
104/05/29,568436,58.70,59.00,57.70,57.80,-0.90,389,33084514
104/06/01,94710,57.80,58.00,57.50,58.00,+0.20,81,5473251
104/06/02,355329,57.70,57.90,56.90,56.90,-1.10,269,20397249
104/06/03,993450,56.90,57.00,53.40,54.40,-2.50,603,54306339
104/06/04,265321,54.40,54.40,53.50,53.60,-0.80,214,14277736
104/06/05,225000,53.60,54.50,53.60,53.70,+0.10,150,12136800
104/06/08,1159585,53.70,59.00,53.70,57.60,+3.90,400,66470451
104/06/09,492054,57.60,58.90,56.10,57.00,-0.60,311,28248678
104/06/10,856500,57.60,58.30,55.80,56.10,-0.90,338,48813499
104/06/11,119200,56.60,56.60,56.10,56.10,0.00,78,6703700
104/06/12,582300,56.10,57.90,56.10,57.00,+0.90,213,33390500
104/06/15,74400,57.00,57.40,56.60,56.90,-0.10,60,4237199
104/06/16,649838,56.50,57.80,55.40,55.50,-1.40,230,36730366
104/06/17,328133,55.50,56.10,55.10,55.30,-0.20,147,18249248
104/06/18,130558,55.30,56.00,55.20,55.60,+0.30,64,7271348
104/06/22,237434,55.70,56.30,55.10,55.30,-0.30,109,13191789
104/06/23,885454,56.00,58.70,56.00,57.00,+1.70,316,50983778
104/06/24,158000,57.30,57.80,56.70,56.70,-0.30,119,9032600
104/06/25,852338,56.70,57.30,55.30,55.40,-1.30,403,47793928
104/06/26,173197,55.40,55.80,55.40,55.40,0.00,100,9618712
104/06/29,730807,55.40,55.70,53.60,53.60,-1.80,334,39943878
104/06/30,202641,53.70,54.90,53.70,54.90,+1.30,141,11040130
104/07/01,1135000,54.90,56.50,53.60,53.80,-1.10,481,62256998
104/07/02,1343777,53.80,54.00,51.90,51.90,-1.90,660,70870946
104/07/03,1649157,51.90,52.30,50.00,51.20,-0.70,717,83784346
104/07/06,323426,51.60,51.60,50.20,50.20,-1.00,192,16395711
104/07/07,260686,51.00,51.00,50.10,50.30,+0.10,148,13140046
104/07/08,853750,50.30,51.20,49.65,49.65,-0.65,323,42678774
104/07/09,467906,49.45,50.00,49.00,49.85,+0.20,248,23165289
104/07/13,756448,50.00,51.50,50.00,50.90,+1.05,171,38548491
104/07/14,567050,51.60,52.80,51.60,52.00,+1.10,275,29580600
104/07/15,162500,52.40,52.40,51.30,51.30,-0.70,91,8409550
104/07/16,129825,52.10,52.10,51.40,51.60,+0.30,93,6699751
104/07/17,181050,51.90,51.90,51.20,51.30,-0.30,81,9320485
104/07/20,179250,51.10,51.60,50.90,50.90,-0.40,123,9169022
104/07/21,154007,50.90,51.20,50.50,50.80,-0.10,73,7833859
104/07/22,166000,50.80,50.90,50.20,50.70,-0.10,92,8387600
104/07/23,172250,50.50,51.30,50.20,50.80,+0.10,102,8747050
104/07/24,618090,50.80,52.70,50.70,52.10,+1.30,228,32157998
104/07/27,550420,52.20,52.20,49.70,49.90,-2.20,227,27998267
104/07/28,259410,49.90,50.40,49.30,50.30,+0.40,164,12974823
104/07/29,226600,50.30,51.60,49.90,50.00,-0.30,160,11480200
104/07/30,205100,50.00,50.60,49.70,50.10,+0.10,134,10287460
104/07/31,571165,50.10,50.40,49.50,49.50,-0.60,333,28452180
104/08/03,393251,49.90,50.20,49.35,49.80,+0.30,205,19544146
104/08/04,570426,49.80,49.95,48.80,48.80,-1.00,346,28062949
104/08/05,312568,48.80,48.80,48.00,48.50,-0.30,215,15117594
104/08/06,592109,48.40,48.50,48.20,48.20,-0.30,330,28616291
104/08/07,779850,48.20,49.60,48.10,49.20,+1.00,479,38104424
104/08/10,752097,37.00,37.00,34.60,35.40,,477,26637342
104/08/11,533100,35.60,36.00,35.00,35.00,-0.40,273,18924739
104/08/12,280712,34.10,35.80,34.10,35.35,+0.35,156,9920574
104/08/13,207400,35.05,35.35,34.85,35.35,0.00,121,7273938
104/08/14,1034501,35.60,37.70,35.60,36.30,+0.95,338,38338236
104/08/17,238101,36.60,36.70,35.70,36.00,-0.30,119,8621860
104/08/18,380750,36.00,36.30,34.80,35.00,-1.00,227,13446950
104/08/19,348420,35.60,35.60,33.00,34.00,-1.00,256,11822122
104/08/20,375860,33.00,34.10,32.95,33.10,-0.90,217,12546387
104/08/21,1048552,33.10,33.60,30.15,30.15,-2.95,320,32384255
104/08/24,651490,28.30,29.85,27.15,28.55,-1.60,320,18312991
104/08/25,804620,27.95,29.65,27.60,29.50,+0.95,279,23225716
104/08/26,804300,29.00,30.50,29.00,30.20,+0.70,285,24104489
104/08/27,703625,30.90,31.00,29.60,30.30,+0.10,340,21396178
104/08/28,396250,30.40,30.80,29.90,30.30,0.00,244,12014787
104/08/31,137999,30.30,30.30,29.95,30.20,-0.10,109,4152418
104/09/01,171300,30.30,30.30,29.90,30.15,-0.05,96,5148410
104/09/02,141600,29.80,30.20,29.55,30.20,+0.05,110,4231300
104/09/03,166900,30.15,30.15,29.90,30.00,-0.20,104,5007229
104/09/04,1893940,29.90,32.00,29.85,31.00,+1.00,480,59708378
104/09/07,382100,31.05,31.80,30.80,30.90,-0.10,163,11936320
104/09/08,2004963,30.90,33.25,30.90,32.50,+1.60,442,65239738
104/09/09,2028400,33.05,34.20,32.55,32.60,+0.10,429,68102290
104/09/10,295170,32.95,32.95,32.35,32.40,-0.20,165,9626943
104/09/11,322400,32.40,33.50,32.40,32.75,+0.35,156,10663450
104/09/14,220121,32.90,33.30,32.45,32.80,+0.05,99,7207167
104/09/15,296130,32.90,33.50,31.90,31.90,-0.90,141,9663536
104/09/16,943496,32.10,33.20,31.90,32.30,+0.40,317,30887743
104/09/17,558820,32.80,33.15,31.90,32.25,-0.05,324,17997027
104/09/18,435910,32.35,32.40,31.85,32.00,-0.25,313,13995370
104/09/21,375800,32.00,32.00,31.40,31.70,-0.30,210,11922650
104/09/22,612271,31.55,32.70,31.55,31.70,0.00,322,19664511
104/09/23,561600,31.65,32.10,31.20,31.30,-0.40,235,17699519
104/09/24,320732,31.60,31.60,30.80,30.80,-0.50,195,10009592
104/09/25,1051961,31.30,31.80,30.75,31.20,+0.40,448,32717224
104/09/30,268900,31.20,31.55,30.80,31.30,+0.10,176,8376317
104/10/01,484550,31.30,31.90,31.25,31.30,0.00,205,15351229
104/10/02,152800,31.35,31.45,31.05,31.45,+0.15,85,4777700
104/10/05,178294,31.60,31.90,31.50,31.50,+0.05,104,5659935
104/10/06,208592,31.75,31.75,31.10,31.40,-0.10,140,6560242
104/10/07,265542,31.50,31.65,31.10,31.15,-0.25,149,8313214
104/10/08,198840,31.20,31.45,30.90,31.15,0.00,158,6192334
104/10/12,250906,31.40,31.40,30.95,30.95,-0.20,138,7820317
104/10/13,220675,30.95,31.30,30.80,31.20,+0.25,172,6854777
104/10/14,519880,31.10,31.55,30.70,31.40,+0.20,197,16235278
104/10/15,332300,31.00,31.40,30.80,31.00,-0.40,143,10305990
104/10/16,146748,31.05,31.10,30.80,30.90,-0.10,95,4540238
104/10/19,204700,31.05,31.05,30.45,30.60,-0.30,139,6271823
104/10/20,175380,30.60,30.80,30.20,30.35,-0.25,106,5341589
104/10/21,312226,30.35,30.40,30.05,30.10,-0.25,166,9430405
104/10/22,186600,30.10,30.30,30.05,30.20,+0.10,98,5628448
104/10/23,122523,30.25,30.35,30.05,30.05,-0.15,86,3694651
104/10/26,201200,30.15,30.40,29.95,30.00,-0.05,131,6053747
104/10/27,130800,30.15,30.15,29.90,29.95,-0.05,80,3925380
104/10/28,75600,29.95,30.45,29.90,30.00,+0.05,60,2280668
104/10/29,139400,30.05,30.50,29.90,30.00,0.00,83,4204387
104/10/30,133240,30.15,30.30,29.80,29.85,-0.15,100,3986750
104/11/02,167740,29.95,30.25,29.75,29.80,-0.05,105,5031550
104/11/03,141680,30.20,30.20,29.55,29.75,-0.05,114,4223846
104/11/04,2560934,29.80,32.50,29.80,31.40,+1.65,773,80839473
104/11/05,360400,31.45,31.90,31.20,31.20,-0.20,244,11360805
104/11/06,139700,31.30,31.30,30.80,30.80,-0.40,124,4322300
104/11/09,299400,30.80,31.50,30.15,30.45,-0.35,160,9196170
104/11/10,111100,30.20,30.30,30.00,30.00,-0.45,104,3342150
104/11/11,479400,30.40,30.50,29.35,30.10,+0.10,236,14315806
104/11/12,868536,30.50,31.30,29.65,29.65,-0.45,271,26643930
104/11/13,176350,29.65,30.20,29.40,29.45,-0.20,127,5220200
104/11/16,131000,29.05,29.15,28.70,28.75,-0.70,120,3776846
104/11/17,344840,29.30,29.65,28.75,28.85,+0.10,180,10031834
104/11/18,186339,28.85,29.05,28.55,28.65,-0.20,111,5351575
104/11/19,418469,28.80,29.00,27.70,27.95,-0.70,346,11800821
104/11/20,325300,28.20,28.20,27.55,27.95,0.00,201,9041700
104/11/23,284435,28.45,28.8,28,28.35,0.4,140,8091240
104/11/24,66100,28.35,28.35,27.80,27.85,-0.50,73,1852650
104/11/25,113200,28.00,28.15,27.55,28.00,+0.15,84,3153000
104/11/26,440200,27.55,28.30,27.55,28.30,+0.30,228,12264030
104/11/27,1331915,28.25,30.95,28.25,29.05,+0.75,487,39426277
104/11/30,418000,28.90,29.20,28.15,29.20,+0.15,233,12051950
104/12/01,820329,29.20,30.60,29.20,29.50,+0.30,326,24725934
104/12/02,165800,29.50,29.50,28.80,28.90,-0.60,130,4819200
104/12/03,198388,28.90,29.15,28.45,28.45,-0.45,130,5684706
104/12/04,85412,28.40,28.80,28.20,28.45,0.00,65,2433903
104/12/07,206768,28.30,28.95,28.25,28.30,-0.15,133,5896636
104/12/08,214772,28.30,28.90,28.00,28.60,+0.30,151,6107215
104/12/09,325091,28.65,30.00,28.05,28.10,-0.50,174,9425587
104/12/10,224400,28.10,28.35,27.80,28.00,-0.10,161,6273529
104/12/11,99800,27.80,28.50,27.80,27.90,-0.10,85,2799818
104/12/14,268420,28.00,28.15,27.10,27.25,-0.65,184,7369118
104/12/15,970800,27.70,27.80,26.95,27.80,+0.55,187,24978688
104/12/16,543359,27.80,29.10,27.80,28.80,+1.00,229,15582032
104/12/17,1121763,28.55,29.85,28.45,28.90,+0.10,318,33019348
104/12/18,127000,28.90,29.35,28.80,29.30,+0.40,93,3696848
104/12/21,91680,29.00,29.00,28.30,28.45,-0.85,65,2634833
104/12/22,79978,28.50,28.85,28.40,28.45,0.00,73,2279970
104/12/23,221600,28.35,28.65,28.10,28.40,-0.05,103,6278040
104/12/24,339006,28.55,29.40,28.40,28.40,0.00,149,9798870
104/12/25,592660,28.45,29.20,28.40,28.40,0.00,225,16962694
104/12/28,58212,28.20,28.40,28.20,28.35,-0.05,50,1649562
104/12/29,158833,28.20,28.30,27.85,27.85,-0.50,99,4448774
104/12/30,482220,27.90,28.90,27.90,28.55,+0.70,278,13654098
104/12/31,181944,28.70,28.85,28.25,28.70,+0.15,113,5191860
105/01/04,164930,28.60,28.60,28.00,28.10,-0.60,105,4660471
105/01/05,157383,28.10,28.25,27.70,27.70,-0.40,115,4391833
105/01/06,245821,27.60,28.25,27.45,27.45,-0.25,137,6798940
105/01/07,318935,27.85,27.90,26.60,26.75,-0.70,200,8644158
105/01/08,192700,26.70,27.70,26.50,27.05,+0.30,111,5220653
105/01/11,336800,26.55,27.30,26.15,26.50,-0.55,184,8927185
105/01/12,326600,26.10,26.95,26.05,26.20,-0.30,158,8613999
105/01/13,143245,26.40,26.85,26.35,26.60,+0.40,64,3818979
105/01/14,121960,26.30,26.45,26.05,26.45,-0.15,89,3196890
105/01/15,536188,26.90,27.45,26.50,26.50,+0.05,165,14565679
105/01/18,132302,26.10,26.90,26.10,26.80,+0.30,93,3533242
105/01/19,194385,27.30,27.30,26.50,26.50,-0.30,104,5220451
105/01/20,148601,26.40,26.90,26.30,26.65,+0.15,93,3945425
105/01/21,160799,27.05,27.40,26.45,26.60,-0.05,94,4348571
105/01/22,124890,26.75,26.75,26.10,26.20,-0.40,109,3279884
105/01/25,190100,26.35,26.65,26.10,26.15,-0.05,132,5001759
105/01/26,43660,26.25,26.30,26.15,26.15,0.00,40,1143340
105/01/27,271000,26.15,26.35,25.85,25.85,-0.30,164,7060046
105/01/28,62100,26.10,26.15,25.95,26.00,+0.15,56,1617075
105/01/29,225200,26.15,26.30,25.90,26.10,+0.10,171,5863467
105/01/30,153200,26.30,26.80,26.25,26.80,+0.70,114,4070759
105/02/01,116920,26.80,26.80,26.60,26.75,-0.05,100,3124705
105/02/02,225600,26.80,26.80,26.20,26.60,-0.15,168,5960989
105/02/03,514605,26.30,26.50,25.95,26.40,-0.20,231,13482473
105/02/15,514040,26.35,26.80,25.95,25.95,-0.45,218,13549550
105/02/16,378400,26.00,26.35,25.90,25.95,0.00,191,9838889
105/02/17,74120,26.05,26.05,25.95,26.05,+0.10,59,1926480
105/02/18,269400,26.10,26.25,25.85,26.00,-0.05,144,7007015
105/02/19,486792,26.00,26.20,25.65,25.95,-0.05,188,12605738
105/02/22,277200,26.25,26.35,25.90,26.15,+0.20,140,7242890
105/02/23,210600,26.15,26.40,26.15,26.25,+0.10,120,5544548
105/02/24,74700,26.25,26.35,26.15,26.20,-0.05,55,1962225
105/02/25,56600,26.15,26.25,26.00,26.05,-0.15,52,1477670
105/02/26,202400,26.00,26.35,25.85,25.95,-0.10,132,5269189
105/03/01,229815,25.95,26.45,25.95,26.25,+0.30,143,6035545
105/03/02,2944420,26.40,28.85,26.40,28.85,+2.60,880,82382103
105/03/03,2218610,29.80,30.80,29.30,30.20,+1.35,823,66997872
105/03/04,1951059,30.70,31.30,29.80,29.85,-0.35,638,59913649
105/03/07,4608400,30.30,32.80,30.10,31.40,+1.55,1210,147105152
105/03/08,931990,31.50,31.60,30.10,31.00,-0.40,541,28579985
105/03/09,1222505,31.00,31.35,29.85,30.05,-0.95,371,38969555
