德昌,	5511
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,19651,26.05,26.05,25.95,26.05,0.00,18,511054
104/01/06,35450,26.00,26.00,26.00,26.00,-0.05,19,921700
104/01/07,54303,26.05,26.05,26.00,26.00,0.00,19,1412228
104/01/08,8286,26.20,26.20,26.15,26.15,+0.15,11,217021
104/01/09,33050,26.10,26.10,26.00,26.10,-0.05,13,860607
104/01/12,89635,26.10,26.50,26.10,26.50,+0.40,61,2369273
104/01/13,29309,26.55,26.55,26.40,26.55,+0.05,26,776587
104/01/14,9500,26.55,26.60,26.55,26.55,0.00,9,252350
104/01/15,44839,26.50,26.50,26.40,26.40,-0.15,30,1186346
104/01/16,18050,26.35,26.35,26.20,26.25,-0.15,10,473312
104/01/19,45100,25.75,26.35,25.75,26.20,-0.05,25,1179970
104/01/20,16606,26.30,26.30,26.10,26.25,+0.05,16,435315
104/01/21,64409,26.25,26.30,26.10,26.30,+0.05,26,1685788
104/01/22,30100,26.20,26.30,26.15,26.30,0.00,11,791079
104/01/23,21580,26.90,26.90,26.15,26.45,+0.15,18,567741
104/01/26,29822,26.45,26.60,26.30,26.50,+0.05,28,789450
104/01/27,21200,26.55,26.65,26.50,26.50,0.00,18,562280
104/01/28,227019,26.60,27.50,26.50,27.30,+0.80,114,6120514
104/01/29,148333,27.30,27.50,26.70,27.15,-0.15,104,4042370
104/01/30,66354,27.45,27.60,27.20,27.40,+0.25,61,1818978
104/02/02,44080,27.55,27.65,27.20,27.30,-0.10,31,1207084
104/02/03,32605,27.30,27.45,27.30,27.30,0.00,16,892605
104/02/04,41919,27.45,27.45,27.30,27.35,+0.05,42,1147387
104/02/05,21150,27.05,27.40,27.05,27.30,-0.05,19,575422
104/02/06,33351,27.30,27.40,27.30,27.30,0.00,20,910761
104/02/09,32900,27.20,27.45,27.20,27.20,-0.10,18,899580
104/02/10,73750,27.00,27.40,26.90,27.15,-0.05,49,1993900
104/02/11,184377,27.40,27.50,26.90,27.40,+0.25,84,5009854
104/02/12,90853,27.45,27.45,26.95,27.00,-0.40,40,2453602
104/02/13,27100,27.00,27.30,27.00,27.25,+0.25,16,733160
104/02/24,70155,27.25,27.25,26.70,27.00,-0.25,41,1894185
104/02/25,144358,27.00,27.25,26.75,27.10,+0.10,52,3903800
104/02/26,54250,27.00,27.30,26.90,27.10,0.00,27,1471575
104/03/02,58952,27.30,27.30,27.00,27.00,-0.10,32,1594713
104/03/03,51769,27.00,27.10,27.00,27.05,+0.05,25,1399300
104/03/04,80000,27.10,27.20,27.00,27.05,0.00,42,2165298
104/03/05,262450,27.15,27.50,27.00,27.50,+0.45,106,7142575
104/03/06,48021,27.30,27.30,27.10,27.20,-0.30,32,1305969
104/03/09,70549,26.60,27.35,26.60,27.10,-0.10,41,1902014
104/03/10,76471,27.30,27.30,27.00,27.20,+0.10,37,2075612
104/03/11,53344,27.05,27.20,26.95,27.05,-0.15,27,1441754
104/03/12,51316,27.25,27.25,27.00,27.20,+0.15,20,1388896
104/03/13,29904,27.25,27.25,27.10,27.10,-0.10,28,810997
104/03/16,51201,27.00,27.20,27.00,27.20,+0.10,26,1386946
104/03/17,25218,27.20,27.25,27.15,27.20,0.00,21,685986
104/03/18,105554,27.00,27.40,27.00,27.30,+0.10,57,2878072
104/03/19,550880,27.40,28.35,27.35,27.60,+0.30,199,15233599
104/03/20,97437,27.30,27.75,27.30,27.50,-0.10,45,2669970
104/03/23,159727,27.95,28.00,27.60,27.75,+0.25,75,4436062
104/03/24,86931,27.85,27.95,27.85,27.85,+0.10,51,2423336
104/03/25,141852,28.00,28.05,27.80,27.95,+0.10,63,3959019
104/03/26,106136,27.90,27.95,27.85,27.95,0.00,42,2959523
104/03/27,592175,27.95,28.55,27.95,28.55,+0.60,321,16765412
104/03/30,316377,28.80,28.80,28.25,28.30,-0.25,144,8999260
104/03/31,270444,28.55,28.60,28.30,28.50,+0.20,126,7688132
104/04/01,178873,28.40,28.50,28.30,28.45,-0.05,61,5072297
104/04/02,123907,28.45,28.45,28.30,28.45,0.00,63,3515232
104/04/07,118238,28.50,28.60,28.45,28.45,0.00,70,3370279
104/04/08,106848,28.50,28.55,28.45,28.50,+0.05,59,3044866
104/04/09,212786,28.50,28.80,28.35,28.35,-0.15,127,6065049
104/04/10,161161,28.35,28.60,28.25,28.45,+0.10,107,4581325
104/04/13,107478,28.45,28.65,28.35,28.35,-0.10,54,3052150
104/04/14,147180,28.35,28.40,28.25,28.35,0.00,68,4165847
104/04/15,141609,28.35,28.35,28.20,28.25,-0.10,68,4000804
104/04/16,145808,28.25,28.30,28.20,28.25,0.00,64,4119432
104/04/17,131434,28.30,28.30,28.05,28.15,-0.10,67,3697280
104/04/20,91697,28.05,28.10,27.95,28.00,-0.15,49,2568218
104/04/21,79281,28.00,28.20,27.85,27.85,-0.15,42,2215253
104/04/22,145624,27.85,27.85,27.70,27.70,-0.15,73,4044390
104/04/23,98007,27.70,27.95,27.70,27.95,+0.25,58,2724144
