三豐,	5514
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,236000,21.30,21.60,21.20,21.30,+0.10,110,5034800
104/01/06,208332,21.25,21.25,20.90,20.95,-0.35,115,4379921
104/01/07,287800,20.95,21.55,20.95,21.50,+0.55,164,6141929
104/01/08,241178,21.95,21.95,21.50,21.60,+0.10,141,5230694
104/01/09,215144,21.70,21.70,21.30,21.45,-0.15,87,4614002
104/01/12,308740,21.35,22.00,21.30,21.80,+0.35,146,6710019
104/01/13,213360,21.95,21.95,21.50,21.80,0.00,112,4636026
104/01/14,137000,21.65,21.80,21.50,21.70,-0.10,75,2962250
104/01/15,238000,21.70,22.00,21.45,21.85,+0.15,130,5167700
104/01/16,758100,22.00,22.65,21.90,22.05,+0.20,294,16827253
104/01/19,297000,22.50,22.50,21.55,21.60,-0.45,107,6480300
104/01/20,190000,21.80,21.85,21.45,21.85,+0.25,68,4121350
104/01/21,289000,21.80,21.90,21.50,21.70,-0.15,80,6284400
104/01/22,258300,21.90,21.90,21.65,21.65,-0.05,95,5625192
104/01/23,476000,21.75,22.00,21.65,21.85,+0.20,168,10384950
104/01/26,253306,21.80,21.90,21.60,21.60,-0.25,78,5521858
104/01/27,300104,21.60,21.75,21.45,21.50,-0.10,93,6502986
104/01/28,364771,21.45,21.75,21.35,21.40,-0.10,106,7886960
104/01/29,253138,21.40,21.40,21.20,21.20,-0.20,103,5398425
104/01/30,253777,21.20,21.40,21.20,21.35,+0.15,64,5412232
104/02/02,238588,21.40,21.50,21.20,21.35,0.00,59,5104715
104/02/03,226867,21.65,21.65,21.25,21.45,+0.10,83,4859036
104/02/04,375800,21.45,21.70,21.45,21.55,+0.10,109,8100219
104/02/05,178202,21.55,21.65,21.45,21.60,+0.05,74,3852122
104/02/06,126000,21.80,21.80,21.35,21.60,0.00,42,2718700
104/02/09,229867,21.35,21.45,20.65,20.75,-0.85,142,4813559
104/02/10,106867,20.95,20.95,20.25,20.45,-0.30,76,2194356
104/02/11,157241,20.30,20.40,19.85,19.85,-0.60,91,3154832
104/02/12,144000,19.85,20.20,19.85,19.95,+0.10,37,2894350
104/02/13,216744,20.15,20.55,20.05,20.55,+0.60,85,4395013
104/02/24,55041,20.55,20.80,20.50,20.50,-0.05,34,1133036
104/02/25,88000,20.60,20.75,20.25,20.45,-0.05,46,1805950
104/02/26,50772,20.60,20.60,20.40,20.45,0.00,30,1039597
104/03/02,880968,21.20,21.85,21.10,21.85,+1.40,399,19170195
104/03/03,394179,22.00,22.00,21.40,21.40,-0.45,218,8581448
104/03/04,237607,21.20,21.40,21.15,21.20,-0.20,156,5042557
104/03/05,168024,21.80,21.80,21.30,21.50,+0.30,118,3616762
104/03/06,119922,21.55,21.60,21.25,21.60,+0.10,80,2573415
104/03/09,239879,21.60,21.80,21.50,21.50,-0.10,144,5175345
104/03/10,362303,21.75,21.90,21.45,21.75,+0.25,169,7858024
104/03/11,366056,21.90,21.95,21.50,21.75,0.00,755,7942238
104/03/12,476103,21.80,22.45,21.75,22.15,+0.40,1124,10574514
104/03/13,306849,22.55,22.60,22.20,22.30,+0.15,717,6855176
104/03/16,299221,22.50,22.55,22.20,22.45,+0.15,750,6696037
104/03/17,164712,22.45,22.50,22.20,22.25,-0.20,464,3679516
104/03/18,202836,22.25,22.25,22.00,22.05,-0.20,587,4481174
104/03/19,132676,22.20,22.20,22.05,22.20,+0.15,400,2937862
104/03/20,199158,22.40,22.40,22.20,22.35,+0.15,490,4438978
104/03/23,147821,22.35,22.40,22.25,22.30,-0.05,635,3303076
104/03/24,266956,22.40,22.40,21.85,21.95,-0.35,831,5884096
104/03/25,198761,21.60,21.95,21.60,21.95,0.00,617,4321788
104/03/26,80307,21.85,21.85,21.70,21.75,-0.20,171,1746730
104/03/27,92222,21.70,22.00,21.65,21.85,+0.10,155,2012683
104/03/30,70391,22.00,22.00,21.70,21.70,-0.15,116,1538454
104/03/31,127627,21.90,22.00,21.80,21.85,+0.15,119,2795357
104/04/01,38033,21.95,21.95,21.70,21.70,-0.15,65,830744
104/04/02,68278,21.70,21.85,21.70,21.75,+0.05,84,1483956
104/04/07,163508,21.80,22.20,21.80,22.20,+0.45,152,3596431
104/04/08,133546,22.20,22.25,22.05,22.25,+0.05,103,2958690
104/04/09,161183,22.25,22.40,22.05,22.20,-0.05,114,3578576
104/04/10,183183,22.20,22.30,21.50,21.80,-0.40,137,4031839
104/04/13,200421,21.80,21.95,21.55,21.70,-0.10,186,4342017
104/04/14,192423,21.10,21.60,21.10,21.40,-0.30,97,4124097
104/04/15,228214,21.30,21.40,20.95,20.95,-0.45,117,4813772
104/04/16,138609,20.95,21.30,20.95,21.10,+0.15,106,2921489
104/04/17,184326,20.90,21.00,20.65,20.65,-0.45,110,3835459
104/04/20,76136,20.65,20.90,20.65,20.90,+0.25,74,1582370
104/04/21,46103,20.85,20.95,20.75,20.90,0.00,51,960837
104/04/22,36652,21.00,21.00,20.75,21.00,+0.10,42,766504
104/04/23,150102,21.15,21.20,20.55,20.90,-0.10,78,3117609
104/04/24,92709,20.90,21.00,20.60,20.70,-0.20,60,1921367
104/04/27,71104,20.70,20.95,20.65,20.80,+0.10,62,1477700
104/04/28,55007,20.80,20.95,20.60,20.80,0.00,47,1141441
104/04/29,49010,20.70,20.70,20.50,20.60,-0.20,36,1010352
104/04/30,49139,20.50,20.70,20.50,20.70,+0.10,44,1013518
104/05/04,54256,21.00,21.00,20.70,20.75,+0.05,46,1128154
104/05/05,45666,20.75,20.90,20.50,20.60,-0.15,32,941433
104/05/06,78010,20.50,20.80,20.50,20.70,+0.10,51,1607352
104/05/07,94020,20.70,20.70,20.40,20.65,-0.05,56,1930752
104/05/08,81202,20.50,20.50,20.00,20.10,-0.55,54,1648959
104/05/11,252812,20.10,20.10,18.70,18.95,-1.15,152,4841578
104/05/12,105151,18.90,19.10,18.80,19.10,+0.15,68,1991096
