寶雅,	5904
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,117374,239.50,242.00,239.00,242.00,+2.50,120,28143508
104/01/06,165293,242.00,246.00,238.00,242.00,0.00,160,40095406
104/01/07,438633,236.00,237.00,229.50,234.00,-8.00,395,102530122
104/01/08,189120,233.00,239.00,233.00,235.00,+1.00,193,44560256
104/01/09,112709,234.00,237.00,231.50,235.00,0.00,118,26479115
104/01/12,81367,231.00,236.50,231.00,236.50,+1.50,89,19128612
104/01/13,171258,235.50,239.00,234.50,239.00,+2.50,164,40622533
104/01/14,152127,240.00,248.50,240.00,245.50,+6.50,161,37273488
104/01/15,51416,251.00,251.00,243.00,244.00,-1.50,55,12586172
104/01/16,85595,244.00,247.00,237.00,242.00,-2.00,87,20641395
104/01/19,46046,246.50,246.50,238.50,240.50,-1.50,59,11094040
104/01/20,73068,240.50,246.00,240.50,245.00,+4.50,78,17894556
104/01/21,80140,247.50,249.50,247.00,248.50,+3.50,99,19889580
104/01/22,85531,248.50,254.50,248.50,254.00,+5.50,106,21574343
104/01/23,261263,258.00,271.50,258.00,265.00,+11.00,243,69173432
104/01/26,74893,263.50,263.50,257.50,262.00,-3.00,78,19490680
104/01/27,188369,266.00,275.00,265.50,269.50,+7.50,190,50587892
104/01/28,27440,269.00,269.50,267.00,267.50,-2.00,44,7353197
104/01/29,33285,267.50,269.50,265.50,269.50,+2.00,47,8923665
104/01/30,27242,270.00,270.00,265.00,265.00,-4.50,45,7268130
104/02/02,19864,265.00,265.00,260.00,260.00,-5.00,40,5221640
104/02/03,99803,265.00,266.00,263.00,265.00,+5.00,94,26443587
104/02/04,51830,267.00,273.00,267.00,270.00,+5.00,70,13955353
104/02/05,136110,272.00,278.00,272.00,276.00,+6.00,148,37423750
104/02/06,74915,275.00,278.00,270.00,270.00,-6.00,90,20529550
104/02/09,74430,268.50,270.00,261.50,262.50,-7.50,82,19732450
104/02/10,45750,265.00,265.00,261.00,262.00,-0.50,60,11984000
104/02/11,95140,265.50,265.50,260.00,261.00,-1.00,102,24836500
104/02/12,82211,265.00,265.50,260.50,263.00,+2.00,88,21523204
104/02/13,42367,265.00,265.00,261.00,264.50,+1.50,49,11136069
104/02/24,92798,262.00,266.00,262.00,265.50,+1.00,98,24535071
104/02/25,106614,266.00,277.00,266.00,270.00,+4.50,115,28795356
104/02/26,71471,270.00,271.50,266.00,270.50,+0.50,87,19199199
104/03/02,37297,266.00,271.00,266.00,271.00,+0.50,52,10014838
104/03/03,96754,271.00,273.00,268.00,271.00,0.00,90,26252334
104/03/04,58245,271.00,272.50,271.00,272.50,+1.50,67,15845759
104/03/05,70052,272.50,275.00,272.50,274.00,+1.50,76,19159144
104/03/06,176534,273.00,290.00,273.00,283.50,+9.50,195,49616383
104/03/09,141559,278.00,280.00,274.50,276.50,-7.00,132,39154197
104/03/10,61137,275.00,275.50,272.50,272.50,-4.00,60,16744586
104/03/11,64685,272.50,274.00,272.50,272.50,0.00,71,17668846
104/03/12,119546,272.50,272.50,270.00,270.50,-2.00,122,32412783
104/03/13,118378,268.00,270.00,262.50,265.00,-5.50,137,31518426
104/03/16,210231,262.50,264.50,261.50,261.50,-3.50,103,55263853
104/03/17,153593,260.50,264.00,256.00,259.50,-2.00,167,39938773
104/03/18,137275,260.00,263.50,257.50,262.00,+2.50,140,35921625
104/03/19,141506,262.00,268.00,262.00,267.00,+5.00,146,37635108
104/03/20,439688,269.50,285.00,268.00,283.00,+16.00,395,122785666
104/03/23,353250,285.00,299.00,285.00,296.00,+13.00,345,104447250
104/03/24,929569,299.00,316.50,293.00,299.00,+3.00,551,287471270
104/03/25,69428,299.00,299.00,292.50,295.50,-3.50,96,20545470
104/03/26,101749,287.00,295.00,287.00,289.50,-6.00,113,29449459
104/03/27,32035,289.50,293.50,287.00,291.00,+1.50,48,9290150
104/03/30,35420,291.00,291.00,289.00,290.00,-1.00,44,10282720
104/03/31,70378,295.00,299.50,291.50,298.00,+8.00,93,20851144
104/04/01,131386,299.00,304.00,298.50,299.00,+1.00,132,39519833
104/04/02,138002,304.00,308.00,304.00,307.00,+8.00,164,42260610
104/04/07,146543,307.00,307.00,301.00,301.00,-6.00,156,44557529
104/04/08,169375,301.00,316.00,301.00,304.00,+3.00,163,51982750
104/04/09,102208,301.50,312.00,301.50,305.00,+1.00,121,31415732
104/04/10,54207,305.00,310.00,305.00,306.00,+1.00,64,16620733
104/04/13,49624,306.00,310.00,306.00,310.00,+4.00,69,15256816
104/04/14,62868,309.00,309.00,300.00,306.50,-3.50,78,19188538
104/04/15,111379,304.00,306.50,303.00,305.00,-1.50,117,33915974
104/04/16,126739,309.50,311.00,306.00,311.00,+6.00,129,39241851
104/04/17,43853,307.00,312.00,305.50,306.50,-4.50,56,13471724
104/04/20,32901,310.00,310.00,306.00,307.00,+0.50,47,10107154
104/04/21,167942,307.00,317.50,306.50,316.00,+9.00,180,52570753
104/04/22,183533,319.00,330.00,319.00,326.00,+10.00,214,59988484
104/04/23,446424,327.00,328.00,312.00,317.00,-9.00,438,143340408
104/04/24,162660,312.50,325.50,312.50,320.00,+3.00,139,52081700
104/04/27,56144,329.00,329.00,321.00,325.50,+5.50,76,18310868
104/04/28,484633,330.00,340.00,320.50,322.50,-3.00,364,159977191
104/04/29,124425,322.50,322.50,318.00,318.50,-4.00,137,39744000
104/04/30,102185,318.50,331.50,318.50,328.50,+10.00,114,33584865
104/05/04,128187,335.50,338.00,330.00,336.00,+7.50,143,42926645
104/05/05,171953,336.00,345.00,335.00,338.50,+2.50,192,58265614
104/05/06,115263,338.50,345.00,336.00,339.00,+0.50,136,39202022
104/05/07,197639,343.00,343.00,336.00,336.00,-3.00,82,67002157
104/05/08,89339,336.00,340.00,335.00,337.00,+1.00,99,29999565
104/05/11,79603,339.00,346.00,333.00,336.00,-1.00,74,26823211
104/05/12,60260,336.00,343.00,336.00,342.00,+6.00,79,20482420
104/05/13,136421,345.00,357.00,344.00,357.00,+15.00,167,48019797
104/05/14,206945,363.00,375.00,362.00,370.00,+13.00,219,76301650
104/05/15,220518,380.00,380.00,365.50,372.00,+2.00,181,82007426
104/05/18,337284,374.00,374.00,351.00,354.00,-18.00,340,120791036
104/05/19,361680,364.00,364.00,351.00,358.00,+4.00,355,128507940
104/05/20,383865,358.00,374.50,352.00,361.00,+3.00,353,139678791
104/05/21,108877,361.00,367.50,361.00,361.00,0.00,114,39680097
104/05/22,162484,362.50,368.50,359.00,364.00,+3.00,177,59185676
104/05/25,112750,364.00,366.00,358.50,360.00,-4.00,117,40757000
104/05/26,64360,360.00,362.50,357.50,358.50,-1.50,67,23130600
