信音,	6126
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,629414,13.30,13.60,13.30,13.60,+0.85,165,8529928
104/01/06,2426104,14.45,14.50,14.05,14.05,+0.45,974,34733756
104/01/07,740672,14.05,14.25,13.70,13.95,-0.10,271,10293938
104/01/08,387538,14.10,14.10,13.85,13.95,0.00,132,5408476
104/01/09,239200,13.90,14.10,13.90,14.00,+0.05,88,3346389
104/01/12,174500,13.80,14.05,13.75,14.05,+0.05,83,2425450
104/01/13,231460,14.05,14.10,13.90,13.90,-0.15,89,3245894
104/01/14,136310,13.80,13.95,13.75,13.90,0.00,57,1881478
104/01/15,245142,13.80,13.85,13.70,13.85,-0.05,85,3370766
104/01/16,132001,13.90,13.90,13.70,13.90,+0.05,51,1822063
104/01/19,227001,13.95,13.95,13.55,13.60,-0.30,91,3112663
104/01/20,146537,13.60,13.80,13.50,13.60,0.00,61,1995975
104/01/21,98800,13.65,13.70,13.45,13.65,+0.05,49,1341238
104/01/22,116120,13.60,13.80,13.55,13.75,+0.10,52,1585693
104/01/23,2247952,13.65,14.70,13.65,14.65,+0.90,647,32452745
104/01/26,797225,14.50,14.55,14.10,14.30,-0.35,280,11390494
104/01/27,205576,14.10,14.25,14.10,14.15,-0.15,101,2909769
104/01/28,698702,14.00,14.80,13.95,14.35,+0.20,268,10102037
104/01/29,151779,14.35,14.50,14.30,14.30,-0.05,64,2182010
104/01/30,241034,14.40,14.50,14.10,14.25,-0.05,83,3428777
104/02/02,588555,14.10,14.10,13.65,13.80,-0.45,195,8147175
104/02/03,255685,13.95,13.95,13.60,13.70,-0.10,117,3496214
104/02/04,162260,13.70,14.05,13.60,13.80,+0.10,97,2233359
104/02/05,182012,13.90,13.90,13.50,13.60,-0.20,104,2473561
104/02/06,63601,13.60,13.70,13.60,13.65,+0.05,29,867012
104/02/09,68452,13.60,13.70,13.50,13.55,-0.10,31,931997
104/02/10,104687,13.55,13.65,13.45,13.50,-0.05,46,1413155
104/02/11,173241,13.50,13.60,13.35,13.35,-0.15,70,2327554
104/02/12,119452,13.45,13.55,13.25,13.40,+0.05,47,1600660
104/02/13,73000,13.30,13.45,13.25,13.35,-0.05,33,973000
104/02/24,130852,13.40,13.50,13.10,13.25,-0.10,68,1733944
104/02/25,178657,13.30,13.60,13.25,13.35,+0.10,88,2397303
104/02/26,275420,13.10,13.45,13.10,13.35,0.00,84,3652735
104/03/02,112828,13.35,13.40,13.10,13.15,-0.20,55,1493846
104/03/03,127210,13.30,13.30,13.15,13.20,+0.05,62,1678821
104/03/04,99566,13.15,13.25,13.10,13.15,-0.05,52,1308863
104/03/05,231384,13.25,13.90,13.10,13.50,+0.35,90,3101744
104/03/06,95003,13.40,13.60,13.20,13.40,-0.10,58,1270489
104/03/09,63053,13.35,13.55,13.30,13.35,-0.05,40,844354
104/03/10,114311,13.35,13.35,13.15,13.15,-0.20,63,1510337
104/03/11,120332,13.05,13.30,13.05,13.20,+0.05,66,1591413
104/03/12,112265,13.30,13.30,13.15,13.25,+0.05,49,1482747
104/03/13,48397,13.25,13.30,13.20,13.20,-0.05,38,640147
104/03/16,98630,13.10,13.20,13.10,13.20,0.00,40,1296301
104/03/17,126310,13.30,13.30,13.05,13.15,-0.05,56,1656310
104/03/18,201839,13.25,13.25,12.95,13.05,-0.10,66,2636207
104/03/19,192840,13.05,13.10,12.90,13.05,0.00,96,2507827
104/03/20,225996,13.05,13.10,12.85,13.05,0.00,98,2932488
104/03/23,1346264,13.00,13.40,12.80,13.30,+0.25,382,17860129
104/03/24,286940,13.30,13.30,12.95,13.10,-0.20,580,3756762
104/03/25,258446,13.10,13.10,12.75,12.75,-0.35,405,3321936
104/03/26,402178,12.70,12.70,12.40,12.60,-0.15,507,5053719
104/03/27,180522,12.60,12.65,12.30,12.45,-0.15,291,2246045
104/03/30,167914,12.50,12.50,12.20,12.35,-0.10,590,2073785
104/03/31,281622,12.35,12.40,12.00,12.20,-0.15,338,3418487
104/04/01,134467,12.10,12.10,11.95,12.05,-0.15,179,1614054
104/04/02,302912,12.05,12.05,11.80,12.00,-0.05,348,3595979
104/04/07,349516,12.00,12.00,11.70,11.80,-0.20,544,4132965
104/04/08,256714,11.80,12.00,11.70,12.00,+0.20,484,3047463
104/04/09,330420,12.00,12.10,11.75,11.95,-0.05,260,3963964
104/04/10,56157,11.95,11.95,11.85,11.90,-0.05,62,667436
104/04/13,119146,11.90,11.90,11.80,11.90,0.00,89,1410481
104/04/14,234504,11.90,12.20,11.85,12.05,+0.15,132,2827598
104/04/15,114000,12.05,12.05,11.85,12.00,-0.05,80,1362192
104/04/16,117815,12.05,12.15,11.95,11.95,-0.05,83,1419630
104/04/17,80218,11.95,12.10,11.85,12.10,+0.15,51,961066
104/04/20,140020,12.10,12.10,11.85,11.95,-0.15,52,1667970
104/04/21,88207,12.00,12.00,11.80,11.85,-0.10,57,1044286
104/04/22,223500,11.75,11.75,11.45,11.50,-0.35,125,2589394
104/04/23,182735,11.50,11.60,11.45,11.45,-0.05,77,2099562
104/04/24,93026,11.45,11.50,11.40,11.45,0.00,56,1066816
104/04/27,312501,11.45,11.45,11.25,11.35,-0.10,128,3537958
104/04/28,118581,11.35,11.45,11.30,11.30,-0.05,56,1345907
104/04/29,171851,11.40,11.40,11.00,11.05,-0.25,111,1906737
104/04/30,180186,11.05,11.10,10.95,11.10,+0.05,93,1987496
104/05/04,224306,11.00,11.10,10.95,11.10,0.00,85,2472966
104/05/05,196602,11.10,11.10,10.80,11.05,-0.05,88,2152201
104/05/06,282205,11.05,11.05,10.70,10.90,-0.15,141,3048807
104/05/07,293005,10.90,11.10,10.80,11.00,+0.10,89,3225551
104/05/08,80399,10.95,11.10,10.90,11.00,0.00,41,881246
104/05/11,290709,11.05,11.05,10.50,10.70,-0.30,121,3111212
104/05/12,503033,10.50,10.65,10.10,10.50,-0.20,160,5229484
104/05/13,265281,11.20,11.20,10.85,11.00,+0.50,142,2922907
104/05/14,144148,11.00,11.00,10.70,11.00,0.00,70,1562728
104/05/15,104500,10.80,11.00,10.80,10.80,-0.20,47,1136644
104/05/18,215410,10.95,10.95,10.60,10.75,-0.05,102,2335414
104/05/19,162031,10.60,10.85,10.55,10.85,+0.10,108,1733760
104/05/20,99030,10.65,10.90,10.65,10.85,0.00,54,1070672
104/05/21,83264,10.70,10.90,10.65,10.80,-0.05,46,897973
104/05/22,169146,10.75,11.25,10.75,11.15,+0.35,78,1866520
104/05/25,185583,11.30,11.30,11.05,11.20,+0.05,78,2079442
104/05/26,1047911,11.15,11.95,10.95,11.95,+0.75,326,12240939
104/05/27,1806940,12.70,12.75,12.60,12.75,+0.80,539,22993485
104/05/28,1928766,12.95,12.95,12.25,12.30,-0.45,665,24405570
104/05/29,503301,12.15,12.40,11.95,11.95,-0.35,236,6103295
104/06/01,512001,11.95,12.00,11.40,11.55,-0.40,219,5950311
104/06/02,270438,11.55,11.70,11.35,11.50,-0.05,123,3114290
104/06/03,311885,11.50,11.50,11.25,11.30,-0.20,137,3546398
104/06/04,225679,11.30,11.35,11.10,11.10,-0.20,109,2520486
104/06/05,2167906,11.00,12.20,10.60,12.20,+1.10,744,25883301
104/06/08,1148374,12.00,12.00,11.50,11.70,-0.50,424,13465574
104/06/09,545383,11.55,11.65,11.20,11.20,-0.50,203,6191450
104/06/10,262404,11.20,11.55,11.20,11.35,+0.15,133,2982414
104/06/11,188000,11.35,11.35,11.00,11.00,-0.35,92,2091700
104/06/12,119000,11.20,11.25,11.10,11.20,+0.20,63,1328200
104/06/15,134633,11.00,11.15,10.90,11.00,-0.20,69,1482663
104/06/16,217000,11.00,11.00,10.85,11.00,0.00,74,2378600
