凌泰,	6198
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1006,16.60,16.60,16.60,16.60,+0.45,3,16699
104/01/06,11006,17.30,17.30,16.60,16.60,0.00,11,187399
104/01/07,4006,15.80,16.95,15.80,16.95,+0.35,9,64452
104/01/08,25002,16.95,17.40,16.60,16.60,-0.35,14,429182
104/01/09,2006,17.00,17.00,17.00,17.00,+0.40,8,34102
104/01/12,4005,17.00,17.00,17.00,17.00,0.00,7,68085
104/01/13,3009,17.00,17.00,17.00,17.00,0.00,12,51153
104/01/14,4006,16.90,17.05,16.90,17.05,+0.05,10,68002
104/01/15,825,---,---,---,---,---,10,13109
104/01/16,12003,17.20,17.20,16.95,16.95,-0.10,9,203948
104/01/19,3004,17.20,17.20,16.75,16.75,-0.20,7,50914
104/01/20,6004,16.75,16.75,16.40,16.75,0.00,8,100214
104/01/21,2008,16.75,16.75,16.75,16.75,0.00,13,33577
104/01/22,3155,16.75,17.05,16.75,17.05,+0.30,6,53242
104/01/23,1600,17.00,17.00,17.00,17.00,-0.05,7,27229
104/01/26,9002,17.20,17.20,17.20,17.20,+0.20,8,154834
104/01/27,3,---,---,---,---,---,3,54
104/01/28,1,---,---,---,---,---,1,18
104/01/29,1,---,---,---,---,---,1,17
104/01/30,1565,17.50,17.50,17.50,17.50,+0.30,6,27245
104/02/02,1,---,---,---,---,---,1,18
104/02/03,11002,17.90,17.90,16.55,16.55,-0.95,9,183432
104/02/04,6,---,---,---,---,---,6,90
104/02/05,774,---,---,---,---,---,4,12499
104/02/06,13014,16.60,16.60,16.60,16.60,0.00,12,216027
104/02/09,246,---,---,---,---,---,11,4007
104/02/10,1500,16.60,16.60,16.60,16.60,0.00,2,24750
104/02/11,50065,16.60,16.60,16.00,16.00,-0.60,59,818991
104/02/12,17507,16.00,16.00,15.90,16.00,0.00,18,279654
104/02/13,3010,16.60,16.60,16.00,16.00,0.00,13,48850
104/02/24,5030,17.10,17.10,16.85,16.85,+0.85,33,85432
104/02/25,3566,16.10,16.10,16.05,16.05,-0.80,17,57077
104/02/26,1022,16.85,16.85,16.85,16.85,+0.80,11,17212
104/03/02,49,---,---,---,---,---,31,799
104/03/03,6,---,---,---,---,---,6,96
104/03/04,15,---,---,---,---,---,14,241
104/03/05,1113,16.45,16.45,16.45,16.45,-0.40,14,18309
104/03/06,1017,17.05,17.05,17.05,17.05,+0.60,18,17339
104/03/09,2240,17.10,17.10,17.10,17.10,+0.05,31,38209
104/03/10,1449,16.80,16.80,16.80,16.80,-0.30,16,24397
104/03/11,22,---,---,---,---,---,22,352
104/03/12,14019,16.05,16.05,16.00,16.00,-0.80,24,224504
104/03/13,35020,16.00,16.80,15.90,16.80,+0.80,27,560970
104/03/16,1108,16.70,16.70,16.70,16.70,-0.10,41,18496
104/03/17,19,---,---,---,---,---,14,304
104/03/18,3007,15.95,16.95,15.95,16.95,+0.45,9,48969
104/03/19,23,---,---,---,---,---,22,368
104/03/20,6825,16.40,16.90,16.40,16.90,+0.35,21,111760
104/03/23,3780,16.05,16.90,16.05,16.90,0.00,36,61262
104/03/24,250,---,---,---,---,---,206,4294
104/03/25,3272,17.00,17.00,16.55,16.55,-0.15,195,54858
104/03/26,4155,16.90,16.95,16.80,16.80,+0.25,114,69970
104/03/27,1159,16.80,16.80,16.80,16.80,0.00,118,19386
104/03/30,1565,17.60,17.60,17.60,17.60,+0.80,229,27270
104/03/31,12215,16.40,16.90,16.40,16.90,-0.70,124,200956
104/04/01,470,---,---,---,---,---,131,7836
104/04/02,3226,16.55,16.55,16.50,16.50,-0.05,163,53261
104/04/07,19695,16.50,16.90,16.40,16.85,+0.35,307,328245
104/04/08,61825,16.85,17.40,16.60,16.90,+0.05,280,1045779
104/04/09,49016,16.65,16.70,15.75,15.85,-1.05,34,779006
104/04/10,4158,15.60,16.35,15.60,16.35,+0.50,17,66178
104/04/13,6069,16.00,16.15,16.00,16.15,-0.20,71,97187
104/04/14,5028,16.00,16.00,15.80,15.90,-0.25,14,79836
104/04/15,1632,15.90,15.90,15.90,15.90,0.00,16,25812
104/04/16,11004,15.90,16.10,15.90,16.10,+0.20,13,175914
104/04/17,13,---,---,---,---,---,4,203
104/04/20,14,---,---,---,---,---,14,210
104/04/21,0,---,---,---,---,---,0,0
104/04/22,6005,15.35,15.70,15.35,15.55,-0.50,10,93275
104/04/23,3,---,---,---,---,---,3,48
104/04/24,6503,15.65,15.65,15.50,15.50,-0.05,10,101245
104/04/27,10005,15.60,15.75,15.60,15.75,+0.25,14,156825
104/04/28,3009,15.75,15.75,15.75,15.75,0.00,10,47387
104/04/29,2,---,---,---,---,---,2,32
104/04/30,2136,15.75,15.75,15.75,15.75,0.00,8,33624
104/05/04,6509,14.85,15.75,14.85,15.75,0.00,17,101383
104/05/05,3321,15.75,15.75,15.75,15.75,0.00,6,52192
104/05/06,5825,15.75,15.75,15.40,15.70,-0.05,11,90539
104/05/07,1002,15.35,15.35,15.35,15.35,-0.35,3,15380
104/05/08,4003,15.40,15.95,15.40,15.55,+0.20,7,62345
104/05/11,9005,15.95,15.95,15.90,15.95,+0.40,11,143430
104/05/12,7023,15.95,15.95,15.40,15.40,-0.55,30,109495
104/05/13,58007,15.90,15.90,15.35,15.90,+0.50,26,894312
104/05/14,16,---,---,---,---,---,16,240
104/05/15,16016,15.85,15.90,15.25,15.25,-0.60,18,250642
104/05/18,1538,15.25,15.25,15.25,15.25,0.00,31,23062
104/05/19,43,---,---,---,---,---,43,688
104/05/20,6002,15.25,15.30,15.25,15.30,+0.05,4,91780
104/05/21,1500,15.85,15.85,15.85,15.85,+0.55,2,23575
104/05/22,0,---,---,---,---,---,0,0
104/05/25,12006,15.75,15.75,15.70,15.75,+0.10,12,188990
104/05/26,2000,15.75,15.75,15.75,15.75,0.00,2,31500
104/05/27,8004,15.75,15.80,15.60,15.60,-0.15,11,125710
104/05/28,11000,15.60,16.20,15.55,16.20,+0.60,9,176600
104/05/29,2021,15.95,15.95,15.95,15.95,-0.25,7,32231
104/06/01,1001,15.90,15.90,15.90,15.90,-0.05,2,15915
104/06/02,7269,15.20,15.80,15.20,15.80,-0.10,13,113267
104/06/03,2042,16.25,16.25,15.75,15.75,-0.05,5,32656
104/06/04,0,---,---,---,---,---,0,0
104/06/05,12001,16.15,16.15,15.50,15.50,-0.25,13,189115
104/06/08,13000,16.10,16.70,15.65,15.65,+0.15,12,209500
104/06/09,3695,15.20,15.20,15.15,15.20,-0.45,4,56044
104/06/10,1,---,---,---,---,---,1,16
104/06/11,0,---,---,---,---,---,0,0
104/06/12,10517,14.65,14.70,14.50,14.60,-1.10,11,153644
104/06/15,3783,15.35,15.35,13.60,14.85,+0.25,6,55426
104/06/16,7001,13.60,15.50,13.60,15.50,+0.65,8,101165
104/06/17,5012,14.15,15.35,14.15,15.35,-0.15,11,74036
104/06/18,208,---,---,---,---,---,2,3171
104/06/22,70927,13.80,15.20,13.80,15.00,-0.25,23,995742
104/06/23,18927,14.95,15.10,14.80,14.80,-0.20,17,282710
104/06/24,19927,14.85,15.10,14.75,15.10,+0.30,21,296860
104/06/25,28000,15.50,15.60,15.15,15.20,+0.10,21,427300
104/06/26,71356,15.15,15.60,15.15,15.30,+0.10,30,1104240
104/06/29,2,---,---,---,---,---,2,32
104/06/30,14054,15.45,15.60,15.25,15.60,+0.30,18,218275
104/07/01,8002,16.30,16.30,15.50,15.50,-0.10,9,125130
104/07/02,49004,15.50,15.60,15.50,15.60,+0.10,16,760260
104/07/03,16001,15.60,15.60,15.60,15.60,0.00,12,249615
104/07/06,52500,15.50,15.75,15.10,15.70,+0.10,31,816875
104/07/07,43001,15.80,15.80,15.30,15.30,-0.40,11,668115
104/07/08,7000,15.30,15.30,14.40,14.40,-0.90,7,103300
104/07/09,61499,15.80,15.80,15.80,15.80,+1.40,27,971534
104/07/13,46300,15.80,15.80,14.25,15.50,-0.30,24,705560
104/07/14,34000,15.50,15.75,15.20,15.40,-0.10,16,530250
104/07/15,21000,15.40,15.60,15.40,15.50,+0.10,5,325800
104/07/16,4000,15.75,15.80,15.75,15.80,+0.30,4,63100
