天品,	6199
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1358,19.80,19.80,19.80,19.80,-0.30,3,26994
104/01/06,0,---,---,---,---,---,0,0
104/01/07,0,---,---,---,---,---,0,0
104/01/08,3737,19.70,19.70,19.70,19.70,-0.10,6,73840
104/01/09,3000,19.60,19.60,19.60,19.60,-0.10,2,58800
104/01/12,1000,19.50,19.50,19.50,19.50,-0.10,1,19500
104/01/13,80,---,---,---,---,---,1,1552
104/01/14,4755,19.50,20.50,19.50,20.50,+1.00,8,95476
104/01/15,0,---,---,---,---,---,0,0
104/01/16,2000,19.70,19.70,19.70,19.70,-0.80,1,39400
104/01/19,2000,19.70,19.70,19.70,19.70,0.00,1,39400
104/01/20,3000,19.60,19.60,19.60,19.60,-0.10,2,58800
104/01/21,2233,19.60,19.60,19.60,19.60,0.00,3,43836
104/01/22,5000,19.50,19.50,19.30,19.30,-0.30,2,97100
104/01/23,1813,19.30,19.30,19.30,19.30,0.00,2,34462
104/01/26,200,---,---,---,---,---,1,3840
104/01/27,8000,19.30,19.30,19.25,19.25,-0.05,4,154200
104/01/28,0,---,---,---,---,---,0,0
104/01/29,0,---,---,---,---,---,0,0
104/01/30,1000,19.25,19.25,19.25,19.25,0.00,1,19250
104/02/02,0,---,---,---,---,---,0,0
104/02/03,0,---,---,---,---,---,0,0
104/02/04,5000,19.50,19.50,19.50,19.50,+0.25,1,97500
104/02/05,0,---,---,---,---,---,0,0
104/02/06,0,---,---,---,---,---,0,0
104/02/09,401,---,---,---,---,---,1,7398
104/02/10,5585,19.80,19.80,19.80,19.80,+0.30,3,110173
104/02/11,6215,19.75,20.00,19.75,20.00,+0.20,4,123867
104/02/12,1000,19.00,19.00,19.00,19.00,-1.00,1,19000
104/02/13,1480,19.00,19.00,19.00,19.00,0.00,2,27880
104/02/24,54000,17.70,17.70,17.70,17.70,-1.30,4,955800
104/02/25,0,---,---,---,---,---,0,0
104/02/26,1000,19.30,19.30,19.30,19.30,+1.20,1,19300
104/03/02,0,---,---,---,---,---,0,0
104/03/03,0,---,---,---,---,---,0,0
104/03/04,5653,19.90,19.90,19.90,19.90,+0.60,3,111743
104/03/05,65,---,---,---,---,---,1,1293
104/03/06,74,---,---,---,---,---,3,1434
104/03/09,5000,19.90,19.90,19.90,19.90,0.00,4,99500
104/03/10,24613,19.90,19.90,19.70,19.90,0.00,20,488068
104/03/11,0,---,---,---,---,---,0,0
104/03/12,1872,19.90,19.90,19.90,19.90,0.00,3,36249
104/03/13,1000,19.80,19.80,19.80,19.80,-0.10,1,19800
104/03/16,12000,20.20,20.40,20.20,20.40,+0.60,3,243800
104/03/17,0,---,---,---,---,---,0,0
104/03/18,520,---,---,---,---,---,1,9776
104/03/19,1217,19.60,19.60,19.60,19.60,-0.60,2,23701
104/03/20,600,---,---,---,---,---,1,11040
104/03/23,14201,19.60,19.60,19.40,19.50,0.00,11,276719
104/03/24,1000,19.40,19.40,19.40,19.40,-0.10,1,19400
104/03/25,2000,19.50,19.50,19.50,19.50,+0.10,1,39000
104/03/26,0,---,---,---,---,---,0,0
104/03/27,131,---,---,---,---,---,1,2390
104/03/30,0,---,---,---,---,---,0,0
104/03/31,133,---,---,---,---,---,1,2420
104/04/01,0,---,---,---,---,---,0,0
104/04/02,0,---,---,---,---,---,0,0
104/04/07,3000,19.50,19.50,19.50,19.50,0.00,2,58500
104/04/08,0,---,---,---,---,---,0,0
104/04/09,6080,19.50,19.50,19.35,19.35,-0.15,3,118102
104/04/10,0,---,---,---,---,---,0,0
104/04/13,0,---,---,---,---,---,0,0
104/04/14,0,---,---,---,---,---,0,0
104/04/15,3000,19.35,19.35,19.35,19.35,0.00,1,58050
104/04/16,0,---,---,---,---,---,0,0
104/04/17,0,---,---,---,---,---,0,0
104/04/20,0,---,---,---,---,---,0,0
104/04/21,0,---,---,---,---,---,0,0
104/04/22,0,---,---,---,---,---,0,0
104/04/23,0,---,---,---,---,---,0,0
104/04/24,0,---,---,---,---,---,0,0
104/04/27,0,---,---,---,---,---,0,0
104/04/28,841,---,---,---,---,---,2,15558
104/04/29,0,---,---,---,---,---,0,0
104/04/30,1000,19.30,19.30,19.30,19.30,-0.05,1,19300
104/05/04,0,---,---,---,---,---,0,0
104/05/05,2,---,---,---,---,---,2,38
104/05/06,0,---,---,---,---,---,0,0
104/05/07,0,---,---,---,---,---,0,0
104/05/08,868,---,---,---,---,---,2,16057
104/05/11,5000,19.30,19.30,19.30,19.30,0.00,3,96500
104/05/12,1000,19.00,19.00,19.00,19.00,-0.30,1,19000
104/05/13,0,---,---,---,---,---,0,0
104/05/14,0,---,---,---,---,---,0,0
104/05/15,0,---,---,---,---,---,0,0
104/05/18,20,---,---,---,---,---,1,354
