日揚,	6208
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,410241,15.30,15.30,15.15,15.30,0.00,172,6245735
104/01/06,529526,15.15,15.20,15.00,15.00,-0.30,216,7981040
104/01/07,363005,14.90,15.15,14.90,15.05,+0.05,169,5457675
104/01/08,479201,15.15,15.25,15.05,15.10,+0.05,180,7254465
104/01/09,608212,15.10,15.35,15.05,15.05,-0.05,259,9230760
104/01/12,383351,15.10,15.10,14.90,14.90,-0.15,182,5745465
104/01/13,976278,14.90,15.30,14.90,15.15,+0.25,353,14765781
104/01/14,598906,15.15,15.35,15.10,15.20,+0.05,280,9119329
104/01/15,355114,15.10,15.25,15.05,15.10,-0.10,156,5361670
104/01/16,993955,15.20,15.35,14.90,15.05,-0.05,414,15040473
104/01/19,640541,15.10,15.25,14.75,14.85,-0.20,287,9579298
104/01/20,294335,14.90,15.00,14.85,14.95,+0.10,136,4396604
104/01/21,314111,15.05,15.05,14.95,14.95,0.00,133,4709599
104/01/22,345574,15.00,15.10,14.90,15.00,+0.05,156,5176000
104/01/23,643991,15.05,15.20,14.95,15.00,0.00,235,9701659
104/01/26,625205,15.05,15.35,15.00,15.20,+0.20,261,9497245
104/01/27,574530,15.30,15.35,15.20,15.25,+0.05,219,8763028
104/01/28,5355890,15.25,16.15,15.25,15.75,+0.50,1932,84653769
104/01/29,1136750,15.75,15.85,15.50,15.55,-0.20,474,17819522
104/01/30,656006,15.55,15.70,15.35,15.40,-0.15,279,10146090
104/02/02,417001,15.40,15.40,15.20,15.25,-0.15,202,6365265
104/02/03,363176,15.35,15.35,15.20,15.20,-0.05,148,5541083
104/02/04,332269,15.45,15.45,15.15,15.20,0.00,144,5070715
104/02/05,181005,15.20,15.30,15.15,15.15,-0.05,101,2748775
104/02/06,523077,15.15,15.70,15.15,15.20,+0.05,266,8043372
104/02/09,307006,15.20,15.30,15.10,15.15,-0.05,152,4660640
104/02/10,429400,15.15,15.20,14.95,14.95,-0.20,203,6468369
104/02/11,348035,15.10,15.10,14.85,14.90,-0.05,194,5210490
104/02/12,488480,15.00,15.00,14.65,14.65,-0.25,219,7212629
104/02/13,441053,14.65,14.75,14.60,14.65,0.00,221,6469470
104/02/24,548355,14.85,14.95,14.70,14.85,+0.20,215,8142642
104/02/25,608504,14.90,15.15,14.90,15.00,+0.15,246,9168373
104/02/26,247137,15.05,15.10,14.95,14.95,-0.05,133,3702783
104/03/02,246391,15.15,15.15,14.95,15.00,+0.05,111,3701065
104/03/03,886316,15.00,15.55,15.00,15.25,+0.25,377,13566566
104/03/04,348150,15.25,15.35,15.15,15.15,-0.10,184,5309812
104/03/05,416201,15.30,15.30,15.00,15.05,-0.10,183,6277665
104/03/06,2223407,15.05,15.70,15.05,15.50,+0.45,893,34441800
104/03/09,6452905,15.45,16.55,15.30,16.55,+1.05,2107,105020024
104/03/10,4471160,16.75,16.85,16.00,16.00,-0.55,1775,73330615
104/03/11,1124025,15.75,16.20,15.70,15.80,-0.20,609,17885525
104/03/12,1057548,15.90,16.25,15.90,15.90,+0.10,437,16965241
104/03/13,2562658,16.00,16.60,16.00,16.20,+0.30,1062,41908089
104/03/16,938626,16.25,16.55,16.00,16.00,-0.20,436,15194527
104/03/17,954189,16.10,16.30,15.65,15.70,-0.30,440,15101907
104/03/18,452065,15.70,15.85,15.60,15.65,-0.05,242,7114503
104/03/19,647670,16.00,16.00,15.70,15.75,+0.10,264,10223973
104/03/20,852009,15.75,15.95,15.60,15.65,-0.10,330,13412785
