旺矽,	6223
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,787000,117.00,119.00,116.00,119.00,+2.00,639,92952000
104/01/06,895000,117.50,119.00,115.50,116.00,-3.00,701,104392000
104/01/07,1175790,116.00,122.00,115.00,121.50,+5.50,871,140349090
104/01/08,1627238,121.50,122.00,118.00,118.50,-3.00,1077,193872322
104/01/09,982631,119.50,120.00,116.50,116.50,-2.00,651,116119511
104/01/12,2482140,114.50,114.50,108.50,111.00,-5.50,1720,275702180
104/01/13,1652139,110.50,114.50,110.50,113.00,+2.00,1147,185846207
104/01/14,498100,113.00,113.00,111.00,112.50,-0.50,383,55796750
104/01/15,427010,113.00,113.00,111.50,111.50,-1.00,317,47793620
104/01/16,1073008,112.00,113.50,108.00,108.50,-3.00,735,117862376
104/01/19,558173,109.00,111.00,107.00,108.00,-0.50,419,60764357
104/01/20,727315,109.00,112.00,109.00,110.00,+2.00,547,80403150
104/01/21,817405,111.00,114.00,110.00,113.00,+3.00,612,91794062
104/01/22,573397,113.00,113.50,110.50,111.00,-2.00,456,64109567
104/01/23,643105,111.00,113.00,110.00,110.00,-1.00,474,71562050
104/01/26,977100,110.50,111.00,108.00,109.50,-0.50,634,106585000
104/01/27,583222,110.50,110.50,108.00,108.50,-1.00,462,63353698
104/01/28,745144,108.00,110.50,108.00,109.00,+0.50,612,81597267
104/01/29,2489000,110.50,115.00,108.00,109.00,0.00,1783,275057500
104/01/30,947846,110.50,110.50,108.00,108.50,-0.50,708,103157368
104/02/02,1682180,108.50,109.50,103.50,104.00,-4.50,1320,176787260
104/02/03,1161217,106.00,108.50,104.50,108.50,+4.50,860,123684436
104/02/04,1632213,110.00,112.00,108.50,110.50,+2.00,1165,180449536
104/02/05,948954,111.00,112.50,108.50,109.50,-1.00,718,104834986
104/02/06,704001,110.00,111.00,108.00,109.00,-0.50,539,77014109
104/02/09,275144,109.50,110.00,107.00,108.00,-1.00,241,29793980
104/02/10,678000,108.00,108.50,105.00,106.00,-2.00,581,71926500
104/02/11,353111,107.50,108.00,105.00,105.50,-0.50,312,37453655
104/02/12,696120,107.50,109.00,106.00,109.00,+3.50,522,75284640
104/02/13,578060,109.00,111.50,109.00,110.00,+1.00,456,63814570
104/02/24,443510,111.50,111.50,109.50,110.00,0.00,335,48908343
104/02/25,1934948,111.00,116.00,109.00,115.50,+5.50,1355,219002468
104/02/26,688124,116.00,116.00,113.50,114.50,-1.00,509,78664260
104/03/02,770083,115.50,115.50,112.00,113.50,-1.00,618,87472462
104/03/03,1272000,114.50,116.00,113.50,114.00,+0.50,803,145294500
104/03/04,1253320,114.00,115.00,110.00,110.50,-3.50,970,140228859
104/03/05,1138513,110.00,113.00,110.00,111.00,+0.50,935,126093443
104/03/06,796010,111.50,112.00,109.50,111.00,0.00,507,88325110
104/03/09,867400,110.50,113.00,110.50,112.00,+1.00,617,97161200
104/03/10,2442241,112.00,117.00,112.00,115.50,+3.50,1662,281397456
104/03/11,1147613,115.50,116.00,112.50,113.00,-2.50,824,130683769
104/03/12,1846507,114.00,117.50,113.00,117.50,+4.50,1312,214272319
104/03/13,5183574,119.00,125.50,118.50,125.50,+8.00,3052,634240034
104/03/16,3146445,127.00,128.00,121.50,122.50,-3.00,2184,389519125
104/03/17,1978434,123.00,124.00,118.50,118.50,-4.00,1397,239127428
104/03/18,1221040,119.50,120.50,117.50,119.50,+1.00,815,145751800
104/03/19,2176016,120.00,120.50,115.50,119.50,0.00,1462,256920500
104/03/20,1425555,118.00,120.50,116.50,116.50,-3.00,945,167563990
104/03/23,3688698,115.50,117.50,110.50,112.50,-4.00,2215,414007176
104/03/24,2938746,112.00,112.50,106.00,107.00,-5.50,1996,318386068
104/03/25,5233354,105.00,106.50,100.50,101.50,-5.50,3726,541487378
104/03/26,3372580,101.00,101.00,97.30,98.80,-2.70,2561,333500165
104/03/27,2148285,99.10,100.50,98.00,98.00,-0.80,1729,212939526
104/03/30,3683474,98.70,98.70,91.20,91.20,-6.80,2845,343212200
104/03/31,4627101,92.00,93.30,88.20,93.00,+1.80,3152,422589195
104/04/01,2337704,91.90,92.60,89.20,90.10,-2.90,1766,212911628
104/04/02,2147405,90.30,93.90,90.30,93.90,+3.80,1833,198567670
104/04/07,1635231,94.20,96.20,92.90,94.80,+0.90,1549,154799669
104/04/08,801389,95.00,95.40,94.00,94.40,-0.40,757,75788024
104/04/09,1203525,94.40,96.40,93.60,93.70,-0.70,978,114327975
104/04/10,1227975,94.00,94.70,90.00,92.40,-1.30,931,113857279
104/04/13,505442,93.70,94.10,93.00,94.00,+1.60,434,47329548
104/04/14,2697158,94.40,99.70,94.00,98.80,+4.80,2106,263450581
104/04/15,2517464,99.60,101.00,99.00,99.10,+0.30,1542,250432936
104/04/16,1500032,99.90,99.90,96.70,97.00,-2.10,1062,147367505
104/04/17,1604300,97.30,97.90,93.60,94.00,-3.00,1256,152543789
104/04/20,1398032,92.10,93.00,91.20,91.80,-2.20,1097,128698089
104/04/21,1103211,91.20,93.80,90.20,93.00,+1.20,869,101175934
104/04/22,972365,92.80,93.10,91.50,92.10,-0.90,678,89519245
104/04/23,700151,93.10,93.80,92.50,92.90,+0.80,517,65097327
104/04/24,867201,92.90,93.00,91.20,91.50,-1.40,651,79727776
104/04/27,494938,93.00,93.00,91.70,92.00,+0.50,380,45525925
104/04/28,949024,92.00,92.20,89.60,90.10,-1.90,706,86109370
104/04/29,698135,90.10,91.70,89.90,90.60,+0.50,542,63369498
104/04/30,992128,90.60,93.60,90.60,92.00,+1.40,739,91861976
104/05/04,374285,93.00,93.00,91.30,91.40,-0.60,323,34461944
104/05/05,474405,91.50,93.20,91.20,91.80,+0.40,368,43720515
104/05/06,468169,91.50,93.20,90.40,91.80,0.00,401,42967494
104/05/07,1256571,91.80,94.10,91.80,93.50,+1.70,820,117124886
104/05/08,1079003,93.50,93.90,90.30,91.00,-2.50,804,99439276
