研通,	6229
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,112020,16.50,16.75,16.50,16.70,+0.20,55,1863481
104/01/06,153000,16.60,16.65,16.40,16.45,-0.25,50,2525500
104/01/07,40003,16.40,16.50,16.40,16.40,-0.05,25,657698
104/01/08,64008,16.45,16.60,16.40,16.40,0.00,38,1055331
104/01/09,34049,16.45,16.50,16.40,16.45,+0.05,16,559648
104/01/12,93002,16.45,16.60,16.45,16.50,+0.05,52,1535282
104/01/13,46123,16.40,16.55,16.40,16.40,-0.10,33,757202
104/01/14,120005,16.40,16.40,16.20,16.25,-0.15,52,1953930
104/01/15,129553,16.15,16.55,16.15,16.45,+0.20,71,2125463
104/01/16,45039,16.45,16.50,16.30,16.30,-0.15,30,738131
104/01/19,47010,16.30,16.50,16.30,16.35,+0.05,30,769661
104/01/20,80001,16.40,16.60,16.35,16.60,+0.25,41,1317366
104/01/21,45069,16.65,16.70,16.45,16.55,-0.05,38,748080
104/01/22,28003,16.55,16.60,16.55,16.55,0.00,20,464098
104/01/23,102011,16.60,16.60,16.30,16.50,-0.05,51,1683130
104/01/26,67511,16.50,16.50,16.25,16.40,-0.10,40,1102826
104/01/27,129003,16.40,16.80,16.40,16.65,+0.25,70,2138898
104/01/28,35020,16.65,16.65,16.50,16.55,-0.10,27,580228
104/01/29,32000,16.45,16.60,16.40,16.60,+0.05,20,528700
104/01/30,13144,16.60,16.60,16.50,16.50,-0.10,11,217096
104/02/02,94001,16.40,16.55,16.30,16.55,+0.05,32,1540666
104/02/03,40001,16.45,16.45,16.30,16.35,-0.20,24,654116
104/02/04,45000,16.40,16.50,16.30,16.50,+0.15,23,737450
104/02/05,17022,16.50,16.50,16.30,16.30,-0.20,16,278360
104/02/06,55007,16.35,16.45,16.30,16.35,+0.05,30,898712
104/02/09,26001,16.35,16.55,16.30,16.55,+0.20,19,426566
104/02/10,58103,16.35,16.45,16.30,16.30,-0.25,21,951508
104/02/11,29010,16.40,16.40,16.10,16.25,-0.05,23,471013
104/02/12,60101,16.10,16.25,15.85,15.95,-0.30,42,962276
104/02/13,24061,15.95,16.10,15.90,16.10,+0.15,16,384719
104/02/24,47021,15.80,16.15,15.80,16.15,+0.05,37,749886
104/02/25,3002,16.00,16.00,15.95,15.95,-0.20,5,47932
104/02/26,12002,16.00,16.15,16.00,16.05,+0.10,12,192780
104/03/02,43079,16.00,16.15,15.95,15.95,-0.10,34,688741
104/03/03,57005,15.95,16.10,15.90,16.00,+0.05,21,909078
104/03/04,63203,16.00,16.10,15.90,15.90,-0.10,19,1007885
104/03/05,80005,15.90,16.35,15.90,16.00,+0.10,42,1289675
104/03/06,68002,16.20,16.25,16.00,16.05,+0.05,33,1096932
104/03/09,47013,16.05,16.05,15.95,15.95,-0.10,39,752358
104/03/10,39022,15.95,15.95,15.65,15.85,-0.10,34,613602
104/03/11,34036,15.60,15.70,15.60,15.65,-0.20,30,531363
104/03/12,67010,15.70,15.75,15.70,15.70,+0.05,33,1054402
104/03/13,83009,15.70,15.70,15.60,15.60,-0.10,41,1299235
104/03/16,41001,15.60,15.75,15.60,15.65,+0.05,19,641665
104/03/17,60005,15.65,15.80,15.60,15.65,0.00,26,940775
104/03/18,89033,15.60,15.80,15.60,15.65,0.00,29,1395764
104/03/19,57010,15.70,15.70,15.60,15.60,-0.05,25,893151
104/03/20,242005,15.70,15.85,15.60,15.65,+0.05,70,3803025
104/03/23,56951,15.70,15.70,15.60,15.70,+0.05,41,890885
104/03/24,102129,15.60,15.80,15.60,15.60,-0.10,35,1598061
104/03/25,183021,15.60,16.20,15.60,16.10,+0.50,97,2911936
104/03/26,67005,15.80,15.95,15.70,15.90,-0.20,42,1058030
104/03/27,119110,15.90,16.05,15.60,15.65,-0.25,58,1872108
104/03/30,160162,15.75,15.75,14.70,14.85,-0.80,108,2431130
104/03/31,55030,14.85,15.10,14.75,15.10,+0.25,40,821459
104/04/01,127202,15.00,15.75,15.00,15.55,+0.45,81,1946300
104/04/02,46450,15.50,15.75,15.45,15.60,+0.05,322,724831
104/04/07,35000,15.65,15.65,15.45,15.65,+0.05,22,544450
104/04/08,14205,15.70,15.70,15.45,15.60,-0.05,177,221507
104/04/09,59226,15.90,15.90,15.40,15.50,-0.10,163,922368
104/04/10,21061,15.55,15.55,15.20,15.40,-0.10,67,323465
104/04/13,54032,15.15,15.50,15.15,15.45,+0.05,66,829862
104/04/14,55000,15.50,15.50,15.30,15.50,+0.05,27,846100
