旺玖,	6233
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,2291005,18.10,18.15,17.60,18.00,+0.05,1061,41050040
104/01/06,1092090,17.70,18.00,17.50,17.50,-0.50,611,19286764
104/01/07,1211005,17.60,18.15,17.60,17.80,+0.30,616,21726135
104/01/08,764802,18.05,18.05,17.60,17.70,-0.10,431,13599563
104/01/09,625020,18.00,18.00,17.60,17.70,0.00,332,11105399
104/01/12,1696104,17.80,18.70,17.60,17.70,0.00,809,30847852
104/01/13,839026,17.70,17.95,17.50,17.60,-0.10,448,14775798
104/01/14,481011,17.60,17.85,17.50,17.75,+0.15,277,8496539
104/01/15,375021,17.75,17.90,17.50,17.60,-0.15,230,6619513
104/01/16,837035,17.60,17.75,16.55,16.80,-0.80,490,14126378
104/01/19,800026,17.00,17.05,16.00,16.30,-0.50,461,13115416
104/01/20,472019,16.30,16.70,16.30,16.65,+0.35,301,7785913
104/01/21,241006,16.70,16.80,16.50,16.60,-0.05,139,3999246
104/01/22,286034,16.60,16.80,16.50,16.60,0.00,168,4746810
104/01/23,301069,16.60,16.85,16.60,16.70,+0.10,183,5047339
104/01/26,356095,16.70,17.05,16.70,16.75,+0.05,210,5996194
104/01/27,265003,16.80,16.90,16.70,16.75,0.00,135,4452048
104/01/28,195101,16.75,16.90,16.65,16.65,-0.10,117,3270773
104/01/29,252024,16.65,16.80,16.60,16.75,+0.10,115,4215249
104/01/30,187024,16.75,16.85,16.70,16.75,0.00,94,3135150
104/02/02,196026,16.75,16.85,16.45,16.55,-0.20,127,3254921
104/02/03,180083,16.55,16.65,16.40,16.40,-0.15,106,2971800
104/02/04,1125061,16.50,17.10,16.50,17.00,+0.60,534,19101528
104/02/05,884010,17.00,17.40,17.00,17.00,0.00,412,15199317
104/02/06,285694,17.05,17.10,16.65,16.65,-0.35,174,4790003
104/02/09,118019,16.65,16.80,16.50,16.55,-0.10,86,1959510
104/02/10,293375,16.50,16.60,16.10,16.15,-0.40,192,4777436
104/02/11,334041,16.25,16.50,16.25,16.35,+0.20,200,5466057
104/02/12,253006,16.35,16.45,16.00,16.25,-0.10,144,4090746
104/02/13,165712,16.40,16.40,16.20,16.20,-0.05,113,2696062
104/02/24,279110,16.30,16.50,16.15,16.30,+0.10,143,4554228
104/02/25,403112,16.30,16.80,16.30,16.70,+0.40,283,6713502
104/02/26,218021,16.75,16.85,16.55,16.60,-0.10,105,3628994
104/03/02,150059,16.45,16.60,16.40,16.45,-0.15,127,2472356
104/03/03,281061,16.45,16.65,16.45,16.60,+0.15,146,4653553
104/03/04,358041,16.60,16.75,16.50,16.55,-0.05,180,5963772
104/03/05,2143023,16.55,17.70,16.55,17.70,+1.15,761,37504706
104/03/06,3657176,17.90,18.35,17.50,17.50,-0.20,1638,65457057
104/03/09,691033,17.40,17.90,17.20,17.55,+0.05,397,12196914
104/03/10,864399,17.70,17.95,17.55,17.60,+0.05,420,15337815
104/03/11,360036,17.60,17.60,17.30,17.30,-0.30,221,6256662
104/03/12,1063024,17.50,17.90,17.10,17.10,-0.20,517,18563208
104/03/13,550031,17.15,17.25,16.90,16.90,-0.20,315,9389977
104/03/16,367034,17.20,17.40,17.00,17.35,+0.45,243,6315332
104/03/17,359020,17.55,17.55,17.05,17.10,-0.25,168,6203690
104/03/18,238051,17.20,17.30,17.05,17.15,+0.05,136,4082973
104/03/19,303176,17.20,17.30,17.00,17.00,-0.15,188,5198792
104/03/20,1103326,17.15,17.85,17.10,17.70,+0.70,636,19387848
104/03/23,629135,17.85,18.00,17.35,17.35,-0.35,450,11091703
104/03/24,1119711,17.35,17.95,17.20,17.70,+0.35,695,19774587
104/03/25,440108,17.90,17.90,17.50,17.50,-0.20,351,7767646
104/03/26,419119,17.40,17.45,17.30,17.30,-0.20,319,7280530
104/03/27,472643,17.30,17.45,17.00,17.00,-0.30,303,8115649
104/03/30,412156,17.05,17.30,16.70,16.70,-0.30,377,6972507
104/03/31,286098,17.00,17.05,16.70,16.85,+0.15,213,4825416
104/04/01,275195,16.85,16.85,16.55,16.70,-0.15,189,4584615
104/04/02,460013,16.70,16.80,16.45,16.45,-0.25,188,7623771
104/04/07,162000,16.50,16.70,16.50,16.65,+0.20,88,2689350
104/04/08,408248,16.70,17.10,16.60,17.00,+0.35,429,6907976
104/04/09,320321,17.00,17.30,17.00,17.00,0.00,196,5493020
104/04/10,563029,17.00,17.50,17.00,17.40,+0.40,238,9687372
104/04/13,718020,17.80,17.85,17.20,17.20,-0.20,363,12543340
104/04/14,210105,17.20,17.40,17.20,17.30,+0.10,133,3628849
104/04/15,147042,17.50,17.50,17.10,17.15,-0.15,82,2530174
104/04/16,279337,17.30,17.45,17.00,17.00,-0.15,139,4809336
104/04/17,4785621,17.05,18.15,17.05,17.70,+0.70,1807,86292367
104/04/20,3848173,17.60,18.90,17.50,18.90,+1.20,1394,71340367
104/04/21,5049013,19.60,19.80,18.00,18.00,-0.90,2331,95828712
104/04/22,2523132,18.00,19.00,18.00,18.25,+0.25,1145,46809046
104/04/23,1074006,18.45,18.60,18.20,18.25,0.00,442,19697614
104/04/24,1244000,18.25,18.65,17.95,18.25,0.00,593,22751500
104/04/27,633549,18.30,18.75,18.15,18.15,-0.10,302,11658082
104/04/28,857172,18.20,18.55,17.75,18.30,+0.15,406,15594277
104/04/29,524006,18.60,18.60,18.00,18.15,-0.15,262,9562058
104/04/30,1428013,18.15,19.30,18.00,19.30,+1.15,678,26697450
104/05/04,2804040,19.80,20.40,19.00,19.00,-0.30,1299,55538762
104/05/05,1555003,18.90,19.60,18.50,18.95,-0.05,818,29624857
104/05/06,1698048,18.90,19.80,18.80,19.55,+0.60,847,33210131
104/05/07,2436126,19.55,20.30,18.80,19.05,-0.50,1144,47925126
104/05/08,2985619,19.30,19.30,17.75,17.80,-1.25,1258,54214655
104/05/11,2085054,18.00,18.15,16.60,16.65,-1.15,885,35041844
104/05/12,1587109,16.65,16.95,15.90,16.90,+0.25,797,25938053
104/05/13,511520,16.90,17.10,16.70,16.85,-0.05,266,8674454
104/05/14,689014,16.90,16.95,16.10,16.30,-0.55,342,11292324
104/05/15,451009,16.70,16.70,16.00,16.25,-0.05,255,7306094
104/05/18,1076045,16.25,16.25,15.15,15.15,-1.10,549,16527833
104/05/19,597045,14.90,15.60,14.90,15.60,+0.45,358,9189020
104/05/20,588222,15.65,16.10,15.30,15.70,+0.10,327,9306862
104/05/21,207000,15.70,15.70,15.40,15.45,-0.25,126,3211150
104/05/22,298057,15.75,15.80,15.50,15.50,+0.05,186,4657626
104/05/25,170002,15.55,15.55,15.20,15.30,-0.20,100,2609930
104/05/26,198025,15.60,15.60,15.35,15.45,+0.15,103,3061535
104/05/27,265004,15.45,15.95,15.45,15.70,+0.25,176,4170211
104/05/28,323019,16.10,16.10,15.80,15.80,+0.10,179,5141697
104/05/29,233208,16.10,16.15,15.65,15.70,-0.10,130,3698394
104/06/01,160084,16.00,16.00,15.50,15.60,-0.10,81,2501651
104/06/02,195090,15.60,15.70,15.35,15.35,-0.25,111,3023875
104/06/03,280006,15.20,15.45,15.05,15.10,-0.25,119,4261540
104/06/04,330200,15.10,15.30,14.60,14.60,-0.50,183,4915840
104/06/05,463040,14.60,14.90,13.50,14.00,-0.60,263,6494305
104/06/08,342019,13.75,13.75,13.35,13.50,-0.50,174,4625304
104/06/09,1092277,13.50,13.50,12.15,12.15,-1.35,460,13659614
104/06/10,511174,12.15,12.95,12.15,12.85,+0.70,279,6501277
104/06/11,157000,12.85,13.10,12.65,12.80,-0.05,103,2009000
104/06/12,177000,12.70,13.20,12.70,13.00,+0.20,91,2297000
104/06/15,156664,12.90,13.10,12.80,12.85,-0.15,83,2027065
104/06/16,200029,12.85,13.45,12.85,12.85,0.00,96,2592975
104/06/17,227100,13.10,13.40,13.00,13.20,+0.35,138,3007570
104/06/18,187432,13.05,13.50,13.05,13.50,+0.30,109,2510238
104/06/22,172001,13.60,13.75,13.50,13.55,+0.05,107,2339463
104/06/23,298457,13.35,13.75,13.35,13.65,+0.10,154,4061757
104/06/24,217009,13.65,13.95,13.50,13.50,-0.15,126,2979372
104/06/25,114000,13.65,13.75,13.45,13.60,+0.10,66,1550800
104/06/26,83001,13.50,13.70,13.50,13.50,-0.10,56,1127113
104/06/29,178001,13.30,13.35,13.20,13.25,-0.25,68,2362513
104/06/30,127000,13.45,13.70,13.25,13.65,+0.40,80,1715350
104/07/01,335001,13.65,14.30,13.65,14.25,+0.60,193,4713164
104/07/02,335000,14.35,14.60,14.10,14.40,+0.15,138,4825250
104/07/03,291051,14.55,14.60,14.30,14.40,0.00,114,4198685
104/07/06,176221,14.40,14.60,14.30,14.50,+0.10,96,2540481
104/07/07,308014,14.50,15.20,14.50,14.70,+0.20,163,4556003
104/07/08,539057,15.00,15.00,14.00,14.45,-0.25,274,7748028
104/07/09,566057,14.05,14.90,13.65,14.80,+0.35,224,8052787
104/07/13,768543,15.00,15.90,15.00,15.20,+0.40,376,11828583
104/07/14,365024,15.20,15.35,14.75,14.80,-0.40,196,5461754
104/07/15,141000,14.90,15.00,14.60,14.60,-0.20,73,2078050
104/07/16,138027,14.80,14.80,14.30,14.60,0.00,83,2004789
104/07/17,57006,14.50,14.70,14.45,14.45,-0.15,43,826984
104/07/20,138000,14.50,14.50,14.05,14.05,-0.40,73,1967950
104/07/21,110004,14.00,14.15,13.80,13.85,-0.20,71,1533402
104/07/22,74019,13.80,13.80,13.65,13.70,-0.15,46,1016259
104/07/23,142001,13.60,13.70,13.30,13.45,-0.25,65,1918863
104/07/24,148001,13.35,13.45,13.05,13.05,-0.40,72,1951713
104/07/27,494003,12.80,13.10,11.95,12.00,-1.05,223,6202936
104/07/28,341002,11.50,12.30,11.50,12.20,+0.20,157,4073624
104/07/29,206007,12.15,12.65,12.15,12.30,+0.10,104,2550436
104/07/30,256423,12.30,13.20,12.30,12.70,+0.40,154,3307179
104/07/31,299070,12.70,13.10,12.60,12.85,+0.15,123,3819639
104/08/03,228001,12.80,12.80,12.30,12.40,-0.45,106,2831212
104/08/04,275069,12.65,12.80,12.15,12.15,-0.25,135,3404634
104/08/05,160013,12.10,12.80,12.10,12.75,+0.60,110,2005313
104/08/06,112002,12.80,12.90,12.50,12.55,-0.20,68,1421874
104/08/07,173509,12.50,12.85,12.10,12.10,-0.45,89,2155758
104/08/10,298050,12.30,13.00,12.30,12.85,+0.75,156,3795902
104/08/11,443549,13.00,13.65,12.50,12.65,-0.20,222,5803162
104/08/12,120005,12.70,12.70,12.30,12.45,-0.20,77,1498560
104/08/13,86005,12.50,12.65,12.45,12.60,+0.15,50,1077710
104/08/14,47005,12.50,12.80,12.50,12.60,0.00,33,592362
104/08/17,97001,12.40,12.70,12.30,12.30,-0.30,52,1211612
104/08/18,60000,12.35,12.50,12.20,12.20,-0.10,36,737000
104/08/19,600011,12.20,12.25,11.30,11.35,-0.85,201,7040973
104/08/20,172002,11.40,11.70,11.30,11.65,+0.30,107,1976922
104/08/21,782083,10.90,11.20,10.50,10.50,-1.15,330,8391116
104/08/24,793006,9.50,9.79,9.45,9.45,-1.05,235,7498564
104/08/25,1024034,8.51,9.15,8.51,9.15,-0.30,409,8984628
104/08/26,310006,9.09,9.20,8.73,9.13,-0.02,156,2794565
104/08/27,560000,9.38,9.70,9.36,9.60,+0.47,275,5330940
104/08/28,928076,9.90,10.55,9.84,10.45,+0.85,396,9604148
104/08/31,382009,10.60,10.60,10.15,10.30,-0.15,162,3941299
104/09/01,347006,10.30,10.70,10.25,10.50,+0.20,152,3665712
104/09/02,273001,10.20,10.60,10.00,10.60,+0.10,123,2808410
104/09/03,269144,10.70,11.10,10.65,10.90,+0.30,164,2918303
104/09/04,330545,11.10,11.15,10.55,10.60,-0.30,140,3560111
104/09/07,48000,10.60,10.80,10.60,10.70,+0.10,25,512800
104/09/08,126000,10.70,11.05,10.70,10.95,+0.25,72,1378000
104/09/09,313000,11.05,11.50,11.05,11.35,+0.40,153,3558300
104/09/10,299006,11.35,11.55,11.10,11.50,+0.15,132,3402516
104/09/11,228000,11.50,11.75,11.40,11.60,+0.10,108,2634600
104/09/14,245000,11.50,11.90,11.50,11.80,+0.20,104,2864150
104/09/15,126000,11.90,11.90,11.65,11.65,-0.15,52,1476300
104/09/16,858034,11.80,12.20,11.70,12.05,+0.40,266,10370908
