生華科,	6492
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,282000,89.10,95.90,87.30,91.90,+2.10,253,25933000
107/06/04,194000,92.00,92.70,91.00,91.70,-0.20,154,17814900
107/06/05,121300,92.80,92.80,90.00,90.00,-1.70,101,11052550
107/06/06,125180,90.50,90.50,87.50,87.70,-2.30,117,11121340
107/06/07,105000,87.70,88.90,86.60,86.60,-1.10,94,9202100
107/06/08,104000,87.80,87.80,85.00,85.20,-1.40,98,8893300
107/06/11,66100,85.50,86.60,85.50,85.90,+0.70,57,5698460
107/06/12,96000,86.00,87.20,85.50,85.80,-0.10,84,8243200
107/06/13,75000,86.80,87.20,86.00,86.00,+0.20,66,6496800
107/06/14,100700,86.20,86.20,84.30,84.60,-1.40,85,8586100
107/06/15,73000,84.30,85.90,83.60,84.00,-0.60,63,6162300
107/06/19,88000,84.90,84.90,82.20,83.00,-1.00,81,7319700
107/06/20,58165,83.00,83.00,81.60,82.00,-1.00,54,4781730
107/06/21,71250,82.80,84.00,82.10,83.60,+1.60,61,5922500
107/06/22,81000,83.10,83.90,82.70,82.70,-0.90,74,6739900
107/06/25,61500,83.10,83.30,82.30,82.30,-0.40,53,5090900
107/06/26,59000,82.00,82.20,81.00,81.50,-0.80,56,4815800
107/06/27,55000,81.60,82.20,80.70,81.60,+0.10,53,4476500
107/06/28,93250,80.70,81.50,80.10,80.20,-1.40,73,7517425
107/06/29,36000,80.50,81.40,80.50,80.70,+0.50,31,2910400
107/07/02,34300,81.90,82.00,80.90,81.00,+0.30,35,2790300
107/07/03,67000,81.00,81.90,79.20,79.40,-1.60,59,5382500
107/07/04,73700,80.00,80.00,77.50,77.50,-1.90,64,5773549
107/07/05,84000,77.50,77.60,74.30,74.30,-3.20,67,6375400
107/07/06,72450,74.30,74.30,72.00,73.40,-0.90,69,5287720
107/07/09,116000,75.60,78.00,74.60,77.10,+3.70,74,8837100
107/07/10,56250,77.30,77.30,74.30,75.00,-2.10,56,4250250
107/07/11,67000,74.00,76.30,73.00,74.80,-0.20,62,4985000
107/07/12,103200,75.00,79.80,75.00,77.60,+2.80,95,8005360
107/07/13,84000,78.00,80.00,77.70,78.30,+0.70,73,6605500
107/07/16,92115,78.30,82.90,78.30,80.30,+2.00,78,7424384
107/07/17,47500,80.30,80.30,79.00,79.10,-1.20,44,3773250
107/07/18,50350,80.30,81.80,77.50,78.50,-0.60,35,3962795
107/07/19,22000,78.50,79.00,78.00,78.00,-0.50,21,1723600
107/07/20,29000,78.00,78.70,77.00,77.00,-1.00,24,2242800
107/07/23,37000,77.40,78.00,75.20,76.40,-0.60,33,2841900
107/07/24,29000,76.70,78.00,76.30,77.50,+1.10,22,2242200
107/07/25,16000,77.70,78.50,77.00,77.00,-0.50,16,1239500
107/07/26,19550,77.00,77.90,77.00,77.80,+0.80,20,1510950
107/07/27,34010,76.70,78.30,76.70,77.80,0.00,23,2635270
107/07/30,58000,78.20,78.20,75.50,76.30,-1.50,40,4430800
107/07/31,50000,75.60,76.60,74.70,75.60,-0.70,48,3771800
107/08/01,48550,75.00,76.00,74.40,75.50,-0.10,39,3656785
107/08/02,79100,74.60,74.60,73.00,73.00,-2.50,69,5841870
107/08/03,44000,73.00,73.10,72.60,72.90,-0.10,41,3204900
107/08/06,38000,72.90,74.10,72.90,73.10,+0.20,37,2786400
107/08/07,33079,73.00,73.00,71.00,72.00,-1.10,33,2394351
107/08/08,54000,72.40,72.40,70.80,70.80,-1.20,54,3850200
107/08/09,55250,70.80,71.60,70.00,70.90,+0.10,41,3904250
107/08/10,55000,70.90,71.00,70.00,70.00,-0.90,36,3861800
107/08/13,96000,66.40,70.00,66.40,67.80,-2.20,74,6484200
107/08/14,44300,66.70,67.80,66.70,66.90,-0.90,40,2972850
107/08/15,65050,67.00,70.00,66.70,66.90,0.00,42,4380745
107/08/16,49348,65.80,67.10,65.80,67.00,+0.10,32,3269572
107/08/17,27000,68.00,68.30,67.50,67.50,+0.50,26,1831800
107/08/20,34000,67.50,68.80,67.40,67.50,0.00,15,2299200
107/08/21,17000,67.50,69.00,67.50,67.60,+0.10,16,1154500
107/08/22,23050,67.70,68.00,67.70,67.80,+0.20,22,1564900
107/08/23,24418,67.50,67.80,67.30,67.30,-0.50,24,1647324
107/08/24,24000,67.30,67.70,67.00,67.00,-0.30,24,1613700
107/08/27,41000,67.70,70.00,67.10,69.30,+2.30,33,2796700
107/08/28,34000,69.50,69.90,68.20,68.30,-1.00,31,2345700
107/08/29,18000,68.10,69.20,68.00,68.00,-0.30,14,1227200
107/08/30,24000,68.10,68.60,68.00,68.00,0.00,19,1636700
107/08/31,30000,67.60,69.20,67.50,68.50,+0.50,28,2046700
107/09/03,125000,69.00,75.30,69.00,73.90,+5.40,118,9247300
107/09/04,88075,72.70,76.40,72.70,74.50,+0.60,87,6560600
107/09/05,61020,74.60,75.70,70.70,70.70,-3.80,59,4431380
107/09/06,48000,70.50,72.00,69.80,70.00,-0.70,37,3385000
107/09/07,34000,69.50,71.00,68.10,69.10,-0.90,27,2361400
107/09/10,20080,69.00,70.80,68.00,69.10,0.00,21,1381020
107/09/11,18000,69.00,70.00,68.00,69.10,0.00,15,1242600
107/09/12,16000,68.20,69.60,68.00,69.60,+0.50,14,1105000
107/09/13,139030,69.20,76.40,69.20,75.00,+5.40,133,10412165
107/09/14,73000,74.60,74.60,71.30,71.80,-3.20,72,5299100
107/09/17,19000,73.20,73.20,71.00,71.10,-0.70,19,1356600
107/09/18,52000,70.20,70.40,69.30,70.40,-0.70,47,3638000
107/09/19,23020,69.30,70.50,69.30,70.30,-0.10,23,1607420
107/09/20,34050,70.50,70.90,69.50,69.50,-0.80,32,2385260
107/09/21,44060,71.00,71.50,69.90,69.90,+0.40,39,3095650
107/09/25,36118,69.20,69.80,68.50,69.60,-0.30,31,2499624
107/09/26,25000,69.60,70.50,69.50,70.00,+0.40,21,1746300
107/09/27,55300,70.00,70.50,69.60,70.00,0.00,42,3865450
107/09/28,22000,70.00,71.00,70.00,70.20,+0.20,22,1549600
107/10/01,49100,69.80,71.20,69.20,71.00,+0.80,46,3474350
107/10/02,364380,71.00,78.10,71.00,78.10,+7.10,260,27994877
107/10/03,908699,85.10,85.90,82.30,85.90,+7.80,674,77028339
