啟發電,	6512
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
105/03/25,1670000,48.50,49.00,45.50,47.20,+11.20,1188,79219000
105/03/28,744400,46.20,47.20,45.60,46.00,-1.20,470,34412950
105/03/29,312106,46.10,46.35,44.15,44.45,-1.55,220,14109159
105/03/30,263200,44.10,45.90,44.00,45.15,+0.70,173,11786080
105/03/31,190200,45.75,45.90,44.80,45.85,+0.70,141,8608940
105/04/01,247350,45.50,47.40,45.30,47.00,+1.15,190,11500900
105/04/06,1004450,46.80,51.70,46.15,51.70,+4.70,521,50723415
105/04/07,1320936,53.30,56.80,53.30,56.80,+5.10,802,74137262
105/04/08,982215,57.90,59.20,54.20,56.00,-0.80,713,55550770
105/04/11,707000,54.70,55.00,51.00,51.10,-4.90,519,37515100
105/04/12,1041000,51.10,56.20,51.00,56.20,+5.10,666,57678900
105/04/13,1186050,58.40,60.80,56.20,60.50,+4.30,895,70121189
105/04/14,755234,60.00,60.00,56.00,56.90,-3.60,611,43594454
105/04/15,549470,56.80,59.10,56.00,56.50,-0.40,434,31350855
105/04/18,378364,56.50,56.50,53.80,53.80,-2.70,318,20618256
105/04/19,348000,54.40,55.00,52.20,52.30,-1.50,279,18567300
105/04/20,288200,52.10,54.50,52.00,52.60,+0.30,251,15310420
105/04/21,361268,53.10,56.00,52.70,55.30,+2.70,289,19717708
105/04/22,235103,54.70,54.80,53.00,53.30,-2.00,190,12634662
105/04/25,256000,53.90,53.90,51.50,51.50,-1.80,173,13430200
105/04/26,141000,51.50,53.20,51.50,52.00,+0.50,120,7354000
105/04/27,131000,52.60,52.60,51.00,51.00,-1.00,112,6750800
105/04/28,303000,51.30,51.80,48.60,48.60,-2.40,231,15100800
105/04/29,156000,47.70,49.50,47.70,48.10,-0.50,129,7568200
105/05/03,90000,48.50,48.70,48.00,48.15,+0.05,75,4342850
105/05/04,131000,47.65,48.50,46.20,46.20,-1.95,107,6179650
105/05/05,80000,46.60,48.40,46.50,47.50,+1.30,76,3794550
105/05/06,59000,47.50,47.80,46.70,46.70,-0.80,53,2776900
105/05/09,124000,47.00,48.20,45.00,45.00,-1.70,101,5752050
