宏觀,	6568
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,124500,136.00,142.00,136.00,141.00,+6.00,110,17380500
107/06/04,62100,142.00,143.50,140.50,141.00,0.00,53,8821100
107/06/05,43115,141.50,142.00,139.00,139.00,-2.00,38,6055715
107/06/06,72000,139.00,141.50,138.00,139.50,+0.50,54,10067500
107/06/07,43000,139.50,140.50,139.00,140.50,+1.00,39,6010000
107/06/08,436017,137.00,143.00,132.00,133.00,-7.50,321,58864431
107/06/11,338500,133.50,133.50,121.50,124.00,-9.00,300,42446000
107/06/12,385398,124.00,124.50,116.50,117.50,-6.50,367,46192128
107/06/13,383250,118.50,122.50,116.50,121.00,+3.50,357,45724750
107/06/14,271250,121.00,121.00,117.00,118.00,-3.00,233,32084750
107/06/15,335300,120.00,125.00,118.50,124.00,+6.00,295,41118700
107/06/19,255200,123.00,127.00,121.00,123.50,-0.50,209,31620300
107/06/20,164070,123.50,126.00,121.50,125.00,+1.50,134,20216460
107/06/21,300020,125.00,131.50,125.00,130.00,+5.00,255,38793100
107/06/22,120030,130.00,130.00,127.50,129.00,-1.00,101,15467945
107/06/25,102053,128.50,134.00,128.50,132.50,+3.50,91,13500022
107/06/26,152022,132.50,134.00,129.50,131.50,-1.00,121,20022437
107/06/27,179050,133.50,135.00,129.50,129.50,-2.00,140,23619050
107/06/28,188252,130.00,130.00,126.00,129.50,0.00,161,24069638
107/06/29,78250,130.00,131.50,130.00,130.00,+0.50,75,10225000
107/07/02,118114,130.00,132.50,130.00,130.00,0.00,105,15442762
107/07/03,142026,126.50,128.00,121.50,122.00,,132,17748224
107/07/04,195035,121.50,130.00,121.00,125.50,+3.50,178,24555945
107/07/05,128050,126.00,129.00,124.00,124.00,-1.50,122,16242775
107/07/06,162100,125.00,129.00,125.00,129.00,+5.00,151,20636300
107/07/09,99000,131.00,133.00,126.50,127.50,-1.50,93,12700000
107/07/10,317050,128.00,135.00,127.50,134.50,+7.00,239,41855200
107/07/11,313003,135.00,138.00,133.00,134.50,0.00,253,42591403
107/07/12,140620,134.50,137.50,134.50,136.50,+2.00,137,19179630
107/07/13,120200,137.00,138.50,135.00,137.00,+0.50,107,16489900
107/07/16,297250,137.00,141.00,131.00,137.50,+0.50,258,40606750
107/07/17,179125,137.50,140.50,135.00,139.00,+1.50,169,24775937
107/07/18,183537,141.00,144.00,139.00,142.00,+3.00,161,26027217
107/07/19,268131,142.00,143.00,137.50,142.50,+0.50,162,37775102
107/07/20,183619,141.50,141.50,137.00,137.00,-5.50,173,25511422
107/07/23,221250,136.00,136.50,131.00,136.00,-1.00,171,29507250
107/07/24,37250,134.00,136.00,134.00,134.50,-1.50,32,5028624
107/07/25,49000,136.50,138.50,135.00,136.00,+1.50,42,6705500
107/07/26,916330,141.00,149.50,138.00,149.50,+13.50,617,134553334
107/07/27,509827,153.00,154.50,148.50,150.00,+0.50,415,77332723
107/07/30,87051,152.00,152.50,147.50,147.50,-2.50,86,12963573
107/07/31,583451,151.50,162.00,149.00,154.50,+7.00,446,91556356
107/08/01,137145,157.00,159.00,155.00,156.00,+1.50,132,21562410
107/08/02,112006,158.00,158.00,153.00,154.00,-2.00,85,17371930
107/08/03,136100,154.00,157.50,154.00,156.50,+2.50,109,21151000
107/08/06,247230,157.50,164.50,156.00,163.50,+7.00,210,39863875
107/08/07,258155,164.50,165.50,161.00,161.00,-2.50,195,42247765
107/08/08,182050,160.00,161.00,157.00,161.00,0.00,140,28908550
107/08/09,170000,160.00,160.00,155.00,157.00,-4.00,118,26701500
107/08/10,99106,157.50,157.50,152.50,154.00,-3.00,87,15288536
107/08/13,202100,154.00,154.00,144.00,148.00,-6.00,160,29871200
107/08/14,127032,149.00,153.00,144.00,149.50,+1.50,125,18608832
107/08/15,219060,150.00,150.00,139.50,140.00,-9.50,193,31265340
107/08/16,137000,140.00,142.00,136.00,142.00,+2.00,114,19055000
107/08/17,68000,143.00,143.00,139.50,140.00,-2.00,56,9567000
107/08/20,38112,142.00,142.00,138.50,139.00,-1.00,28,5309568
107/08/21,85000,140.00,145.00,139.50,145.00,+6.00,74,12089500
107/08/22,50070,145.00,146.50,144.00,144.00,-1.00,39,7246080
107/08/23,20015,145.00,145.50,143.50,145.00,+1.00,23,2901190
107/08/24,58218,145.50,145.50,139.50,144.00,-1.00,58,8257392
107/08/27,17000,146.00,146.00,143.00,143.50,-0.50,17,2457000
107/08/28,29021,145.00,146.00,140.50,142.00,-1.50,33,4141012
107/08/29,29050,144.00,145.00,142.50,142.50,+0.50,26,4176625
107/08/30,16000,143.00,143.00,141.00,141.50,-1.00,16,2269000
107/08/31,9000,143.50,143.50,140.50,142.00,+0.50,9,1273000
107/09/03,17050,143.50,143.50,141.00,141.00,-1.00,18,2424050
107/09/04,22000,143.50,144.00,142.00,144.00,+3.00,21,3150000
107/09/05,22050,145.50,145.50,143.00,143.50,-0.50,16,3166700
107/09/06,40000,145.00,145.00,142.00,144.00,+0.50,29,5721000
107/09/07,94100,144.00,145.00,138.00,143.50,-0.50,85,13299750
107/09/10,68195,144.50,144.50,137.00,138.50,-5.00,65,9468006
107/09/11,19001,137.50,139.50,137.50,137.50,-1.00,20,2627640
107/09/12,63100,136.00,136.00,132.00,133.00,-4.50,58,8446300
107/09/13,94000,132.50,134.00,129.00,133.00,0.00,78,12379500
107/09/14,44000,133.00,135.50,132.00,134.50,+1.50,43,5881500
107/09/17,21050,134.50,135.00,131.50,132.00,-2.50,20,2796750
107/09/18,38000,132.50,133.00,129.00,130.00,-2.00,38,4980500
107/09/19,45000,132.50,133.00,130.50,132.50,+2.50,44,5944000
107/09/20,82100,136.00,136.00,128.50,128.50,-4.00,75,10738950
107/09/21,51020,128.50,133.50,128.50,131.00,+2.50,52,6720160
107/09/25,33183,131.00,134.50,131.00,134.00,+3.00,33,4438522
107/09/26,56000,131.50,133.00,130.00,131.00,-3.00,49,7345000
107/09/27,24000,132.00,132.00,131.00,131.00,0.00,20,3149000
107/09/28,77000,132.50,133.50,129.50,130.50,-0.50,69,10098000
107/10/01,62500,131.50,132.00,129.50,130.50,0.00,55,8182750
107/10/02,108350,130.50,130.50,127.50,128.00,-2.50,99,13984800
107/10/03,167030,128.00,128.00,123.50,126.00,-2.00,153,21028810
107/10/04,118170,127.00,127.00,122.00,123.00,-3.00,110,14622080
107/10/05,152020,125.00,125.00,115.00,118.00,-5.00,139,18090440
107/10/08,165025,118.00,126.00,114.00,117.50,-0.50,143,19437050
107/10/09,98001,117.50,120.00,112.00,114.00,-3.50,97,11209129
107/10/11,150016,109.00,109.00,103.00,103.00,-11.00,133,15526228
107/10/12,472011,103.00,106.00,95.40,102.00,-1.00,428,46877455
107/10/15,181000,101.50,101.50,98.00,98.40,-3.60,158,17943900
107/10/16,218000,100.00,100.00,94.80,97.00,-1.40,213,21141700
107/10/17,419101,101.50,101.50,93.00,96.10,-0.90,319,40815948
107/10/18,93225,96.70,98.20,95.70,97.00,+0.90,92,9020175
107/10/19,99606,96.40,97.90,95.00,96.50,-0.50,91,9583885
107/10/22,49100,97.00,99.50,96.70,98.40,+1.90,48,4817000
107/10/23,59100,98.20,99.20,95.60,95.60,-2.80,57,5721500
107/10/24,57464,97.00,97.00,95.20,96.00,+0.40,57,5520844
107/10/25,109100,94.00,95.90,93.00,95.80,-0.20,101,10259280
107/10/26,87003,96.00,98.00,92.80,93.30,-2.50,65,8183197
107/10/29,39000,94.10,95.00,92.00,93.30,0.00,29,3637900
107/10/30,27185,93.70,94.70,93.30,93.60,+0.30,27,2555516
107/10/31,115000,94.70,99.80,94.70,98.50,+4.90,90,11223200
107/11/01,237193,98.40,108.00,98.30,105.50,+7.00,192,24997961
107/11/02,348244,110.00,116.00,109.00,116.00,+10.50,271,39727804
107/11/08,174290,125.50,127.00,122.00,123.00,+1.00,106,21703540
107/11/09,35000,123.00,123.00,120.00,120.50,-2.50,33,4235500
107/11/12,22300,120.00,121.00,119.00,120.50,0.00,22,2673349
107/11/16,33080,121.00,121.50,118.00,121.50,+1.50,31,3961140
107/11/19,8079,124.00,124.00,119.50,120.00,-1.50,8,973901
107/11/20,44040,120.00,123.50,120.00,122.00,+2.00,37,5386360
107/11/21,37000,120.50,123.00,120.50,122.50,+0.50,30,4507500
107/11/22,51000,123.50,125.50,122.00,122.00,-0.50,43,6316000
107/11/23,32243,124.00,124.00,122.00,122.00,0.00,28,3987403
107/11/26,26650,125.00,125.00,123.00,124.50,+2.50,24,3312775
107/11/27,28650,124.50,124.50,123.00,124.00,-0.50,26,3542450
107/11/28,124000,125.00,131.50,122.50,127.50,+3.50,102,15755500
107/11/29,235101,133.50,134.50,128.50,129.50,+2.00,183,30900029
107/11/30,191101,130.00,139.00,129.50,136.50,+7.00,168,25645785
107/12/03,771650,145.00,150.00,145.00,150.00,+13.50,521,115130000
107/12/04,497761,154.00,157.00,148.50,153.50,+3.50,448,76695551
107/12/05,168200,150.00,153.50,148.50,149.50,-4.00,157,25365900
107/12/06,320366,146.00,147.50,136.00,141.00,-8.50,259,44935740
107/12/07,382047,143.50,148.00,142.50,147.00,+6.00,315,55462956
107/12/10,103200,142.50,146.50,142.00,144.00,-3.00,99,14925000
107/12/11,276267,144.00,153.00,144.00,149.50,+5.50,233,41345416
107/12/12,259196,150.00,156.00,149.00,151.00,+1.50,230,39453998
107/12/13,89150,150.00,150.50,148.00,150.50,-0.50,87,13312850
107/12/14,445105,154.00,157.00,151.00,151.50,+1.00,312,68519065
107/12/17,104000,153.00,153.00,147.50,151.00,-0.50,90,15605000
107/12/18,53100,151.00,151.00,145.00,147.50,-3.50,45,7805700
107/12/19,63000,150.00,150.50,144.50,145.50,-2.00,46,9256500
107/12/20,36539,145.00,145.50,144.50,145.00,-0.50,37,5299116
107/12/21,154100,145.50,146.00,138.00,144.50,-0.50,139,21797450
107/12/22,23000,142.50,142.50,140.00,142.00,-2.50,21,3242000
107/12/24,49000,142.50,142.50,140.00,141.00,-1.00,43,6912000
107/12/25,67018,136.00,141.00,136.00,139.50,-1.50,57,9338011
107/12/26,27066,141.00,141.00,139.00,139.00,-0.50,29,3794608
107/12/27,76400,143.00,143.50,140.00,140.50,+1.50,71,10754100
107/12/28,25120,141.00,142.50,141.00,141.00,+0.50,27,3553860
108/01/02,64100,143.50,143.50,140.00,141.00,0.00,52,9086050
108/01/03,57000,141.50,143.00,139.50,140.00,-1.00,48,8040500
108/01/04,59180,140.00,141.50,135.50,140.00,0.00,52,8226520
108/01/07,36155,142.00,142.50,140.50,142.50,+2.50,35,5123586
