台灣銘板,	6593
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,42110,30.75,31.20,30.75,31.00,-0.15,22,1306827
107/06/04,50000,30.85,31.50,30.65,31.30,+0.30,32,1552100
107/06/05,32000,31.30,31.60,31.00,31.50,+0.20,16,1006900
107/06/06,17000,31.50,31.70,31.15,31.70,+0.20,11,533150
107/06/07,30000,31.75,31.90,31.30,31.75,+0.05,19,946200
107/06/08,50000,32.00,32.20,31.40,31.45,-0.30,25,1594700
107/06/11,31000,31.45,31.45,30.85,30.95,-0.50,14,962950
107/06/12,34000,31.00,31.00,30.45,30.45,-0.50,27,1039900
107/06/13,24249,30.80,30.85,30.30,30.80,+0.35,15,737144
107/06/14,15000,30.70,30.70,30.35,30.45,-0.35,9,456350
107/06/15,8000,30.25,30.45,30.25,30.30,-0.15,4,242250
107/06/19,10000,30.20,30.80,30.20,30.70,+0.40,8,303100
107/06/20,24000,30.10,30.10,30.00,30.00,-0.70,16,720850
107/06/21,16018,30.05,30.05,29.80,29.90,-0.10,12,480492
107/06/22,18000,30.00,30.60,29.70,30.20,+0.30,14,543750
107/06/25,22000,30.20,30.20,29.75,29.75,-0.45,18,660550
107/06/26,21000,29.75,29.75,29.20,29.65,-0.10,18,621750
107/06/27,16000,30.50,30.50,29.20,29.20,-0.45,15,472050
107/06/28,17000,28.30,29.90,28.30,29.90,+0.70,13,496600
107/06/29,13000,29.50,30.20,29.50,29.85,-0.05,9,387350
107/07/02,15007,29.85,29.85,29.50,29.50,-0.35,11,445357
107/07/03,43000,28.50,29.50,28.50,29.40,-0.10,22,1256500
107/07/04,20000,28.60,29.85,28.60,29.85,+0.45,13,587250
107/07/05,32000,29.65,30.40,29.50,30.40,+0.55,14,959100
107/07/06,15000,30.00,30.15,30.00,30.15,-0.25,12,451550
107/07/09,21105,29.85,30.00,29.50,30.00,-0.15,17,627031
107/07/10,81199,30.00,30.00,28.90,29.50,-0.50,46,2367960
107/07/11,5000,29.00,29.00,28.90,28.90,-0.60,3,144700
107/07/12,20007,28.85,29.90,28.85,29.90,+1.00,15,591410
107/07/13,32000,29.70,30.50,29.70,30.00,+0.10,20,961150
107/07/16,21201,30.00,30.00,29.40,29.70,-0.30,14,627919
107/07/17,15200,30.00,30.00,29.85,30.00,+0.30,12,454840
107/07/18,54100,29.50,30.20,29.00,30.10,+0.10,26,1596090
107/07/19,38000,29.40,30.25,29.40,30.25,+0.15,18,1138300
107/07/20,50000,30.00,30.00,29.40,30.00,-0.25,18,1493450
107/07/23,14030,29.90,30.20,29.70,30.20,+0.20,11,420415
107/07/24,17000,29.80,30.40,29.80,30.40,+0.20,14,510900
107/07/25,30166,30.05,31.20,30.05,30.70,+0.30,22,926378
107/07/26,22000,30.00,30.90,29.85,29.85,,19,664250
107/07/27,4000,29.50,29.65,29.50,29.65,-0.20,4,118350
107/07/30,7000,29.30,29.30,29.20,29.20,-0.45,6,204600
107/07/31,7000,29.00,29.00,29.00,29.00,-0.20,6,203000
107/08/01,9000,29.20,29.20,29.00,29.10,+0.10,8,261800
107/08/02,8000,29.40,29.40,28.80,28.80,-0.30,6,232200
107/08/03,10000,28.50,29.00,28.50,29.00,+0.20,7,289500
107/08/06,6000,29.00,29.00,29.00,29.00,0.00,6,174000
107/08/07,9000,28.60,28.65,28.60,28.65,-0.35,6,257600
107/08/08,6000,28.95,29.40,28.90,28.90,+0.25,4,175150
107/08/09,0,---,---,---,---,---,0,0
107/08/10,21000,28.70,29.00,28.60,28.90,0.00,13,607000
107/08/13,20000,28.80,28.80,28.20,28.20,-0.70,12,569600
107/08/14,4000,29.85,29.85,28.45,28.45,+0.25,3,118000
107/08/15,16000,28.30,28.35,28.00,28.00,-0.45,10,451500
107/08/16,20000,28.00,28.00,27.15,27.90,-0.10,18,552050
107/08/17,0,---,---,---,---,---,0,0
107/08/20,11000,26.95,27.50,26.95,27.10,-0.80,10,298550
107/08/21,7000,27.10,28.00,27.10,27.20,+0.10,6,191000
107/08/22,6000,27.35,27.35,27.30,27.30,+0.10,5,163900
107/08/23,27135,27.30,27.90,27.30,27.90,+0.60,14,744576
107/08/24,24000,27.90,27.95,27.50,27.90,0.00,8,662400
107/08/27,4000,27.70,27.90,27.70,27.80,-0.10,4,111200
107/08/28,15000,27.65,27.80,27.60,27.80,0.00,6,414350
107/08/29,8000,27.85,27.90,27.80,27.90,+0.10,5,222550
107/08/30,10000,28.00,28.25,28.00,28.25,+0.35,6,281500
107/08/31,12000,28.30,29.00,28.30,29.00,+0.75,11,345650
107/09/03,15512,28.50,28.50,28.20,28.20,-0.80,8,438884
107/09/04,3000,28.95,28.95,28.95,28.95,+0.75,2,86850
107/09/05,8000,28.80,28.80,28.80,28.80,-0.15,4,230400
107/09/06,17000,28.80,28.85,28.70,28.85,+0.05,11,489100
107/09/07,41000,28.85,28.85,28.10,28.10,-0.75,20,1165250
107/09/10,35300,28.10,28.15,27.50,27.80,-0.30,18,984400
107/09/11,13000,27.80,27.85,27.80,27.80,0.00,6,361450
107/09/12,5000,27.80,27.90,27.55,27.55,-0.25,4,138850
107/09/13,16300,27.70,27.80,27.60,27.70,+0.15,11,451685
107/09/14,12000,27.75,28.00,27.60,28.00,+0.30,8,333650
107/09/17,9000,27.80,27.80,27.70,27.70,-0.30,3,249600
107/09/18,7099,27.30,27.85,27.30,27.85,+0.15,4,195632
107/09/19,24000,27.85,27.85,27.70,27.70,-0.15,6,667650
107/09/20,16000,27.50,27.70,27.30,27.50,-0.20,12,440150
107/09/21,26000,27.40,27.95,27.30,27.50,0.00,16,716850
107/09/25,2000,27.95,27.95,27.95,27.95,+0.45,2,55900
107/09/26,15000,27.95,28.45,27.95,28.35,+0.40,9,424950
107/09/27,14000,28.35,28.35,27.80,27.90,-0.45,11,393600
107/09/28,3000,28.40,28.40,27.90,27.90,0.00,3,84200
107/10/01,0,---,---,---,---,---,0,0
107/10/02,4000,27.90,28.30,27.90,27.90,0.00,4,112000
107/10/03,19000,27.90,27.90,27.50,27.70,-0.20,11,527000
107/10/04,15000,27.80,27.80,27.35,27.35,-0.35,10,415200
107/10/05,27000,27.50,28.00,27.25,28.00,+0.65,13,740850
107/10/08,0,---,---,---,---,---,0,0
107/10/09,9000,28.00,28.00,27.50,27.90,0.00,6,248600
107/10/11,101190,27.20,27.20,25.30,26.30,-1.60,33,2582140
107/10/12,7000,25.95,27.00,25.95,26.90,+0.60,6,185750
107/10/15,1000,27.90,27.90,27.90,27.90,+1.00,1,27900
107/10/16,3074,28.10,28.10,27.95,27.95,+0.05,4,86049
107/10/17,5000,27.90,28.15,27.90,28.15,+0.20,5,139950
107/10/18,21000,28.40,28.40,26.05,26.05,-2.10,15,588050
107/10/19,23000,26.80,27.40,26.80,27.30,+1.25,12,621650
107/10/22,27000,27.60,27.95,27.60,27.95,+0.65,9,752250
107/10/23,2000,27.00,27.90,27.00,27.90,-0.05,2,54900
