展匯科,	6594
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,29000,26.55,27.10,26.40,26.50,-0.05,22,773000
107/06/04,89000,26.90,29.10,26.80,27.85,+1.35,71,2498650
107/06/05,22005,27.30,28.70,27.30,28.30,+0.45,22,612590
107/06/06,47000,27.50,28.40,27.50,28.00,-0.30,40,1314000
107/06/07,17000,27.90,28.35,27.60,28.25,+0.25,15,474300
107/06/08,15100,28.80,28.80,27.50,27.50,-0.75,13,418500
107/06/11,35000,27.50,27.50,27.10,27.40,-0.10,13,956800
107/06/12,24002,27.15,27.20,26.70,27.10,-0.30,19,648254
107/06/13,50000,26.65,27.20,26.50,27.20,+0.10,34,1341650
107/06/14,20000,27.00,27.20,27.00,27.10,-0.10,18,541550
107/06/15,29000,26.95,27.10,26.85,26.90,-0.20,26,779900
107/06/19,49099,27.00,28.50,26.70,27.15,+0.25,31,1335737
107/06/20,12000,26.85,26.90,26.75,26.75,-0.40,11,321850
107/06/21,10000,26.80,26.80,26.80,26.80,+0.05,5,268000
107/06/22,14000,26.60,26.60,26.60,26.60,-0.20,11,372400
107/06/25,12150,26.70,26.80,26.70,26.80,+0.20,10,325462
107/06/26,13000,26.85,26.85,26.50,26.50,-0.30,10,347550
107/06/27,11000,26.50,26.50,26.45,26.45,-0.05,9,291350
107/06/28,17000,26.50,26.50,26.40,26.40,-0.05,15,449700
107/06/29,27000,26.40,26.90,26.40,26.45,+0.05,25,715350
107/07/02,8100,26.45,26.70,26.40,26.70,+0.25,9,214240
107/07/03,16000,26.70,26.85,26.40,26.40,-0.30,11,426300
107/07/04,15000,26.40,26.70,26.30,26.70,+0.30,12,396050
107/07/05,20000,26.50,26.85,25.90,25.90,-0.80,15,528150
107/07/06,22000,25.95,26.10,25.65,26.10,+0.20,18,568850
107/07/09,4000,26.45,26.45,25.90,26.30,+0.20,4,105050
107/07/10,2058,25.80,26.25,25.80,26.25,-0.05,3,53558
107/07/11,2000,25.25,25.25,25.25,25.25,-1.00,2,50500
107/07/12,33000,25.50,26.20,25.50,25.60,+0.35,26,855750
107/07/13,20000,25.70,25.80,25.55,25.80,+0.20,12,512650
107/07/16,8000,25.95,26.00,25.70,25.70,-0.10,5,207050
107/07/17,61000,25.70,28.25,25.70,26.80,+1.10,49,1654300
107/07/18,28000,26.45,26.95,26.40,26.65,-0.15,21,743200
107/07/19,15112,26.60,26.60,26.15,26.50,-0.15,10,396846
107/07/20,41000,26.30,26.70,26.20,26.30,-0.20,23,1085300
107/07/23,36080,26.00,26.35,25.90,25.95,-0.35,36,937570
107/07/24,36037,24.60,24.80,24.60,24.75,,19,891743
107/07/25,7000,24.75,24.80,24.50,24.50,-0.25,7,172400
107/07/26,5929,24.55,24.80,24.55,24.80,+0.30,6,146453
107/07/27,14000,24.20,24.80,24.20,24.80,0.00,12,341450
107/07/30,13000,24.35,24.40,24.35,24.35,-0.45,8,316600
107/07/31,4000,24.35,24.65,24.35,24.40,+0.05,3,97750
107/08/01,8249,24.40,24.40,24.20,24.20,-0.20,9,199825
107/08/02,9000,24.20,24.20,24.00,24.00,-0.20,7,217200
107/08/03,27100,24.00,24.05,23.80,23.80,-0.20,20,647950
107/08/06,8050,23.75,24.05,23.75,24.05,+0.25,6,191512
107/08/07,5000,23.95,24.20,23.95,24.20,+0.15,5,120250
107/08/08,38000,24.00,24.20,23.95,24.20,0.00,24,911400
107/08/09,16250,23.95,24.05,23.80,24.05,-0.15,12,388112
107/08/10,17100,24.10,24.10,23.80,24.10,+0.05,14,408530
107/08/13,11000,23.85,23.85,23.55,23.80,-0.30,9,260600
107/08/14,8000,23.80,24.00,23.60,24.00,+0.20,7,190950
107/08/15,15100,23.60,24.05,23.55,23.55,-0.45,13,358605
107/08/16,10000,23.10,23.90,23.10,23.90,+0.35,7,234400
107/08/17,11000,23.90,24.50,23.65,23.65,-0.25,8,262700
107/08/20,1150,23.90,23.90,23.90,23.90,+0.25,2,27455
107/08/21,0,---,---,---,---,---,0,0
107/08/22,3200,23.50,23.85,23.50,23.85,0.00,4,75570
107/08/23,18000,23.80,23.80,23.25,23.65,-0.20,15,421800
107/08/24,15050,23.15,23.75,23.15,23.75,+0.10,9,350625
107/08/27,26190,23.35,23.40,23.20,23.35,-0.40,21,609624
107/08/28,9042,23.35,23.70,23.35,23.70,+0.35,15,213342
107/08/29,6360,23.75,23.90,23.75,23.80,+0.10,6,151322
107/08/30,13875,23.75,23.80,23.60,23.80,0.00,16,329622
107/08/31,20812,23.50,23.75,23.50,23.75,-0.05,17,491295
107/09/03,10396,23.85,23.85,23.40,23.75,0.00,12,245574
107/09/04,15240,24.50,24.50,23.80,23.80,+0.05,17,366859
107/09/05,10540,23.45,23.75,23.30,23.60,-0.20,16,247417
107/09/06,95280,25.95,25.95,24.55,24.70,+1.10,77,2381542
107/09/07,39500,23.90,24.50,23.90,24.20,-0.50,34,954249
107/09/10,38128,23.90,24.05,23.50,23.75,-0.45,33,906165
107/09/11,23152,23.80,24.40,23.65,23.85,+0.10,23,554140
107/09/12,7036,24.45,24.45,23.60,23.85,0.00,7,168310
107/09/13,5000,23.95,23.95,23.60,23.90,+0.05,5,118850
107/09/14,9000,23.90,24.00,23.80,23.90,0.00,9,214800
107/09/17,41180,23.90,24.20,23.90,24.05,+0.15,25,988677
107/09/18,43072,24.25,24.60,24.05,24.25,+0.20,33,1046730
107/09/19,30036,24.30,24.50,24.00,24.00,-0.25,22,727015
107/09/20,28180,24.15,24.20,24.00,24.00,0.00,23,678870
107/09/21,12000,24.00,24.05,24.00,24.05,+0.05,11,288100
107/09/25,12000,24.40,24.40,23.75,23.75,-0.30,9,288950
107/09/26,21216,23.75,24.10,23.75,23.75,0.00,17,505689
107/09/27,48036,24.15,24.15,23.55,23.75,0.00,24,1137357
107/09/28,22000,24.10,24.55,23.80,23.85,+0.10,13,528250
107/10/01,19000,24.05,24.10,24.05,24.10,+0.25,14,457600
107/10/02,25126,23.90,24.00,23.10,23.85,-0.25,19,595580
107/10/03,61072,22.30,23.90,22.30,23.90,+0.05,42,1392806
107/10/04,46360,23.05,23.80,22.95,23.80,-0.10,35,1073595
107/10/05,84689,23.60,24.05,23.00,23.15,-0.65,51,1986387
107/10/08,7000,23.10,23.85,23.10,23.45,+0.30,6,163950
107/10/09,17007,23.10,23.30,22.85,23.05,-0.40,16,391425
107/10/11,68005,22.00,22.10,20.75,21.25,-1.80,39,1429926
107/10/12,11612,21.45,21.75,21.00,21.20,-0.05,13,249290
107/10/15,20036,21.85,21.85,20.00,21.05,-0.15,16,421863
107/10/16,4286,21.45,21.45,21.00,21.00,-0.05,8,90647
107/10/17,12031,21.45,21.45,20.75,21.15,+0.15,14,252952
107/10/18,11250,21.15,21.15,21.00,21.00,-0.15,11,236600
107/10/19,14394,20.60,20.95,20.60,20.90,-0.10,13,299205
107/10/22,24288,20.30,20.85,20.30,20.85,-0.05,15,498496
107/10/23,18001,20.65,20.80,20.05,20.05,-0.80,12,363470
107/10/24,12158,20.05,20.70,20.05,20.25,+0.20,11,246910
107/10/25,5997,19.85,20.25,19.85,20.00,-0.25,8,119988
107/10/26,18000,20.50,20.50,19.40,19.95,-0.05,17,356800
107/10/29,7000,19.95,19.95,19.55,19.60,-0.35,7,138150
107/10/30,14072,19.70,19.70,19.50,19.65,+0.05,11,275654
107/10/31,15072,20.00,20.00,19.50,19.50,-0.15,14,297896
107/11/01,20072,19.50,19.85,19.25,19.25,-0.25,20,388558
107/11/02,23216,19.85,19.85,19.35,19.45,+0.20,20,455776
107/11/08,13000,19.90,19.90,19.35,19.65,0.00,11,254700
107/11/09,4000,19.40,19.65,19.40,19.65,0.00,4,78050
107/11/12,9000,19.70,19.80,19.45,19.65,0.00,7,176150
107/11/16,4000,19.80,19.80,19.65,19.65,+0.25,4,78750
107/11/19,1066,19.65,19.65,19.65,19.65,0.00,2,20970
107/11/20,11000,19.65,19.80,19.50,19.70,+0.05,11,215650
107/11/21,10058,19.50,19.70,19.30,19.30,-0.40,11,196142
107/11/22,11000,19.35,19.85,19.35,19.75,+0.45,9,216050
107/11/23,68108,20.00,20.30,19.70,20.00,+0.25,40,1359518
107/11/26,8101,20.00,20.20,19.80,19.80,-0.20,8,161771
107/11/27,5200,20.15,20.15,19.75,20.05,+0.25,6,103870
107/11/28,7000,20.10,20.10,20.00,20.10,+0.05,5,140250
107/11/29,28000,20.30,20.75,20.00,20.10,0.00,21,563600
107/11/30,49000,20.40,20.70,20.15,20.40,+0.30,32,999600
