台生材,	6649
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/06/05,1373000,49.00,50.60,48.15,48.30,+6.30,1085,67663100
108/06/06,574024,46.40,46.80,44.60,44.65,-3.65,487,26243965
108/06/10,514000,44.90,45.40,43.00,43.30,-1.35,291,22548800
108/06/11,127000,42.90,43.90,42.70,43.50,+0.20,101,5502950
108/06/12,152000,43.95,44.40,43.50,44.15,+0.65,114,6704550
108/06/13,87000,44.35,44.40,43.00,43.00,-1.15,70,3795000
108/06/14,196000,42.90,42.90,41.90,42.10,-0.90,156,8278750
108/06/17,59000,42.10,42.10,41.50,41.80,-0.30,53,2457250
108/06/18,153000,41.00,41.20,40.40,40.50,-1.30,97,6234300
108/06/19,75000,40.60,40.95,40.05,40.95,+0.45,67,3037150
108/06/20,61000,41.00,41.40,40.90,41.30,+0.35,52,2512050
108/06/21,43000,41.25,41.30,40.85,40.85,-0.45,42,1763050
108/06/24,24700,40.70,41.50,40.70,41.10,+0.25,21,1011760
108/06/25,81390,41.10,41.30,40.35,40.40,-0.70,59,3322256
108/06/26,61000,40.40,40.40,40.00,40.40,0.00,52,2455300
108/06/27,41000,40.50,40.50,40.15,40.35,-0.05,41,1653050
108/06/28,26000,40.50,40.60,40.20,40.50,+0.15,23,1050200
108/07/01,59400,40.50,41.00,40.50,40.70,+0.20,49,2427629
108/07/02,269195,40.80,43.90,40.80,43.35,+2.65,188,11452151
108/07/03,107000,42.45,42.45,41.60,41.75,-1.60,91,4493600
108/07/04,47000,41.70,41.95,41.70,41.90,+0.15,37,1963800
108/07/05,25000,41.90,42.20,41.90,42.05,+0.15,24,1050900
108/07/08,171250,42.30,43.20,42.30,42.50,+0.45,124,7317100
108/07/09,65000,42.00,42.20,41.95,41.95,-0.55,51,2731500
108/07/10,28000,41.55,41.95,41.55,41.75,-0.20,24,1169350
108/07/11,38000,41.75,41.95,41.30,41.30,-0.45,31,1576800
108/07/12,61000,41.30,41.40,41.00,41.00,-0.30,47,2512900
108/07/15,37000,41.00,41.50,41.00,41.30,+0.30,25,1528750
108/07/16,37000,40.90,41.60,40.90,41.30,0.00,32,1526550
108/07/17,28000,41.00,41.30,41.00,41.10,-0.20,20,1151100
108/07/18,122000,41.20,41.90,41.20,41.80,+0.70,88,5088000
108/07/19,53000,42.05,42.05,41.55,41.60,-0.20,35,2206850
108/07/22,54000,41.60,41.65,41.35,41.40,-0.20,36,2238800
108/07/23,61200,41.40,41.40,41.00,41.10,-0.30,50,2521970
108/07/24,63038,41.15,41.20,40.95,40.95,-0.15,40,2586856
108/07/25,66000,41.00,41.00,40.90,41.00,+0.05,36,2702300
108/07/26,26000,41.15,41.60,41.15,41.30,+0.30,24,1078450
108/07/29,35000,41.20,41.30,41.00,41.00,-0.30,28,1439950
108/07/30,146000,40.85,40.95,40.05,40.10,-0.90,83,5923150
108/07/31,38500,39.90,40.10,39.90,39.90,-0.20,34,1539350
