鈺太,	6679
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/05/09,1205500,90.90,90.90,85.40,86.00,+16.00,854,104906800
108/05/10,791790,85.30,91.90,85.30,89.90,+3.90,590,70714821
108/05/13,348095,89.00,89.00,85.40,85.70,-4.20,249,30076951
108/05/14,738050,84.00,84.00,80.70,83.80,-1.90,442,60778925
108/05/15,821458,83.60,90.80,83.20,90.80,+7.00,503,72268193
108/05/16,662003,88.30,92.90,88.00,90.30,-0.50,481,59783776
108/05/17,463023,91.40,91.40,88.00,90.60,+0.30,315,41319163
108/05/20,307152,91.30,91.30,88.00,89.80,-0.80,230,27510173
108/05/21,225098,89.30,90.10,87.00,88.50,-1.30,158,19948984
108/05/22,200053,87.90,90.20,87.80,89.00,+0.50,127,17821069
108/05/23,240100,88.00,88.00,85.70,85.80,-3.20,170,20730388
108/05/24,250050,85.80,86.20,83.20,84.00,-1.80,175,21040375
108/05/27,159043,84.80,84.80,81.30,82.00,-2.00,128,13072151
108/05/28,217026,82.00,84.50,80.90,83.80,+1.80,132,17802210
108/05/29,148000,83.70,84.40,82.00,83.50,-0.30,101,12344500
108/05/30,74000,82.90,84.20,82.90,83.40,-0.10,57,6163500
108/05/31,128000,83.30,84.60,83.30,84.20,+0.80,111,10761200
108/06/03,65006,83.40,83.60,82.00,83.50,-0.70,59,5406096
108/06/04,39000,83.90,83.90,82.70,82.70,-0.80,36,3237300
108/06/05,127000,83.80,84.40,82.50,82.70,0.00,79,10569900
108/06/06,200150,83.00,83.00,80.40,80.50,-2.20,108,16250900
108/06/10,191200,82.00,83.70,81.00,83.20,+2.70,150,15835100
108/06/11,231010,84.00,86.50,84.00,85.80,+2.60,191,19690858
108/06/12,118023,85.50,85.90,83.50,85.00,-0.80,94,9979448
108/06/13,103000,85.30,85.30,83.20,83.30,-1.70,65,8642000
108/06/14,94000,84.00,84.40,82.50,84.20,+0.90,51,7829200
108/06/17,31000,84.60,84.60,83.20,84.10,-0.10,29,2602500
108/06/18,43000,83.90,84.60,83.90,84.20,+0.10,41,3622600
108/06/19,152000,84.90,85.50,84.40,85.40,+1.20,114,12929400
108/06/20,74226,87.00,87.00,85.20,85.50,+0.10,57,6351432
108/06/21,238013,86.00,88.40,84.70,87.50,+2.00,171,20608541
108/06/24,1045591,87.90,95.00,87.80,95.00,+7.50,784,96323245
108/06/25,725300,95.00,97.90,92.50,95.00,0.00,565,69046870
