博晟生醫,	6733
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
110/01/28,2846601,30.85,32.50,29.95,31.20,+3.20,2049,89136463
110/01/29,1731815,30.60,31.35,29.00,29.00,-2.20,1168,51848523
110/02/01,1380258,28.50,28.70,27.30,28.05,-0.95,605,38415217
110/02/02,360991,28.10,29.00,28.10,28.40,+0.35,262,10280924
110/02/03,620396,28.50,30.50,28.00,29.10,+0.70,427,18172743
110/02/04,341824,28.85,29.00,28.35,28.80,-0.30,206,9803026
110/02/05,251669,28.85,28.85,28.30,28.40,-0.40,195,7154698
110/02/17,521324,26.45,28.20,26.10,27.75,-0.65,317,14252656
110/02/18,457496,27.80,29.50,27.75,29.35,+1.60,332,13240380
110/02/19,382337,29.35,29.60,28.70,29.20,-0.15,218,11117373
110/02/22,1291805,29.50,32.10,29.30,32.10,+2.90,693,40769740
110/02/23,1378223,32.20,33.90,31.60,31.70,-0.40,902,44663946
110/02/24,388852,31.55,31.55,30.20,30.95,-0.75,289,11966259
110/02/25,324415,31.05,31.20,30.60,30.70,-0.25,159,9990942
110/02/26,197173,30.45,30.65,30.30,30.65,-0.05,129,5995701
110/03/02,222000,31.45,31.45,30.00,30.00,-0.65,151,6776594
110/03/03,169330,30.50,30.50,29.20,29.90,-0.10,115,5041550
110/03/04,161934,30.00,30.00,29.20,29.35,-0.55,109,4762510
110/03/05,125252,29.35,29.85,29.05,29.70,+0.35,83,3694084
110/03/08,199227,29.70,29.90,29.00,29.40,-0.30,124,5861146
110/03/09,152213,29.60,29.85,29.20,29.45,+0.05,104,4474433
110/03/10,378177,29.45,31.00,29.30,31.00,+1.55,270,11380661
110/03/11,659999,32.00,32.80,31.60,31.70,+0.70,431,21135635
110/03/12,232374,31.70,31.70,30.65,31.05,-0.65,167,7230538
110/03/15,265542,31.05,31.50,30.85,31.05,0.00,139,8269037
110/03/16,156400,31.05,31.50,31.00,31.05,0.00,110,4859900
110/03/17,201472,31.00,31.40,31.00,31.05,0.00,129,6267691
110/03/18,262815,31.40,31.40,30.95,31.00,-0.05,169,8174598
110/03/19,183437,31.00,31.20,30.25,30.50,-0.50,132,5641582
110/03/22,233000,30.60,30.60,30.00,30.05,-0.45,132,7021000
110/03/23,152200,30.10,31.00,30.00,30.15,+0.10,99,4613050
110/03/24,213053,30.20,30.50,30.05,30.50,+0.35,127,6435860
110/03/25,190100,30.80,30.95,30.10,30.10,-0.40,140,5766599
110/03/26,195500,30.15,30.55,30.00,30.05,-0.05,127,5881755
110/03/29,447420,31.15,31.95,30.40,31.10,+1.05,317,13959064
110/03/30,332081,32.00,32.00,30.85,31.00,-0.10,200,10361780
110/03/31,131519,30.50,31.00,30.50,30.55,-0.45,114,4029840
110/04/01,189637,30.50,30.55,30.20,30.30,-0.25,137,5756312
110/04/06,362020,30.50,30.55,29.90,30.00,-0.30,211,10891956
110/04/07,226000,30.10,30.80,30.00,30.50,+0.50,137,6848250
110/04/08,337000,30.80,31.30,30.60,30.80,+0.30,224,10406470
110/04/09,216200,31.25,31.25,30.45,30.90,+0.10,164,6636300
110/04/12,2368709,32.00,33.95,31.25,33.95,+3.05,1125,78252670
110/04/13,1597990,34.00,34.10,31.30,31.40,-2.55,841,52206998
110/04/14,441947,31.15,32.00,30.10,30.85,-0.55,284,13758838
110/04/15,219496,31.65,31.65,30.90,31.25,+0.40,141,6880899
110/04/16,219655,31.25,31.75,30.95,31.10,-0.15,136,6837213
110/04/19,212585,31.10,31.50,30.90,31.30,+0.20,129,6632638
110/04/20,203410,31.40,31.70,31.30,31.40,+0.10,147,6396573
110/04/21,362850,31.50,32.65,31.50,31.70,+0.30,248,11613827
110/04/22,381126,31.90,32.40,30.75,31.10,-0.60,235,11993166
110/04/23,154700,31.20,31.20,30.80,30.95,-0.15,110,4788982
110/04/26,392750,30.95,30.95,30.40,30.45,-0.50,242,11997618
110/04/27,223059,30.50,30.90,30.25,30.35,-0.10,132,6807737
110/04/28,224120,30.25,30.65,30.25,30.25,-0.10,133,6798131
110/04/29,313294,30.50,30.50,30.20,30.30,+0.05,191,9508550
110/05/03,244430,30.40,30.50,30.20,30.20,-0.10,174,7410579
110/05/04,397010,30.20,30.60,28.80,29.10,-1.10,286,11705895
110/05/05,128442,29.00,29.40,28.70,29.05,-0.05,121,3748561
110/05/06,125621,29.60,29.60,29.25,29.25,+0.20,78,3698833
110/05/07,152159,27.90,29.65,27.90,29.40,+0.15,135,4401600
110/05/10,113000,29.30,29.30,29.00,29.00,-0.40,76,3282600
110/05/11,336523,28.50,29.00,27.75,27.75,-1.25,273,9467746
110/05/12,393100,27.75,28.95,26.55,27.00,-0.75,221,10915800
110/05/13,179000,26.60,27.35,26.60,27.00,0.00,118,4839200
110/05/14,249535,27.70,27.70,26.85,26.85,-0.15,118,6797230
110/05/17,329844,24.30,26.20,24.30,25.00,-1.85,211,8285806
110/05/18,143100,25.10,26.80,25.10,26.00,+1.00,93,3737850
110/05/19,124346,26.90,26.90,26.00,26.45,+0.45,71,3288160
110/05/20,78020,26.00,27.00,26.00,26.15,-0.30,56,2064575
110/05/21,88029,26.25,26.95,26.20,26.85,+0.70,62,2345575
110/05/24,23050,27.60,27.60,26.70,26.90,+0.05,24,620200
110/05/25,74010,26.90,27.30,26.65,26.65,-0.25,50,1992321
110/05/26,39300,26.70,27.25,26.70,26.85,+0.20,33,1056630
110/05/27,136000,27.50,28.10,27.10,27.90,+1.05,92,3748250
110/05/28,113300,28.10,28.45,27.80,28.30,+0.40,80,3186593
110/05/31,87218,28.30,28.30,27.65,27.90,-0.40,52,2431564
110/06/01,65403,27.90,28.00,27.75,28.00,+0.10,47,1824322
110/06/02,75000,29.05,29.05,27.80,27.90,-0.10,42,2094800
110/06/03,92005,27.25,27.85,27.10,27.60,-0.30,57,2549690
110/06/04,79000,27.50,27.50,27.15,27.15,-0.45,47,2155100
110/06/07,90757,27.20,27.25,26.70,26.80,-0.35,67,2435653
110/06/08,74413,26.95,27.30,26.90,27.25,+0.45,45,2018126
110/06/09,52000,27.30,27.35,26.80,26.85,-0.40,35,1402000
110/06/10,63000,27.00,27.30,26.50,27.05,+0.20,41,1696300
110/06/11,49000,26.80,27.50,26.55,27.00,-0.05,36,1321550
110/06/15,45000,27.05,27.15,27.00,27.00,0.00,37,1218300
110/06/16,91000,27.00,27.25,26.80,27.00,0.00,57,2452600
110/06/17,75000,26.50,27.00,26.50,26.90,-0.10,48,2001300
110/06/18,70120,26.80,26.80,26.65,26.65,-0.25,51,1873765
110/06/21,93000,26.65,26.65,26.30,26.45,-0.20,52,2455800
110/06/22,41000,26.45,27.15,26.40,26.45,0.00,38,1089750
110/06/23,105326,26.50,26.50,26.15,26.40,-0.05,79,2768735
110/06/24,26100,26.15,26.45,26.15,26.40,0.00,21,686750
110/06/25,51687,27.20,27.20,26.30,26.35,-0.05,43,1365880
110/06/28,132100,26.30,26.30,26.00,26.15,-0.20,72,3447079
110/06/29,188099,26.15,26.80,25.70,26.00,-0.15,128,4880848
110/06/30,123480,26.00,26.10,25.75,25.80,-0.20,85,3193082
110/07/01,119349,26.00,26.45,25.70,25.70,-0.10,77,3090959
110/07/02,141130,26.25,26.25,25.50,25.70,0.00,85,3618991
110/07/05,117668,25.70,25.70,25.45,25.55,-0.15,85,3009265
110/07/06,204885,25.50,25.55,25.30,25.35,-0.20,119,5197665
110/07/07,58250,25.35,25.50,25.20,25.30,-0.05,54,1473136
110/07/08,75099,25.90,25.90,25.20,25.30,0.00,54,1904144
110/07/09,94500,25.10,25.30,25.10,25.15,-0.15,61,2380159
110/07/12,115435,25.05,25.10,24.90,24.95,-0.20,78,2886391
110/07/13,198414,24.80,24.90,24.35,24.35,-0.60,148,4869445
110/07/14,169250,24.35,24.40,23.75,23.90,-0.45,139,4057394
110/07/15,192010,23.75,25.00,23.50,25.00,+1.10,113,4606954
110/07/16,75019,25.00,25.00,24.60,24.60,-0.40,62,1858517
110/07/19,46010,24.40,24.40,24.15,24.35,-0.25,40,1117446
110/07/20,48000,24.35,25.00,24.25,24.25,-0.10,36,1172200
110/07/21,36000,24.20,24.70,24.05,24.20,-0.05,31,872850
110/07/22,63213,24.20,24.20,23.85,23.85,-0.35,51,1517125
110/07/23,49235,23.80,24.15,23.65,23.80,-0.05,42,1173040
110/07/26,52200,23.80,24.00,23.70,23.70,-0.10,35,1241850
110/07/27,51189,23.80,24.00,23.70,23.70,0.00,33,1221331
110/07/28,77081,23.70,23.70,22.75,23.05,-0.65,57,1790069
110/07/29,222488,23.10,25.35,23.10,25.35,+2.30,143,5578695
110/07/30,459310,26.00,27.85,26.00,26.05,+0.70,321,12258693
110/08/02,153500,26.15,26.20,24.90,25.00,-1.05,108,3889950
110/08/03,92124,24.90,24.90,24.25,24.40,-0.60,69,2265122
110/08/04,193807,25.50,26.30,25.00,25.60,+1.20,146,4976797
