崑鼎,	6803
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,40595,163.00,163.00,162.00,162.00,-1.00,37,6583186
104/01/06,81313,162.00,162.50,161.50,162.00,0.00,64,13162206
104/01/07,14410,162.00,163.00,162.00,163.00,+1.00,19,2343330
104/01/08,74606,163.00,164.50,162.50,164.00,+1.00,74,12196884
104/01/09,48445,164.00,164.50,163.50,164.00,0.00,42,7951202
104/01/12,39339,164.00,165.00,164.00,164.50,+0.50,43,6470264
104/01/13,81688,164.50,166.00,164.50,165.50,+1.00,80,13512520
104/01/14,24200,166.00,166.00,165.00,165.50,0.00,23,4002900
104/01/15,21162,165.50,165.50,164.50,164.50,-1.00,22,3490811
104/01/16,42205,164.50,164.50,163.00,163.00,-1.50,35,6904120
104/01/19,42140,163.50,164.00,163.00,163.00,0.00,40,6887960
104/01/20,17432,163.00,163.50,163.00,163.50,+0.50,19,2847064
104/01/21,24333,163.50,163.50,163.00,163.50,0.00,22,3975778
104/01/22,26269,163.50,164.00,163.00,163.00,-0.50,26,4292116
104/01/23,24070,163.50,164.00,163.00,163.00,0.00,19,3936480
104/01/26,24120,163.00,163.50,163.00,163.00,0.00,26,3934120
104/01/27,40321,162.50,163.50,162.00,163.50,+0.50,30,6558983
104/01/28,19140,163.50,163.50,162.50,163.00,-0.50,16,3115890
104/01/29,54750,163.00,164.50,163.00,163.00,0.00,40,8966750
104/01/30,24308,163.50,164.50,163.50,164.00,+1.00,17,3987512
104/02/02,11061,164.00,164.00,163.00,163.50,-0.50,15,1807504
104/02/03,21000,163.50,164.00,163.50,163.50,0.00,17,3438000
104/02/04,35251,164.00,165.00,163.50,165.00,+1.50,30,5796415
104/02/05,17225,165.00,165.00,164.00,164.50,-0.50,24,2834400
104/02/06,34425,164.00,164.50,163.50,164.00,-0.50,35,5641700
104/02/09,170645,164.50,168.50,164.50,167.00,+3.00,121,28428391
104/02/10,25304,167.00,167.50,165.00,166.00,-1.00,27,4202768
104/02/11,52371,166.00,166.50,165.00,166.00,0.00,48,8692586
104/02/12,23502,165.50,165.50,164.00,165.00,-1.00,31,3872340
104/02/13,27250,165.00,165.00,164.50,164.50,-0.50,29,4487750
104/02/24,29450,164.50,165.00,164.00,164.50,0.00,31,4845700
104/02/25,39506,164.50,164.50,163.50,163.50,-1.00,36,6483990
104/02/26,39747,164.00,164.50,163.50,163.50,0.00,41,6512508
104/03/02,28437,163.50,165.00,163.50,164.00,+0.50,31,4671542
104/03/03,19304,165.50,165.50,164.50,165.50,+1.50,25,3181464
104/03/04,38600,165.50,165.50,165.00,165.00,-0.50,39,6378500
104/03/05,99402,165.50,167.50,165.50,167.50,+2.50,84,16563134
104/03/06,147820,167.50,171.00,167.50,171.00,+3.50,127,24949400
104/03/09,113079,171.00,172.00,170.00,171.50,+0.50,90,19337509
104/03/10,105450,171.50,172.00,169.00,171.50,0.00,85,17973723
104/03/11,89210,170.00,172.00,170.00,170.00,-1.50,64,15226514
104/03/12,27177,170.50,170.50,169.00,169.50,-0.50,30,4612000
104/03/13,57105,169.00,171.00,169.00,171.00,+1.50,55,9682455
104/03/16,65481,171.50,171.50,169.00,171.00,0.00,59,11136751
104/03/17,92320,172.00,172.00,170.00,171.50,+0.50,70,15807540
104/03/18,66420,172.50,173.00,171.50,172.00,+0.50,64,11433948
