金山電,	8042
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,231470,48.00,48.00,47.55,47.60,-0.40,173,11031118
104/01/06,368000,47.20,47.20,46.40,46.65,-0.95,268,17245150
104/01/07,169000,46.65,46.85,46.60,46.70,+0.05,129,7891650
104/01/08,149000,46.95,47.20,46.80,46.90,+0.20,119,7001700
104/01/09,117000,47.35,47.35,47.00,47.05,+0.15,104,5514650
104/01/12,99400,47.05,47.30,47.00,47.20,+0.15,62,4681200
104/01/13,186530,47.20,47.30,47.05,47.30,+0.10,134,8805374
104/01/14,290100,47.40,47.80,47.40,47.80,+0.50,179,13802300
104/01/15,161000,47.90,48.10,47.60,47.70,-0.10,111,7698850
104/01/16,168000,47.70,47.80,47.20,47.25,-0.45,89,7962950
104/01/19,206000,47.25,47.50,46.65,46.70,-0.55,148,9678750
104/01/20,199000,47.00,47.25,46.70,47.15,+0.45,97,9333450
104/01/21,217500,47.50,47.50,47.00,47.00,-0.15,123,10232200
104/01/22,297000,47.25,47.90,46.90,47.90,+0.90,209,14015850
104/01/23,333000,48.20,48.30,47.55,47.85,-0.05,195,15913150
104/01/26,166089,47.90,48.00,47.65,47.75,-0.10,121,7934898
104/01/27,750458,47.80,48.45,47.75,48.45,+0.70,440,36131412
104/01/28,277300,48.45,48.45,48.00,48.25,-0.20,179,13374300
104/01/29,254100,48.20,48.30,48.00,48.00,-0.25,150,12232300
104/01/30,110150,48.00,48.35,47.90,47.90,-0.10,87,5287550
104/02/02,84460,48.00,48.00,47.60,47.65,-0.25,62,4031854
104/02/03,139000,47.65,47.95,47.65,47.75,+0.10,94,6643850
104/02/04,157030,48.00,48.20,47.80,48.00,+0.25,94,7534399
104/02/05,345000,47.95,48.50,47.95,48.30,+0.30,217,16650650
104/02/06,2889867,48.50,50.60,48.45,50.10,+1.80,1673,143974331
104/02/09,1753448,50.50,51.20,49.90,50.20,+0.10,969,88653789
104/02/10,811255,50.40,51.00,50.00,50.30,+0.10,435,40877803
104/02/11,488000,50.40,50.40,49.80,49.85,-0.45,301,24365500
