巨虹,	8084
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,25000,23.50,23.50,22.70,23.00,-0.25,20,577600
104/01/06,13000,23.40,23.40,23.00,23.20,+0.20,13,300700
104/01/07,77000,23.20,23.55,22.95,22.95,-0.25,49,1781150
104/01/08,122000,22.95,22.95,22.40,22.50,-0.45,86,2764700
104/01/09,89000,22.75,22.90,21.70,21.80,-0.70,69,1999500
104/01/12,42000,21.90,22.10,21.90,22.10,+0.30,22,925400
104/01/13,24000,22.70,23.60,22.70,23.60,+1.50,17,563700
104/01/14,153000,25.00,25.25,23.60,23.60,0.00,79,3799900
104/01/15,28000,23.60,23.60,23.50,23.50,-0.10,24,659650
104/01/16,28000,23.60,23.60,23.50,23.50,0.00,22,659800
104/01/19,37000,23.80,23.90,23.80,23.85,+0.35,12,881500
104/01/20,11000,23.85,24.50,23.85,24.50,+0.65,7,266200
104/01/21,3000,24.50,24.70,24.50,24.70,+0.20,3,73750
104/01/22,28000,24.90,25.40,24.80,24.80,+0.10,23,700600
104/01/23,17000,25.00,25.20,24.85,25.00,+0.20,14,424650
104/01/26,3000,25.10,25.10,25.10,25.10,+0.10,3,75300
104/01/27,28000,25.20,25.40,25.10,25.10,0.00,14,705500
104/01/28,8000,25.10,25.10,25.00,25.00,-0.10,5,200700
104/01/29,5000,25.00,25.10,25.00,25.10,+0.10,3,125400
104/01/30,24000,24.20,25.00,24.10,24.90,-0.20,20,582700
104/02/02,26000,24.60,24.60,23.60,23.60,-1.30,18,621900
104/02/03,32000,24.20,24.20,22.80,23.00,-0.60,16,740950
104/02/04,31000,23.20,23.20,22.70,22.70,-0.30,9,713700
104/02/05,4000,23.80,23.80,23.10,23.70,+1.00,4,94350
104/02/06,37000,24.30,25.10,23.30,23.30,-0.40,21,908000
104/02/09,15000,24.90,24.90,24.90,24.90,+1.60,11,373500
104/02/10,56000,26.40,26.60,25.55,25.70,+0.80,39,1474150
104/02/11,25000,25.60,26.40,25.50,26.30,+0.60,18,645000
104/02/12,20021,26.20,26.20,25.70,25.70,-0.60,18,517379
104/02/13,7000,25.60,25.70,25.50,25.65,-0.05,6,179150
104/02/24,5000,25.65,25.90,25.65,25.90,+0.25,3,128750
104/02/25,7000,25.80,26.00,25.70,26.00,+0.10,7,180700
104/02/26,16000,26.00,26.00,25.90,26.00,0.00,8,414700
104/03/02,17000,25.95,25.95,25.65,25.65,-0.35,16,438250
