宏捷科,	8086
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,6242918,41.00,42.50,41.00,42.00,+0.40,3039,260960411
104/01/06,10132683,42.00,42.90,41.40,41.80,-0.20,4791,426488935
104/01/07,10054230,41.80,42.00,39.85,40.40,-1.40,4720,409422832
104/01/08,5144202,41.00,41.35,40.55,40.70,+0.30,2831,210394923
104/01/09,15353475,41.80,43.50,41.30,43.50,+2.80,7202,659068332
104/01/12,13929281,43.90,45.35,43.90,44.20,+0.70,6426,622703114
104/01/13,16254960,44.10,47.25,43.70,47.25,+3.05,7578,746988782
104/01/14,21530788,47.75,48.60,45.50,45.95,-1.30,9490,1014080682
104/01/15,16843455,45.95,47.95,45.00,47.35,+1.40,7836,785478828
104/01/16,9652303,47.50,48.30,46.50,46.50,-0.85,5020,455825076
104/01/19,7679275,46.95,47.10,45.10,45.45,-1.05,3884,351385429
104/01/20,5783851,45.80,46.65,45.75,46.30,+0.85,3007,267424503
104/01/21,6933635,46.40,47.20,45.85,45.95,-0.35,3366,322656754
104/01/22,5289722,46.15,46.80,45.95,46.20,+0.25,2238,244945662
104/01/23,14974924,46.35,46.60,43.80,44.35,-1.85,6859,672153505
104/01/26,7416469,44.50,45.85,44.35,45.75,+1.40,3893,336350951
104/01/27,10320061,46.75,47.35,46.25,46.55,+0.80,5215,484255967
104/01/28,4696618,46.55,47.20,46.10,47.00,+0.45,2790,219530558
104/01/29,7542985,47.50,47.95,46.35,47.45,+0.45,4020,356431418
104/01/30,4839530,48.00,48.00,46.85,47.20,-0.25,2668,228949185
104/02/02,2576274,47.05,47.20,46.40,46.90,-0.30,1413,120415065
104/02/03,8117962,47.45,47.45,45.55,46.30,-0.60,3709,376949493
104/02/04,17861417,46.95,47.20,43.30,43.50,-2.80,8699,795087528
104/02/05,7632480,43.50,44.40,43.35,44.20,+0.70,4257,335695999
104/02/06,14194352,44.20,44.20,41.15,41.55,-2.65,7064,596445130
104/02/09,5231478,41.55,42.35,41.50,41.85,+0.30,2838,219524589
104/02/10,4373376,42.00,42.45,41.40,41.90,+0.05,2189,183166640
104/02/11,4309055,42.30,42.45,41.40,42.20,+0.30,2323,181145154
104/02/12,2195229,42.20,42.45,41.60,41.90,-0.30,1285,91975723
104/02/13,3649719,41.90,41.95,41.20,41.50,-0.40,2023,151431184
104/02/24,8090031,42.10,44.25,41.80,44.15,+2.65,4203,351608353
104/02/25,6428793,45.30,45.30,43.50,43.75,-0.40,3599,284763330
104/02/26,3258285,43.35,44.25,43.30,44.05,+0.30,1732,142463383
104/03/02,3398353,44.05,44.25,42.80,43.20,-0.85,1925,147273037
104/03/03,6489198,43.50,44.50,43.40,44.15,+0.95,3086,285934623
104/03/04,18947783,44.80,47.20,44.20,47.20,+3.05,8783,875692464
104/03/05,21512797,47.50,50.20,46.50,48.50,+1.30,10237,1039247507
104/03/06,12132248,48.50,49.75,47.25,47.90,-0.60,6006,586917514
