品安,	8088
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,583000,24.60,25.20,24.40,24.65,-0.15,328,14410450
104/01/06,777000,24.50,24.60,23.10,23.40,-1.25,450,18349250
104/01/07,361100,23.35,23.70,23.00,23.35,-0.05,198,8442184
104/01/08,242020,23.40,23.80,23.40,23.50,+0.15,156,5715323
104/01/09,320001,23.50,23.70,23.20,23.20,-0.30,154,7521123
104/01/12,587000,23.00,23.80,22.90,23.60,+0.40,294,13744800
104/01/13,276007,23.60,23.60,23.10,23.25,-0.35,176,6425361
104/01/14,265004,23.25,23.50,23.15,23.15,-0.10,150,6167492
104/01/15,141001,23.30,23.50,23.15,23.15,0.00,96,3281323
104/01/16,288500,23.15,23.25,22.15,22.15,-1.00,160,6635150
104/01/19,494001,22.30,22.45,21.00,21.40,-0.75,282,10698171
104/01/20,160000,21.60,22.20,21.60,22.15,+0.75,94,3509850
104/01/21,94001,22.30,22.30,21.70,21.80,-0.35,65,2060572
104/01/22,151000,21.85,22.20,21.85,22.00,+0.20,91,3330350
104/01/23,113001,22.35,22.35,22.00,22.05,+0.05,59,2494172
104/01/26,289000,22.30,22.80,21.65,22.75,+0.70,170,6428100
104/01/27,474170,22.80,22.90,22.20,22.20,-0.55,209,10772005
104/01/28,125693,22.20,22.20,21.90,21.90,-0.30,87,2770705
104/01/29,77300,21.85,22.25,21.70,22.10,+0.20,62,1701529
104/01/30,96126,22.10,22.15,21.95,22.15,+0.05,57,2118272
104/02/02,135000,21.80,21.90,21.60,21.60,-0.55,82,2932700
104/02/03,48004,21.80,21.90,21.70,21.70,+0.10,35,1043284
104/02/04,106000,21.80,21.80,21.60,21.75,+0.05,59,2298400
104/02/05,102346,21.80,21.80,21.50,21.80,+0.05,61,2210557
104/02/06,125783,21.80,21.80,21.30,21.35,-0.45,77,2703018
104/02/09,150002,21.35,21.45,21.05,21.05,-0.30,88,3173944
104/02/10,49000,21.05,21.30,21.05,21.10,+0.05,32,1037250
104/02/11,97500,21.00,21.20,20.80,20.90,-0.20,73,2042999
104/02/12,80001,21.00,21.00,20.50,20.50,-0.40,58,1652822
104/02/13,138000,20.50,20.70,20.10,20.60,+0.10,91,2814650
104/02/24,138003,20.60,20.90,20.15,20.60,0.00,91,2820713
104/02/25,84007,20.75,20.80,20.40,20.55,-0.05,70,1726304
104/02/26,116112,20.60,20.65,20.40,20.65,+0.10,62,2383610
104/03/02,206001,20.60,21.20,20.60,21.00,+0.35,115,4329522
104/03/03,83000,21.00,21.10,20.85,20.90,-0.10,51,1741900
104/03/04,128001,20.70,21.50,20.70,21.50,+0.60,90,2703121
104/03/05,457609,21.70,22.50,21.50,22.45,+0.95,281,10104028
104/03/06,209001,22.85,22.85,22.15,22.20,-0.25,140,4686022
104/03/09,103013,22.20,22.25,21.90,22.00,-0.20,66,2271338
104/03/10,228004,22.00,22.60,22.00,22.20,+0.20,138,5096288
104/03/11,103006,22.00,22.10,21.65,21.80,-0.40,78,2252582
104/03/12,115004,22.10,22.20,21.70,21.80,0.00,68,2517288
104/03/13,90004,21.85,22.10,21.85,21.85,+0.05,60,1972688
104/03/16,98000,21.85,21.95,21.55,21.85,0.00,67,2131100
